1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 489778.78),(2 851499.06),(3 1046232.3),(4 2097768),(5 2957714),(6 3495418),(7 4821352.5),(8 5896979.5),(9 6592876),(10 8085476.5),(11 9319927),(12 10285516),(13 12084460),(14 13701264),(15 15146447),(16 17403498),(17 19482954),(18 21165238),(19 23673990),(20 25795954),(21 27124390),(22 29130614),(23 30929238),(24 31889074),(25 33752990),(26 35454012),(27 36445104),(28 38415052),(29 40372108),(30 41472316),(31 43415572),(32 45375796),(33 46310652),(34 47878644),(35 49501316),(36 49937484),(37 51001900),(38 52039010),(39 52030948),(40 52634036),(41 53628628),(42 53732450),(43 54541612),(44 55748750),(45 55979124),(46 56506320),(47 57375540),(48 57133092),(49 57342484),(50 57887548),(51 57248052),(52 57197644),(53 57885532),(54 57319060),(55 57567500),(56 58499564),(57 58486596),(58 59222670),(59 60606304),(60 61002156),(61 62252144),(62 63786076),(63 64409068),(64 65786548),(65 67602300),(66 68473944),(67 70082280),(68 72160010),(69 73134890),(70 74655224),(71 76779784),(72 77730620),(73 79441760),(74 81236280),(75 81784250),(76 82696940),(77 84092344),(78 84016430),(79 84465704),
(1 1946.4348),(2 2284.0273),(3 2370.1995),(4 2400.4844),(5 2414.6968),(6 2489.8162),(7 2516.4373),(8 2525.9312),(9 2612.5354),(10 2609.3442),(11 2651.041),(12 2709.5027),(13 2734.9094),(14 2760.5867),(15 2778.7422),(16 2796.9136),(17 2853.5642),(18 2960.0925),(19 2945.5518),(20 2941.744),(21 2970.2192),(22 3022.1494),(23 3059.0105),(24 3050.1157),(25 3073.8987),(26 3118.7488),(27 3148.4011),(28 3198.0325),(29 3238.514),(30 3254.9617),(31 3288.2175),(32 3321.11),(33 3317.1138),(34 3389.69),(35 3401.3494),(36 3411.9175),(37 3446.7583),(38 3453.5435),(39 3512.9705),(40 3528.2417),(41 3503.855),(42 3512.0344),(43 3517.764),(44 3465.8342),(45 3470.3923),(46 3432.3396),(47 3464.4097),(48 3465.889),(49 3438.8171),(50 3409.238),(51 3438.0234),(52 3402.6968),(53 3403.608),(54 3371.801),(55 3388.73),(56 3385.1765),(57 3357.0881),(58 3363.455),(59 3339.3384),(60 3369.7827),(61 3383.4087),(62 3389.439),(63 3404.072),(64 3411.2124),(65 3408.7532),(66 3363.7732),(67 3362.1614),(68 3404.1548),(69 3372.5386),(70 3343.6677),(71 3359.5134),(72 3368.7075),(73 3345.1355),(74 3317.6196),(75 3351.9805),(76 3365.3088),(77 3340.51),(78 3329.2153),(79 3354.7256),
(1 1876.267),(2 2180.7275),(3 2247.082),(4 2327.2842),(5 2350.8247),(6 2392.9543),(7 2468.1282),(8 2483.7434),(9 2540.3618),(10 2559.2346),(11 2577.0576),(12 2607.1526),(13 2710.672),(14 2723.0786),(15 2752.6284),(16 2760.9065),(17 2819.027),(18 2900.729),(19 2921.088),(20 2919.8716),(21 2905.9482),(22 2957.2388),(23 2994.1516),(24 2980.9595),(25 2999.5364),(26 3010.1318),(27 3033.5386),(28 3049.805),(29 3085.6453),(30 3122.1648),(31 3165.828),(32 3165.9666),(33 3161.6265),(34 3209.6333),(35 3256.865),(36 3253.784),(37 3275.0854),(38 3280.3916),(39 3297.928),(40 3321.2307),(41 3300.5225),(42 3342.4797),(43 3342.47),(44 3307.6013),(45 3328.5195),(46 3310.1501),(47 3288.6626),(48 3274.5237),(49 3308.2612),(50 3291.4663),(51 3271.5635),(52 3264.6123),(53 3281.305),(54 3304.9192),(55 3309.2751),(56 3292.1626),(57 3308.967),(58 3309.5112),(59 3336.1982),(60 3368.5234),(61 3365.8613),(62 3346.7942),(63 3359.5042),(64 3414.5315),(65 3381.3657),(66 3393.4692),(67 3415.0076),(68 3398.5552),(69 3338.6135),(70 3335.9753),(71 3316.8572),(72 3312.7322),(73 3356.777),(74 3320.3162),(75 3339.6309),(76 3337.4333),(77 3305.3188),(78 3295.6326),(79 3296.5059),
(1 1876.1104),(2 2231.796),(3 2297.0632),(4 2349.3157),(5 2403.8748),(6 2475.629),(7 2510.6475),(8 2523.4614),(9 2541.2175),(10 2605.3943),(11 2647.225),(12 2678.053),(13 2768.3706),(14 2762.032),(15 2783.112),(16 2799.8232),(17 2832.9702),(18 2909.986),(19 2911.291),(20 2958.857),(21 2945.2134),(22 3000.333),(23 3036.0796),(24 3063.0679),(25 3079.2058),(26 3063.5808),(27 3100.9463),(28 3117.057),(29 3177.1516),(30 3215.6453),(31 3227.0547),(32 3232.2551),(33 3280.04),(34 3305.961),(35 3308.5872),(36 3359.8784),(37 3381.1877),(38 3393.1973),(39 3440.7227),(40 3428.1985),(41 3412.699),(42 3396.657),(43 3444.246),(44 3471.7485),(45 3456.3462),(46 3406.53),(47 3385.453),(48 3375.818),(49 3403.7026),(50 3387.488),(51 3369.5923),(52 3378.4053),(53 3376.2004),(54 3365.7913),(55 3395.1895),(56 3373.0557),(57 3388.81),(58 3352.106),(59 3352.5525),(60 3375.025),(61 3374.144),(62 3372.7058),(63 3426.6226),(64 3416.9666),(65 3433.9878),(66 3439.8738),(67 3471.051),(68 3436.5916),(69 3415.2227),(70 3445.5085),(71 3452.2283),(72 3421.6746),(73 3441.386),(74 3464.8232),(75 3505.3962),(76 3472.111),(77 3444.957),(78 3454.1414),(79 3476.9258),
(1 1836.043),(2 2152.3425),(3 2211.731),(4 2325.1006),(5 2360.6477),(6 2395.1545),(7 2440.199),(8 2444.2078),(9 2486.7068),(10 2518.9797),(11 2562.4084),(12 2614.3372),(13 2687.3425),(14 2702.034),(15 2706.126),(16 2777.8962),(17 2824.3901),(18 2854.9177),(19 2911.0535),(20 2904.1563),(21 2901.7227),(22 2965.9827),(23 3015.3918),(24 3025.5544),(25 3008.9185),(26 3017.851),(27 3009.7114),(28 3013.958),(29 3061.0303),(30 3102.6116),(31 3100.7642),(32 3105.226),(33 3118.2437),(34 3152.21),(35 3192.396),(36 3211.6838),(37 3195.5042),(38 3221.6912),(39 3252.759),(40 3266.1116),(41 3253.1326),(42 3274.2966),(43 3252.0513),(44 3275.342),(45 3245.2534),(46 3264.6882),(47 3257.4822),(48 3247.2976),(49 3261.8547),(50 3249.5652),(51 3254.1943),(52 3219.5898),(53 3188.27),(54 3194.7844),(55 3200.7134),(56 3169.7969),(57 3177.0862),(58 3195.4084),(59 3213.706),(60 3184.04),(61 3189.7354),(62 3241.7012),(63 3252.8079),(64 3261.3958),(65 3246.7136),(66 3230.7349),(67 3256.4722),(68 3247.064),(69 3248.4692),(70 3245.6907),(71 3265.4219),(72 3246.6572),(73 3247.6104),(74 3201.2434),(75 3231.3242),(76 3246.3503),(77 3244.5881),(78 3237.5144),(79 3222.2932),
(1 1805.0927),(2 2091.214),(3 2177.9902),(4 2286.8672),(5 2308.6152),(6 2366.9756),(7 2395.6787),(8 2452.992),(9 2488.439),(10 2474.753),(11 2526.2656),(12 2579.6733),(13 2605.8027),(14 2603.8098),(15 2636.398),(16 2675.8748),(17 2721.5278),(18 2738.8691),(19 2810.0288),(20 2798.6104),(21 2817.2947),(22 2833.7827),(23 2904.2573),(24 2896.4485),(25 2927.657),(26 2935.2944),(27 2953.7534),(28 2959.6228),(29 2973.6987),(30 3011.6663),(31 3034.5002),(32 3063.457),(33 3085.4382),(34 3133.8872),(35 3175.1096),(36 3168.0735),(37 3167.211),(38 3254.1448),(39 3258.958),(40 3241.3274),(41 3261.7727),(42 3258.609),(43 3226.7134),(44 3239.5605),(45 3237.2664),(46 3207.837),(47 3194.9446),(48 3216.6526),(49 3192.5708),(50 3160.9937),(51 3152.0593),(52 3138.4011),(53 3147.452),(54 3137.3574),(55 3113.3796),(56 3140.3184),(57 3137.7495),(58 3163.4),(59 3149.5168),(60 3160.6628),(61 3168.1392),(62 3194.688),(63 3216.0762),(64 3232.352),(65 3225.0742),(66 3228.682),(67 3246.1213),(68 3270.0017),(69 3283.0735),(70 3294.7627),(71 3298.6995),(72 3265.3772),(73 3261.7485),(74 3242.3691),(75 3283.8752),(76 3264.2773),(77 3254.4758),(78 3293.663),(79 3288.7866),
(1 1770.2703),(2 2073.3376),(3 2148.8657),(4 2241.9597),(5 2249.6743),(6 2296.5125),(7 2323.037),(8 2332.8457),(9 2411.84),(10 2419.7964),(11 2473.773),(12 2489.107),(13 2532.9775),(14 2529.0076),(15 2567.6428),(16 2636.5771),(17 2658.792),(18 2677.1748),(19 2728.5166),(20 2737.2747),(21 2755.2224),(22 2778.8262),(23 2835.643),(24 2859.6348),(25 2885.5742),(26 2885.6108),(27 2930.9043),(28 2906.8552),(29 2964.0955),(30 3016.8267),(31 3041.4011),(32 3078.0664),(33 3085.549),(34 3148.8938),(35 3170.4084),(36 3167.233),(37 3185.2837),(38 3221.7273),(39 3253.715),(40 3214.7913),(41 3213.9927),(42 3222.1714),(43 3208.867),(44 3221.2317),(45 3196.5767),(46 3158.4463),(47 3184.4739),(48 3139.8008),(49 3142.0664),(50 3148.7158),(51 3163.2383),(52 3148.474),(53 3201.1106),(54 3161.9468),(55 3184.5972),(56 3202.17),(57 3170.6597),(58 3164.3743),(59 3184.6882),(60 3181.2747),(61 3203.667),(62 3241.9116),(63 3262.2227),(64 3253.8342),(65 3297.9377),(66 3300.7285),(67 3265.9504),(68 3332.3499),(69 3355.2085),(70 3319.3628),(71 3320.744),(72 3303.6033),(73 3339.8513),(74 3320.621),(75 3331.9878),(76 3350.6536),(77 3336.957),(78 3337.8123),(79 3360.7905),
(1 1694.9335),(2 2026.1954),(3 2084.3398),(4 2175.52),(5 2213.8552),(6 2253.7278),(7 2274.9827),(8 2340.6394),(9 2386.431),(10 2359.2043),(11 2403.5195),(12 2415.05),(13 2462.2107),(14 2480.0295),(15 2513.9595),(16 2557.771),(17 2582.5886),(18 2617.9966),(19 2657.914),(20 2699.1875),(21 2668.3967),(22 2752.1975),(23 2802.461),(24 2777.022),(25 2783.7217),(26 2792.1157),(27 2781.4043),(28 2787.3445),(29 2806.6797),(30 2851.3396),(31 2884.3079),(32 2901.4158),(33 2936.3342),(34 2978.5632),(35 2989.6814),(36 3031.4402),(37 3008.7122),(38 3056.631),(39 3076.8394),(40 3060.9004),(41 3080.2493),(42 3104.4946),(43 3093.7195),(44 3093.1277),(45 3076.9053),(46 3067.866),(47 3073.5237),(48 2999.201),(49 3034.704),(50 3008.623),(51 3005.2898),(52 3026.7178),(53 3050.9932),(54 3029.0044),(55 3073.6328),(56 3064.8923),(57 3031.4922),(58 3010.6057),(59 3042.4465),(60 3076.8647),(61 3065.7275),(62 3034.4646),(63 3086.7578),(64 3060.511),(65 3088.4932),(66 3092.534),(67 3113.174),(68 3141.8406),(69 3135.6296),(70 3159.4207),(71 3163.0906),(72 3158.9329),(73 3190.3076),(74 3164.5774),(75 3164.8726),(76 3143.9246),(77 3147.2117),(78 3156.8157),(79 3199.884),
(1 1672.9495),(2 1960.8234),(3 2085.4587),(4 2143.165),(5 2159.1448),(6 2204.028),(7 2245.5862),(8 2267.4236),(9 2336.3086),(10 2300.0369),(11 2323.4333),(12 2366.1528),(13 2385.115),(14 2406.576),(15 2447.2678),(16 2450.8345),(17 2498.69),(18 2525.4897),(19 2560.6707),(20 2566.0405),(21 2576.1228),(22 2630.9377),(23 2669.6116),(24 2653.4824),(25 2729.3738),(26 2709.5896),(27 2752.3865),(28 2753.4814),(29 2788.6316),(30 2796.6074),(31 2825.958),(32 2847.6528),(33 2902.1924),(34 2913.7424),(35 2943.938),(36 2962.9104),(37 2939.6685),(38 3018.2393),(39 3000.0427),(40 2956.9614),(41 3006.3992),(42 3016.5776),(43 3002.7708),(44 3021.2568),(45 2969.0308),(46 2974.7876),(47 2931.6917),(48 2901.0527),(49 2937.5889),(50 2938.1094),(51 2915.2922),(52 2915.1016),(53 2970.6016),(54 2955.8843),(55 2968.759),(56 2979.2905),(57 2973.7205),(58 2963.9116),(59 2975.894),(60 2998.8132),(61 2945.7444),(62 3003.1353),(63 3004.563),(64 3004.8298),(65 3013.0232),(66 3015.138),(67 3030.0554),(68 3075.585),(69 3076.2952),(70 3085.1238),(71 3089.533),(72 3093.136),(73 3094.03),(74 3097.5308),(75 3087.416),(76 3076.0872),(77 3076.4465),(78 3067.7444),(79 3106.1992),
(1 1635.772),(2 1893.569),(3 1994.6919),(4 2051.0593),(5 2079.9578),(6 2136.6594),(7 2136.0557),(8 2192.518),(9 2243.67),(10 2246.7913),(11 2278.5615),(12 2272.8472),(13 2351.1572),(14 2393.9153),(15 2417.1162),(16 2394.3733),(17 2405.2969),(18 2451.7292),(19 2483.212),(20 2498.5847),(21 2512.7827),(22 2554.7278),(23 2635.6563),(24 2623.0732),(25 2663.047),(26 2705.5579),(27 2753.5747),(28 2716.1772),(29 2739.712),(30 2771.0854),(31 2775.831),(32 2823.8909),(33 2837.247),(34 2868.206),(35 2897.278),(36 2887.6306),(37 2901.6326),(38 2910.2554),(39 2922.107),(40 2896.9548),(41 2942.2334),(42 2937.7576),(43 2948.2341),(44 2945.9553),(45 2906.6245),(46 2895.2622),(47 2901.9268),(48 2868.988),(49 2861.1682),(50 2875.276),(51 2889.524),(52 2861.0605),(53 2877.256),(54 2858.9194),(55 2859.5122),(56 2879.7976),(57 2885.4797),(58 2874.605),(59 2881.8645),(60 2893.495),(61 2943.7253),(62 2920.0852),(63 2939.4285),(64 2944.9133),(65 2941.6484),(66 2932.605),(67 2929.625),(68 2974.671),(69 2990.6074),(70 2994.6606),(71 3007.051),(72 3014.789),(73 3040.3694),(74 3018.513),(75 3034.371),(76 3042.5933),(77 3088.3057),(78 3062.9502),(79 3075.0938),
(1 1625.0919),(2 1910.227),(3 2002.5695),(4 2074.4172),(5 2083.837),(6 2143.6497),(7 2186.6714),(8 2200.6904),(9 2227.8396),(10 2219.624),(11 2279.4924),(12 2323.95),(13 2353.8508),(14 2377.8557),(15 2419.1113),(16 2460.092),(17 2494.4475),(18 2517.2964),(19 2585.8057),(20 2545.6008),(21 2556.7815),(22 2619.084),(23 2652.391),(24 2629.8296),(25 2636.323),(26 2651.8574),(27 2705.366),(28 2701.7205),(29 2722.1812),(30 2732.3647),(31 2766.7988),(32 2816.471),(33 2825.9631),(34 2841.0815),(35 2850.707),(36 2873.1196),(37 2915.096),(38 2940.2039),(39 2978.7627),(40 2947.349),(41 2969.026),(42 2979.203),(43 2991.4004),(44 2996.1355),(45 2980.184),(46 2931.2275),(47 2936.371),(48 2930.3013),(49 2879.8503),(50 2905.1956),(51 2906.2925),(52 2880.823),(53 2894.954),(54 2907.3635),(55 2917.6763),(56 2928.235),(57 2924.4553),(58 2935.8423),(59 2952.012),(60 2953.1094),(61 2961.2913),(62 2958.403),(63 2964.4172),(64 2970.3586),(65 2968.1897),(66 2978.4546),(67 2981.2292),(68 3030.3096),(69 2996.9214),(70 3005.984),(71 3032.0244),(72 3053.489),(73 3024.9626),(74 3025.4607),(75 3006.4658),(76 3000.364),(77 3009.5952),(78 2994.3826),(79 2990.32),
(1 1592.1781),(2 1879.147),(3 1950.6799),(4 2014.2551),(5 2028.928),(6 2062.6523),(7 2113.9563),(8 2175.8845),(9 2178.1536),(10 2183.234),(11 2207.1436),(12 2239.2144),(13 2318.2341),(14 2304.9788),(15 2343.469),(16 2384.1006),(17 2412.1255),(18 2421.1704),(19 2471.916),(20 2484.6113),(21 2523.497),(22 2544.484),(23 2573.4094),(24 2563.1492),(25 2596.6643),(26 2609.8008),(27 2613.905),(28 2677.0703),(29 2688.2666),(30 2747.8557),(31 2731.225),(32 2765.7224),(33 2784.362),(34 2793.3828),(35 2808.5212),(36 2832.2097),(37 2840.451),(38 2905.5454),(39 2882.9888),(40 2860.9253),(41 2885.5806),(42 2896.3728),(43 2876.4727),(44 2879.596),(45 2842.4683),(46 2874.9087),(47 2859.9243),(48 2834.9263),(49 2794.7673),(50 2818.0278),(51 2793.114),(52 2769.757),(53 2771.1477),(54 2797.9827),(55 2818.0215),(56 2817.8777),(57 2808.2048),(58 2789.5566),(59 2837.773),(60 2836.6033),(61 2832.38),(62 2837.8442),(63 2850.4055),(64 2879.2483),(65 2866.1626),(66 2878.8325),(67 2903.976),(68 2933.3608),(69 2954.4023),(70 2947.9465),(71 2952.4053),(72 2981.175),(73 3003.9849),(74 2975.5774),(75 2989.924),(76 2984.4448),(77 2962.1338),(78 2976.7913),(79 2987.7634),
(1 1567.815),(2 1854.5575),(3 1951.7407),(4 1983.1708),(5 2037.7488),(6 2074.8506),(7 2094.704),(8 2134.093),(9 2187.5757),(10 2190.923),(11 2204.6099),(12 2228.2998),(13 2269.6414),(14 2258.991),(15 2284.2534),(16 2350.1692),(17 2385.7854),(18 2421.6907),(19 2449.6387),(20 2465.9175),(21 2483.3215),(22 2513.2527),(23 2523.2341),(24 2528.9075),(25 2588.4539),(26 2614.0222),(27 2640.5288),(28 2657.155),(29 2626.9094),(30 2657.957),(31 2696.588),(32 2721.6926),(33 2763.2437),(34 2759.7734),(35 2781.0647),(36 2789.1091),(37 2819.369),(38 2865.9602),(39 2829.3982),(40 2847.832),(41 2863.1458),(42 2883.84),(43 2847.865),(44 2845.713),(45 2851.9995),(46 2840.808),(47 2836.9878),(48 2821.6563),(49 2828.2944),(50 2796.028),(51 2814.458),(52 2798.0203),(53 2856.8108),(54 2850.923),(55 2854.426),(56 2820.2004),(57 2798.079),(58 2844.1335),(59 2850.5356),(60 2853.2214),(61 2874.0454),(62 2903.9631),(63 2931.2366),(64 2934.1626),(65 2898.8604),(66 2875.0864),(67 2913.4026),(68 2983.7317),(69 2956.6816),(70 2953.5605),(71 2974.0981),(72 2981.183),(73 2989.853),(74 3009.4482),(75 3020.0422),(76 3031.0198),(77 3028.119),(78 3016.9402),(79 3008.829),
(1 1574.5488),(2 1841.4083),(3 1909.0768),(4 1980.6401),(5 2010.1589),(6 2032.0098),(7 2072.1702),(8 2128.0266),(9 2161.3965),(10 2166.947),(11 2202.541),(12 2239.0151),(13 2230.727),(14 2275.0383),(15 2302.504),(16 2346.083),(17 2380.4392),(18 2435.8535),(19 2447.7368),(20 2486.536),(21 2509.4592),(22 2515.7861),(23 2536.8723),(24 2563.71),(25 2590.276),(26 2595.9426),(27 2646.7092),(28 2656.7065),(29 2646.3562),(30 2706.3499),(31 2718.2034),(32 2762.4333),(33 2800.4216),(34 2809.0098),(35 2834.7778),(36 2851.5452),(37 2871.9658),(38 2966.0352),(39 2921.335),(40 2935.6902),(41 2927.428),(42 2929.575),(43 2911.7446),(44 2896.4128),(45 2884.09),(46 2860.8252),(47 2863.5217),(48 2846.8616),(49 2834.1392),(50 2827.674),(51 2814.8877),(52 2822.6628),(53 2860.4297),(54 2869.3635),(55 2878.7803),(56 2840.9702),(57 2850.2327),(58 2875.0684),(59 2882.1423),(60 2889.4314),(61 2892.1567),(62 2940.6587),(63 2976.1858),(64 2990.519),(65 3016.8252),(66 3023.0564),(67 3031.9988),(68 3058.4246),(69 3061.6963),(70 3096.4326),(71 3101.5217),(72 3123.0752),(73 3127.0488),(74 3121.7534),(75 3139.6716),(76 3151.0466),(77 3139.3855),(78 3151.9558),(79 3162.9265),
(1 1514.3855),(2 1772.9781),(3 1841.1134),(4 1938.676),(5 1958.6483),(6 1992.4325),(7 2008.8411),(8 2061.1577),(9 2102.861),(10 2127.669),(11 2131.4663),(12 2193.858),(13 2212.6677),(14 2221.2446),(15 2276.8728),(16 2299.072),(17 2322.6794),(18 2338.8115),(19 2351.8804),(20 2380.6018),(21 2383.4841),(22 2403.3093),(23 2450.2407),(24 2426.6365),(25 2476.7651),(26 2480.0815),(27 2521.339),(28 2540.2444),(29 2516.2373),(30 2562.6008),(31 2595.845),(32 2598.1494),(33 2652.3015),(34 2697.8882),(35 2670.8347),(36 2713.553),(37 2743.6665),(38 2785.6118),(39 2831.822),(40 2798.1792),(41 2786.5073),(42 2798.9688),(43 2819.9058),(44 2804.7358),(45 2790.2292),(46 2767.4614),(47 2772.3416),(48 2767.637),(49 2742.1826),(50 2723.0266),(51 2760.9924),(52 2705.4797),(53 2741.443),(54 2762.651),(55 2737.0493),(56 2724.946),(57 2707.4243),(58 2725.2607),(59 2757.8389),(60 2734.2),(61 2777.756),(62 2777.597),(63 2822.7317),(64 2812.5332),(65 2832.186),(66 2851.6404),(67 2859.8252),(68 2919.7266),(69 2907.003),(70 2916.9316),(71 2943.4321),(72 2908.8083),(73 2916.3926),(74 2929.9893),(75 2931.5972),(76 2907.199),(77 2925.558),(78 2938.8728),(79 2963.5828),
(1 1487.205),(2 1748.9901),(3 1848.4766),(4 1924.3914),(5 1947.7185),(6 1991.6633),(7 2019.1001),(8 2077.8616),(9 2109.8396),(10 2133.1409),(11 2138.04),(12 2150.5503),(13 2199.371),(14 2226.573),(15 2220.5574),(16 2265.9568),(17 2315.9688),(18 2332.9426),(19 2330.597),(20 2341.9558),(21 2310.0608),(22 2388.744),(23 2447.9404),(24 2420.1816),(25 2479.8135),(26 2464.55),(27 2486.9646),(28 2519.2114),(29 2523.788),(30 2554.4238),(31 2556.3174),(32 2608.606),(33 2610.7688),(34 2687.981),(35 2694.2476),(36 2741.0642),(37 2745.9058),(38 2790.7566),(39 2803.3079),(40 2800.089),(41 2801.1187),(42 2793.0525),(43 2759.3164),(44 2733.5417),(45 2726.2039),(46 2764.6106),(47 2737.45),(48 2712.6252),(49 2714.524),(50 2689.632),(51 2690.1313),(52 2682.4072),(53 2706.7249),(54 2722.168),(55 2711.9736),(56 2718.7107),(57 2747.476),(58 2752.6663),(59 2751.5945),(60 2761.6582),(61 2764.9531),(62 2770.4812),(63 2820.5093),(64 2870.4138),(65 2889.536),(66 2855.4812),(67 2874.7146),(68 2908.9248),(69 2927.0757),(70 2924.0117),(71 2937.1763),(72 2935.2112),(73 2924.1548),(74 2936.7356),(75 2939.7917),(76 2944.945),(77 2927.5603),(78 2935.0605),(79 2967.2136),
(1 1502.4551),(2 1759.0988),(3 1807.2262),(4 1841.1353),(5 1905.7821),(6 1933.6353),(7 1938.2006),(8 1998.0845),(9 2036.8529),(10 2038.0679),(11 2086.147),(12 2101.4043),(13 2116.6628),(14 2162.4456),(15 2198.055),(16 2201.908),(17 2241.4902),(18 2287.755),(19 2319.4822),(20 2338.6648),(21 2330.811),(22 2396.1445),(23 2414.517),(24 2421.7761),(25 2465.5483),(26 2497.297),(27 2527.147),(28 2523.1458),(29 2506.2666),(30 2559.734),(31 2603.149),(32 2629.4636),(33 2645.5476),(34 2688.0627),(35 2705.6687),(36 2741.7087),(37 2738.7454),(38 2794.904),(39 2813.288),(40 2781.5378),(41 2804.8071),(42 2834.9128),(43 2833.5186),(44 2828.162),(45 2799.7334),(46 2802.5273),(47 2776.551),(48 2755.8916),(49 2731.3196),(50 2713.0015),(51 2722.0151),(52 2720.0732),(53 2715.1636),(54 2691.9888),(55 2704.5132),(56 2708.1494),(57 2727.5173),(58 2710.0083),(59 2704.9106),(60 2733.7087),(61 2744.0535),(62 2720.5261),(63 2751.9353),(64 2776.0222),(65 2804.9219),(66 2780.233),(67 2795.9968),(68 2810.2017),(69 2845.69),(70 2848.271),(71 2863.2988),(72 2859.0583),(73 2863.1401),(74 2878.728),(75 2910.8018),(76 2883.4868),(77 2893.881),(78 2893.26),(79 2930.7844),
