1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 105119.85),(2 383542.75),(3 790147.44),(4 1308824.1),(5 1935842),(6 2659544.3),(7 3500682.3),(8 4461846.5),(9 5466402.5),(10 6459394.5),(11 7467367.5),(12 8499078),(13 9580686),(14 10735294),(15 12029451),(16 13484265),(17 15023623),(18 16706335),(19 18399662),(20 19914742),(21 21464154),(22 23073536),(23 24714462),(24 26412838),(25 28266976),(26 30228832),(27 32257658),(28 34150964),(29 35829908),(30 37552224),(31 39402356),(32 41225188),(33 43079420),(34 45046476),(35 46878716),(36 48661790),(37 50211444),(38 51518540),(39 52510060),(40 53373972),(41 54247596),(42 55209250),(43 56150830),(44 56849536),(45 57419716),(46 57703852),(47 57821804),(48 57788796),(49 57971388),(50 58464204),(51 59289268),(52 60248948),(53 61439316),(54 62540450),(55 63855550),(56 65610948),(57 67759304),(58 70289270),(59 72770330),(60 75084230),(61 77504984),(62 79805690),(63 82138200),(64 84417220),(65 87472744),(66 91047070),(67 94609540),(68 98122264),(69 101575720),(70 105442616),(71 109411780),(72 113393704),(73 117048600),(74 120374936),(75 123608200),(76 126455960),(77 128834460),(78 130826696),(79 132405760),
(1 795.4718),(2 1003.7231),(3 1105.357),(4 1210.1769),(5 1305.8712),(6 1386.1768),(7 1471.2859),(8 1574.7828),(9 1630.5891),(10 1705.5774),(11 1750.8063),(12 1794.8944),(13 1844.1804),(14 1864.3179),(15 1893.9143),(16 1910.78),(17 1914.3594),(18 1914.9432),(19 1943.134),(20 1956.8505),(21 1955.384),(22 1974.3578),(23 2003.5707),(24 2007.8092),(25 2011.2549),(26 2012.547),(27 2037.573),(28 2052.0488),(29 2049.6448),(30 2041.3314),(31 2043.9852),(32 2062.5413),(33 2079.2185),(34 2085.403),(35 2097.5447),(36 2110.497),(37 2124.71),(38 2124.8572),(39 2145.8718),(40 2160.997),(41 2177.46),(42 2177.275),(43 2204.7478),(44 2199.4902),(45 2203.151),(46 2202.7698),(47 2162.1262),(48 2169.0688),(49 2148.9692),(50 2148.325),(51 2134.957),(52 2090.2966),(53 2090.8303),(54 2057.4465),(55 2025.3837),(56 2009.9872),(57 2003.2203),(58 2004.2902),(59 1995.9728),(60 1971.0337),(61 1967.1693),(62 1949.4608),(63 1941.1592),(64 1961.7831),(65 1953.6807),(66 1963.6278),(67 1954.2542),(68 1975.2386),(69 1961.1036),(70 1959.1816),(71 1975.3347),(72 1963.5011),(73 1957.7722),(74 1945.2937),(75 1948.4338),(76 1943.5156),(77 1943.863),(78 1945.5682),(79 1969.1345),
(1 757.18884),(2 958.3314),(3 1054.5563),(4 1162.6953),(5 1264.5051),(6 1334.969),(7 1402.559),(8 1495.8102),(9 1575.5863),(10 1646.4318),(11 1714.025),(12 1764.3578),(13 1812.4889),(14 1848.6718),(15 1876.411),(16 1884.044),(17 1923.1211),(18 1927.2974),(19 1936.1244),(20 1937.5437),(21 1942.7073),(22 1951.7828),(23 1991.216),(24 1972.6069),(25 1996.2172),(26 2003.1079),(27 1993.1581),(28 1994.9838),(29 1990.4524),(30 1981.9642),(31 1986.6356),(32 1988.3062),(33 1987.4014),(34 1993.2761),(35 2021.6792),(36 2031.1486),(37 2036.8384),(38 2067.7427),(39 2069.0815),(40 2074.506),(41 2076.082),(42 2094.0046),(43 2101.3276),(44 2064.8672),(45 2069.7188),(46 2089.6558),(47 2070.653),(48 2064.4197),(49 2052.4717),(50 2032.5416),(51 2017.9448),(52 2003.4319),(53 1988.0137),(54 1986.4797),(55 1958.6511),(56 1946.0251),(57 1908.1755),(58 1896.0107),(59 1866.3744),(60 1861.0139),(61 1863.7343),(62 1865.2616),(63 1881.4661),(64 1854.087),(65 1875.3395),(66 1877.6061),(67 1861.7125),(68 1870.2423),(69 1868.8221),(70 1872.3978),(71 1863.2643),(72 1866.7325),(73 1882.4564),(74 1873.1893),(75 1874.7678),(76 1882.6836),(77 1882.3628),(78 1891.3433),(79 1905.8317),
(1 782.1935),(2 977.69214),(3 1059.1975),(4 1165.3958),(5 1232.4108),(6 1310.9978),(7 1353.0818),(8 1447.1393),(9 1506.6805),(10 1574.3701),(11 1624.7072),(12 1676.4264),(13 1721.3641),(14 1753.5095),(15 1768.0398),(16 1770.2501),(17 1785.4775),(18 1786.4982),(19 1802.5098),(20 1819.177),(21 1825.9584),(22 1826.7642),(23 1863.7189),(24 1864.9089),(25 1906.9088),(26 1899.933),(27 1915.6078),(28 1921.8818),(29 1922.0244),(30 1919.6165),(31 1911.4508),(32 1946.4683),(33 1942.4252),(34 1960.5519),(35 1977.4697),(36 1989.6116),(37 1991.2808),(38 2033.272),(39 2035.991),(40 2044.5193),(41 2051.9514),(42 2085.288),(43 2091.5176),(44 2075.041),(45 2067.9937),(46 2055.1416),(47 2038.7306),(48 2023.6917),(49 2018.2175),(50 1998.7148),(51 1993.9203),(52 1975.0907),(53 1973.8132),(54 1974.6748),(55 1949.7902),(56 1933.5833),(57 1901.9167),(58 1877.3893),(59 1851.29),(60 1838.1909),(61 1856.6533),(62 1847.7676),(63 1864.0936),(64 1864.0435),(65 1878.6052),(66 1883.208),(67 1863.7477),(68 1893.8093),(69 1909.0775),(70 1907.2397),(71 1920.9382),(72 1925.5786),(73 1916.4617),(74 1902.8335),(75 1884.8195),(76 1883.0349),(77 1902.9662),(78 1893.223),(79 1893.4551),
(1 748.67346),(2 939.2295),(3 1039.8143),(4 1130.5413),(5 1202.8228),(6 1282.5052),(7 1347.4528),(8 1436.8726),(9 1478.5859),(10 1549.2396),(11 1596.8542),(12 1648.5111),(13 1684.0903),(14 1714.3206),(15 1743.967),(16 1752.084),(17 1772.9954),(18 1767.4349),(19 1790.5992),(20 1789.1694),(21 1793.6317),(22 1786.9403),(23 1815.7002),(24 1820.7622),(25 1851.391),(26 1853.7639),(27 1855.1155),(28 1864.0076),(29 1870.6232),(30 1883.9976),(31 1883.9374),(32 1918.6769),(33 1923.5519),(34 1953.2281),(35 1946.3561),(36 1966.4321),(37 1955.1436),(38 1984.8843),(39 1982.1674),(40 1986.024),(41 1986.2203),(42 2008.9894),(43 2018.5558),(44 2015.6196),(45 2016.6343),(46 1991.6309),(47 1994.3525),(48 1979.7622),(49 1977.8417),(50 1959.6918),(51 1946.923),(52 1934.6602),(53 1923.2896),(54 1907.0625),(55 1896.0972),(56 1873.2616),(57 1867.39),(58 1845.338),(59 1839.4685),(60 1844.5459),(61 1849.3193),(62 1875.0253),(63 1867.7638),(64 1878.0361),(65 1869.1039),(66 1862.832),(67 1857.6838),(68 1891.267),(69 1881.0244),(70 1896.375),(71 1895.9271),(72 1898.8047),(73 1903.107),(74 1884.5452),(75 1900.6998),(76 1889.254),(77 1893.3574),(78 1880.4117),(79 1877.1451),
(1 745.28864),(2 940.56573),(3 1041.9863),(4 1128.0458),(5 1207.413),(6 1291.1661),(7 1371.9369),(8 1467.9268),(9 1522.8129),(10 1571.1947),(11 1615.2408),(12 1650.7703),(13 1701.9744),(14 1717.4093),(15 1744.3319),(16 1736.8706),(17 1765.9524),(18 1749.7493),(19 1741.2213),(20 1762.4948),(21 1759.8466),(22 1764.451),(23 1781.2347),(24 1786.8486),(25 1785.0614),(26 1775.6141),(27 1780.9982),(28 1772.4103),(29 1781.1248),(30 1790.4553),(31 1790.6132),(32 1801.089),(33 1810.1005),(34 1826.7761),(35 1831.3374),(36 1819.5258),(37 1839.9773),(38 1849.9215),(39 1865.071),(40 1878.4491),(41 1885.6151),(42 1898.2925),(43 1892.4172),(44 1900.3586),(45 1910.4706),(46 1911.719),(47 1891.7434),(48 1892.2798),(49 1890.311),(50 1881.1189),(51 1882.1024),(52 1874.3632),(53 1882.0903),(54 1873.0298),(55 1877.8844),(56 1874.778),(57 1858.2021),(58 1829.1945),(59 1813.1882),(60 1819.1349),(61 1823.9503),(62 1828.0309),(63 1841.1592),(64 1853.5714),(65 1834.8651),(66 1848.6582),(67 1848.6431),(68 1856.4832),(69 1856.9047),(70 1863.3567),(71 1851.5684),(72 1843.295),(73 1850.1024),(74 1855.785),(75 1879.3981),(76 1857.6652),(77 1849.7244),(78 1849.5734),(79 1845.365),
(1 730.3336),(2 920.46423),(3 1009.6972),(4 1106.3765),(5 1175.3838),(6 1234.4731),(7 1305.7325),(8 1396.2295),(9 1456.6904),(10 1513.3473),(11 1536.308),(12 1589.4971),(13 1634.165),(14 1659.9031),(15 1684.9856),(16 1700.2018),(17 1727.6389),(18 1725.1887),(19 1739.0177),(20 1773.666),(21 1764.0695),(22 1743.7009),(23 1784.5344),(24 1793.9691),(25 1804.3708),(26 1788.7675),(27 1810.5615),(28 1792.0956),(29 1798.6803),(30 1807.0121),(31 1798.6251),(32 1804.3795),(33 1800.6282),(34 1819.8396),(35 1823.1316),(36 1806.67),(37 1828.4218),(38 1839.8151),(39 1859.638),(40 1862.2811),(41 1850.7294),(42 1873.9755),(43 1854.7008),(44 1856.2572),(45 1866.9661),(46 1876.3264),(47 1873.3035),(48 1867.3882),(49 1867),(50 1850.9353),(51 1839.255),(52 1819.7399),(53 1817.8262),(54 1797.5339),(55 1809.5056),(56 1795.208),(57 1782.7266),(58 1773.1504),(59 1774.1863),(60 1776.862),(61 1781.7117),(62 1775.4504),(63 1799.3405),(64 1814.9465),(65 1817.6807),(66 1822.4386),(67 1837.4297),(68 1836.944),(69 1847.3088),(70 1834.9518),(71 1848.2045),(72 1835.1268),(73 1833.9092),(74 1826.9636),(75 1826.1177),(76 1827.1604),(77 1826.0989),(78 1825.8252),(79 1816.8868),
(1 715.22034),(2 887.06494),(3 980.2103),(4 1066.4535),(5 1131.357),(6 1191.6757),(7 1250.0714),(8 1334.0884),(9 1383.4242),(10 1441.3336),(11 1467.1506),(12 1509.4945),(13 1547.8784),(14 1573.514),(15 1596.0596),(16 1606.0717),(17 1626.9747),(18 1635.7343),(19 1654.5139),(20 1666.1759),(21 1679.7911),(22 1676.2062),(23 1694.4492),(24 1686.3337),(25 1703.3921),(26 1707.2136),(27 1720.2286),(28 1721.9165),(29 1720.5505),(30 1732.0692),(31 1752.7384),(32 1771.2136),(33 1771.8319),(34 1787.9562),(35 1786.2902),(36 1793.747),(37 1813.4066),(38 1831.6162),(39 1839.2626),(40 1849.7625),(41 1841.4396),(42 1852.451),(43 1874.0427),(44 1871.565),(45 1889.5378),(46 1872.8192),(47 1874.7732),(48 1877.1448),(49 1875.1162),(50 1857.8177),(51 1840.4631),(52 1817.0096),(53 1835.6035),(54 1820.3989),(55 1803.9056),(56 1788.8167),(57 1777.8732),(58 1754.7286),(59 1733.3241),(60 1740.6377),(61 1753.803),(62 1747.4989),(63 1783.9692),(64 1775.2637),(65 1781.5504),(66 1777.3127),(67 1782.4504),(68 1784.972),(69 1795.8643),(70 1792.1344),(71 1787.6067),(72 1767.7097),(73 1762.8167),(74 1755.0498),(75 1747.9076),(76 1771.406),(77 1758.0426),(78 1760.8931),(79 1762.6652),
(1 703.7708),(2 873.16284),(3 975.36957),(4 1062.5308),(5 1148.7025),(6 1211.0361),(7 1256.0944),(8 1340.8688),(9 1386.5142),(10 1444.9421),(11 1461.6735),(12 1499.2361),(13 1529.5214),(14 1552.6678),(15 1588.7756),(16 1593.5255),(17 1615.8539),(18 1633.9835),(19 1649.6749),(20 1665.1725),(21 1661.3059),(22 1656.081),(23 1674.6708),(24 1682.0558),(25 1693.7908),(26 1667.5977),(27 1684.6023),(28 1673.566),(29 1675.6249),(30 1688.5872),(31 1705.1298),(32 1727.6654),(33 1738.1129),(34 1758.889),(35 1769.3187),(36 1791.1271),(37 1809.364),(38 1827.8154),(39 1831.6289),(40 1823.442),(41 1829.7448),(42 1829.5447),(43 1844.509),(44 1821.0864),(45 1813.726),(46 1774.3806),(47 1764.0845),(48 1758.1636),(49 1745.3528),(50 1748.4457),(51 1732.2959),(52 1727.633),(53 1714.8312),(54 1706.0564),(55 1685.9918),(56 1675.8066),(57 1665.3574),(58 1661.2805),(59 1648.0992),(60 1668.7948),(61 1662.026),(62 1675.4401),(63 1678.2006),(64 1691.1877),(65 1713.1903),(66 1721.3744),(67 1736.3308),(68 1772.9127),(69 1784.9557),(70 1771.7343),(71 1771.9),(72 1769.6498),(73 1768.4436),(74 1772.352),(75 1774.5101),(76 1765.8494),(77 1761.2363),(78 1762.6498),(79 1768.2472),
(1 679.64624),(2 832.7187),(3 935.22345),(4 1029.9946),(5 1093.04),(6 1170.5281),(7 1223.5094),(8 1284.5607),(9 1331.9097),(10 1379.5503),(11 1414.5029),(12 1446.2351),(13 1474.3203),(14 1481.7908),(15 1522.6053),(16 1517.832),(17 1534.8546),(18 1548.353),(19 1549.5833),(20 1572.8025),(21 1589.0328),(22 1590.8846),(23 1588.9716),(24 1594.7349),(25 1601.6039),(26 1605.8529),(27 1615.2657),(28 1616.2699),(29 1624.3654),(30 1624.2327),(31 1643.3016),(32 1644.1746),(33 1661.5933),(34 1669.9614),(35 1683.0654),(36 1702.8956),(37 1696.9922),(38 1722.4147),(39 1733.2917),(40 1742.6758),(41 1732.1176),(42 1731.3169),(43 1756.0508),(44 1754.9763),(45 1743.3436),(46 1731.2004),(47 1721.8329),(48 1722.9324),(49 1701.2338),(50 1688.0629),(51 1696.4916),(52 1696.5953),(53 1692.2153),(54 1682.3237),(55 1684.193),(56 1671.1019),(57 1666.8325),(58 1655.2257),(59 1653.1031),(60 1666.8572),(61 1660.8502),(62 1673.6421),(63 1690.6061),(64 1705.6206),(65 1706.2528),(66 1710.2961),(67 1720.9812),(68 1751.533),(69 1755.8732),(70 1750.9236),(71 1759.2052),(72 1745.7925),(73 1750.3677),(74 1743.0693),(75 1749.257),(76 1750.4167),(77 1742.1699),(78 1731.5684),(79 1723.501),
(1 678.2646),(2 839.20496),(3 942.55945),(4 1047.3058),(5 1114.1619),(6 1172.5144),(7 1235.5726),(8 1304.9382),(9 1357.2878),(10 1412.7651),(11 1438.2013),(12 1455.6166),(13 1487.86),(14 1509.0554),(15 1527.6484),(16 1525.7416),(17 1550.3425),(18 1564.7),(19 1579.625),(20 1601.2946),(21 1608.1279),(22 1594.3485),(23 1620.1129),(24 1614.1298),(25 1622.4587),(26 1636.1273),(27 1646.6063),(28 1630.5348),(29 1632.6368),(30 1637.0298),(31 1642.7808),(32 1640.7911),(33 1659.4636),(34 1676.3297),(35 1697.8043),(36 1713.3708),(37 1712.1666),(38 1720.7959),(39 1724.8121),(40 1727.2178),(41 1710.7421),(42 1722.8151),(43 1738.9022),(44 1749.6946),(45 1755.6251),(46 1734.5941),(47 1728.9045),(48 1732.5197),(49 1711.5873),(50 1713.2388),(51 1702.718),(52 1698.8019),(53 1697.9836),(54 1677.3878),(55 1675.9454),(56 1652.8184),(57 1651.5702),(58 1658.0573),(59 1653.4552),(60 1667.7598),(61 1656.4614),(62 1681.2388),(63 1713.0016),(64 1708.7603),(65 1712.1488),(66 1707.4836),(67 1718.85),(68 1747.1285),(69 1761.0411),(70 1788.1993),(71 1774.6549),(72 1769.6118),(73 1780.2662),(74 1777.8141),(75 1779.4368),(76 1768.352),(77 1784.3014),(78 1791.8394),(79 1795.9205),
(1 671.9191),(2 842.49603),(3 936.5552),(4 1011.4299),(5 1074.474),(6 1140.3291),(7 1193.8839),(8 1272.0708),(9 1324.9473),(10 1377.321),(11 1412.4266),(12 1454.606),(13 1479.1083),(14 1497.6056),(15 1520.62),(16 1529.617),(17 1552.097),(18 1567.2377),(19 1576.223),(20 1585.7222),(21 1585.4347),(22 1597.9443),(23 1612.4724),(24 1618.5596),(25 1619.3384),(26 1632.3086),(27 1627.0131),(28 1628.9551),(29 1636.8892),(30 1644.7815),(31 1653.8983),(32 1656.8256),(33 1662.8665),(34 1664.3472),(35 1668.1318),(36 1673.915),(37 1677.0048),(38 1702.4044),(39 1710.723),(40 1720.0496),(41 1698.222),(42 1706.0928),(43 1713.309),(44 1724.4657),(45 1737.1514),(46 1715.101),(47 1701.5845),(48 1701.1409),(49 1689.7975),(50 1686.3185),(51 1671.4647),(52 1658.6859),(53 1662.9258),(54 1648.0172),(55 1649.9834),(56 1638.6943),(57 1621.254),(58 1606.2976),(59 1618.7455),(60 1615.6985),(61 1624.6085),(62 1627.5178),(63 1615.6967),(64 1620.168),(65 1620.0098),(66 1612.9587),(67 1608.8728),(68 1645.8763),(69 1650.8833),(70 1650.4332),(71 1660.2008),(72 1651.4572),(73 1655.4462),(74 1641.7338),(75 1639.7155),(76 1654.8619),(77 1638.7306),(78 1644.4849),(79 1660.1027),
(1 666.40265),(2 835.26196),(3 920.0466),(4 994.6548),(5 1073.925),(6 1134.1119),(7 1198.3923),(8 1287.8751),(9 1337.2932),(10 1385.1573),(11 1423.723),(12 1464.3822),(13 1493.8353),(14 1506.645),(15 1534.9249),(16 1541.5978),(17 1561.6003),(18 1563.4246),(19 1579.5555),(20 1603.6274),(21 1613.7468),(22 1624.4987),(23 1631.3619),(24 1614.52),(25 1625.988),(26 1628.1632),(27 1636.0223),(28 1626.5105),(29 1624.1675),(30 1624.6593),(31 1628.056),(32 1636.5481),(33 1638.6505),(34 1643.4008),(35 1642.0568),(36 1657.943),(37 1665.2244),(38 1701.699),(39 1702.918),(40 1727.9231),(41 1725.6659),(42 1714.6735),(43 1713.0569),(44 1718.3279),(45 1720.8555),(46 1706.8578),(47 1700.136),(48 1704.5938),(49 1689.0347),(50 1674.3038),(51 1671.7281),(52 1679.4408),(53 1671.6841),(54 1656.4115),(55 1642.0254),(56 1628.0704),(57 1622.0222),(58 1594.0931),(59 1597.3643),(60 1594.7446),(61 1589.7257),(62 1574.838),(63 1570.4983),(64 1579.8967),(65 1594.6936),(66 1588.0592),(67 1591.741),(68 1630.7263),(69 1641.2393),(70 1626.4545),(71 1641.9),(72 1651.7941),(73 1652.8156),(74 1654.5338),(75 1642.5406),(76 1632.4584),(77 1640.4591),(78 1633.4084),(79 1639.3163),
(1 664.30444),(2 825.7446),(3 926.60626),(4 1009.0923),(5 1085.7617),(6 1160.7831),(7 1212.7761),(8 1302.0697),(9 1346.9487),(10 1394.1041),(11 1436.2728),(12 1479.1509),(13 1504.8381),(14 1533.7692),(15 1555.4823),(16 1570.0963),(17 1588.4939),(18 1608.3428),(19 1612.3501),(20 1618.858),(21 1626.252),(22 1638.068),(23 1652.299),(24 1643.8812),(25 1665.525),(26 1654.1003),(27 1671.3171),(28 1670.6459),(29 1661.3265),(30 1660.0148),(31 1672.9224),(32 1673.8788),(33 1675.344),(34 1686.1133),(35 1690.6432),(36 1684.2413),(37 1681.1432),(38 1702.2661),(39 1693.4816),(40 1707.5142),(41 1729.7977),(42 1731.1128),(43 1715.1537),(44 1711.2556),(45 1691.9127),(46 1689.456),(47 1681.769),(48 1705.0637),(49 1692.8918),(50 1684.3259),(51 1670.1234),(52 1660.2546),(53 1651.5542),(54 1638.1749),(55 1622.2521),(56 1619.8914),(57 1603.1226),(58 1582.7515),(59 1586.513),(60 1587.9531),(61 1586.2429),(62 1590.449),(63 1625.7554),(64 1622.5048),(65 1643.3511),(66 1644.8247),(67 1644.9834),(68 1689.6516),(69 1685.7577),(70 1701.3025),(71 1690.6462),(72 1701.2832),(73 1695.0413),(74 1683.7511),(75 1672.7076),(76 1673.9928),(77 1685.7605),(78 1687.3087),(79 1694.4176),
(1 629.7943),(2 779.23846),(3 864.8619),(4 937.6),(5 1019.9625),(6 1089.8125),(7 1149.7456),(8 1226.4927),(9 1273.3708),(10 1311.8813),(11 1357.364),(12 1383.4747),(13 1413.7756),(14 1434.0775),(15 1455.7052),(16 1465.5233),(17 1482.9329),(18 1485.0482),(19 1493.9434),(20 1499.1555),(21 1499.3158),(22 1502.8364),(23 1510.9008),(24 1507.722),(25 1504.5697),(26 1512.7947),(27 1523.2961),(28 1513.8505),(29 1509.7833),(30 1511.1886),(31 1497.3217),(32 1505.6381),(33 1504.6554),(34 1519.7323),(35 1524.4017),(36 1518.5044),(37 1529.2688),(38 1549.8829),(39 1554.4893),(40 1548.055),(41 1549.2474),(42 1545.4026),(43 1555.0159),(44 1537.0392),(45 1537.9641),(46 1525.3635),(47 1511.6688),(48 1516.0206),(49 1495.7211),(50 1497.8556),(51 1483.8308),(52 1494.7462),(53 1497.6653),(54 1491.4835),(55 1493.7205),(56 1503.1943),(57 1495.5065),(58 1481.2617),(59 1493.8932),(60 1476.0684),(61 1485.0865),(62 1497.256),(63 1510.5345),(64 1512.5973),(65 1538.2866),(66 1556.6559),(67 1546.1741),(68 1580.4304),(69 1591.072),(70 1625.456),(71 1623.6057),(72 1654.1141),(73 1647.4762),(74 1643.3501),(75 1625.2738),(76 1629.3698),(77 1627.7682),(78 1620.2614),(79 1622.117),
(1 622.9948),(2 787.00073),(3 875.37036),(4 960.5829),(5 1023.32153),(6 1104.2087),(7 1160.5065),(8 1236.3429),(9 1293.5588),(10 1331.3539),(11 1387.8492),(12 1425.2487),(13 1471.6387),(14 1477.2468),(15 1505.1852),(16 1529.495),(17 1538.0061),(18 1547.8171),(19 1558.2191),(20 1561.0905),(21 1559.4939),(22 1560.3309),(23 1562.5978),(24 1560.74),(25 1581.3763),(26 1579.7971),(27 1591.8448),(28 1579.8525),(29 1599.441),(30 1601.3241),(31 1586.1464),(32 1585.1237),(33 1598.2709),(34 1595.752),(35 1608.7388),(36 1607.6156),(37 1613.1299),(38 1628.3447),(39 1642.1633),(40 1645.7699),(41 1651.3177),(42 1646.3583),(43 1658.7546),(44 1640.9768),(45 1634.3073),(46 1616.5598),(47 1599.7694),(48 1609.0511),(49 1585.9231),(50 1593.4917),(51 1582.0339),(52 1575.1647),(53 1571.6211),(54 1566.6637),(55 1563.5325),(56 1560.7883),(57 1551.0454),(58 1537.3961),(59 1530.9875),(60 1533.9928),(61 1525.0674),(62 1536.911),(63 1531.9122),(64 1525.6451),(65 1546.8461),(66 1547.022),(67 1548.4635),(68 1559.429),(69 1567.8981),(70 1580.2919),(71 1582.803),(72 1568.7063),(73 1597.9915),(74 1572.3893),(75 1580.0302),(76 1569.3032),(77 1568.2764),(78 1567.9464),(79 1566.2185),
(1 612.7384),(2 768.6512),(3 855.8403),(4 940.1695),(5 1008.9612),(6 1078.48),(7 1129.4597),(8 1202.6431),(9 1264.1772),(10 1299.3075),(11 1342.9248),(12 1383.7836),(13 1417.0651),(14 1434.0149),(15 1456.5365),(16 1452.4117),(17 1460.3715),(18 1458.9938),(19 1469.3245),(20 1459.0944),(21 1456.6714),(22 1461.3054),(23 1467.1903),(24 1475.8202),(25 1472.555),(26 1461.0422),(27 1483.4073),(28 1484.0402),(29 1478.155),(30 1489.348),(31 1474.8495),(32 1479.041),(33 1494.8096),(34 1494.6254),(35 1508.2448),(36 1504.2125),(37 1525.6464),(38 1551.6254),(39 1544.4673),(40 1552.8926),(41 1549.6233),(42 1560.5754),(43 1564.0829),(44 1561.8425),(45 1558.5323),(46 1558.312),(47 1542.5917),(48 1541.7152),(49 1540.0317),(50 1543.7057),(51 1549.4254),(52 1540.1365),(53 1529.0835),(54 1513.3547),(55 1512.6753),(56 1503.0859),(57 1494.6744),(58 1491.9778),(59 1475.0367),(60 1463.7842),(61 1452.4442),(62 1445.6724),(63 1448.1779),(64 1437.0648),(65 1446.6436),(66 1448.5154),(67 1468.833),(68 1479.7037),(69 1472.7053),(70 1477.0011),(71 1484.2876),(72 1480.2391),(73 1491.5983),(74 1470.9574),(75 1469.9681),(76 1473.1733),(77 1463.979),(78 1464.6862),(79 1452.4493),
