1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 33213.855),(2 75025.195),(3 120688.65),(4 210985.48),(5 305865.03),(6 395674.16),(7 529634.56),(8 673339.56),(9 808799.8),(10 979345.25),(11 1171606.6),(12 1339897.1),(13 1555535),(14 1779933.4),(15 1992041),(16 2225300.8),(17 2447550.3),(18 2629193.8),(19 2851365.3),(20 3061385.3),(21 3249289.3),(22 3479017),(23 3699746),(24 3870466.8),(25 4084592),(26 4271699),(27 4418308.5),(28 4615710),(29 4799177.5),(30 4935028.5),(31 5131132.5),(32 5287699.5),(33 5378388),(34 5507606),(35 5588674.5),(36 5608184),(37 5691800.5),(38 5729198),(39 5730804.5),(40 5777866),(41 5822493.5),(42 5803580),(43 5852676.5),(44 5856010.5),(45 5802332),(46 5817226.5),(47 5820552),(48 5776762.5),(49 5780932.5),(50 5743122.5),(51 5620889.5),(52 5570408),(53 5472834),(54 5318352.5),(55 5250413.5),(56 5164933.5),(57 5052503.5),(58 5030681),(59 4985744.5),(60 4876068),(61 4873158.5),(62 4829730.5),(63 4728872.5),(64 4726144),(65 4714505.5),(66 4633410),(67 4653644),(68 4647045.5),(69 4577639),(70 4593797.5),(71 4631774.5),(72 4605411.5),(73 4688881.5),(74 4762992.5),(75 4761488.5),(76 4863943.5),(77 4998761),(78 5040526.5),(79 5218821.5),
(1 1133.1842),(2 1275),(3 1359.1085),(4 1429.2876),(5 1452.5164),(6 1486.9493),(7 1559.6396),(8 1592.3019),(9 1646.6896),(10 1644.8014),(11 1634.7218),(12 1645.431),(13 1668.2115),(14 1720.5557),(15 1753.5896),(16 1738.595),(17 1719.3767),(18 1781.1199),(19 1768.8092),(20 1795.2031),(21 1781.7423),(22 1787.3271),(23 1807.3162),(24 1793.9135),(25 1794.0759),(26 1802.8274),(27 1797.3848),(28 1818.4277),(29 1800.6123),(30 1805.511),(31 1799.6885),(32 1812.5594),(33 1834.0494),(34 1864.3882),(35 1852.3221),(36 1828.7631),(37 1855.8175),(38 1838.4978),(39 1819.6523),(40 1821.5962),(41 1825.1636),(42 1808.7047),(43 1802.5594),(44 1810.547),(45 1827.1929),(46 1812.2576),(47 1817.8383),(48 1792.4688),(49 1772.7701),(50 1751.5807),(51 1778.4299),(52 1770.8595),(53 1759.448),(54 1741.4336),(55 1724.5254),(56 1714.3007),(57 1723.0663),(58 1713.5922),(59 1715.0844),(60 1697.582),(61 1716.1504),(62 1711.777),(63 1728.9255),(64 1763.6389),(65 1756.8787),(66 1779.9988),(67 1801.1825),(68 1801.3918),(69 1780.0024),(70 1785.7142),(71 1788.3159),(72 1812.8109),(73 1821.5814),(74 1811.8154),(75 1858.5848),(76 1832.9099),(77 1845.4954),(78 1871.1836),(79 1891.3798),
(1 1101.8644),(2 1271.6157),(3 1372.1731),(4 1424.4197),(5 1462.54),(6 1509.3613),(7 1561.169),(8 1615.4094),(9 1643.9031),(10 1636.5803),(11 1638.5471),(12 1660.3386),(13 1674.4185),(14 1709.645),(15 1717.0999),(16 1706.9401),(17 1697.7198),(18 1757.6921),(19 1742.6879),(20 1760.0836),(21 1780.1014),(22 1790.5875),(23 1783.3256),(24 1802.589),(25 1779.5822),(26 1782.609),(27 1771.1561),(28 1786.032),(29 1810.384),(30 1791.9841),(31 1799.2471),(32 1795.7408),(33 1820.0023),(34 1833.2885),(35 1824.9521),(36 1795.5255),(37 1824.1796),(38 1860.465),(39 1820.2051),(40 1836.097),(41 1827.2933),(42 1841.2041),(43 1813.6781),(44 1838.6237),(45 1818.5061),(46 1822.0339),(47 1782.2184),(48 1764.5731),(49 1768.9506),(50 1751.6241),(51 1757.2775),(52 1752.205),(53 1747.7313),(54 1745.3834),(55 1750.263),(56 1751.8499),(57 1732.8854),(58 1753.2365),(59 1750.1536),(60 1723.2894),(61 1731.1979),(62 1702.2526),(63 1716.1475),(64 1703.1531),(65 1704.0249),(66 1753.4556),(67 1740.8015),(68 1758.8779),(69 1746.742),(70 1764.2418),(71 1783.8124),(72 1783.3398),(73 1799.134),(74 1800.2004),(75 1816.55),(76 1827.7231),(77 1831.3065),(78 1844.9391),(79 1846.1871),
(1 1095.5878),(2 1247.5782),(3 1347.5092),(4 1388.2079),(5 1408.7892),(6 1450.8358),(7 1519.6937),(8 1560.2339),(9 1602.1185),(10 1614.104),(11 1596.6494),(12 1630.4034),(13 1656.5554),(14 1700.6107),(15 1715.4036),(16 1682.8204),(17 1681.9872),(18 1689.5773),(19 1684.209),(20 1714.9462),(21 1722.4117),(22 1725.5132),(23 1720.0762),(24 1726.2886),(25 1761.1472),(26 1745.4725),(27 1736.9985),(28 1751.6249),(29 1766.6721),(30 1734.3073),(31 1762.433),(32 1768.8408),(33 1806.0231),(34 1792.2715),(35 1808.3527),(36 1797.0829),(37 1826.3737),(38 1823.7307),(39 1819.0774),(40 1812.4885),(41 1799.9368),(42 1785.251),(43 1775.0918),(44 1792.2639),(45 1792.1368),(46 1786.3973),(47 1771.5475),(48 1763.8619),(49 1753.5851),(50 1742.6968),(51 1749.0922),(52 1747.9729),(53 1770.4668),(54 1721.9257),(55 1752.6329),(56 1753.0254),(57 1709.59),(58 1735.6979),(59 1715.7549),(60 1735.8087),(61 1703.1757),(62 1707.9796),(63 1705.3065),(64 1736.6958),(65 1732.4918),(66 1731.5222),(67 1749.1364),(68 1731.7429),(69 1765.1116),(70 1786.4497),(71 1792.6272),(72 1821.1564),(73 1812.9865),(74 1840.9307),(75 1856.7263),(76 1865.6656),(77 1860.841),(78 1874.7124),(79 1841.108),
(1 1047.2081),(2 1179.6831),(3 1270.9072),(4 1331.462),(5 1368.1093),(6 1429.5983),(7 1461.6039),(8 1485.9431),(9 1522.6484),(10 1520.9384),(11 1547.319),(12 1576.5752),(13 1600.4689),(14 1622.0388),(15 1637.6896),(16 1613.6261),(17 1634.7538),(18 1651.2971),(19 1660.9515),(20 1666.5054),(21 1660.2479),(22 1668.1816),(23 1680.2234),(24 1705.7554),(25 1702.492),(26 1697.9615),(27 1702.5178),(28 1699.6315),(29 1696.4716),(30 1690.4033),(31 1712.0411),(32 1729.777),(33 1727.1018),(34 1730.0242),(35 1727.9746),(36 1745.5101),(37 1742.3081),(38 1737.6707),(39 1742.194),(40 1715.6407),(41 1732.3359),(42 1709.6687),(43 1700.5621),(44 1677.9358),(45 1706.7241),(46 1717.4431),(47 1695.9923),(48 1700.8407),(49 1709.6549),(50 1687.2915),(51 1650.0765),(52 1649.5095),(53 1657.9408),(54 1651.1537),(55 1658.9276),(56 1636.8723),(57 1641.6343),(58 1646.0028),(59 1642.674),(60 1641.5236),(61 1613.1813),(62 1619.8855),(63 1636.6538),(64 1623.741),(65 1627.2554),(66 1624.7552),(67 1634.7517),(68 1642.6401),(69 1643.3533),(70 1661.8446),(71 1685.3486),(72 1672.6729),(73 1671.534),(74 1693.4733),(75 1698.1543),(76 1713.8268),(77 1693.9413),(78 1714.8625),(79 1691.3171),
(1 1074.6678),(2 1206.4365),(3 1296.2471),(4 1351.0476),(5 1405.5767),(6 1442.2051),(7 1470.4381),(8 1510.8584),(9 1558.9243),(10 1574.4707),(11 1565.9658),(12 1571.9758),(13 1626.184),(14 1663.498),(15 1677.4426),(16 1645.9822),(17 1641.596),(18 1658.5522),(19 1661.6497),(20 1677.2915),(21 1669.5629),(22 1690.505),(23 1702.1185),(24 1700.4249),(25 1730.6779),(26 1687.2634),(27 1711.8634),(28 1726.3263),(29 1730.1487),(30 1733.7384),(31 1723.6008),(32 1724.0103),(33 1725.677),(34 1756.4048),(35 1728.3998),(36 1745.3416),(37 1733.8524),(38 1732.9137),(39 1723.9668),(40 1745.0706),(41 1727.896),(42 1739.1189),(43 1738.0503),(44 1712.3392),(45 1738.5692),(46 1737.6853),(47 1735.264),(48 1722.8888),(49 1725.9088),(50 1715.2036),(51 1694.5269),(52 1692.2404),(53 1684.5813),(54 1676.1643),(55 1646.6627),(56 1632.6653),(57 1638.5969),(58 1666.4652),(59 1660.6183),(60 1630.1531),(61 1650.1985),(62 1664.4769),(63 1649.2559),(64 1649.4264),(65 1641.6416),(66 1657.9253),(67 1665.0253),(68 1671.7904),(69 1660.2667),(70 1697.6849),(71 1697.9304),(72 1676.4731),(73 1704.5741),(74 1696.6144),(75 1703.6644),(76 1700.2943),(77 1705.0823),(78 1731.0697),(79 1723.7882),
(1 1040.3884),(2 1169.7831),(3 1263.3164),(4 1312.1483),(5 1353.4937),(6 1396.1938),(7 1416.2601),(8 1460.0593),(9 1500.6304),(10 1499.9113),(11 1533.3192),(12 1564.5382),(13 1556.6862),(14 1597.5121),(15 1615.7175),(16 1575.7356),(17 1567.9839),(18 1584.0449),(19 1606.7778),(20 1605.9641),(21 1616.1812),(22 1634.5789),(23 1647.5582),(24 1661.3488),(25 1680.8402),(26 1662.4763),(27 1660.8284),(28 1682.6588),(29 1681.7848),(30 1654.9839),(31 1668.331),(32 1691.875),(33 1677.7961),(34 1679.0233),(35 1663.9698),(36 1685.438),(37 1677.1211),(38 1681.4116),(39 1685.3334),(40 1676.7686),(41 1690.2958),(42 1686.8636),(43 1682.4756),(44 1689.7601),(45 1660.6641),(46 1665.9536),(47 1670.9021),(48 1645.6699),(49 1667.0483),(50 1643.1066),(51 1649.8201),(52 1626.0564),(53 1622.0254),(54 1602.5934),(55 1605.3798),(56 1598.2253),(57 1607.355),(58 1607.9874),(59 1623.095),(60 1585.644),(61 1581.7046),(62 1599.8558),(63 1578.8606),(64 1595.5289),(65 1597.7462),(66 1636.2887),(67 1629.1449),(68 1625.1306),(69 1641.1879),(70 1638.5872),(71 1648.9882),(72 1666.5729),(73 1658.6155),(74 1666.9976),(75 1681.7484),(76 1678.0132),(77 1690.4438),(78 1717.4194),(79 1721.9806),
(1 1015.25793),(2 1156.0057),(3 1264.2355),(4 1297.4283),(5 1333.9584),(6 1363.3301),(7 1400.1947),(8 1435.8881),(9 1491.0458),(10 1471.2943),(11 1500.8455),(12 1501.3152),(13 1519.8622),(14 1551.7872),(15 1568.8693),(16 1547.9159),(17 1552.3895),(18 1573.2137),(19 1598.5216),(20 1567.079),(21 1602.9498),(22 1624.2407),(23 1621.0769),(24 1618.1372),(25 1622.7382),(26 1620.4081),(27 1605.7102),(28 1623.8802),(29 1630.3402),(30 1626.3425),(31 1635.1401),(32 1634.3237),(33 1640.5835),(34 1636.0692),(35 1620.4469),(36 1622.9451),(37 1621.0831),(38 1627.828),(39 1646.802),(40 1646.8671),(41 1667.08),(42 1664.8884),(43 1639.9158),(44 1639.7747),(45 1623.0444),(46 1628.7557),(47 1627.01),(48 1614.0696),(49 1620.474),(50 1634.3854),(51 1643.3079),(52 1627.7092),(53 1603.565),(54 1571.4855),(55 1570.0853),(56 1560.233),(57 1576.576),(58 1609.0768),(59 1602.6415),(60 1596.2572),(61 1587.124),(62 1591.3395),(63 1591.7396),(64 1583.5244),(65 1596.0332),(66 1591.9108),(67 1613.2106),(68 1616.3026),(69 1612.592),(70 1640.4794),(71 1654.2233),(72 1657.3611),(73 1662.22),(74 1661.2754),(75 1680.0455),(76 1672.6812),(77 1678.7314),(78 1702.1334),(79 1714.1731),
(1 1004.31757),(2 1143.282),(3 1263.4387),(4 1299.7574),(5 1332.0582),(6 1362.5332),(7 1393.2529),(8 1417.511),(9 1447.0842),(10 1448.6067),(11 1461.2036),(12 1459.603),(13 1481.6838),(14 1509.4445),(15 1522.1343),(16 1499.5684),(17 1541.5353),(18 1539.0676),(19 1567.9965),(20 1569.1506),(21 1574.9634),(22 1613.6965),(23 1608.7687),(24 1601.6104),(25 1616.2332),(26 1588.233),(27 1603.2012),(28 1625.932),(29 1618.5853),(30 1613.1787),(31 1617.0165),(32 1610.7366),(33 1631.3156),(34 1618.153),(35 1619.5206),(36 1627.2229),(37 1639.2169),(38 1635.9429),(39 1655.1132),(40 1680.2067),(41 1660.6658),(42 1654.9972),(43 1627.9789),(44 1642.8975),(45 1628.0955),(46 1615.6953),(47 1610.6705),(48 1654.3439),(49 1645.7025),(50 1639.146),(51 1632.9578),(52 1632.6443),(53 1621.6431),(54 1606.784),(55 1589.0244),(56 1607.4087),(57 1592.6705),(58 1625.6196),(59 1615.3542),(60 1597.5538),(61 1613.7614),(62 1609.953),(63 1616.0902),(64 1604.6135),(65 1607.6715),(66 1588.8202),(67 1610.2524),(68 1605.675),(69 1610.9729),(70 1625.1827),(71 1635.336),(72 1636.7434),(73 1644.7246),(74 1649.2543),(75 1654.9767),(76 1674.9242),(77 1660.864),(78 1673.1089),(79 1698.7982),
(1 963.1598),(2 1086.664),(3 1196.5214),(4 1237.3234),(5 1286.4529),(6 1322.6049),(7 1341.1375),(8 1354.2643),(9 1389.3433),(10 1397.8604),(11 1449.0216),(12 1430.6177),(13 1430.1034),(14 1461.2311),(15 1482.7031),(16 1489.1042),(17 1482.5427),(18 1497.841),(19 1524.3224),(20 1533.435),(21 1554.0918),(22 1564.9321),(23 1556.7344),(24 1557.1602),(25 1565.3861),(26 1551.2374),(27 1564.3856),(28 1538.5831),(29 1548.705),(30 1549.9977),(31 1576.9987),(32 1587.3939),(33 1580.7953),(34 1591.8251),(35 1576.6016),(36 1600.9722),(37 1588.5442),(38 1596.1847),(39 1578.7607),(40 1594.1599),(41 1576.2339),(42 1572.3347),(43 1568.6102),(44 1547.5267),(45 1556.1582),(46 1544.9697),(47 1550.5085),(48 1566.3109),(49 1564.7855),(50 1572.0048),(51 1541.8876),(52 1575.1207),(53 1573.4115),(54 1552.1024),(55 1535.0767),(56 1529.7599),(57 1536.232),(58 1542.1831),(59 1541.3173),(60 1538.4364),(61 1533.338),(62 1525.049),(63 1542.1957),(64 1530.2195),(65 1539.2524),(66 1526.9993),(67 1537.5427),(68 1526.34),(69 1513.971),(70 1525.9996),(71 1545.6625),(72 1560.1573),(73 1570.9791),(74 1576.2013),(75 1611.4923),(76 1625.4838),(77 1629.0656),(78 1615.891),(79 1626.5061),
(1 975.91077),(2 1091.4451),(3 1208.3737),(4 1244.32),(5 1290.1108),(6 1302.6826),(7 1339.4777),(8 1347.2876),(9 1400.6829),(10 1414.6576),(11 1450.3739),(12 1423.2148),(13 1425.865),(14 1478.092),(15 1474.0173),(16 1449.31),(17 1475.1276),(18 1478.4025),(19 1506.9885),(20 1487.5304),(21 1500.1111),(22 1501.8116),(23 1513.8234),(24 1532.1809),(25 1544.375),(26 1516.8052),(27 1539.841),(28 1538.52),(29 1536.9426),(30 1530.5244),(31 1538.0231),(32 1531.415),(33 1527.1857),(34 1531.8394),(35 1548.724),(36 1571.1295),(37 1578.324),(38 1578.8756),(39 1598.4514),(40 1594.8671),(41 1564.6115),(42 1538.0614),(43 1528.6665),(44 1546.4097),(45 1547.2004),(46 1553.8756),(47 1541.3221),(48 1555.7755),(49 1550.1349),(50 1531.3241),(51 1550.6609),(52 1539.8358),(53 1550.724),(54 1538.183),(55 1516.3765),(56 1522.5404),(57 1523.8666),(58 1527.7587),(59 1523.9128),(60 1496.6144),(61 1500.2665),(62 1493.5236),(63 1522.3069),(64 1507.5956),(65 1528.4608),(66 1518.8844),(67 1553.0013),(68 1524.9025),(69 1511.3591),(70 1568.3556),(71 1561.5665),(72 1572.6145),(73 1569.014),(74 1569.5767),(75 1601.9247),(76 1613.4927),(77 1616.4772),(78 1624.545),(79 1640.2191),
(1 942.0386),(2 1068.0016),(3 1167.886),(4 1207.5862),(5 1259.0883),(6 1303.3583),(7 1320.0067),(8 1356.4048),(9 1369.5326),(10 1396.8835),(11 1438.7123),(12 1409.6675),(13 1423.0149),(14 1458.5515),(15 1468.9482),(16 1449.1162),(17 1444.1512),(18 1471.1366),(19 1501.5245),(20 1497.9806),(21 1516.965),(22 1511.1276),(23 1530.3988),(24 1549.435),(25 1544.748),(26 1536.6118),(27 1568.4313),(28 1574.386),(29 1555.2714),(30 1576.0297),(31 1563.6217),(32 1553.7664),(33 1566.5127),(34 1561.901),(35 1575.5892),(36 1581.1643),(37 1586.6241),(38 1584.8484),(39 1593.2378),(40 1610.9034),(41 1576.0156),(42 1576.1991),(43 1580.1526),(44 1560.6891),(45 1589.3734),(46 1568.955),(47 1546.1595),(48 1554.3352),(49 1551.3761),(50 1519.974),(51 1542.9917),(52 1521.1617),(53 1526.2814),(54 1492.6879),(55 1495.9733),(56 1486.3274),(57 1502.7994),(58 1496.5742),(59 1491.3822),(60 1476.0403),(61 1461.2385),(62 1448.243),(63 1482.0645),(64 1475.7462),(65 1485.9265),(66 1472.294),(67 1499.771),(68 1475.3877),(69 1504.9138),(70 1512.3926),(71 1532.894),(72 1552.0796),(73 1560.8657),(74 1550.4342),(75 1559.3982),(76 1568.7695),(77 1563.0746),(78 1565.5455),(79 1567.5466),
(1 921.05994),(2 1046.2773),(3 1148.1002),(4 1206.4683),(5 1230.9957),(6 1264.2092),(7 1282.0519),(8 1289.1808),(9 1350.4623),(10 1347.9047),(11 1384.5917),(12 1366.751),(13 1408.136),(14 1410.3137),(15 1404.9155),(16 1429.9429),(17 1434.0576),(18 1459.3907),(19 1474.143),(20 1447.7089),(21 1475.831),(22 1484.6809),(23 1493.6991),(24 1502.9025),(25 1487.863),(26 1507.2894),(27 1502.3518),(28 1514.8301),(29 1514.1569),(30 1494.8694),(31 1500.3191),(32 1533.8195),(33 1532.4977),(34 1530.7473),(35 1496.4111),(36 1522.8992),(37 1519.9922),(38 1525.3828),(39 1522.2549),(40 1552.6085),(41 1518.468),(42 1528.6519),(43 1519.3618),(44 1504.0844),(45 1532.1111),(46 1508.8784),(47 1516.6024),(48 1521.4365),(49 1508.7899),(50 1490.3445),(51 1494.0822),(52 1513.0673),(53 1480.6661),(54 1466.4397),(55 1467.9446),(56 1460.2998),(57 1446.8312),(58 1452.1996),(59 1444.5522),(60 1449.4868),(61 1443.4683),(62 1444.6356),(63 1465.6841),(64 1475.5109),(65 1466.4556),(66 1475.78),(67 1475.0432),(68 1468.028),(69 1486.1953),(70 1478.1515),(71 1499.7584),(72 1494.7773),(73 1502.1106),(74 1512.144),(75 1512.0347),(76 1545.1595),(77 1530.6218),(78 1542.2921),(79 1540.1967),
(1 917.1416),(2 1041.1416),(3 1150.6173),(4 1213.6199),(5 1239.5487),(6 1263.4635),(7 1286.6406),(8 1312.669),(9 1346.6348),(10 1360.3035),(11 1380.2236),(12 1361.4634),(13 1376.6486),(14 1397.1792),(15 1409.0612),(16 1398.225),(17 1414.6053),(18 1412.9476),(19 1423.6724),(20 1418.9174),(21 1458.851),(22 1448.8977),(23 1463.4143),(24 1494.6157),(25 1498.8042),(26 1494.2104),(27 1499.5264),(28 1508.5859),(29 1507.7083),(30 1505.2653),(31 1508.0281),(32 1511.7826),(33 1506.5403),(34 1507.5167),(35 1483.5082),(36 1490.9999),(37 1490.6483),(38 1504.6829),(39 1525.1451),(40 1510.3994),(41 1491.0342),(42 1492.7648),(43 1476.1025),(44 1486.1772),(45 1489.1343),(46 1461.4395),(47 1501.7378),(48 1496.8868),(49 1489.942),(50 1501.2969),(51 1482.9229),(52 1498.4025),(53 1480.4623),(54 1474.0845),(55 1457.1581),(56 1452.2489),(57 1460.0065),(58 1471.2651),(59 1467.7709),(60 1457.9395),(61 1466.5931),(62 1472.6803),(63 1460.5728),(64 1452.3721),(65 1442.2963),(66 1442.4644),(67 1452.8698),(68 1450.937),(69 1440.7328),(70 1448.4191),(71 1455.4609),(72 1447.3477),(73 1466.4094),(74 1479.0809),(75 1475.4703),(76 1488.0728),(77 1489.369),(78 1515.4421),(79 1506.7211),
(1 879.2044),(2 1013.7258),(3 1107.7583),(4 1164.4354),(5 1203.5406),(6 1234.8909),(7 1252.5266),(8 1273.563),(9 1299.9835),(10 1310.4904),(11 1326.6644),(12 1320.9169),(13 1334.9904),(14 1378.2422),(15 1371.8048),(16 1369.4037),(17 1379.1266),(18 1373.8835),(19 1373.3816),(20 1378.6249),(21 1418.2388),(22 1417.0739),(23 1418.7004),(24 1432.4667),(25 1440.4747),(26 1441.3799),(27 1450.4872),(28 1448.4741),(29 1464.4786),(30 1447.6029),(31 1471.072),(32 1470.6024),(33 1469.8796),(34 1474.6113),(35 1461.7646),(36 1460.901),(37 1464.249),(38 1456.1409),(39 1480.588),(40 1477.7699),(41 1478.3516),(42 1475.2292),(43 1481.0848),(44 1482.0854),(45 1474.6156),(46 1460.2957),(47 1487.8538),(48 1463.3356),(49 1452.116),(50 1434.97),(51 1437.4989),(52 1417.9697),(53 1405.8351),(54 1404.1431),(55 1396.3164),(56 1399.0089),(57 1405.0874),(58 1407.1656),(59 1399.7079),(60 1399.5657),(61 1408.0112),(62 1411.1013),(63 1388.0165),(64 1388.9049),(65 1414.9171),(66 1411.5585),(67 1425.2247),(68 1400.0355),(69 1431.2732),(70 1423.3683),(71 1431.1361),(72 1419.8976),(73 1439.0181),(74 1447.6865),(75 1463.7803),(76 1463.1898),(77 1485.7946),(78 1506.2288),(79 1509.8397),
(1 866.66254),(2 1011.865),(3 1106.1947),(4 1135.4908),(5 1169.0143),(6 1202.9447),(7 1220.7189),(8 1233.6859),(9 1272.7545),(10 1300.8292),(11 1311.456),(12 1326.1621),(13 1331.7919),(14 1364.2963),(15 1356.2511),(16 1368.0658),(17 1384.0276),(18 1379.3423),(19 1377.1837),(20 1378.4192),(21 1374.6747),(22 1371.2595),(23 1390.799),(24 1384.5405),(25 1387.4266),(26 1412.1454),(27 1423.1659),(28 1435.6294),(29 1438.1387),(30 1453.3707),(31 1451.3098),(32 1455.3008),(33 1445.2054),(34 1461.7838),(35 1448.3586),(36 1439.6395),(37 1424.0333),(38 1427.535),(39 1431.5631),(40 1429.1833),(41 1439.0028),(42 1437.8617),(43 1444.9551),(44 1431.8314),(45 1431.6025),(46 1431.8307),(47 1441.576),(48 1434.1519),(49 1430.3999),(50 1434.6304),(51 1433.5637),(52 1409.4536),(53 1396.1276),(54 1410.1946),(55 1396.582),(56 1389.9131),(57 1384.033),(58 1404.88),(59 1409.6761),(60 1404.8992),(61 1389.458),(62 1405.1838),(63 1404.5347),(64 1399.9269),(65 1430.5804),(66 1427.7031),(67 1429.5225),(68 1432.887),(69 1431.738),(70 1429.0142),(71 1443.5344),(72 1404.5176),(73 1417.0564),(74 1450.4358),(75 1464.896),(76 1461.2084),(77 1477.7856),(78 1492.3433),(79 1490.6559),
(1 863.0735),(2 1003.97394),(3 1091.564),(4 1136.7794),(5 1174.8359),(6 1183.2134),(7 1211.1621),(8 1235.815),(9 1279.8994),(10 1277.2114),(11 1308.5057),(12 1315.1245),(13 1313.7666),(14 1339.3949),(15 1328.6885),(16 1349.4603),(17 1354.8546),(18 1349.0115),(19 1349.0376),(20 1379.1804),(21 1396.7019),(22 1365.1731),(23 1364.6765),(24 1372.354),(25 1378.067),(26 1389.7156),(27 1397.7976),(28 1404.595),(29 1395.7711),(30 1408.5299),(31 1431.7683),(32 1430.2102),(33 1415.9169),(34 1414.3982),(35 1401.4857),(36 1422.088),(37 1419.9921),(38 1430.0963),(39 1442.4391),(40 1434.5433),(41 1421.6145),(42 1415.8235),(43 1437.256),(44 1425.9701),(45 1434.9031),(46 1417.6963),(47 1425.4175),(48 1419.8595),(49 1411.7446),(50 1386.8057),(51 1411.139),(52 1375.233),(53 1375.9614),(54 1361.6128),(55 1340.8368),(56 1351.0504),(57 1346.532),(58 1354.8201),(59 1348.4469),(60 1340.9513),(61 1339.1752),(62 1348.5256),(63 1359.5094),(64 1339.0723),(65 1355.2516),(66 1360.6974),(67 1359.9674),(68 1371.0337),(69 1349.323),(70 1375.2843),(71 1373.4812),(72 1371.1283),(73 1370.7604),(74 1378.3671),(75 1405.9921),(76 1415.969),(77 1426.6188),(78 1439.683),(79 1458.1343),
