1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 8607.441),(2 7899.656),(3 19254.62),(4 20827.072),(5 34392.895),(6 40670.387),(7 54582.28),(8 61098.473),(9 74529.79),(10 81887.12),(11 95592.836),(12 102365.73),(13 115670.03),(14 124087.164),(15 138128.42),(16 148261.98),(17 164537.31),(18 178455.36),(19 195425.86),(20 211153.58),(21 231196.81),(22 248272.73),(23 264608.16),(24 280974.75),(25 299787.84),(26 319305.63),(27 336317.13),(28 357785.16),(29 378062.4),(30 399531.5),(31 424980.53),(32 447419.34),(33 471908.63),(34 491818.4),(35 514752.5),(36 537457.8),(37 570075.7),(38 592280.6),(39 619428.06),(40 642894.3),(41 671999.06),(42 696864.56),(43 725187.75),(44 757542.94),(45 788878.5),(46 825674.5),(47 860361.44),(48 902041.94),(49 939783.5),(50 979713.25),(51 1015989.06),(52 1050481.6),(53 1077785.4),(54 1110968.1),(55 1140014.5),(56 1179218.4),(57 1217184.4),(58 1257957.6),(59 1299306.5),(60 1342713.1),(61 1391372.6),(62 1442536),(63 1500900.1),(64 1553827.6),(65 1611783.1),(66 1671428),(67 1732620.4),(68 1794461.6),(69 1857538),(70 1923619.9),(71 1981188.6),(72 2047835.1),(73 2105914),(74 2172550.8),(75 2250135.3),(76 2319471.8),(77 2385170.8),(78 2446016.3),(79 2510850.8),
(1 113.88798),(2 133.88597),(3 145.47588),(4 149.9083),(5 155.28175),(6 149.37971),(7 152.5874),(8 158.51784),(9 159.39137),(10 157.93082),(11 156.82318),(12 155.56357),(13 155.41643),(14 156.99007),(15 161.05563),(16 158.34967),(17 156.35982),(18 158.3447),(19 155.8089),(20 155.89513),(21 157.12032),(22 157.87077),(23 158.5472),(24 159.11157),(25 157.28156),(26 158.51001),(27 158.45801),(28 157.68314),(29 156.3697),(30 157.59283),(31 158.04268),(32 156.43402),(33 155.96559),(34 155.997),(35 157.93483),(36 156.34244),(37 158.97527),(38 156.77415),(39 156.65659),(40 156.63745),(41 157.46996),(42 156.24007),(43 155.5899),(44 153.67613),(45 153.40692),(46 158.10938),(47 156.47252),(48 156.54662),(49 154.27646),(50 153.93716),(51 154.95021),(52 158.64633),(53 156.21912),(54 157.1304),(55 156.19336),(56 157.09679),(57 157.50752),(58 155.43082),(59 154.90518),(60 155.64821),(61 156.08119),(62 157.21573),(63 158.85088),(64 160.59486),(65 159.70532),(66 158.71136),(67 161.01976),(68 160.34819),(69 160.8578),(70 161.6624),(71 162.65863),(72 161.43274),(73 159.13643),(74 157.70288),(75 159.48453),(76 160.9597),(77 161.71135),(78 162.0644),(79 160.43451),
(1 114.351166),(2 135.2434),(3 149.08025),(4 152.3632),(5 156.21915),(6 151.47781),(7 153.87244),(8 158.01393),(9 155.87036),(10 154.29166),(11 159.59773),(12 158.67644),(13 156.13765),(14 156.37167),(15 161.53526),(16 159.33047),(17 160.41313),(18 161.79184),(19 160.52953),(20 159.65895),(21 157.8883),(22 156.24059),(23 158.12323),(24 158.49326),(25 157.4986),(26 153.95451),(27 156.7824),(28 156.53339),(29 155.876),(30 156.16315),(31 158.20584),(32 157.66168),(33 156.45134),(34 156.0035),(35 158.25835),(36 157.03357),(37 157.14458),(38 156.14505),(39 158.48633),(40 158.19048),(41 157.13274),(42 157.38654),(43 156.47552),(44 156.84953),(45 155.47304),(46 157.16165),(47 158.85368),(48 155.13788),(49 153.80078),(50 156.1145),(51 159.23355),(52 160.35481),(53 158.66295),(54 159.83662),(55 157.05292),(56 156.89032),(57 157.74416),(58 156.99194),(59 156.27617),(60 154.79008),(61 156.2666),(62 153.83076),(63 157.00076),(64 158.11482),(65 157.99712),(66 155.6793),(67 156.54163),(68 155.63324),(69 156.14703),(70 155.34029),(71 156.09262),(72 157.10332),(73 155.82515),(74 156.31593),(75 158.33975),(76 158.15918),(77 159.0792),(78 160.23102),(79 159.17021),
(1 107.87621),(2 128.70436),(3 139.92943),(4 143.94844),(5 149.0817),(6 149.28789),(7 151.03024),(8 151.09547),(9 150.3422),(10 149.25693),(11 152.42468),(12 151.556),(13 150.39365),(14 151.76436),(15 154.95197),(16 152.88704),(17 152.7062),(18 153.53197),(19 151.37048),(20 151.4424),(21 151.39465),(22 151.86699),(23 153.2361),(24 151.73575),(25 149.98831),(26 149.25668),(27 150.40666),(28 151.04478),(29 151.3363),(30 152.90929),(31 153.57608),(32 153.89423),(33 150.16759),(34 147.57774),(35 149.91373),(36 148.68391),(37 149.84604),(38 150.56514),(39 153.22787),(40 152.18382),(41 152.43608),(42 155.20209),(43 155.14413),(44 153.92638),(45 151.6389),(46 153.35646),(47 151.84111),(48 149.98218),(49 149.18396),(50 148.79839),(51 151.2261),(52 150.94124),(53 152.15996),(54 151.8512),(55 149.63304),(56 149.20906),(57 148.93185),(58 147.48744),(59 146.02383),(60 146.81476),(61 149.06332),(62 149.2121),(63 150.83359),(64 149.89188),(65 151.81471),(66 149.78358),(67 152.6676),(68 151.2785),(69 150.8963),(70 152.80644),(71 151.90018),(72 152.94005),(73 153.0186),(74 152.12941),(75 152.70245),(76 151.42873),(77 150.85052),(78 150.04501),(79 150.37755),
(1 107.33971),(2 127.13748),(3 140.98691),(4 146.70511),(5 150.03683),(6 148.87354),(7 150.50984),(8 152.09099),(9 153.71567),(10 150.02626),(11 151.67923),(12 152.3348),(13 150.1406),(14 152.46802),(15 153.99953),(16 152.11353),(17 153.13133),(18 156.0903),(19 154.01056),(20 151.59183),(21 154.40909),(22 153.66261),(23 154.76677),(24 152.17087),(25 150.8488),(26 152.08974),(27 153.86893),(28 153.44171),(29 151.2416),(30 152.12259),(31 151.23854),(32 151.96326),(33 150.19962),(34 149.13673),(35 149.36632),(36 147.8543),(37 149.23064),(38 148.28984),(39 150.40613),(40 151.03287),(41 149.9556),(42 149.6966),(43 151.63734),(44 150.85284),(45 150.07813),(46 151.84352),(47 151.17923),(48 150.81598),(49 147.77382),(50 148.66064),(51 149.8862),(52 151.21068),(53 151.5037),(54 149.82535),(55 148.77226),(56 149.38441),(57 148.02112),(58 149.09804),(59 147.99908),(60 147.98207),(61 148.53346),(62 149.7172),(63 151.29419),(64 148.6296),(65 149.69846),(66 149.12852),(67 151.9235),(68 150.66641),(69 149.92206),(70 151.40558),(71 152.07823),(72 154.4818),(73 151.76965),(74 152.3496),(75 154.02296),(76 152.6838),(77 153.99388),(78 153.50024),(79 153.64453),
(1 106.29915),(2 124.099014),(3 134.83249),(4 139.20795),(5 143.70297),(6 143.85928),(7 145.13057),(8 148.26128),(9 148.7679),(10 147.7198),(11 149.16685),(12 148.58284),(13 147.21823),(14 148.604),(15 148.30766),(16 146.24406),(17 148.61249),(18 148.42831),(19 150.3307),(20 148.61133),(21 147.71646),(22 149.71863),(23 148.78433),(24 149.29193),(25 146.31079),(26 145.87764),(27 147.35408),(28 148.92519),(29 147.48401),(30 147.77425),(31 150.41849),(32 150.1644),(33 146.69394),(34 145.2611),(35 146.90897),(36 146.38904),(37 147.53253),(38 147.04512),(39 146.46295),(40 149.03758),(41 149.30096),(42 147.67307),(43 150.06241),(44 147.71198),(45 146.2679),(46 147.72673),(47 146.54855),(48 144.97517),(49 146.5077),(50 147.04713),(51 148.93454),(52 149.48111),(53 147.4503),(54 147.37141),(55 147.0143),(56 147.52759),(57 146.0454),(58 146.78711),(59 146.24104),(60 146.56155),(61 145.97635),(62 145.70563),(63 146.25021),(64 145.23726),(65 144.64894),(66 145.03436),(67 144.90848),(68 143.4138),(69 144.67729),(70 144.20432),(71 146.54695),(72 146.91974),(73 144.28036),(74 144.6296),(75 145.32117),(76 145.29526),(77 146.61394),(78 145.9203),(79 147.60472),
(1 103.64018),(2 119.83929),(3 130.60878),(4 135.54234),(5 140.36203),(6 139.81503),(7 141.92587),(8 143.25996),(9 143.40076),(10 142.6004),(11 145.44362),(12 145.34688),(13 145.04213),(14 145.76974),(15 147.71413),(16 146.38245),(17 145.1446),(18 147.29736),(19 145.18713),(20 146.2732),(21 146.20573),(22 146.23717),(23 145.03233),(24 141.55089),(25 140.9899),(26 141.67812),(27 143.04646),(28 142.73601),(29 143.06578),(30 143.57796),(31 143.22223),(32 142.07307),(33 142.23326),(34 139.92677),(35 141.00165),(36 141.235),(37 141.45752),(38 141.92758),(39 142.93091),(40 144.31499),(41 144.40904),(42 142.66055),(43 142.96594),(44 144.35782),(45 142.63057),(46 144.49696),(47 141.80028),(48 142.98853),(49 142.65112),(50 141.8243),(51 143.37508),(52 144.26091),(53 144.42328),(54 143.79839),(55 144.91467),(56 144.86),(57 142.72382),(58 144.32059),(59 143.05797),(60 145.17673),(61 143.86613),(62 144.11346),(63 145.13754),(64 143.7948),(65 142.58237),(66 145.02737),(67 141.25243),(68 141.06108),(69 140.10416),(70 141.86668),(71 141.82889),(72 141.36954),(73 140.09239),(74 140.0253),(75 144.24211),(76 144.83183),(77 143.95943),(78 143.54807),(79 144.1844),
(1 100.91201),(2 119.375656),(3 128.88261),(4 133.36163),(5 135.72124),(6 137.61859),(7 140.7043),(8 140.73647),(9 141.65164),(10 143.6013),(11 144.7631),(12 141.45103),(13 142.32512),(14 142.54378),(15 144.68835),(16 141.18027),(17 141.19156),(18 140.95319),(19 141.02814),(20 142.03899),(21 141.57259),(22 140.69394),(23 140.19664),(24 139.57422),(25 139.73396),(26 141.20003),(27 143.96481),(28 143.31923),(29 141.70912),(30 141.60777),(31 141.04239),(32 143.68137),(33 140.67673),(34 139.67567),(35 139.76326),(36 140.22327),(37 140.61597),(38 137.79076),(39 141.20253),(40 139.35753),(41 139.93512),(42 138.88922),(43 139.49184),(44 139.8131),(45 139.375),(46 139.85881),(47 139.89757),(48 138.52237),(49 137.78238),(50 136.09874),(51 137.7938),(52 140.18285),(53 138.35924),(54 139.72621),(55 138.6742),(56 139.06229),(57 138.74988),(58 140.03075),(59 136.76923),(60 137.74382),(61 137.64622),(62 138.53363),(63 141.1298),(64 141.40173),(65 141.33759),(66 141.13965),(67 139.32112),(68 142.20923),(69 140.45656),(70 141.7633),(71 140.9089),(72 138.84122),(73 138.93828),(74 137.7205),(75 139.30136),(76 141.02423),(77 140.62189),(78 141.07576),(79 143.32988),
(1 96.694626),(2 115.284645),(3 125.890976),(4 127.99693),(5 132.28477),(6 130.2567),(7 136.36687),(8 136.68982),(9 138.0957),(10 140.59315),(11 140.63387),(12 139.08206),(13 138.68353),(14 139.41238),(15 138.4148),(16 140.39207),(17 140.04192),(18 140.23999),(19 137.19801),(20 136.81464),(21 137.89995),(22 136.88187),(23 139.01518),(24 137.16725),(25 135.20525),(26 137.05122),(27 136.20422),(28 135.9169),(29 138.20879),(30 137.3144),(31 135.06546),(32 135.86052),(33 134.15752),(34 132.95352),(35 135.03433),(36 134.30602),(37 135.49843),(38 134.75652),(39 136.00932),(40 136.64334),(41 135.03253),(42 135.96857),(43 137.21466),(44 138.40932),(45 137.03246),(46 137.26234),(47 136.03291),(48 135.41805),(49 135.67812),(50 133.74396),(51 135.52713),(52 134.61586),(53 136.4526),(54 138.60632),(55 136.82947),(56 137.85423),(57 136.82741),(58 137.41568),(59 137.15851),(60 136.19484),(61 134.9125),(62 135.8608),(63 137.75562),(64 135.0282),(65 135.9229),(66 136.71524),(67 138.3777),(68 136.31436),(69 135.63652),(70 136.21147),(71 134.78893),(72 135.3428),(73 135.5388),(74 135.02647),(75 136.1571),(76 137.237),(77 137.43909),(78 135.98221),(79 136.43002),
(1 97.04276),(2 113.310455),(3 120.62284),(4 124.87324),(5 127.31703),(6 126.930725),(7 128.21616),(8 128.60886),(9 130.70534),(10 131.49977),(11 132.51175),(12 132.51321),(13 132.37837),(14 132.83914),(15 134.66199),(16 132.62045),(17 133.80756),(18 135.02353),(19 132.87422),(20 132.8413),(21 133.04646),(22 132.49136),(23 132.48099),(24 132.18045),(25 134.41394),(26 135.21317),(27 135.56136),(28 134.6443),(29 133.85219),(30 133.00455),(31 134.08865),(32 136.20331),(33 134.13513),(34 133.10399),(35 133.41437),(36 130.5863),(37 130.93304),(38 130.24872),(39 132.50217),(40 130.82724),(41 130.5817),(42 130.78519),(43 131.72273),(44 130.70956),(45 130.93866),(46 130.08873),(47 130.94858),(48 130.36165),(49 131.27753),(50 130.7925),(51 132.87357),(52 131.89766),(53 130.24191),(54 131.8433),(55 132.48143),(56 131.63074),(57 131.40398),(58 131.38551),(59 132.56659),(60 131.27415),(61 132.68542),(62 130.58862),(63 133.14828),(64 132.61758),(65 132.87135),(66 133.02693),(67 132.97237),(68 131.6136),(69 132.5293),(70 133.63617),(71 133.27313),(72 133.47844),(73 132.09167),(74 132.00623),(75 134.5008),(76 135.29561),(77 134.74393),(78 134.86372),(79 134.71541),
(1 92.70617),(2 108.13248),(3 117.43395),(4 122.29318),(5 123.34545),(6 123.64345),(7 127.363),(8 127.32733),(9 128.35031),(10 129.73788),(11 128.43358),(12 126.23657),(13 127.682785),(14 128.8722),(15 131.18646),(16 131.09988),(17 131.95004),(18 131.43178),(19 128.27126),(20 130.89165),(21 129.26126),(22 128.70804),(23 129.81929),(24 128.78572),(25 128.32138),(26 129.07365),(27 130.41933),(28 131.3521),(29 130.99623),(30 130.44548),(31 130.03342),(32 131.18967),(33 130.80478),(34 130.33072),(35 133.1627),(36 130.72388),(37 129.32712),(38 127.87718),(39 127.69089),(40 128.35498),(41 128.0956),(42 128.26888),(43 129.9097),(44 129.69746),(45 128.82994),(46 127.953),(47 126.36078),(48 127.41126),(49 128.6379),(50 126.86132),(51 127.28449),(52 126.97304),(53 125.32772),(54 127.81794),(55 127.211914),(56 127.76896),(57 128.28296),(58 128.17464),(59 129.35345),(60 127.75038),(61 128.17783),(62 127.58143),(63 130.35657),(64 130.24516),(65 128.29175),(66 128.42174),(67 127.83412),(68 127.732346),(69 128.35185),(70 128.20415),(71 131.03828),(72 131.34859),(73 128.94624),(74 127.8083),(75 131.64328),(76 130.04634),(77 130.31392),(78 129.9311),(79 130.33778),
(1 94.31618),(2 107.55351),(3 117.24063),(4 120.48105),(5 122.908936),(6 122.78331),(7 123.89058),(8 126.399216),(9 126.24346),(10 128.63828),(11 126.82391),(12 127.345116),(13 127.165665),(14 126.937),(15 128.97916),(16 127.40418),(17 129.16292),(18 128.09723),(19 126.74126),(20 128.9274),(21 128.58815),(22 127.6518),(23 128.66512),(24 127.072525),(25 126.81704),(26 126.42971),(27 128.91507),(28 127.75727),(29 127.50959),(30 127.21432),(31 128.4823),(32 127.62014),(33 126.91729),(34 127.477455),(35 127.36486),(36 126.21856),(37 125.36131),(38 126.08911),(39 128.25485),(40 126.00703),(41 126.8075),(42 125.46802),(43 128.099),(44 127.54141),(45 126.73179),(46 125.32188),(47 124.533966),(48 125.82337),(49 125.771034),(50 125.296524),(51 127.36039),(52 125.11854),(53 125.700935),(54 126.87558),(55 125.83145),(56 128.12067),(57 127.487625),(58 126.89358),(59 124.68581),(60 122.90837),(61 124.12468),(62 124.267334),(63 127.6161),(64 126.74262),(65 127.677536),(66 126.66585),(67 127.24765),(68 128.25026),(69 126.484856),(70 125.98631),(71 127.64239),(72 128.016),(73 127.72082),(74 128.20439),(75 130.07053),(76 128.6331),(77 129.33139),(78 128.41414),(79 127.70933),
(1 93.86806),(2 107.38804),(3 117.03802),(4 118.87532),(5 123.298904),(6 121.14326),(7 122.19734),(8 123.65328),(9 124.01505),(10 126.543076),(11 126.99108),(12 125.06101),(13 125.03232),(14 126.51389),(15 129.08107),(16 127.39553),(17 127.99797),(18 128.50249),(19 127.55121),(20 128.38504),(21 127.87944),(22 126.49378),(23 127.859566),(24 126.17307),(25 126.81722),(26 126.62127),(27 126.76409),(28 128.36253),(29 128.29689),(30 128.12251),(31 126.88911),(32 126.474945),(33 126.64567),(34 127.036545),(35 127.8649),(36 127.876724),(37 127.132935),(38 124.7282),(39 128.28618),(40 125.803894),(41 124.54335),(42 126.663635),(43 125.72752),(44 126.04494),(45 124.74821),(46 123.632774),(47 125.43842),(48 126.406555),(49 124.56993),(50 123.326),(51 127.64056),(52 127.37044),(53 125.34533),(54 124.59787),(55 125.61086),(56 127.36864),(57 128.31203),(58 127.347145),(59 127.71226),(60 126.25456),(61 126.6828),(62 124.91342),(63 127.07928),(64 125.78298),(65 126.37948),(66 125.62777),(67 126.93434),(68 127.41555),(69 127.21196),(70 127.14295),(71 127.12172),(72 127.136185),(73 126.68176),(74 125.68013),(75 128.22693),(76 127.621056),(77 126.04039),(78 127.268524),(79 126.193886),
(1 92.59038),(2 103.35662),(3 116.69284),(4 115.929474),(5 119.08336),(6 116.18244),(7 117.54436),(8 119.7928),(9 120.54867),(10 120.56907),(11 121.686325),(12 119.772026),(13 120.577995),(14 121.89749),(15 123.3527),(16 121.975235),(17 120.603165),(18 121.346146),(19 118.63608),(20 119.68966),(21 120.90981),(22 117.609634),(23 119.0977),(24 118.075966),(25 118.1606),(26 118.39773),(27 121.07396),(28 119.95662),(29 123.536934),(30 120.437904),(31 120.06683),(32 120.28138),(33 119.89438),(34 120.223145),(35 120.14426),(36 120.02454),(37 120.198944),(38 120.55663),(39 122.8128),(40 121.955),(41 121.981834),(42 121.70383),(43 121.76377),(44 120.63625),(45 120.98995),(46 121.2858),(47 122.60607),(48 121.0073),(49 119.753716),(50 118.12711),(51 119.726006),(52 118.56406),(53 119.61806),(54 118.594925),(55 119.412285),(56 120.18522),(57 120.08494),(58 121.743744),(59 120.26289),(60 120.46007),(61 120.40536),(62 118.92429),(63 119.77687),(64 120.18572),(65 119.21672),(66 119.366615),(67 118.882065),(68 120.15209),(69 118.533066),(70 117.15898),(71 119.681305),(72 119.32076),(73 119.341446),(74 119.75376),(75 121.73258),(76 119.96258),(77 120.32098),(78 120.786224),(79 120.89344),
(1 90.54501),(2 101.14698),(3 111.91827),(4 115.93646),(5 116.63443),(6 114.11655),(7 117.09273),(8 118.971344),(9 118.61769),(10 120.28075),(11 120.166534),(12 118.93947),(13 119.23939),(14 118.75601),(15 120.604805),(16 119.26254),(17 118.95797),(18 120.18091),(19 117.931114),(20 119.2615),(21 119.36848),(22 118.1714),(23 119.39229),(24 118.49312),(25 118.260315),(26 118.773796),(27 119.78831),(28 118.753044),(29 119.69869),(30 119.34509),(31 121.575035),(32 120.91109),(33 121.56095),(34 117.45431),(35 118.04963),(36 118.48119),(37 118.353584),(38 117.8645),(39 119.05687),(40 119.214066),(41 118.06184),(42 118.308464),(43 120.42875),(44 119.46469),(45 119.446045),(46 117.39101),(47 117.06079),(48 115.29119),(49 115.14612),(50 116.11131),(51 115.06466),(52 114.59906),(53 115.619644),(54 114.5121),(55 115.94606),(56 118.36097),(57 115.44154),(58 116.126366),(59 114.277985),(60 114.10747),(61 114.07786),(62 115.338394),(63 116.487076),(64 117.25987),(65 118.34668),(66 116.90587),(67 117.49507),(68 117.16672),(69 115.23506),(70 117.10974),(71 118.78195),(72 118.535706),(73 119.09216),(74 118.13356),(75 122.6883),(76 120.287384),(77 121.31745),(78 120.41874),(79 121.18671),
(1 87.42243),(2 97.29859),(3 107.1295),(4 108.91009),(5 111.16199),(6 110.98107),(7 112.90689),(8 113.13156),(9 114.91947),(10 116.5531),(11 117.06058),(12 115.43697),(13 114.93959),(14 115.9268),(15 115.98188),(16 115.73735),(17 117.85423),(18 119.8921),(19 118.349075),(20 118.569435),(21 119.0369),(22 117.92075),(23 117.349106),(24 116.79528),(25 117.38811),(26 118.03741),(27 118.56271),(28 117.90109),(29 117.6841),(30 117.36291),(31 119.082405),(32 118.74057),(33 117.80604),(34 116.679085),(35 116.9203),(36 115.81001),(37 116.661995),(38 115.8795),(39 117.9875),(40 116.066734),(41 116.16329),(42 116.78052),(43 118.504814),(44 116.8521),(45 118.0815),(46 117.52887),(47 116.98256),(48 115.72989),(49 116.07086),(50 115.51221),(51 115.78675),(52 115.277054),(53 113.6365),(54 113.59233),(55 113.99845),(56 114.67825),(57 114.484116),(58 115.360725),(59 115.56333),(60 116.20017),(61 116.20445),(62 115.9036),(63 115.22391),(64 115.42557),(65 117.770134),(66 117.01799),(67 115.966415),(68 116.274345),(69 114.59497),(70 114.87566),(71 115.76516),(72 115.245186),(73 115.954796),(74 114.73433),(75 117.05743),(76 115.029594),(77 115.61352),(78 116.99631),(79 116.660614),
(1 85.91163),(2 97.42612),(3 104.988686),(4 109.29873),(5 109.25625),(6 108.84505),(7 109.9715),(8 112.62824),(9 113.86156),(10 113.84821),(11 114.79185),(12 113.9256),(13 113.49493),(14 114.78237),(15 114.52221),(16 113.38163),(17 114.97233),(18 115.28627),(19 112.35112),(20 112.14641),(21 112.38264),(22 112.92074),(23 114.068596),(24 112.61426),(25 112.4187),(26 112.360886),(27 113.84945),(28 112.808174),(29 113.212234),(30 113.48868),(31 114.02082),(32 112.99176),(33 112.29826),(34 112.72804),(35 112.66656),(36 112.263374),(37 113.738686),(38 114.79882),(39 114.037674),(40 112.543884),(41 112.207184),(42 113.6083),(43 112.83012),(44 114.12583),(45 113.556114),(46 114.05556),(47 113.20393),(48 112.32156),(49 111.5132),(50 113.16907),(51 113.49709),(52 113.898254),(53 113.12484),(54 113.54243),(55 113.51858),(56 114.155045),(57 112.471985),(58 112.57132),(59 114.88497),(60 112.59507),(61 112.36792),(62 113.46198),(63 113.915886),(64 113.89694),(65 115.9102),(66 115.61426),(67 116.33443),(68 114.8943),(69 115.400696),(70 114.0161),(71 116.23325),(72 116.97507),(73 116.96118),(74 118.3989),(75 120.875565),(76 119.87822),(77 118.43263),(78 119.32116),(79 119.1758),
(1 85.21552),(2 94.54363),(3 105.86931),(4 106.53465),(5 108.55164),(6 107.18967),(7 109.99544),(8 110.66837),(9 111.07148),(10 112.43533),(11 113.81903),(12 112.70925),(13 111.45022),(14 112.39801),(15 112.759705),(16 112.15763),(17 113.80225),(18 114.55324),(19 114.21204),(20 113.42002),(21 112.256645),(22 112.7619),(23 113.95558),(24 113.22192),(25 112.466805),(26 110.96051),(27 116.06097),(28 113.88968),(29 114.05924),(30 115.00551),(31 114.642365),(32 112.631615),(33 112.78147),(34 113.05819),(35 113.14744),(36 114.246574),(37 113.56684),(38 113.52484),(39 115.104675),(40 113.73919),(41 113.28082),(42 113.321465),(43 113.65067),(44 113.728195),(45 111.05708),(46 112.78351),(47 113.598495),(48 113.26434),(49 112.53119),(50 110.489494),(51 109.88826),(52 112.72192),(53 112.69167),(54 112.27733),(55 112.546486),(56 112.84564),(57 112.303246),(58 111.881294),(59 112.23286),(60 111.81656),(61 112.982254),(62 112.63787),(63 114.31589),(64 114.50363),(65 113.70923),(66 112.93143),(67 112.43005),(68 112.670296),(69 111.48456),(70 110.43607),(71 109.46692),(72 110.88112),(73 110.97184),(74 111.381294),(75 113.3242),(76 114.146545),(77 112.57568),(78 112.63697),(79 113.03769),
