1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 14331.138),(2 47048.375),(3 108961.68),(4 193301.86),(5 291645.9),(6 395172),(7 490260),(8 546727.44),(9 628920.94),(10 726927.06),(11 819044.25),(12 897335.8),(13 980862.5),(14 1078047.6),(15 1225187.9),(16 1353845.6),(17 1462908.6),(18 1583857.6),(19 1720743.4),(20 1855927.6),(21 1995041.4),(22 2162110.3),(23 2306911),(24 2408134.3),(25 2474042),(26 2526092.3),(27 2580363.3),(28 2622453),(29 2680077.3),(30 2739666.3),(31 2803555.3),(32 2877247.3),(33 2958915.3),(34 3047794),(35 3120466),(36 3176410),(37 3219909.8),(38 3240272.3),(39 3249060.8),(40 3233873.3),(41 3214942),(42 3187131.8),(43 3137280.8),(44 3091402.3),(45 3059240.8),(46 3026081.3),(47 3027353.3),(48 3017258.3),(49 3050292.8),(50 3093062.8),(51 3152990.8),(52 3225188),(53 3313617),(54 3386406.8),(55 3454082),(56 3514492.3),(57 3560217.3),(58 3609378.3),(59 3667836.8),(60 3733969.3),(61 3859216.8),(62 4014860.8),(63 4201684),(64 4392871.5),(65 4568252.5),(66 4726569.5),(67 4907238.5),(68 5073629),(69 5251741),(70 5396811),(71 5524692.5),(72 5637458.5),(73 5750578.5),(74 5845965.5),(75 5931730.5),(76 6013621.5),(77 6101237.5),(78 6203814),(79 6319604),
(1 1407.9028),(2 2514.3516),(3 3488.0872),(4 4331.663),(5 5096.311),(6 5840.2573),(7 6426.3833),(8 6992.191),(9 7343.853),(10 7567.884),(11 7634.1685),(12 7588.77),(13 7452.174),(14 7276.923),(15 7055.787),(16 6919.611),(17 6881.2505),(18 6853.269),(19 6870.6616),(20 6909.8145),(21 6991.006),(22 7045.883),(23 7110.1284),(24 7248.705),(25 7255.385),(26 7349.659),(27 7387.8315),(28 7472.1216),(29 7507.0913),(30 7540.357),(31 7589.0757),(32 7594.8647),(33 7565.524),(34 7551.9414),(35 7585.4004),(36 7612.9604),(37 7664.6685),(38 7659.6924),(39 7665.6772),(40 7605.311),(41 7567.932),(42 7586.9463),(43 7543.1226),(44 7495.104),(45 7421.9097),(46 7337.52),(47 7268.2944),(48 7214.8555),(49 7168.8364),(50 7099.4087),(51 7075.2646),(52 7075.2876),(53 7090.5127),(54 7082.809),(55 7096.2334),(56 7129.145),(57 7172.552),(58 7208.054),(59 7230.9043),(60 7224.996),(61 7299.1406),(62 7338.619),(63 7455.8164),(64 7536.259),(65 7548.1377),(66 7627.163),(67 7653.591),(68 7643.9976),(69 7651.722),(70 7670.5234),(71 7687.7896),(72 7698.459),(73 7697.439),(74 7692.283),(75 7687.6846),(76 7696.4404),(77 7698.992),(78 7739.963),(79 7762.236),
(1 1404.3778),(2 2493.3743),(3 3518.6753),(4 4426.51),(5 5264.8374),(6 6055.761),(7 6702.634),(8 7271.5654),(9 7646.4487),(10 7875.8545),(11 8014.205),(12 8034.9717),(13 7935.673),(14 7757.327),(15 7593.3013),(16 7449.426),(17 7434.661),(18 7439.904),(19 7482.371),(20 7498.242),(21 7562.0884),(22 7574.068),(23 7563.1123),(24 7610.9346),(25 7616.607),(26 7725.5586),(27 7812.374),(28 7858.0073),(29 7850.2017),(30 7894.138),(31 7962.846),(32 7955.028),(33 7956.303),(34 7989.101),(35 8009.189),(36 8058.416),(37 8102.832),(38 8081.908),(39 8050.1367),(40 7957.9653),(41 7953.4116),(42 7942.544),(43 7942.0376),(44 7908.4736),(45 7800.4414),(46 7712.478),(47 7610.829),(48 7501.4443),(49 7435.958),(50 7369.407),(51 7318.034),(52 7318.3374),(53 7374.969),(54 7376.794),(55 7332.894),(56 7340.261),(57 7400.073),(58 7437.172),(59 7456.6475),(60 7456.594),(61 7531.4663),(62 7591.2905),(63 7696.411),(64 7755.8545),(65 7790.293),(66 7888.4414),(67 7959.0483),(68 7980.8013),(69 7944.59),(70 7995.396),(71 8010.963),(72 8029.0215),(73 8002.2764),(74 7997.078),(75 8001.4395),(76 8035.2783),(77 8042.665),(78 8124.896),(79 8163.636),
(1 1371.9823),(2 2478.6453),(3 3443.0635),(4 4251.7393),(5 4985.203),(6 5653.5728),(7 6188.7734),(8 6706.5723),(9 7029.1997),(10 7238.072),(11 7351.8003),(12 7357.164),(13 7258.4326),(14 7142.329),(15 6953.8794),(16 6876.6323),(17 6890.973),(18 6831.886),(19 6826.6816),(20 6845.2095),(21 6881.97),(22 6888.248),(23 6947.977),(24 6997.9463),(25 7066.2095),(26 7135.502),(27 7235.587),(28 7301.3823),(29 7293.3193),(30 7318.992),(31 7339.65),(32 7310.3477),(33 7357.7646),(34 7403.901),(35 7448.7837),(36 7539.372),(37 7579.5356),(38 7548.2417),(39 7592.9014),(40 7505.6406),(41 7491.847),(42 7520.51),(43 7494.1963),(44 7462.679),(45 7371.1196),(46 7322.7217),(47 7243.4785),(48 7151.2686),(49 7118.4946),(50 7060.2017),(51 7001.08),(52 6975.515),(53 6995.947),(54 6969.1777),(55 6947.5854),(56 6912.6426),(57 6923.5835),(58 6952.297),(59 6956.7065),(60 6956.909),(61 7017.066),(62 7052.072),(63 7132.428),(64 7189.75),(65 7233.2075),(66 7294.9526),(67 7360.97),(68 7431.1187),(69 7472.488),(70 7520.173),(71 7569.2036),(72 7598.593),(73 7539.2974),(74 7539.467),(75 7539.4766),(76 7574.1123),(77 7587.178),(78 7573.913),(79 7536.3115),
(1 1359.7859),(2 2383.3135),(3 3305.4673),(4 4117.354),(5 4849.2295),(6 5519.5884),(7 6014.985),(8 6486.093),(9 6836.9243),(10 7057.471),(11 7144.651),(12 7146.8906),(13 7054.414),(14 6917.0854),(15 6746.6494),(16 6657.5034),(17 6663.6147),(18 6656.8027),(19 6668.679),(20 6693.9316),(21 6682.9644),(22 6682.679),(23 6682.49),(24 6729.3394),(25 6792.3335),(26 6823.632),(27 6875.504),(28 6908.712),(29 6857.8257),(30 6848.2246),(31 6914.454),(32 6894.57),(33 6942.8975),(34 6980.6084),(35 7090.2188),(36 7147.313),(37 7172.738),(38 7183.463),(39 7217.1284),(40 7194.88),(41 7176.062),(42 7148.293),(43 7124.246),(44 7096.0054),(45 7034.192),(46 6998.0703),(47 6921.202),(48 6835.6494),(49 6832.6167),(50 6848.4043),(51 6846.3765),(52 6848.3115),(53 6827.1167),(54 6798.839),(55 6827.187),(56 6841.3545),(57 6855.3994),(58 6873.671),(59 6924.3374),(60 6933.382),(61 6949.7603),(62 7006.33),(63 7086.1563),(64 7099.5474),(65 7138.7144),(66 7196.429),(67 7183.6885),(68 7171.7246),(69 7189.6504),(70 7189.2007),(71 7210.3677),(72 7189.675),(73 7181.1196),(74 7224.9263),(75 7259.552),(76 7287.903),(77 7309.056),(78 7298.3916),(79 7290.677),
(1 1349.8551),(2 2370.6545),(3 3278.5984),(4 4053.3567),(5 4745.591),(6 5356.8564),(7 5846.568),(8 6333.1416),(9 6710.3),(10 6964.465),(11 7112.545),(12 7170.396),(13 7127.7866),(14 6971.0713),(15 6807.95),(16 6732.708),(17 6814.4644),(18 6834.6577),(19 6988.614),(20 7044.7715),(21 7072.216),(22 7101.2974),(23 7129.7603),(24 7205.2197),(25 7298.6636),(26 7416.597),(27 7491.583),(28 7585.19),(29 7579.759),(30 7624.369),(31 7666.9683),(32 7624.8896),(33 7631.8135),(34 7655.156),(35 7653.7944),(36 7676.568),(37 7732.0674),(38 7680.879),(39 7735.5645),(40 7707.736),(41 7696.408),(42 7680.5996),(43 7588.2393),(44 7572.959),(45 7517.654),(46 7431.155),(47 7296.2925),(48 7218.2354),(49 7159.2983),(50 7129.715),(51 7152.0356),(52 7139.236),(53 7134.08),(54 7149.569),(55 7133.493),(56 7095.4434),(57 7074.9595),(58 7062.221),(59 7028.0713),(60 6993.482),(61 6951.761),(62 6881.5093),(63 6917.0615),(64 6940.8594),(65 6950.6113),(66 6989.918),(67 7028.4375),(68 7128.663),(69 7123.6416),(70 7174.092),(71 7179.801),(72 7219.2075),(73 7264.7725),(74 7269.2217),(75 7334.8813),(76 7357.865),(77 7365.2944),(78 7352.7373),(79 7336.628),
(1 1293.8944),(2 2282.9944),(3 3158.3208),(4 3955.4744),(5 4669.4907),(6 5288.5215),(7 5746.9243),(8 6235.0435),(9 6541.2837),(10 6736.5977),(11 6818.7974),(12 6815.8564),(13 6776.141),(14 6619.5557),(15 6494.8613),(16 6405.1416),(17 6363.191),(18 6339.9917),(19 6382.4053),(20 6350.498),(21 6355.7026),(22 6391.416),(23 6374.74),(24 6397.9985),(25 6404.441),(26 6425.4043),(27 6479.737),(28 6551.267),(29 6590.349),(30 6662.4976),(31 6751.5776),(32 6795.5356),(33 6806.4854),(34 6883.3413),(35 6932.277),(36 6988.1333),(37 7078.5474),(38 7098.6665),(39 7169.5405),(40 7182.4165),(41 7179.4116),(42 7138.681),(43 7103.9907),(44 7081.702),(45 7016.6567),(46 6962.4526),(47 6906.489),(48 6855.101),(49 6799.2007),(50 6769.5854),(51 6765.8984),(52 6754.7695),(53 6727.3325),(54 6750.097),(55 6767.5874),(56 6718.3623),(57 6716.731),(58 6707.7095),(59 6706.151),(60 6661.9536),(61 6632.3394),(62 6614.069),(63 6686.4697),(64 6741.6953),(65 6748.5874),(66 6831.2583),(67 6824.4307),(68 6823.3584),(69 6846.3135),(70 6869.265),(71 6920.9907),(72 6957.391),(73 6963.954),(74 6968.462),(75 7017.6055),(76 7063.887),(77 7092.3804),(78 7094.5713),(79 7111.2534),
(1 1307.0212),(2 2295.516),(3 3179.8384),(4 3941.689),(5 4617.069),(6 5210.496),(7 5699.32),(8 6184.3413),(9 6462.775),(10 6652.3037),(11 6759.077),(12 6784.3467),(13 6756.9717),(14 6664.9814),(15 6575.4946),(16 6522.6035),(17 6509.8945),(18 6508.8115),(19 6504.4365),(20 6493.9253),(21 6543.161),(22 6539.677),(23 6476.612),(24 6526.938),(25 6510.82),(26 6548.9766),(27 6610.4736),(28 6642.2437),(29 6669.8096),(30 6724.6772),(31 6761.6567),(32 6792.595),(33 6819.261),(34 6859.25),(35 6953.965),(36 7020.0615),(37 7100.7695),(38 7127.237),(39 7150.913),(40 7110.4155),(41 7118.1064),(42 7191.57),(43 7147.397),(44 7146.9033),(45 7091.093),(46 7072.438),(47 6993.9683),(48 6949.397),(49 6906.482),(50 6877.347),(51 6882.867),(52 6867.718),(53 6847.0337),(54 6811.1865),(55 6775.333),(56 6756.404),(57 6705.4097),(58 6673.3467),(59 6670.465),(60 6624.187),(61 6612.3516),(62 6630.8345),(63 6686.5034),(64 6726.398),(65 6753.8965),(66 6847.965),(67 6859.9014),(68 6883.1665),(69 6929.786),(70 7002.492),(71 7055.105),(72 7068.703),(73 7130.6313),(74 7130.5566),(75 7164.6465),(76 7189.0913),(77 7240.217),(78 7208.725),(79 7209.3545),
(1 1282.2383),(2 2221.6057),(3 3041.4595),(4 3757.6072),(5 4405.079),(6 4950.8755),(7 5359.942),(8 5751.2715),(9 5996.969),(10 6136.7324),(11 6203.3047),(12 6255.608),(13 6227.798),(14 6141.4385),(15 6055.582),(16 6025.4287),(17 6035.5083),(18 6024.495),(19 6046.573),(20 6052.213),(21 6079.308),(22 6106.2876),(23 6103.0425),(24 6144.719),(25 6141.832),(26 6175.3154),(27 6216.14),(28 6256.4155),(29 6288.324),(30 6298.385),(31 6328.8296),(32 6341.993),(33 6355.506),(34 6392.568),(35 6465.09),(36 6544.5444),(37 6587.705),(38 6638.107),(39 6674.855),(40 6614.337),(41 6605.6714),(42 6632.934),(43 6621.9253),(44 6583.0786),(45 6518.326),(46 6540.4155),(47 6475.5244),(48 6443.4155),(49 6378.2417),(50 6372.188),(51 6369.395),(52 6414.847),(53 6416.324),(54 6419.812),(55 6439.906),(56 6442.823),(57 6418.426),(58 6387.254),(59 6413.007),(60 6367.8247),(61 6378.394),(62 6442.5854),(63 6481.629),(64 6521.2876),(65 6511.1187),(66 6545.761),(67 6550.3228),(68 6528.0107),(69 6554.8247),(70 6568.415),(71 6580.568),(72 6562.757),(73 6571.824),(74 6571.644),(75 6557.9824),(76 6566.831),(77 6558.307),(78 6488.633),(79 6487.58),
(1 1266.5219),(2 2180.886),(3 3003.2444),(4 3742.5735),(5 4402.8784),(6 4967.979),(7 5394.5674),(8 5840.7983),(9 6090.7417),(10 6251.7207),(11 6305.1357),(12 6329.727),(13 6231.3643),(14 6084.6157),(15 5936.0625),(16 5851.5),(17 5843.4224),(18 5792.9727),(19 5823.4863),(20 5832.8647),(21 5829.3726),(22 5858.4727),(23 5907.5005),(24 5990.5933),(25 6005.5713),(26 6100.2207),(27 6177.7944),(28 6259.641),(29 6299.816),(30 6337.6294),(31 6373.912),(32 6379.682),(33 6398.158),(34 6479.4976),(35 6506.5723),(36 6570.1875),(37 6624.955),(38 6666.988),(39 6728.579),(40 6721.4126),(41 6716.01),(42 6752.484),(43 6715.389),(44 6702.6826),(45 6639.4453),(46 6617.545),(47 6579.61),(48 6560.1064),(49 6549.114),(50 6534.9946),(51 6528.099),(52 6570.8823),(53 6564.603),(54 6603.8647),(55 6596.4243),(56 6608.954),(57 6600.32),(58 6586.83),(59 6565.6455),(60 6523.192),(61 6549.2505),(62 6548.6206),(63 6541.8667),(64 6540.618),(65 6576.2524),(66 6575.019),(67 6584.4067),(68 6613.4),(69 6585.549),(70 6650.0015),(71 6669.3174),(72 6661.664),(73 6664.6704),(74 6704.2925),(75 6744.1416),(76 6766.5073),(77 6793.776),(78 6771.7754),(79 6760.6724),
(1 1267.7313),(2 2202.7666),(3 3043.3657),(4 3793.0818),(5 4468.1807),(6 5052.9927),(7 5521.213),(8 5958.4746),(9 6231.0977),(10 6394.75),(11 6478.0728),(12 6491.144),(13 6463.4478),(14 6337.3037),(15 6191.3696),(16 6095.091),(17 6079.8413),(18 6018.976),(19 6023.7163),(20 6028.8745),(21 6045.643),(22 6071.6846),(23 6105.6475),(24 6175.209),(25 6175.8076),(26 6260.0186),(27 6320.461),(28 6393.982),(29 6394.564),(30 6406.5645),(31 6433.321),(32 6434.4326),(33 6433.7446),(34 6454.9136),(35 6492.047),(36 6530.7734),(37 6603.6416),(38 6662.1787),(39 6701.914),(40 6713.525),(41 6737.282),(42 6766.239),(43 6749.355),(44 6751.3887),(45 6743.6523),(46 6733.647),(47 6698.179),(48 6712.7334),(49 6684.4644),(50 6670.294),(51 6670.259),(52 6711.4175),(53 6725.814),(54 6748.988),(55 6752.3906),(56 6749.754),(57 6759.243),(58 6776.2925),(59 6764.401),(60 6737.32),(61 6797.2334),(62 6806.6523),(63 6856.4326),(64 6849.5557),(65 6858.5586),(66 6888.0015),(67 6865.1265),(68 6833.6455),(69 6764.6304),(70 6670.6914),(71 6643.625),(72 6618.327),(73 6534.393),(74 6512.857),(75 6508.23),(76 6535.0073),(77 6572.0894),(78 6577.8037),(79 6545.7505),
(1 1248.8904),(2 2147.0366),(3 3005.7517),(4 3763.895),(5 4459.37),(6 5078.5293),(7 5555.5127),(8 6009.1357),(9 6311.0576),(10 6542.202),(11 6634.964),(12 6689.5303),(13 6664.1836),(14 6565.6953),(15 6456.934),(16 6334.54),(17 6321.9937),(18 6275.6157),(19 6335.5923),(20 6338.848),(21 6375.174),(22 6412.774),(23 6450.3276),(24 6513.7256),(25 6496.936),(26 6554.6353),(27 6586.834),(28 6593.062),(29 6598.9624),(30 6608.1924),(31 6640.4077),(32 6653.6543),(33 6670.888),(34 6705.1953),(35 6745.382),(36 6803.9263),(37 6830.506),(38 6856.3696),(39 6903.988),(40 6876.1084),(41 6908.782),(42 6923.308),(43 6922.5415),(44 6902.998),(45 6898.0723),(46 6882.646),(47 6818.9033),(48 6778.7544),(49 6772.6313),(50 6772.0044),(51 6766.1436),(52 6778.1196),(53 6776.7324),(54 6816.706),(55 6830.6143),(56 6804.9946),(57 6798.0967),(58 6800.7715),(59 6769.6714),(60 6771.6367),(61 6844.5146),(62 6863.6807),(63 6919.8555),(64 6957.272),(65 6986.7563),(66 7037.6963),(67 7053.396),(68 7056.9077),(69 7044.186),(70 6995.8228),(71 7016.294),(72 7011.3745),(73 6972.9336),(74 6982.052),(75 6983.8286),(76 6971.3936),(77 6970.0337),(78 6980.9004),(79 6970.5137),
(1 1202.1113),(2 2107.3896),(3 2944.1978),(4 3697.8184),(5 4398.129),(6 5011.161),(7 5493.5273),(8 5911.818),(9 6173.692),(10 6347.9575),(11 6440.5557),(12 6448.378),(13 6397.166),(14 6307.617),(15 6174.465),(16 6098.664),(17 6093.5757),(18 6084.437),(19 6051.5684),(20 6026.2397),(21 6046.7305),(22 6075.6885),(23 6057.288),(24 6133.2114),(25 6159.577),(26 6214.442),(27 6267.9355),(28 6320.775),(29 6324.275),(30 6317.7593),(31 6330.2983),(32 6355.5664),(33 6371.5845),(34 6409.138),(35 6439.214),(36 6473.1997),(37 6514.943),(38 6596.7227),(39 6651.687),(40 6648.0156),(41 6640.0684),(42 6659.348),(43 6671.7236),(44 6654.5547),(45 6642.255),(46 6660.726),(47 6658.3213),(48 6646.7705),(49 6611.0713),(50 6608.379),(51 6600.3726),(52 6584.8516),(53 6586.7114),(54 6590.458),(55 6556.274),(56 6572.7837),(57 6548.0547),(58 6531.8794),(59 6499.1597),(60 6502.8237),(61 6512.3345),(62 6562.7173),(63 6615.295),(64 6660.8315),(65 6674.2207),(66 6697.075),(67 6695.46),(68 6712.304),(69 6689.9473),(70 6677.5117),(71 6664.295),(72 6661.6104),(73 6664.0317),(74 6692.907),(75 6750.2744),(76 6742.0957),(77 6784.9473),(78 6778.589),(79 6766.044),
(1 1201.0665),(2 2067.7659),(3 2839.986),(4 3509.7314),(5 4105.486),(6 4621.138),(7 5022.072),(8 5404.12),(9 5629.6177),(10 5799.3423),(11 5865.0215),(12 5850.2036),(13 5817.016),(14 5768.3315),(15 5676.7676),(16 5600.5776),(17 5564.38),(18 5546.3755),(19 5511.9404),(20 5510.65),(21 5515.0566),(22 5500.392),(23 5493.971),(24 5521.6646),(25 5544.7744),(26 5594.991),(27 5648.4785),(28 5681.631),(29 5714.095),(30 5723.9116),(31 5784.5625),(32 5794.7935),(33 5821.838),(34 5899.141),(35 5933.8237),(36 5992.0415),(37 6109.777),(38 6148.5815),(39 6217.013),(40 6190.0825),(41 6190.4595),(42 6201.2124),(43 6194.3145),(44 6208.661),(45 6180.0244),(46 6180.808),(47 6180.8335),(48 6125.2876),(49 6107.6865),(50 6126.9136),(51 6100.1016),(52 6067.783),(53 6111.189),(54 6131.2813),(55 6141.033),(56 6156.879),(57 6150.987),(58 6155.113),(59 6146.7505),(60 6169.019),(61 6235.993),(62 6316.2354),(63 6331.2075),(64 6388.0854),(65 6427.069),(66 6463.445),(67 6432.261),(68 6398.1685),(69 6393.367),(70 6385.231),(71 6388.021),(72 6364.7603),(73 6326.0737),(74 6334.2773),(75 6339.7876),(76 6316.2266),(77 6308.3965),(78 6272.235),(79 6211.4814),
(1 1196.8809),(2 2025.0299),(3 2764.836),(4 3418.7095),(5 4032.2612),(6 4535.4),(7 4945.165),(8 5343.436),(9 5571.111),(10 5777.9106),(11 5877.45),(12 5905.1934),(13 5919.293),(14 5894.413),(15 5806.7847),(16 5741.1494),(17 5747.8716),(18 5747.586),(19 5784.986),(20 5810.371),(21 5855.682),(22 5872.5283),(23 5890.419),(24 5941.7334),(25 5918.9976),(26 5963.652),(27 5985.4536),(28 6049.413),(29 6101.996),(30 6088.957),(31 6088.2056),(32 6080.2183),(33 6076.939),(34 6098.5537),(35 6111.457),(36 6135.3887),(37 6220.4917),(38 6199.782),(39 6275.9287),(40 6285.907),(41 6288.7744),(42 6298.496),(43 6280.3804),(44 6256.823),(45 6227.578),(46 6203.7705),(47 6171.1475),(48 6109.998),(49 6075.445),(50 6055.439),(51 6046.806),(52 6067.5723),(53 6113.4785),(54 6171.3823),(55 6176.6553),(56 6211.9883),(57 6206.298),(58 6204.7344),(59 6230.2617),(60 6247.3906),(61 6301.1035),(62 6320.5825),(63 6360.4927),(64 6393.1187),(65 6465.2617),(66 6516.4805),(67 6563.5103),(68 6589.877),(69 6643.976),(70 6630.068),(71 6670.3887),(72 6712.9453),(73 6662.2314),(74 6637.8545),(75 6643.452),(76 6654.2866),(77 6659.675),(78 6629.5337),(79 6586.246),
(1 1192.1768),(2 2025.1447),(3 2799.7336),(4 3460.5122),(5 4064.1208),(6 4588.9824),(7 5019.8267),(8 5438.2515),(9 5684.3955),(10 5918.359),(11 6050.735),(12 6087.4146),(13 6065.6934),(14 6016.0586),(15 5915.6064),(16 5853.7783),(17 5842.7036),(18 5811.6855),(19 5809.8076),(20 5792.666),(21 5802.2544),(22 5805.5923),(23 5824.8916),(24 5875.1772),(25 5855.447),(26 5903.7305),(27 5985.286),(28 6012.059),(29 6057.4556),(30 6102.4937),(31 6141.2686),(32 6157.4595),(33 6175.966),(34 6230.8516),(35 6265.4673),(36 6289.9463),(37 6376.2744),(38 6401.2114),(39 6432.754),(40 6432.2344),(41 6418.4297),(42 6427.9946),(43 6447.5093),(44 6442.6675),(45 6469.9214),(46 6448.8516),(47 6423.5845),(48 6391.5205),(49 6345.027),(50 6354.21),(51 6345.2793),(52 6333.7725),(53 6295.8047),(54 6316.5674),(55 6271.802),(56 6240.1084),(57 6230.4766),(58 6259.0635),(59 6272.802),(60 6265.1133),(61 6327.66),(62 6416.893),(63 6474.2),(64 6500.5093),(65 6561.996),(66 6609.3936),(67 6617.0493),(68 6600.784),(69 6596.6074),(70 6579.2026),(71 6585.9526),(72 6561.5405),(73 6479.0137),(74 6407.851),(75 6379.24),(76 6345.4834),(77 6334.1064),(78 6315.784),(79 6273.0435),
(1 1152.1577),(2 2018.5885),(3 2803.7253),(4 3475.5142),(5 4073.2178),(6 4585.0234),(7 5004.668),(8 5422.245),(9 5690.55),(10 5898.0313),(11 6008.416),(12 6016.009),(13 5977.6323),(14 5916.9683),(15 5824.632),(16 5765.7896),(17 5779.13),(18 5769.3823),(19 5844.035),(20 5855.4976),(21 5941.661),(22 6006.3657),(23 6032.1836),(24 6085.9634),(25 6046.4346),(26 6092.471),(27 6146.831),(28 6179.4834),(29 6206.829),(30 6225.192),(31 6259.385),(32 6275.242),(33 6271.515),(34 6284.2993),(35 6276.277),(36 6270.6294),(37 6307.533),(38 6284.1143),(39 6311.208),(40 6328.082),(41 6295.0186),(42 6273.6626),(43 6235.7495),(44 6228.9443),(45 6248.643),(46 6222.508),(47 6181.595),(48 6161.919),(49 6123.8184),(50 6106.1865),(51 6080.256),(52 6079.3823),(53 6119.57),(54 6167.0537),(55 6140.2607),(56 6155.969),(57 6159.0225),(58 6161.7505),(59 6160.7993),(60 6191.161),(61 6239.6074),(62 6282.2744),(63 6303.0747),(64 6311.6987),(65 6335.3364),(66 6384.133),(67 6392.8135),(68 6330.95),(69 6288.585),(70 6280.46),(71 6242.693),(72 6209.859),(73 6187.3857),(74 6165.88),(75 6186.542),(76 6185.178),(77 6219.7534),(78 6256.864),(79 6255.9395),
