1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 196009.19),(2 710338.2),(3 1457308),(4 2307633.8),(5 3225780),(6 4162388.8),(7 5049569.5),(8 5923892),(9 6726832),(10 7554110),(11 8528691),(12 9454508),(13 10412235),(14 11324301),(15 11991291),(16 12629123),(17 13236179),(18 13854272),(19 14420005),(20 14823036),(21 15261256),(22 15627435),(23 15709832),(24 15701704),(25 15633560),(26 15628277),(27 15687955),(28 15942365),(29 16379875),(30 17101696),(31 17923294),(32 18790328),(33 19381064),(34 19784264),(35 20170422),(36 20513216),(37 20707066),(38 20883256),(39 21300574),(40 21838496),(41 22642042),(42 23507760),(43 24391958),(44 25365534),(45 26340842),(46 27074362),(47 27673930),(48 27977994),(49 27876198),(50 27612822),(51 27383818),(52 27150726),(53 26992470),(54 26875144),(55 26871834),(56 27006402),(57 27394352),(58 27822848),(59 28306282),(60 28745554),(61 29114554),(62 29454474),(63 29795184),(64 29897630),(65 29971096),(66 29975090),(67 29858208),(68 29891606),(69 29818302),(70 29835526),(71 29963962),(72 30234306),(73 30643246),(74 31080814),(75 31560970),(76 32235830),(77 32982754),(78 33548784),(79 33895852),
(1 323.68878),(2 443.27826),(3 501.07898),(4 520.74695),(5 542.8205),(6 556.8095),(7 554.963),(8 568.1541),(9 577.94116),(10 585.89056),(11 592.759),(12 593.89105),(13 588.601),(14 581.8238),(15 588.3668),(16 598.86707),(17 603.7298),(18 605.9724),(19 611.0153),(20 610.2299),(21 608.89435),(22 615.87134),(23 619.25934),(24 618.4817),(25 621.2507),(26 627.287),(27 627.29974),(28 629.2371),(29 623.6335),(30 623.6757),(31 629.0391),(32 630.0007),(33 638.8131),(34 640.96063),(35 639.8323),(36 637.47455),(37 642.1374),(38 649.7668),(39 643.318),(40 639.57764),(41 637.38556),(42 648.5521),(43 649.5553),(44 654.6941),(45 647.3184),(46 649.70123),(47 656.78357),(48 657.2964),(49 651.3056),(50 659.0319),(51 662.99347),(52 664.38257),(53 660.29626),(54 654.0938),(55 655.58765),(56 656.06354),(57 656.3745),(58 654.7146),(59 644.9323),(60 647.71173),(61 648.49554),(62 645.3321),(63 647.2759),(64 642.6889),(65 644.34454),(66 644.005),(67 637.5194),(68 640.7496),(69 633.852),(70 631.61163),(71 631.0337),(72 636.4497),(73 636.74036),(74 642.1858),(75 639.24164),(76 632.9705),(77 632.91016),(78 635.17505),(79 648.45795),
(1 317.69897),(2 424.11563),(3 486.0716),(4 503.96408),(5 521.42145),(6 539.43494),(7 549.29004),(8 545.1699),(9 553.0598),(10 567.0189),(11 576.2143),(12 575.83057),(13 576.0537),(14 574.1709),(15 566.5166),(16 570.57684),(17 583.79),(18 593.542),(19 595.136),(20 590.7839),(21 593.34674),(22 590.7334),(23 593.04535),(24 594.1797),(25 598.9106),(26 601.5851),(27 608.6966),(28 611.6226),(29 607.98486),(30 600.11145),(31 602.6861),(32 604.34296),(33 605.32324),(34 610.2784),(35 609.4642),(36 613.07166),(37 621.0883),(38 625.54395),(39 623.12494),(40 625.2699),(41 622.66077),(42 624.9601),(43 628.3496),(44 628.35223),(45 628.16406),(46 632.1554),(47 642.3989),(48 646.16064),(49 645.421),(50 648.7956),(51 647.7315),(52 646.58826),(53 648.5085),(54 649.944),(55 660.42267),(56 652.6845),(57 649.0978),(58 641.7755),(59 639.88446),(60 639.0913),(61 630.72437),(62 630.8058),(63 633.07306),(64 626.3573),(65 624.96375),(66 629.14307),(67 623.11176),(68 616.5128),(69 612.36115),(70 616.80316),(71 618.1711),(72 616.23737),(73 619.1572),(74 627.0832),(75 617.98627),(76 612.4473),(77 619.84406),(78 623.5636),(79 628.1391),
(1 303.73935),(2 411.22458),(3 480.12805),(4 500.25598),(5 511.1014),(6 520.02716),(7 526.80133),(8 533.2087),(9 539.9297),(10 559.4291),(11 571.0629),(12 568.03406),(13 569.8193),(14 578.32465),(15 570.0449),(16 573.7936),(17 571.63446),(18 586.8987),(19 590.5546),(20 586.7352),(21 588.78015),(22 589.2944),(23 588.88245),(24 586.7584),(25 592.8621),(26 604.11426),(27 606.0929),(28 609.4964),(29 607.7489),(30 601.5658),(31 598.4745),(32 606.03516),(33 615.7633),(34 617.5381),(35 615.4221),(36 614.46185),(37 622.6665),(38 622.2996),(39 628.69775),(40 627.1826),(41 628.7444),(42 631.1703),(43 627.25964),(44 625.24207),(45 636.4554),(46 640.2098),(47 651.1314),(48 654.3557),(49 653.37866),(50 652.9394),(51 653.35376),(52 655.7819),(53 655.33887),(54 652.69525),(55 657.387),(56 651.6101),(57 658.5501),(58 649.4824),(59 648.5552),(60 637.22626),(61 633.6856),(62 629.544),(63 628.24347),(64 625.85785),(65 630.41547),(66 631.54565),(67 630.6606),(68 623.33545),(69 616.8397),(70 620.35345),(71 622.28894),(72 625.7576),(73 625.5296),(74 625.0155),(75 622.2369),(76 630.2841),(77 628.193),(78 631.63367),(79 624.9735),
(1 300.11533),(2 408.67984),(3 468.15512),(4 488.49326),(5 500.17316),(6 516.0838),(7 524.89417),(8 528.06396),(9 527.03735),(10 535.14105),(11 543.75415),(12 545.9529),(13 548.92944),(14 550.8221),(15 549.4108),(16 546.583),(17 551.3996),(18 558.28644),(19 563.7417),(20 554.32),(21 556.72504),(22 561.56946),(23 558.7796),(24 561.7557),(25 562.91516),(26 565.087),(27 579.34155),(28 581.1318),(29 588.2086),(30 582.4455),(31 580.5221),(32 582.10333),(33 593.241),(34 588.15985),(35 578.51984),(36 587.9861),(37 595.91345),(38 590.7117),(39 596.87537),(40 598.8368),(41 602.07513),(42 607.7901),(43 608.04315),(44 607.805),(45 609.64185),(46 610.7033),(47 615.0303),(48 619.52106),(49 617.7372),(50 615.76575),(51 615.0271),(52 614.88745),(53 622.71924),(54 620.58154),(55 616.86865),(56 613.0238),(57 608.47485),(58 609.38837),(59 607.4654),(60 600.2426),(61 594.08124),(62 599.1554),(63 589.2504),(64 594.9237),(65 598.90137),(66 608.84515),(67 598.0549),(68 589.47076),(69 586.56976),(70 586.53864),(71 593.3246),(72 595.3119),(73 592.8685),(74 592.59204),(75 591.9344),(76 592.2565),(77 597.5239),(78 601.2618),(79 594.0371),
(1 292.5902),(2 394.92932),(3 447.3155),(4 475.90826),(5 491.7172),(6 516.1173),(7 521.9299),(8 520.57764),(9 516.1748),(10 526.30096),(11 537.31256),(12 542.1253),(13 546.8515),(14 555.1686),(15 556.47656),(16 557.09406),(17 560.89905),(18 560.9345),(19 557.7757),(20 554.622),(21 560.33496),(22 558.7051),(23 553.7949),(24 555.161),(25 554.4681),(26 559.55865),(27 563.3777),(28 564.0214),(29 568.9108),(30 575.91034),(31 577.58594),(32 583.22986),(33 585.15735),(34 578.2511),(35 569.9907),(36 570.3784),(37 575.1197),(38 584.95654),(39 589.42163),(40 593.53046),(41 594.2473),(42 601.15753),(43 599.65326),(44 599.6239),(45 600.218),(46 609.29803),(47 606.84326),(48 610.79114),(49 607.92944),(50 606.60455),(51 605.118),(52 605.9409),(53 611.5434),(54 608.61395),(55 616.7793),(56 622.847),(57 617.17285),(58 607.93414),(59 608.1123),(60 600.3734),(61 594.9747),(62 600.12946),(63 598.00684),(64 596.8037),(65 601.495),(66 603.72943),(67 605.644),(68 601.1631),(69 593.7306),(70 588.7967),(71 592.9251),(72 600.1685),(73 598.2226),(74 594.8736),(75 596.5969),(76 595.8115),(77 596.7895),(78 596.2126),(79 594.97797),
(1 282.7995),(2 383.9878),(3 436.1141),(4 454.67618),(5 472.14142),(6 493.53842),(7 498.1715),(8 508.1512),(9 511.7207),(10 518.007),(11 518.80994),(12 523.5944),(13 533.408),(14 536.4417),(15 534.1956),(16 534.25854),(17 540.18317),(18 548.64166),(19 541.5479),(20 535.9163),(21 534.6782),(22 529.7249),(23 524.0514),(24 523.2993),(25 531.9891),(26 532.0271),(27 530.896),(28 532.2731),(29 537.6542),(30 537.42334),(31 536.11316),(32 541.7258),(33 540.9895),(34 531.7941),(35 537.06354),(36 542.3092),(37 543.35443),(38 548.6862),(39 545.5413),(40 556.6255),(41 559.6064),(42 562.418),(43 561.3167),(44 561.5608),(45 568.53076),(46 573.512),(47 575.4033),(48 586.9662),(49 578.1325),(50 582.13135),(51 574.1684),(52 577.8195),(53 579.4935),(54 581.62756),(55 583.3692),(56 584.70935),(57 578.4327),(58 564.6053),(59 565.0097),(60 562.9334),(61 565.5387),(62 566.78204),(63 562.1089),(64 560.4387),(65 564.8484),(66 570.9278),(67 573.27203),(68 571.71155),(69 573.895),(70 572.38666),(71 573.1578),(72 575.3164),(73 572.45404),(74 579.1798),(75 576.62823),(76 580.12555),(77 576.53455),(78 576.82623),(79 580.687),
(1 272.1011),(2 361.92807),(3 419.0851),(4 434.58026),(5 442.19113),(6 459.42303),(7 463.513),(8 473.40958),(9 480.04065),(10 488.73898),(11 488.35065),(12 495.3282),(13 497.2059),(14 498.85568),(15 495.94452),(16 498.74936),(17 506.43384),(18 512.12384),(19 509.0298),(20 510.74237),(21 507.69305),(22 508.5609),(23 508.73502),(24 509.32202),(25 511.39673),(26 506.39523),(27 514.65643),(28 514.78577),(29 521.9108),(30 524.31525),(31 523.4558),(32 522.78186),(33 530.37933),(34 529.46893),(35 531.5218),(36 536.0688),(37 538.15466),(38 541.5792),(39 544.2753),(40 549.8427),(41 546.4951),(42 548.8638),(43 547.3966),(44 546.6182),(45 554.96924),(46 555.38055),(47 561.24713),(48 563.80743),(49 562.97186),(50 565.8482),(51 558.63544),(52 555.438),(53 558.09753),(54 556.64374),(55 556.6807),(56 554.89856),(57 558.0892),(58 555.14233),(59 549.455),(60 545.7336),(61 543.05756),(62 539.75934),(63 538.2581),(64 537.268),(65 536.8878),(66 535.5323),(67 538.78516),(68 544.7675),(69 542.9136),(70 544.45734),(71 542.3794),(72 541.34454),(73 539.7724),(74 539.49286),(75 530.21027),(76 531.9377),(77 533.7136),(78 532.6376),(79 531.9216),
(1 273.09814),(2 368.5258),(3 424.3863),(4 443.74756),(5 452.66788),(6 467.15582),(7 464.97668),(8 471.5292),(9 478.1955),(10 486.8833),(11 488.99646),(12 484.46924),(13 484.70145),(14 481.22168),(15 479.98096),(16 486.19623),(17 495.62085),(18 494.70102),(19 495.11362),(20 499.67267),(21 499.43515),(22 504.18753),(23 502.98026),(24 503.37515),(25 504.6114),(26 497.4235),(27 493.89975),(28 495.6967),(29 500.7615),(30 502.6593),(31 501.77536),(32 503.0355),(33 512.07336),(34 512.9389),(35 516.29694),(36 519.69617),(37 521.0774),(38 531.6841),(39 533.9778),(40 531.54614),(41 537.378),(42 539.16046),(43 535.93884),(44 528.0978),(45 532.9089),(46 532.81824),(47 534.85425),(48 540.2138),(49 541.7859),(50 543.5141),(51 536.73145),(52 533.70276),(53 533.96277),(54 528.5139),(55 531.1812),(56 529.5205),(57 530.0842),(58 532.9203),(59 531.0679),(60 533.5964),(61 529.4676),(62 521.7078),(63 523.95245),(64 524.833),(65 529.56903),(66 527.92786),(67 529.26086),(68 530.5132),(69 530.3354),(70 528.09106),(71 527.9794),(72 527.87494),(73 524.2097),(74 518.44257),(75 520.98016),(76 513.31476),(77 518.1298),(78 517.0315),(79 518.9047),
(1 256.8439),(2 341.4102),(3 388.55),(4 411.3174),(5 421.3293),(6 434.77234),(7 443.96948),(8 450.67197),(9 456.67938),(10 459.10696),(11 467.5382),(12 471.14413),(13 469.8058),(14 475.95654),(15 473.79712),(16 478.39148),(17 484.38773),(18 486.5721),(19 488.49677),(20 485.17398),(21 488.2224),(22 489.36282),(23 485.69098),(24 488.97855),(25 489.90686),(26 490.6992),(27 486.58975),(28 482.51187),(29 491.0844),(30 492.2167),(31 494.84134),(32 498.09033),(33 501.4123),(34 503.0649),(35 513.0554),(36 508.46655),(37 513.50775),(38 520.1841),(39 521.66705),(40 520.12805),(41 516.6946),(42 521.3021),(43 517.84015),(44 519.7704),(45 514.4287),(46 516.19824),(47 518.3291),(48 520.3639),(49 517.63715),(50 523.8817),(51 529.12854),(52 523.1972),(53 517.35834),(54 513.30237),(55 514.9213),(56 514.18884),(57 511.0404),(58 510.44492),(59 506.89462),(60 505.53104),(61 506.825),(62 508.2091),(63 506.39212),(64 506.97388),(65 510.06674),(66 511.76688),(67 513.3304),(68 514.6069),(69 510.59067),(70 511.78098),(71 513.59247),(72 517.1707),(73 514.15436),(74 514.88275),(75 518.4869),(76 511.92795),(77 509.49323),(78 508.2582),(79 502.60614),
(1 255.30132),(2 339.21344),(3 388.9492),(4 406.19766),(5 420.0177),(6 438.11127),(7 446.40695),(8 454.1411),(9 458.9962),(10 462.77716),(11 464.9665),(12 468.0978),(13 469.15103),(14 473.06946),(15 470.38562),(16 470.10806),(17 469.47662),(18 470.9434),(19 471.5695),(20 479.71262),(21 482.5951),(22 481.78708),(23 487.19272),(24 488.00613),(25 488.10922),(26 490.4546),(27 480.5301),(28 480.08545),(29 488.0176),(30 489.90393),(31 494.9394),(32 505.613),(33 512.2911),(34 514.5481),(35 507.3459),(36 505.3695),(37 502.01718),(38 508.05124),(39 506.6737),(40 512.4995),(41 519.61456),(42 519.6611),(43 518.14075),(44 520.4412),(45 521.5229),(46 525.89014),(47 523.68494),(48 525.1475),(49 519.29254),(50 520.8383),(51 521.7597),(52 522.4061),(53 524.7913),(54 518.81726),(55 514.36523),(56 512.75934),(57 511.3178),(58 510.4589),(59 507.4962),(60 502.48755),(61 508.51385),(62 506.283),(63 506.19522),(64 507.47302),(65 510.7589),(66 505.78073),(67 503.10568),(68 507.39505),(69 501.384),(70 501.9195),(71 500.67624),(72 500.284),(73 501.01212),(74 500.52475),(75 500.7912),(76 494.2637),(77 497.79318),(78 504.67072),(79 504.65228),
(1 246.61224),(2 324.9458),(3 372.0983),(4 388.48547),(5 403.12933),(6 416.4895),(7 420.48047),(8 423.7509),(9 428.0997),(10 431.7523),(11 439.34442),(12 442.43427),(13 446.79883),(14 451.9651),(15 454.61612),(16 455.52036),(17 459.47336),(18 454.9651),(19 451.39734),(20 454.95435),(21 457.57043),(22 457.1325),(23 462.8963),(24 461.43924),(25 467.26202),(26 465.40765),(27 460.14792),(28 456.6173),(29 451.6587),(30 449.03748),(31 456.3413),(32 458.16507),(33 459.7459),(34 458.7484),(35 458.8936),(36 461.4725),(37 462.2672),(38 464.82104),(39 466.02612),(40 472.70596),(41 483.03302),(42 481.92404),(43 480.61502),(44 482.9199),(45 486.89258),(46 488.57776),(47 485.70816),(48 491.72702),(49 493.6325),(50 493.60422),(51 490.45877),(52 486.54428),(53 486.7569),(54 489.0463),(55 494.3875),(56 493.04166),(57 484.4553),(58 483.27927),(59 476.8795),(60 475.01508),(61 476.54337),(62 479.06512),(63 483.86072),(64 480.08835),(65 483.76398),(66 478.31598),(67 475.07697),(68 481.07874),(69 478.12924),(70 482.00244),(71 482.62393),(72 477.57104),(73 479.0045),(74 474.7191),(75 478.50626),(76 478.0072),(77 477.2943),(78 484.78998),(79 485.6205),
(1 242.8292),(2 315.29398),(3 357.0038),(4 372.06195),(5 387.7366),(6 400.65863),(7 401.8437),(8 407.06332),(9 411.02432),(10 412.04578),(11 421.61444),(12 423.3071),(13 419.98044),(14 421.6144),(15 426.8228),(16 427.5162),(17 425.3907),(18 425.91388),(19 430.25565),(20 436.30255),(21 439.34186),(22 436.05212),(23 442.55902),(24 443.24875),(25 441.96362),(26 435.99747),(27 439.84174),(28 438.3638),(29 440.79028),(30 442.31345),(31 448.49997),(32 449.46472),(33 448.44183),(34 450.63696),(35 449.77673),(36 448.1901),(37 451.4287),(38 463.73404),(39 466.57),(40 471.60297),(41 474.1184),(42 476.91287),(43 476.39575),(44 479.2904),(45 481.5722),(46 482.65582),(47 485.8948),(48 488.75162),(49 488.6929),(50 488.31723),(51 483.3665),(52 480.20798),(53 484.27048),(54 488.0052),(55 483.72733),(56 478.9744),(57 476.57397),(58 474.9391),(59 474.5132),(60 479.93594),(61 480.91568),(62 473.37714),(63 473.7241),(64 473.46182),(65 475.23697),(66 478.25034),(67 473.4352),(68 474.78354),(69 471.8366),(70 471.11996),(71 468.95343),(72 468.30396),(73 474.51343),(74 469.71527),(75 473.15012),(76 469.77673),(77 466.64728),(78 468.22803),(79 464.81573),
(1 244.00317),(2 324.48373),(3 366.26715),(4 375.96585),(5 385.61786),(6 401.9578),(7 408.663),(8 421.02664),(9 416.38574),(10 417.66605),(11 424.6178),(12 425.93735),(13 428.3936),(14 430.11447),(15 432.87357),(16 434.09106),(17 435.42007),(18 436.01593),(19 435.52682),(20 437.3237),(21 438.87192),(22 438.03262),(23 434.9315),(24 437.66528),(25 441.26752),(26 440.89905),(27 443.67883),(28 446.12354),(29 443.57132),(30 445.11673),(31 449.28604),(32 451.54382),(33 449.9061),(34 450.38977),(35 456.13287),(36 456.45172),(37 456.56464),(38 459.61566),(39 461.45193),(40 463.66116),(41 466.8311),(42 464.68237),(43 464.43558),(44 460.27615),(45 466.22833),(46 470.75024),(47 469.53058),(48 473.8139),(49 476.50037),(50 479.23746),(51 477.76373),(52 479.0214),(53 482.75912),(54 484.55478),(55 479.4379),(56 483.94623),(57 475.68378),(58 471.449),(59 476.44516),(60 470.65552),(61 475.68344),(62 476.14795),(63 476.25467),(64 470.3099),(65 465.22284),(66 467.20468),(67 469.19025),(68 465.87756),(69 464.26248),(70 464.3086),(71 464.5041),(72 461.54578),(73 460.40594),(74 451.65186),(75 451.56924),(76 452.94302),(77 452.06644),(78 455.08636),(79 455.93924),
(1 228.81114),(2 300.52652),(3 336.99005),(4 356.8518),(5 372.42523),(6 377.59796),(7 383.32938),(8 391.1273),(9 391.67273),(10 397.25418),(11 392.9073),(12 397.33655),(13 403.64523),(14 407.32462),(15 406.01645),(16 406.9426),(17 411.03442),(18 413.81125),(19 411.10855),(20 413.01556),(21 416.1242),(22 423.02032),(23 419.04288),(24 421.52246),(25 419.5825),(26 420.9437),(27 423.35095),(28 424.6875),(29 424.33612),(30 423.1319),(31 420.715),(32 421.57922),(33 424.9783),(34 424.81744),(35 426.4239),(36 428.14758),(37 430.77185),(38 429.60663),(39 434.41837),(40 432.53918),(41 436.55722),(42 438.3344),(43 431.787),(44 431.30426),(45 431.595),(46 434.20618),(47 439.634),(48 446.12665),(49 446.44928),(50 440.996),(51 441.06577),(52 447.53265),(53 452.75662),(54 452.88232),(55 452.7858),(56 453.51306),(57 448.1785),(58 443.58527),(59 443.0738),(60 442.99454),(61 448.49017),(62 453.54916),(63 453.91656),(64 447.09207),(65 445.25357),(66 448.0075),(67 452.09598),(68 449.5765),(69 446.89862),(70 444.7073),(71 441.1916),(72 445.07715),(73 444.00742),(74 437.28946),(75 433.5314),(76 438.52386),(77 437.20773),(78 438.6714),(79 444.9926),
(1 233.26213),(2 302.41354),(3 337.98236),(4 351.3226),(5 368.67548),(6 377.2457),(7 383.5827),(8 385.6832),(9 390.21173),(10 393.7519),(11 397.129),(12 397.1134),(13 399.33084),(14 406.55826),(15 401.94952),(16 403.26865),(17 402.06158),(18 410.0557),(19 408.3558),(20 406.38864),(21 407.79044),(22 416.23312),(23 413.40662),(24 412.08398),(25 411.00983),(26 413.68216),(27 414.48892),(28 415.9499),(29 413.4143),(30 414.99384),(31 417.78326),(32 420.34692),(33 418.86234),(34 416.2941),(35 421.41696),(36 421.67508),(37 426.44202),(38 426.60605),(39 423.39975),(40 432.52023),(41 435.88162),(42 436.28745),(43 432.55573),(44 434.35144),(45 434.16678),(46 439.35117),(47 442.59598),(48 450.73526),(49 452.76297),(50 452.49136),(51 446.44205),(52 445.2441),(53 453.35797),(54 455.45587),(55 453.492),(56 457.14594),(57 462.06757),(58 458.1548),(59 454.99377),(60 456.1518),(61 454.11972),(62 456.0834),(63 451.64108),(64 444.35092),(65 448.19324),(66 452.33444),(67 451.3281),(68 448.3589),(69 444.49097),(70 444.54413),(71 447.11475),(72 447.49323),(73 445.027),(74 441.45767),(75 442.5522),(76 440.40686),(77 443.32178),(78 439.99805),(79 444.96384),
(1 230.24658),(2 296.0866),(3 339.56088),(4 351.27332),(5 364.26294),(6 373.0716),(7 374.602),(8 379.5626),(9 383.98682),(10 388.47043),(11 395.09436),(12 396.64798),(13 396.2028),(14 398.51752),(15 399.9461),(16 402.48422),(17 405.19583),(18 409.39548),(19 411.96),(20 416.0919),(21 413.59076),(22 412.87558),(23 411.1609),(24 411.0111),(25 412.04907),(26 413.4547),(27 409.1462),(28 413.17325),(29 411.89087),(30 418.27106),(31 414.5903),(32 417.68124),(33 418.80396),(34 414.98077),(35 417.2534),(36 418.6478),(37 420.12442),(38 417.07123),(39 414.65836),(40 423.78293),(41 425.7458),(42 428.67163),(43 429.285),(44 429.3859),(45 433.94272),(46 437.6247),(47 433.0097),(48 434.7303),(49 436.25598),(50 439.1044),(51 439.50708),(52 437.0748),(53 439.34937),(54 437.28186),(55 437.6718),(56 441.69467),(57 449.44937),(58 444.00516),(59 440.10202),(60 444.06506),(61 439.45776),(62 441.16092),(63 435.9547),(64 434.00742),(65 435.7251),(66 437.68146),(67 436.79932),(68 435.7653),(69 433.00467),(70 436.13406),(71 435.01245),(72 432.56027),(73 435.2458),(74 432.4553),(75 424.96494),(76 425.29645),(77 422.00287),(78 421.0306),(79 422.00403),
(1 223.91508),(2 285.95255),(3 326.03378),(4 343.8935),(5 358.51804),(6 368.78723),(7 370.62738),(8 378.8309),(9 388.0636),(10 393.911),(11 391.0128),(12 394.33633),(13 392.0299),(14 393.6262),(15 392.94675),(16 394.37),(17 400.28354),(18 403.63135),(19 405.77957),(20 409.4297),(21 411.19598),(22 409.22723),(23 410.47183),(24 410.51877),(25 408.189),(26 409.6974),(27 409.5316),(28 410.1315),(29 407.01175),(30 407.77863),(31 404.9292),(32 406.52203),(33 410.83823),(34 403.13342),(35 406.8678),(36 410.46884),(37 410.95963),(38 412.13577),(39 409.7621),(40 412.70908),(41 413.2711),(42 415.0893),(43 416.3353),(44 414.02728),(45 416.87848),(46 422.85782),(47 421.53815),(48 422.44873),(49 422.2285),(50 421.0943),(51 424.30112),(52 424.7164),(53 421.8712),(54 423.14456),(55 426.88495),(56 429.047),(57 427.4135),(58 420.2831),(59 425.00546),(60 423.59116),(61 421.08386),(62 425.90292),(63 420.30072),(64 416.45273),(65 416.70087),(66 418.92935),(67 423.48007),(68 425.3183),(69 423.6295),(70 425.4084),(71 422.34506),(72 423.29962),(73 421.4173),(74 424.22327),(75 414.6104),(76 420.5374),(77 420.6633),(78 421.89536),(79 423.8872),
(1 219.03363),(2 285.00592),(3 322.11923),(4 342.66016),(5 350.2004),(6 358.33597),(7 359.5557),(8 360.35855),(9 368.9202),(10 375.6644),(11 377.96024),(12 378.88156),(13 382.40494),(14 388.60306),(15 384.44745),(16 387.2272),(17 388.80206),(18 397.96362),(19 394.57132),(20 396.7802),(21 396.8534),(22 399.23917),(23 398.92413),(24 401.33545),(25 401.60257),(26 399.88177),(27 396.44678),(28 398.34927),(29 399.47406),(30 400.46133),(31 400.44028),(32 408.4028),(33 407.965),(34 407.15683),(35 404.7269),(36 405.92184),(37 409.1749),(38 407.3007),(39 402.27902),(40 405.37698),(41 406.6406),(42 408.72153),(43 415.1606),(44 419.41403),(45 421.81885),(46 419.63052),(47 422.723),(48 426.02853),(49 428.03162),(50 429.56537),(51 428.36295),(52 424.28177),(53 425.34616),(54 423.58295),(55 426.07474),(56 419.83966),(57 418.10733),(58 418.50262),(59 424.55563),(60 425.7121),(61 421.88385),(62 427.29813),(63 426.3638),(64 424.82007),(65 420.76028),(66 417.20203),(67 416.82144),(68 418.85373),(69 423.33963),(70 421.22852),(71 416.5885),(72 415.13593),(73 414.48392),(74 413.92526),(75 418.54642),(76 421.06586),(77 422.57083),(78 418.54263),(79 415.18546),
