1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 59226.395),(2 83237.734),(3 196077.77),(4 272423.97),(5 396472.38),(6 493458.75),(7 627808.94),(8 751736.2),(9 894881.2),(10 1041486.8),(11 1206857.4),(12 1389469.6),(13 1581972),(14 1780224.9),(15 1991879.4),(16 2218068),(17 2430253.3),(18 2667893.8),(19 2894398.3),(20 3123809.8),(21 3358099.8),(22 3596132.8),(23 3838154.8),(24 4073779.3),(25 4309484),(26 4561691),(27 4814727.5),(28 5089818),(29 5380584),(30 5693463.5),(31 6049341.5),(32 6435304),(33 6835269.5),(34 7264499.5),(35 7717470),(36 8128674.5),(37 8526569),(38 8895612),(39 9207722),(40 9581803),(41 9938000),(42 10326504),(43 10700145),(44 11118923),(45 11551663),(46 12116312),(47 12605713),(48 13169005),(49 13693857),(50 14248869),(51 14748007),(52 15215896),(53 15578781),(54 15921837),(55 16164896),(56 16438051),(57 16762893),(58 17092018),(59 17436006),(60 17828254),(61 18258194),(62 18695842),(63 19134890),(64 19559092),(65 19987466),(66 20412732),(67 20800344),(68 21218506),(69 21573024),(70 21982746),(71 22376262),(72 22773208),(73 23135864),(74 23534608),(75 23916406),(76 24362142),(77 24770346),(78 25165856),(79 25524630),
(1 2320.7048),(2 3401.4805),(3 4209.3213),(4 4394.374),(5 4973.9644),(6 5262.878),(7 5813.988),(8 6099.2563),(9 6602.472),(10 6903.725),(11 7451.4116),(12 7827.689),(13 8254.593),(14 8552.596),(15 8747.539),(16 8882.362),(17 8992.038),(18 9131.425),(19 9137.108),(20 9105.252),(21 9041.394),(22 8998.941),(23 8885.619),(24 8879.686),(25 8770.474),(26 8685.117),(27 8559.684),(28 8287.825),(29 8103.8237),(30 7835.992),(31 7621.6074),(32 7343.6265),(33 7210.3374),(34 6994.436),(35 6934.395),(36 6867.101),(37 6890.1084),(38 6948.286),(39 7145.5137),(40 7295.7935),(41 7504.6226),(42 7763.5625),(43 8036.136),(44 8356.465),(45 8617.658),(46 8901.673),(47 8943.058),(48 9088.388),(49 9086.758),(50 9122.316),(51 9140.302),(52 8961.14),(53 8850.202),(54 8553.475),(55 8462.163),(56 8141.005),(57 8104.0903),(58 7691.274),(59 7668.8823),(60 7242.306),(61 7407.2363),(62 7045.989),(63 7317.41),(64 7034.077),(65 7308.8984),(66 7143.366),(67 7482.425),(68 7376.521),(69 7700.526),(70 7592.1274),(71 7982.4326),(72 7928.8076),(73 8314.274),(74 8291.304),(75 8704.352),(76 8588.641),(77 8966.812),(78 8777.096),(79 9011.462),
(1 2273.7097),(2 3229.2285),(3 4009.063),(4 4186.0537),(5 4785.5186),(6 5032.6577),(7 5453.104),(8 5629.095),(9 6100.4595),(10 6490.848),(11 6970.824),(12 7317.77),(13 7652.407),(14 7893.075),(15 8000.324),(16 8130.6055),(17 8214.399),(18 8349.1045),(19 8384.259),(20 8420.317),(21 8484.461),(22 8479.121),(23 8456.596),(24 8460.427),(25 8373.658),(26 8249.563),(27 8120.6406),(28 7916.6016),(29 7752.0137),(30 7537.8257),(31 7377.5996),(32 7126.28),(33 6919.0317),(34 6730.1807),(35 6633.3813),(36 6511.5415),(37 6502.436),(38 6542.409),(39 6647.432),(40 6745.5127),(41 6908.258),(42 7046.7236),(43 7223.593),(44 7472.5454),(45 7712.8213),(46 7955.8276),(47 8020.4487),(48 8165.412),(49 8178.073),(50 8183.545),(51 8242.834),(52 8105.7163),(53 8038.8833),(54 7790.5474),(55 7760.3213),(56 7401.722),(57 7419.2134),(58 7006.3984),(59 7042.157),(60 6634.544),(61 6815.7373),(62 6543.92),(63 6780.4487),(64 6479.431),(65 6712.3696),(66 6496.9556),(67 6816.2964),(68 6704.9463),(69 7014.7534),(70 6926.242),(71 7359.3784),(72 7322.921),(73 7726.6245),(74 7623.345),(75 8023.9355),(76 7845.9297),(77 8200.449),(78 8090.5576),(79 8308.46),
(1 2237.9578),(2 3219.8042),(3 3954.7466),(4 4154.8613),(5 4741.1606),(6 5012.348),(7 5484.7915),(8 5731.5195),(9 6165.5815),(10 6530.726),(11 7006.0195),(12 7353.093),(13 7689.2417),(14 7973.3813),(15 8145.7524),(16 8354.248),(17 8508.738),(18 8642.634),(19 8682.348),(20 8731.609),(21 8791.163),(22 8796.813),(23 8736.394),(24 8740.21),(25 8655.372),(26 8531.441),(27 8403.499),(28 8128.145),(29 7966.7104),(30 7703.377),(31 7495.0654),(32 7154.76),(33 6923.246),(34 6708.4106),(35 6644.517),(36 6543.401),(37 6565.0435),(38 6578.811),(39 6670.5293),(40 6784.295),(41 6954.645),(42 7243.561),(43 7443.559),(44 7672.74),(45 7904.8984),(46 8140.253),(47 8241.992),(48 8346.848),(49 8346.445),(50 8307.027),(51 8341.007),(52 8183.578),(53 8102.6455),(54 7788.9917),(55 7676.0703),(56 7300.168),(57 7312.035),(58 6950.5396),(59 7053.985),(60 6732.167),(61 6946.7363),(62 6641.3037),(63 6839.474),(64 6576.158),(65 6846.966),(66 6697.1245),(67 6960.929),(68 6830.4126),(69 7169.983),(70 7065.3477),(71 7401.542),(72 7310.0815),(73 7681.749),(74 7586.915),(75 7949.591),(76 7782.2983),(77 8094.288),(78 7940.65),(79 8167.3755),
(1 2293.8938),(2 3348.7405),(3 4089.6042),(4 4201.158),(5 4762.301),(6 5033.749),(7 5544.1963),(8 5813.4023),(9 6294.818),(10 6646.4746),(11 7137.5254),(12 7506.551),(13 7891.547),(14 8162.8267),(15 8367.309),(16 8481.314),(17 8593.538),(18 8689.638),(19 8742.622),(20 8742.53),(21 8758.225),(22 8717.99),(23 8596.545),(24 8616.569),(25 8502.784),(26 8353.247),(27 8233.62),(28 8052.2813),(29 7877.2363),(30 7622.7476),(31 7429.387),(32 7094.5845),(33 6897.004),(34 6677.533),(35 6608.749),(36 6557.667),(37 6583.9033),(38 6617.1357),(39 6741.543),(40 6840.224),(41 7072.688),(42 7377.6597),(43 7540.958),(44 7842.59),(45 8078.1104),(46 8374.917),(47 8517.977),(48 8677.79),(49 8742.325),(50 8773.647),(51 8796.048),(52 8655.395),(53 8479.579),(54 8246.629),(55 8132.349),(56 7782.578),(57 7694.461),(58 7275.0063),(59 7260.137),(60 6864.661),(61 6994.645),(62 6649.4365),(63 6820.9355),(64 6577.883),(65 6842.8076),(66 6737.547),(67 7019.1934),(68 6897.3213),(69 7212.383),(70 7143.7485),(71 7509.083),(72 7481.319),(73 7815.301),(74 7804.336),(75 8213.131),(76 8139.9634),(77 8443.727),(78 8320.519),(79 8561.056),
(1 2172.482),(2 3124.8962),(3 3878.3071),(4 4025.6804),(5 4559.233),(6 4748.738),(7 5237.9653),(8 5428.7925),(9 5864.6323),(10 6186.1016),(11 6686.6987),(12 6994.8325),(13 7305.8135),(14 7561.526),(15 7739.4834),(16 7935.639),(17 8050.3975),(18 8123.3774),(19 8168.8794),(20 8208.395),(21 8212.048),(22 8140.022),(23 8087.6807),(24 8085.858),(25 8014.047),(26 7891.3716),(27 7791.826),(28 7530.562),(29 7321.645),(30 7059.4336),(31 6847.6274),(32 6562.463),(33 6398.75),(34 6194.8647),(35 6125.4927),(36 6125.963),(37 6124.8096),(38 6189.6226),(39 6430.652),(40 6549.652),(41 6773.834),(42 7042.8794),(43 7286.2627),(44 7536.808),(45 7728.086),(46 8034.4434),(47 8058.2827),(48 8118.0723),(49 8108.8687),(50 8044.7334),(51 8033.6436),(52 7861.7554),(53 7705.9927),(54 7436.3994),(55 7399.207),(56 7020.478),(57 6961.457),(58 6564.0977),(59 6602.224),(60 6220.9683),(61 6412.648),(62 6079.4526),(63 6289.322),(64 5976.8906),(65 6205.9556),(66 6069.322),(67 6371.4673),(68 6248.751),(69 6585.159),(70 6495.304),(71 6888.446),(72 6782.7974),(73 7111.8423),(74 7066.181),(75 7422.481),(76 7317.3994),(77 7664.4727),(78 7528.243),(79 7718.9253),
(1 2153.745),(2 3055.183),(3 3837.35),(4 3984.3655),(5 4624.385),(6 4875.5415),(7 5387.431),(8 5650.407),(9 6114.783),(10 6451.3613),(11 6943.2656),(12 7299.5117),(13 7642.4937),(14 7887.3555),(15 8073.35),(16 8226.242),(17 8266.191),(18 8343.769),(19 8384.67),(20 8420.42),(21 8416.721),(22 8400.187),(23 8341.182),(24 8324.149),(25 8244.744),(26 8127.3535),(27 8081.0215),(28 7846.385),(29 7609.5244),(30 7387.3267),(31 7227.6357),(32 6965.7603),(33 6813.601),(34 6603.567),(35 6491.16),(36 6431.6865),(37 6475.755),(38 6611.4307),(39 6794.423),(40 6970.9937),(41 7239.936),(42 7545.7305),(43 7780.011),(44 8060.454),(45 8279.989),(46 8564.287),(47 8645.239),(48 8751.217),(49 8777.113),(50 8684.816),(51 8693.32),(52 8453.075),(53 8304.733),(54 7976.2383),(55 7923.0156),(56 7494.6294),(57 7443.0835),(58 6965.791),(59 7029.159),(60 6633.4395),(61 6844.9976),(62 6509.292),(63 6795.0283),(64 6519.13),(65 6828.969),(66 6705.5845),(67 7064.761),(68 6972.8154),(69 7332.1475),(70 7201.987),(71 7593.8394),(72 7494.239),(73 7879.1387),(74 7775.337),(75 8131.296),(76 7983.4395),(77 8271.998),(78 8137.954),(79 8323.791),
(1 2088.7976),(2 2949.5671),(3 3674.2554),(4 3771.7014),(5 4284.9346),(6 4496.7163),(7 4954.004),(8 5152.4297),(9 5560.779),(10 5850.5195),(11 6218.444),(12 6489.5986),(13 6817.3037),(14 7036.715),(15 7234.3335),(16 7386.8057),(17 7512.944),(18 7620.22),(19 7623.9287),(20 7626.415),(21 7639.44),(22 7651.6064),(23 7577.3726),(24 7541.202),(25 7471.9546),(26 7369.7417),(27 7301.339),(28 7099.7485),(29 6933.8623),(30 6752.3555),(31 6574.462),(32 6352.109),(33 6193.6772),(34 6044.398),(35 6066.15),(36 6036.3105),(37 6076.27),(38 6155.9976),(39 6278.78),(40 6367.778),(41 6583.1436),(42 6828.1694),(43 6981.216),(44 7145.3086),(45 7267.7446),(46 7448.246),(47 7448.9253),(48 7477.4307),(49 7480.7417),(50 7421.06),(51 7414.471),(52 7220.72),(53 7108.614),(54 6832.3228),(55 6815.1655),(56 6477.5503),(57 6544.182),(58 6216.8657),(59 6379.8315),(60 6074.967),(61 6313.775),(62 6017.3364),(63 6271.0454),(64 6044.3804),(65 6383.758),(66 6267.8804),(67 6644.257),(68 6518.0015),(69 6864.5737),(70 6731.725),(71 7068.7236),(72 6934.924),(73 7259.2627),(74 7140.653),(75 7483.7075),(76 7350.7295),(77 7595.364),(78 7333.1123),(79 7540.5884),
(1 2075.9426),(2 2903.4146),(3 3559.8743),(4 3641.7285),(5 4166.802),(6 4373.871),(7 4851.5996),(8 5082.787),(9 5507.7837),(10 5779.9663),(11 6201.6035),(12 6487.1416),(13 6747.4595),(14 6931.093),(15 7057.7363),(16 7192.512),(17 7294.2427),(18 7422.271),(19 7472.552),(20 7460.0234),(21 7468.3643),(22 7400.9443),(23 7312.4053),(24 7280.9517),(25 7221.4956),(26 7093.297),(27 6967.2793),(28 6746.2666),(29 6550.1763),(30 6331.1523),(31 6157.6025),(32 5922.3315),(33 5801.7437),(34 5674.448),(35 5681.3926),(36 5669.813),(37 5702.305),(38 5762.953),(39 5937.2393),(40 6058.006),(41 6252.6255),(42 6503.8623),(43 6639.696),(44 6800.168),(45 6951.506),(46 7171.192),(47 7216.0073),(48 7333.825),(49 7357.51),(50 7349.454),(51 7368.936),(52 7169.0806),(53 7011.129),(54 6664.8374),(55 6641.976),(56 6317.2837),(57 6296.345),(58 5926.428),(59 6026.403),(60 5738.1626),(61 5937.521),(62 5642.6226),(63 5957.828),(64 5710.1987),(65 6060.3296),(66 5984.8384),(67 6360.4736),(68 6259.9146),(69 6608.9565),(70 6552.914),(71 6882.821),(72 6767.302),(73 7105.7095),(74 7006.422),(75 7370.222),(76 7209.8267),(77 7448.7754),(78 7223.429),(79 7425.0483),
(1 2008.1432),(2 2748.3552),(3 3323.2925),(4 3458.371),(5 4001.579),(6 4205.111),(7 4665.1606),(8 4832.9653),(9 5233.767),(10 5508.6255),(11 5876.4204),(12 6088.3706),(13 6402.6123),(14 6580.0273),(15 6729.006),(16 6876.0728),(17 6974.5693),(18 7073.1704),(19 7141.844),(20 7191.2783),(21 7232.253),(22 7213.568),(23 7168.8877),(24 7193.544),(25 7082.5884),(26 6994.4736),(27 6930.886),(28 6661.556),(29 6491.6616),(30 6280.386),(31 6117.9746),(32 5926.6343),(33 5786.541),(34 5602.577),(35 5549.035),(36 5500.8384),(37 5532.628),(38 5546.5654),(39 5703.1626),(40 5815.0176),(41 5982.376),(42 6176.3374),(43 6307.7227),(44 6506.9873),(45 6642.6313),(46 6884.7104),(47 6870.6255),(48 6952.3813),(49 6908.5806),(50 6916.641),(51 6912.254),(52 6789.735),(53 6669.3774),(54 6408.094),(55 6295.9565),(56 6023.845),(57 6002.258),(58 5702.918),(59 5812.088),(60 5515.562),(61 5694.7144),(62 5451.658),(63 5706.3853),(64 5486.8535),(65 5752.0913),(66 5669.7344),(67 5987.1616),(68 5932.0435),(69 6252.4224),(70 6233.048),(71 6504.1885),(72 6421.3306),(73 6749.066),(74 6686.104),(75 7006.511),(76 6886.9136),(77 7105.01),(78 6902.4575),(79 7027.408),
(1 2000.8228),(2 2712.9097),(3 3325.5176),(4 3438.8),(5 4007.8674),(6 4164.6694),(7 4593.994),(8 4766.0796),(9 5153.43),(10 5408.6094),(11 5765.8745),(12 6083.4316),(13 6350.5723),(14 6568.547),(15 6702.07),(16 6867.744),(17 6949.6133),(18 7002.4224),(19 7067.2646),(20 7103.0537),(21 7117.117),(22 7057.5435),(23 6987.7524),(24 6995.0264),(25 6852.933),(26 6719.873),(27 6629.1914),(28 6435.003),(29 6302.8315),(30 6110.812),(31 5970.698),(32 5787.3433),(33 5681.8706),(34 5574.6406),(35 5601.761),(36 5519.551),(37 5533.9043),(38 5601.386),(39 5710.3223),(40 5805.7583),(41 6015.6523),(42 6199.3228),(43 6382.448),(44 6527.559),(45 6645.8564),(46 6884.508),(47 6926.713),(48 7001.1147),(49 6930.6514),(50 6888.7197),(51 6854.016),(52 6749.6094),(53 6617.5586),(54 6389.321),(55 6350.436),(56 6086.918),(57 6082.9995),(58 5831.2476),(59 5942.4556),(60 5689.9873),(61 5913.423),(62 5703.934),(63 5985.708),(64 5795.8843),(65 6110.6436),(66 6012.782),(67 6344.7524),(68 6205.679),(69 6511.157),(70 6452.6475),(71 6787.235),(72 6738.8364),(73 7000.7075),(74 6911.13),(75 7231.9507),(76 7115.4116),(77 7348.929),(78 7159.6772),(79 7278.071),
(1 1955.1755),(2 2613.3823),(3 3202.7217),(4 3357.172),(5 3934.1301),(6 4129.087),(7 4591.5967),(8 4781.926),(9 5199.746),(10 5463.761),(11 5829.096),(12 6078.989),(13 6343.092),(14 6488.3457),(15 6612.5),(16 6748.0366),(17 6808.3154),(18 6877.094),(19 6883.584),(20 6909.2),(21 6925.7427),(22 6908.234),(23 6857.8154),(24 6822.2427),(25 6739.9175),(26 6589.7954),(27 6470.288),(28 6241.225),(29 6110.0796),(30 5893.858),(31 5746.213),(32 5595.897),(33 5524.422),(34 5427.7153),(35 5454.1196),(36 5433.784),(37 5519.871),(38 5625.968),(39 5804.108),(40 5939.4336),(41 6181.349),(42 6385.9814),(43 6548.2046),(44 6751.888),(45 6861.9307),(46 7054.2007),(47 7023.9116),(48 7051.651),(49 7005.472),(50 6928.9976),(51 6904.203),(52 6740.849),(53 6609.3965),(54 6347.352),(55 6283.675),(56 5977.1885),(57 5989.0845),(58 5690.0347),(59 5792.0313),(60 5552.048),(61 5789.8413),(62 5558.882),(63 5850.782),(64 5671.758),(65 5988.0083),(66 5902.4126),(67 6237.0884),(68 6141.261),(69 6471.366),(70 6340.749),(71 6687.5913),(72 6620.433),(73 6898.6045),(74 6750.658),(75 7033.4736),(76 6860.6978),(77 7092.8516),(78 6857.2954),(79 6967.3457),
(1 1908.8923),(2 2592.1245),(3 3177.4126),(4 3287.5093),(5 3836.0574),(6 4004.0537),(7 4422.3296),(8 4580.685),(9 4989.164),(10 5244.2656),(11 5653.9463),(12 5929.3887),(13 6169.411),(14 6331.404),(15 6465.844),(16 6609.174),(17 6700.8364),(18 6759.6396),(19 6778.4297),(20 6744.0625),(21 6733.645),(22 6717.276),(23 6686.352),(24 6672.702),(25 6566.3447),(26 6436.0435),(27 6363.3013),(28 6156.8354),(29 6034.0703),(30 5864.0903),(31 5732.0015),(32 5565.232),(33 5504.811),(34 5427.871),(35 5457.759),(36 5433.9097),(37 5496.4263),(38 5574.741),(39 5748.268),(40 5856.8105),(41 6024.3105),(42 6200.1113),(43 6359.922),(44 6521.4155),(45 6634.9976),(46 6752.4185),(47 6721.5337),(48 6731.346),(49 6657.154),(50 6581.8633),(51 6586.229),(52 6400.8457),(53 6283.794),(54 6060.355),(55 6033.407),(56 5742.2813),(57 5799.7246),(58 5534.946),(59 5708.3174),(60 5447.21),(61 5673.5073),(62 5484.9053),(63 5737.265),(64 5570.8286),(65 5844.6724),(66 5768.387),(67 6040.369),(68 5901.179),(69 6183.05),(70 6039.1323),(71 6367.9043),(72 6239.8),(73 6526.9595),(74 6360.9155),(75 6621.718),(76 6456.441),(77 6678.89),(78 6426.7524),(79 6587.9453),
(1 1937.1244),(2 2612.153),(3 3160.7612),(4 3265.663),(5 3768.888),(6 3881.4355),(7 4250.2563),(8 4400.6997),(9 4785.23),(10 5033.507),(11 5405.471),(12 5629.8135),(13 5830.132),(14 5992.379),(15 6124.186),(16 6249.727),(17 6307.174),(18 6405.014),(19 6423.5986),(20 6409.0244),(21 6438.8813),(22 6432.786),(23 6351.776),(24 6349.6484),(25 6325.4517),(26 6238.779),(27 6149.326),(28 5991.9517),(29 5862.3047),(30 5694.2324),(31 5579.2725),(32 5426.0015),(33 5355.6523),(34 5270.854),(35 5283.1807),(36 5273.8535),(37 5365.0293),(38 5444.8247),(39 5576.811),(40 5691.2456),(41 5845.3896),(42 6002.9067),(43 6104.4497),(44 6235.9604),(45 6301.177),(46 6398.1357),(47 6317.6553),(48 6314.004),(49 6221.515),(50 6118.5034),(51 6112.0195),(52 5986.826),(53 5912.963),(54 5709.5146),(55 5690.312),(56 5419.948),(57 5471.4243),(58 5245.8877),(59 5396.0703),(60 5168.5186),(61 5413.6675),(62 5188.8467),(63 5479.6675),(64 5301.4917),(65 5557.803),(66 5433.751),(67 5717.7407),(68 5613.228),(69 5916.4536),(70 5776.733),(71 6079.9473),(72 5941.7764),(73 6214.0693),(74 6036.4546),(75 6261.4985),(76 6020.755),(77 6187.657),(78 5946.527),(79 6101.4507),
(1 1776.4331),(2 2301.7373),(3 2844.4033),(4 2940.7524),(5 3391.7896),(6 3516.221),(7 3919.4514),(8 4084.544),(9 4455.3545),(10 4670.3594),(11 4996.985),(12 5178.013),(13 5362.156),(14 5543.496),(15 5649.925),(16 5751.156),(17 5767.3364),(18 5870.687),(19 5888.722),(20 5917.0303),(21 5932.581),(22 5964.863),(23 5948.501),(24 5984.233),(25 5953.9),(26 5880.0107),(27 5757.006),(28 5579.99),(29 5485.4736),(30 5310.6245),(31 5195.6313),(32 5055.865),(33 4966.7847),(34 4848.581),(35 4840.8896),(36 4789.137),(37 4861.5366),(38 4905.0566),(39 5079.7583),(40 5174.7646),(41 5296.4443),(42 5447.186),(43 5564.556),(44 5738.1816),(45 5809.5977),(46 5887.585),(47 5863.1543),(48 5896.9614),(49 5850.995),(50 5768.195),(51 5791.314),(52 5627.259),(53 5557.9946),(54 5331.364),(55 5329.0347),(56 5065.967),(57 5169.604),(58 4899.6934),(59 5061.1094),(60 4783.7466),(61 4987.1016),(62 4728.166),(63 5035.2793),(64 4818.9253),(65 5095.256),(66 4963.2476),(67 5233.621),(68 5127.4004),(69 5454.463),(70 5315.365),(71 5577.769),(72 5439.3516),(73 5704.8413),(74 5553.7593),(75 5803.5493),(76 5583.8037),(77 5782.4585),(78 5561.0913),(79 5736.6284),
(1 1770.5087),(2 2315.8208),(3 2889.8518),(4 2955.9814),(5 3434.4792),(6 3565.0881),(7 3979.3987),(8 4145.0864),(9 4474.0874),(10 4714.1587),(11 4994.0625),(12 5252.4233),(13 5460.0347),(14 5603.3657),(15 5717.6963),(16 5816.244),(17 5819.964),(18 5900.24),(19 5940.317),(20 5948.6255),(21 5925.846),(22 5956.3296),(23 5889.57),(24 5891.3813),(25 5818.4844),(26 5729.914),(27 5612.6655),(28 5477.1987),(29 5355.6),(30 5168.8726),(31 5027.211),(32 4871.8345),(33 4771.4927),(34 4681.635),(35 4721.555),(36 4701.2573),(37 4749.162),(38 4772.7695),(39 4966.788),(40 5052.282),(41 5209.2397),(42 5392.5234),(43 5492.632),(44 5651.5093),(45 5750.4717),(46 5871.921),(47 5834.0854),(48 5851.7607),(49 5812.412),(50 5760.793),(51 5760.9497),(52 5587.7983),(53 5521.0747),(54 5324.245),(55 5351.329),(56 5092.213),(57 5172.826),(58 4906.7437),(59 5070.635),(60 4795.9434),(61 5029.6904),(62 4759.0034),(63 5110.413),(64 4933.9033),(65 5228.683),(66 5083.372),(67 5368.1846),(68 5248.707),(69 5623.5107),(70 5497.264),(71 5781.063),(72 5611.5996),(73 5866.631),(74 5668.43),(75 5926.1665),(76 5700.6807),(77 5896.238),(78 5659.9165),(79 5799.4766),
(1 1784.7788),(2 2334.6377),(3 2877.6365),(4 2977.1838),(5 3458.0115),(6 3571.5415),(7 3933.1355),(8 4092.1282),(9 4429.1494),(10 4665.065),(11 4961.8335),(12 5202.341),(13 5443.2534),(14 5629.156),(15 5781.8804),(16 5877.975),(17 5907.9404),(18 6007.791),(19 6018.4937),(20 6037.278),(21 6014.2603),(22 5993.2515),(23 5893.1797),(24 5882.2524),(25 5817.7837),(26 5690.3447),(27 5610.371),(28 5430.8696),(29 5314.388),(30 5128.459),(31 4979.1694),(32 4788.73),(33 4709.4546),(34 4624.183),(35 4649.161),(36 4621.5664),(37 4688.0986),(38 4748.2617),(39 4911.992),(40 4998.261),(41 5181.355),(42 5390.3345),(43 5500.7456),(44 5643.4775),(45 5726.845),(46 5826.7734),(47 5785.3887),(48 5796.3896),(49 5748.1187),(50 5668.889),(51 5651.446),(52 5457.0684),(53 5390.9443),(54 5161.1064),(55 5135.023),(56 4866.8105),(57 4965.876),(58 4736.334),(59 4918.5264),(60 4727.1265),(61 5002.577),(62 4760.8633),(63 5124.5215),(64 4956.59),(65 5271.96),(66 5140.1743),(67 5456.2656),(68 5359.139),(69 5700.8447),(70 5556.948),(71 5820.5317),(72 5714.0796),(73 5942.2324),(74 5732.196),(75 5974.723),(76 5732.131),(77 5908.866),(78 5632.2163),(79 5747.5503),
