1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 36584.53),(2 52445.51),(3 57100.824),(4 116089.72),(5 145881.28),(6 165328.6),(7 234895.92),(8 265822.94),(9 286273.5),(10 352961.25),(11 379943.4),(12 391519.4),(13 455663.78),(14 471431.84),(15 475169.25),(16 534033.5),(17 536276.06),(18 545563.75),(19 597373.3),(20 587241.44),(21 575146.56),(22 609576.94),(23 584200.9),(24 577258.7),(25 623925.7),(26 600892.8),(27 590330.06),(28 630559.2),(29 608566.1),(30 606228.06),(31 659076.7),(32 652672.06),(33 703129),(34 773393),(35 789624.5),(36 838000.2),(37 937912.75),(38 973965.3),(39 1046399.3),(40 1155124),(41 1217866.9),(42 1319664.6),(43 1468280.6),(44 1539136.4),(45 1660954.4),(46 1816987),(47 1898694.6),(48 2027323.9),(49 2177143.3),(50 2234384.3),(51 2333895),(52 2456230.3),(53 2520535),(54 2615508.5),(55 2758421),(56 2838998.8),(57 2957898),(58 3103662),(59 3201806.8),(60 3311023.3),(61 3490328),(62 3603925.8),(63 3879276),(64 4076531.3),(65 4238932),(66 4483977.5),(67 4768297.5),(68 5162328.5),(69 5568489),(70 5938184),(71 6331193.5),(72 6740951.5),(73 7165580),(74 7560990.5),(75 8036585.5),(76 8465592),(77 8912737),(78 9431413),(79 9922895),
(1 1090.9016),(2 1934.8298),(3 2388.6165),(4 2549.0818),(5 2643.602),(6 2776.774),(7 2945.0164),(8 3059.733),(9 3124.751),(10 3147.0881),(11 3198.6316),(12 3238.9019),(13 3287.705),(14 3310.5225),(15 3352.3984),(16 3328.7336),(17 3318.262),(18 3362.1355),(19 3404.89),(20 3409.182),(21 3411.1965),(22 3399.213),(23 3407.464),(24 3430.8723),(25 3431.3933),(26 3493.763),(27 3527.7258),(28 3529.1423),(29 3581.5269),(30 3609.5972),(31 3653.9556),(32 3657.932),(33 3655.7559),(34 3630.1626),(35 3610.8137),(36 3566.5154),(37 3542.7937),(38 3557.6394),(39 3594.0051),(40 3601.0962),(41 3579.8267),(42 3530.3865),(43 3543.2644),(44 3522.2734),(45 3508.024),(46 3518.9844),(47 3537.6243),(48 3608.589),(49 3572.7532),(50 3580.0415),(51 3645.465),(52 3717.3877),(53 3739.9333),(54 3787.7856),(55 3811.9353),(56 3850.8354),(57 3874.0632),(58 3915.537),(59 3880.6443),(60 3867.3806),(61 3902.3235),(62 3915.652),(63 3985.4368),(64 4000.2163),(65 4006.7695),(66 4001.5842),(67 4008.672),(68 4044.153),(69 4083.8127),(70 4081.107),(71 4057.05),(72 4039.709),(73 4085.4993),(74 4139.965),(75 4149.1973),(76 4120.346),(77 4099.7197),(78 4089.708),(79 4051.8044),
(1 1083.2311),(2 1873.422),(3 2289.142),(4 2450.681),(5 2576.2395),(6 2714.3433),(7 2830.623),(8 2927.4255),(9 3039.8145),(10 3064.5356),(11 3111.6934),(12 3156.6396),(13 3216.826),(14 3248.7515),(15 3246.6206),(16 3222.8325),(17 3213.2644),(18 3254.2778),(19 3278.2568),(20 3270.5186),(21 3281.2886),(22 3328.4224),(23 3330.62),(24 3351.081),(25 3350.321),(26 3393.5999),(27 3427.407),(28 3515.3022),(29 3553.1848),(30 3575.2878),(31 3582.4673),(32 3604.9434),(33 3628.4224),(34 3622.5496),(35 3618.2559),(36 3573.9766),(37 3509.9233),(38 3454.8047),(39 3459.5632),(40 3450.6182),(41 3446.4673),(42 3397.7798),(43 3402.6958),(44 3404.5735),(45 3443.7996),(46 3499.963),(47 3511.1716),(48 3548.806),(49 3562.2092),(50 3561.62),(51 3633.0369),(52 3688.5364),(53 3724.877),(54 3785.044),(55 3814.9966),(56 3814.4788),(57 3846.662),(58 3846.3093),(59 3797.4019),(60 3825.131),(61 3839.4233),(62 3858.2905),(63 3850.4712),(64 3854.946),(65 3889.0264),(66 3922.3347),(67 3913.4805),(68 3916.8926),(69 3922.717),(70 3932.9417),(71 3927.7642),(72 3957.9646),(73 4005.3457),(74 4019.0083),(75 4036.445),(76 4047.684),(77 4042.0818),(78 4017.939),(79 4012.2874),
(1 1064.6438),(2 1878.3613),(3 2282.897),(4 2438.2095),(5 2531.3357),(6 2653.1018),(7 2764.894),(8 2859.3914),(9 2953.063),(10 3002.0762),(11 3039),(12 3031.3943),(13 3045.8733),(14 3071.1582),(15 3087.312),(16 3098.3652),(17 3162.7546),(18 3182.0073),(19 3197.8972),(20 3193.4006),(21 3230.2368),(22 3287.9797),(23 3249.7869),(24 3227.5618),(25 3216.7122),(26 3194.0383),(27 3179.166),(28 3235.51),(29 3275.6824),(30 3324.6238),(31 3349.4353),(32 3361.9102),(33 3370.2588),(34 3364.169),(35 3360.7493),(36 3366.1602),(37 3340.1702),(38 3285.9333),(39 3280.1113),(40 3258.9407),(41 3299.987),(42 3273.987),(43 3310.3513),(44 3351.0613),(45 3426.943),(46 3458.6724),(47 3482.2126),(48 3505.9163),(49 3517.004),(50 3524.7073),(51 3576.5447),(52 3604.9973),(53 3616.9038),(54 3607.1838),(55 3607.5173),(56 3607.077),(57 3613.152),(58 3641.7358),(59 3640.3467),(60 3639.4768),(61 3711.8457),(62 3746.1582),(63 3750.748),(64 3719.2817),(65 3740.0757),(66 3790.7898),(67 3782.7761),(68 3786.9202),(69 3792.827),(70 3779.1538),(71 3750.4014),(72 3752.9683),(73 3738.5908),(74 3746.5889),(75 3782.1748),(76 3784.7683),(77 3794.3604),(78 3860.066),(79 3860.617),
(1 1072.6737),(2 1847.3523),(3 2296.9385),(4 2482.6326),(5 2566.8489),(6 2668.9958),(7 2797.1755),(8 2896.8376),(9 2951.3232),(10 2978.4343),(11 2983.9395),(12 2993.2659),(13 3061.6636),(14 3080.1619),(15 3126.2861),(16 3135.6252),(17 3159.5217),(18 3210.0024),(19 3195.727),(20 3206.002),(21 3254.5952),(22 3304.3242),(23 3317.582),(24 3311.674),(25 3266.377),(26 3213.5884),(27 3182.6152),(28 3161.027),(29 3181.2188),(30 3205.273),(31 3219.2168),(32 3227.8376),(33 3261.027),(34 3282.0667),(35 3273.8635),(36 3257.3882),(37 3226.1487),(38 3206.5034),(39 3191.321),(40 3181.4858),(41 3211.5369),(42 3200.0034),(43 3207.6538),(44 3252.2092),(45 3308.915),(46 3318.2195),(47 3348.7195),(48 3385.5383),(49 3426.8374),(50 3479.709),(51 3537.6216),(52 3541.2126),(53 3539.431),(54 3569.4084),(55 3583.5103),(56 3603.7065),(57 3601.675),(58 3624.4414),(59 3661.2249),(60 3708.61),(61 3759.5361),(62 3777.9102),(63 3760.3416),(64 3745.6208),(65 3767.1758),(66 3784.3015),(67 3792.937),(68 3851.4473),(69 3871.9143),(70 3856.5095),(71 3837.5342),(72 3803.1365),(73 3764.2527),(74 3710.79),(75 3716.4739),(76 3691.366),(77 3694.4966),(78 3753.9377),(79 3775.2341),
(1 1050.9445),(2 1798.0686),(3 2191.263),(4 2348.7104),(5 2453.9373),(6 2563.265),(7 2664.734),(8 2747.805),(9 2778.6443),(10 2822.9988),(11 2849.3455),(12 2829.5977),(13 2843.1409),(14 2865.7124),(15 2949.5125),(16 2970.6882),(17 2982.2444),(18 2980.8633),(19 2955.821),(20 2967.9622),(21 2995.3953),(22 3010.4897),(23 3037.648),(24 3032.3406),(25 3029.8696),(26 3026.829),(27 3009.6152),(28 2987.4573),(29 2981.7974),(30 3001.716),(31 3028.8474),(32 3061.464),(33 3111.8452),(34 3161.894),(35 3179.8994),(36 3134.1062),(37 3100.3562),(38 3098.9048),(39 3104.56),(40 3069.4514),(41 3034.9377),(42 3007.0454),(43 3029.4348),(44 3072.2886),(45 3139.6165),(46 3191.682),(47 3207.3037),(48 3243.0435),(49 3260.8906),(50 3306.2644),(51 3348.1604),(52 3374.888),(53 3383.5007),(54 3428.0977),(55 3407.1594),(56 3407.2004),(57 3430.3342),(58 3485.5686),(59 3486.9578),(60 3481.0286),(61 3489.9758),(62 3513.1006),(63 3555.8657),(64 3560.153),(65 3571.3562),(66 3598.7136),(67 3625.7302),(68 3632.6926),(69 3624.7898),(70 3603.5579),(71 3595.9702),(72 3562.5125),(73 3562.304),(74 3522.2412),(75 3518.065),(76 3539.275),(77 3544.7644),(78 3581.624),(79 3604.348),
(1 1031.6234),(2 1757.6401),(3 2154.273),(4 2345.1501),(5 2458.657),(6 2583.223),(7 2705.5544),(8 2774.2537),(9 2807.9963),(10 2857.032),(11 2878.268),(12 2869.9072),(13 2882.667),(14 2909.5847),(15 2999.8872),(16 3041.8823),(17 3062.514),(18 3127.7432),(19 3143.219),(20 3134.504),(21 3130.9626),(22 3144.74),(23 3133.6077),(24 3119.8591),(25 3092.3733),(26 3136.3708),(27 3141.3318),(28 3124.377),(29 3146.4634),(30 3203.0305),(31 3176.1934),(32 3186.4468),(33 3201.317),(34 3196.2478),(35 3180.4014),(36 3190.8538),(37 3207.9111),(38 3211.0566),(39 3228.8386),(40 3179.042),(41 3167.1006),(42 3162.1907),(43 3165.6592),(44 3159.9243),(45 3180.6902),(46 3223.6199),(47 3236.9),(48 3228.644),(49 3240.5447),(50 3293.8577),(51 3319.2957),(52 3334.4668),(53 3382.5283),(54 3377.5012),(55 3373.168),(56 3413.2825),(57 3452.845),(58 3421.0857),(59 3425.524),(60 3469.1304),(61 3484.7432),(62 3500.9766),(63 3526.7107),(64 3500.3215),(65 3513.6233),(66 3525.5693),(67 3529.967),(68 3536.0261),(69 3483.4807),(70 3465.1821),(71 3427.038),(72 3399.5195),(73 3424.8354),(74 3396.3586),(75 3378.5894),(76 3395.8882),(77 3394.1077),(78 3376.0244),(79 3390.4382),
(1 1004.6844),(2 1727.5986),(3 2159.3652),(4 2355.2322),(5 2450.0583),(6 2596.6584),(7 2676.3308),(8 2741.5662),(9 2772.8423),(10 2805.8708),(11 2875.0457),(12 2894.9238),(13 2939.6565),(14 3006.8877),(15 3047.7263),(16 3059.8347),(17 3090.0974),(18 3139.0095),(19 3157.6653),(20 3141.4946),(21 3149.2358),(22 3167.9731),(23 3165.1528),(24 3106.4397),(25 3081.3855),(26 3092.0923),(27 3094.5618),(28 3157.3447),(29 3222.7415),(30 3256.9233),(31 3201.0127),(32 3188.1443),(33 3191.683),(34 3169.3445),(35 3169.1987),(36 3157.6367),(37 3173.3657),(38 3185.7622),(39 3217.358),(40 3201.56),(41 3214.0518),(42 3215.1104),(43 3203.0046),(44 3192.5564),(45 3208.5457),(46 3208.6096),(47 3207.0105),(48 3240.3691),(49 3280.1018),(50 3273.914),(51 3316.7202),(52 3332.6438),(53 3401.5093),(54 3396.332),(55 3388.5532),(56 3416.8142),(57 3423.6296),(58 3431.8958),(59 3475.6365),(60 3542.5486),(61 3563.8362),(62 3557.0735),(63 3545.9583),(64 3511.3845),(65 3528.9272),(66 3557.7808),(67 3510.7126),(68 3500.6658),(69 3490.5967),(70 3458.0544),(71 3425.3457),(72 3390.7698),(73 3382.831),(74 3371.2659),(75 3374.754),(76 3385.0322),(77 3415.2444),(78 3404.9905),(79 3389.02),
(1 1006.93475),(2 1724.2114),(3 2151.197),(4 2350.511),(5 2446.4482),(6 2564.48),(7 2624.8242),(8 2675.4207),(9 2714.7378),(10 2744.882),(11 2784.365),(12 2815.745),(13 2843.0867),(14 2884.0386),(15 2903.3447),(16 2906.0215),(17 2938.6821),(18 2986.7356),(19 2996.6072),(20 3012.9402),(21 3018.7004),(22 3047.5632),(23 3077.4092),(24 3034.683),(25 2990.865),(26 2987.8252),(27 3026.7285),(28 3055.9326),(29 3088.0303),(30 3121.563),(31 3084.7832),(32 3064.4753),(33 3051.5688),(34 3012.3372),(35 3013.2363),(36 3015.5974),(37 3042.5984),(38 3092.2502),(39 3124.7043),(40 3127.3542),(41 3111.655),(42 3091.8699),(43 3061.87),(44 3032.2637),(45 3046.6365),(46 3094.3118),(47 3091.0176),(48 3104.007),(49 3139.9858),(50 3148.6992),(51 3139.2373),(52 3142.2925),(53 3166.8582),(54 3230.6428),(55 3247.4084),(56 3252.7214),(57 3296.5786),(58 3332.177),(59 3354.7026),(60 3392.2905),(61 3402.1006),(62 3423.309),(63 3410.5063),(64 3416.7222),(65 3448.8071),(66 3429.3875),(67 3389.5134),(68 3389.7683),(69 3370.5867),(70 3363.414),(71 3354.2751),(72 3349.5796),(73 3327.7026),(74 3299.3386),(75 3288.058),(76 3288.4526),(77 3291.1853),(78 3302.9998),(79 3297.7744),
(1 978.46466),(2 1679.7666),(3 2080.2302),(4 2239.029),(5 2311.7847),(6 2453.5752),(7 2561.5425),(8 2625.4138),(9 2673.2668),(10 2707.172),(11 2709.3745),(12 2752.8003),(13 2790.5825),(14 2818.239),(15 2846.2007),(16 2877.1758),(17 2905.595),(18 2958.9265),(19 3007.12),(20 3015.572),(21 3048.945),(22 3073.7546),(23 3085.0586),(24 3069.0046),(25 3061.2002),(26 3050.124),(27 3063.281),(28 3063.3784),(29 3088.9607),(30 3101.2048),(31 3091.5383),(32 3094.6284),(33 3101.6572),(34 3083.1865),(35 3059.023),(36 3054.4385),(37 3076.6113),(38 3087.2969),(39 3096.3752),(40 3075.8591),(41 3078.5073),(42 3091.3018),(43 3090.2554),(44 3051.6873),(45 3072.7563),(46 3136.5564),(47 3169.2952),(48 3183.3547),(49 3183.4502),(50 3185.98),(51 3195.5562),(52 3178.5894),(53 3174.673),(54 3188.7876),(55 3186.2048),(56 3189.899),(57 3233.5842),(58 3300.6323),(59 3335.732),(60 3341.2004),(61 3383.8005),(62 3394.4106),(63 3422.498),(64 3395.272),(65 3414.2021),(66 3403.757),(67 3387.487),(68 3392.763),(69 3368.8162),(70 3364.6274),(71 3357.7769),(72 3313.137),(73 3320.0112),(74 3308.0828),(75 3304.3186),(76 3319.2686),(77 3342.6726),(78 3354.0503),(79 3386.5872),
(1 959.63043),(2 1613.0796),(3 2014.8302),(4 2170.2766),(5 2238.0002),(6 2347.857),(7 2432.5547),(8 2498.089),(9 2540.3662),(10 2573.6787),(11 2613.0007),(12 2643.9473),(13 2670.0645),(14 2699.2488),(15 2722.3877),(16 2733.0464),(17 2778.1418),(18 2791.4258),(19 2804.2134),(20 2832.2107),(21 2858.3289),(22 2886.0903),(23 2900.7485),(24 2877.2217),(25 2880.3967),(26 2875.09),(27 2885.7144),(28 2884.5667),(29 2916.2095),(30 2957.598),(31 2938.194),(32 2926.9727),(33 2906.5037),(34 2868.8145),(35 2862.6057),(36 2872.6047),(37 2904.9224),(38 2918.8718),(39 2931.3845),(40 2903.0405),(41 2916.1335),(42 2906.487),(43 2941.883),(44 2941.3794),(45 2918.7437),(46 2946.8772),(47 2946.802),(48 2991.246),(49 2962.9587),(50 2931.1812),(51 2938.7522),(52 2947.7468),(53 2957.1738),(54 2982.901),(55 3033.6104),(56 3077.3247),(57 3121.668),(58 3125.4128),(59 3169.2788),(60 3180.7893),(61 3187.3337),(62 3169.4932),(63 3205.613),(64 3212.4023),(65 3257.4836),(66 3275.9536),(67 3269.9595),(68 3280.12),(69 3247.1008),(70 3231.9097),(71 3221.4011),(72 3207.7954),(73 3230.8015),(74 3221.9082),(75 3235.0781),(76 3228.7217),(77 3227.4258),(78 3269.323),(79 3282.9797),
(1 957.29816),(2 1606.432),(3 1991.3995),(4 2154.434),(5 2254.8179),(6 2373.3833),(7 2452.2773),(8 2517.4038),(9 2565.158),(10 2601.626),(11 2604.7012),(12 2639.5212),(13 2657.16),(14 2699.274),(15 2722.395),(16 2734.3796),(17 2785.0063),(18 2819.2068),(19 2825.6196),(20 2847.5337),(21 2866.927),(22 2873.7559),(23 2872.9792),(24 2837.3647),(25 2833.3262),(26 2867.739),(27 2880.4072),(28 2911.166),(29 2919.0142),(30 2914.382),(31 2880.8352),(32 2880.954),(33 2857.383),(34 2847.9773),(35 2829.7937),(36 2857.2546),(37 2877.9521),(38 2883.1172),(39 2890.3127),(40 2871.5862),(41 2856.0298),(42 2844.8237),(43 2840.9006),(44 2845.0503),(45 2844.0278),(46 2861.5251),(47 2897.09),(48 2923.518),(49 2911.52),(50 2890.346),(51 2878.0813),(52 2857.1304),(53 2886.977),(54 2939.1309),(55 2961.988),(56 2990.799),(57 3045.424),(58 3080.698),(59 3101.4697),(60 3093.3447),(61 3098.3967),(62 3095.5413),(63 3132.2642),(64 3118.614),(65 3143.991),(66 3176.8027),(67 3198.249),(68 3185.5457),(69 3193.7268),(70 3176.334),(71 3176.3662),(72 3157.8276),(73 3167.525),(74 3156.4321),(75 3160.5886),(76 3163.2473),(77 3148.9006),(78 3175.3489),(79 3191.0894),
(1 923.46674),(2 1561.0585),(3 1937.9955),(4 2112.4587),(5 2193.521),(6 2278.444),(7 2350.0435),(8 2401.7202),(9 2440.0996),(10 2452.0103),(11 2482.2217),(12 2524.9314),(13 2568.9873),(14 2608.7466),(15 2614.6501),(16 2639.1482),(17 2650.3723),(18 2686.4082),(19 2684.4607),(20 2718.291),(21 2742.896),(22 2760.464),(23 2787.3257),(24 2793.695),(25 2781.5332),(26 2797.368),(27 2798.0967),(28 2825.873),(29 2829.1843),(30 2806.0708),(31 2801.8613),(32 2811.6248),(33 2847.3108),(34 2834.463),(35 2800.4912),(36 2786.2676),(37 2786.156),(38 2774.1416),(39 2800.214),(40 2807.286),(41 2813.2957),(42 2844.8394),(43 2872.211),(44 2899.556),(45 2911.2654),(46 2900.8342),(47 2875.8616),(48 2885.9993),(49 2900.2856),(50 2899.1538),(51 2927.73),(52 2929.8838),(53 2928.8865),(54 2942.873),(55 2976.9236),(56 3024.3708),(57 3057.203),(58 3098.2168),(59 3109.5066),(60 3101.9236),(61 3134.8198),(62 3152.0417),(63 3123.177),(64 3106.2742),(65 3114.895),(66 3117.014),(67 3128.6025),(68 3124.4712),(69 3123.127),(70 3115.727),(71 3106.6543),(72 3062.066),(73 3055.8826),(74 3033.5764),(75 3047.5618),(76 3054.3171),(77 3042.1843),(78 3030.7317),(79 3051.9128),
(1 944.5812),(2 1578.9847),(3 1927.1027),(4 2054.231),(5 2129.372),(6 2241.4536),(7 2303.0576),(8 2349.1194),(9 2358.6182),(10 2399.8704),(11 2440.0657),(12 2457.7217),(13 2478.6108),(14 2496.6038),(15 2520.2258),(16 2549.4714),(17 2553.212),(18 2559.1199),(19 2566.5667),(20 2590.204),(21 2623.5942),(22 2636.5522),(23 2663.8071),(24 2694.0898),(25 2720.5508),(26 2716.6746),(27 2715.1143),(28 2721.6516),(29 2749.9236),(30 2754.3423),(31 2777.4473),(32 2783.164),(33 2770.2268),(34 2724.0815),(35 2742.9229),(36 2751.4988),(37 2788.0679),(38 2815.5684),(39 2821.1885),(40 2805.798),(41 2823.7097),(42 2870.2021),(43 2923.9658),(44 2908.752),(45 2941.5808),(46 2963.443),(47 2985.6177),(48 3026.4714),(49 3037.6433),(50 3003.7754),(51 2988.9058),(52 2972.25),(53 2977.8242),(54 2969.1558),(55 3016.546),(56 3036.689),(57 3034.664),(58 3035.0693),(59 3044.6323),(60 3034.4553),(61 3032.3774),(62 3014.197),(63 2994.8103),(64 3026.4539),(65 3038.4126),(66 3039.139),(67 3035.7712),(68 3023.146),(69 3039.887),(70 3051.1426),(71 3046.8486),(72 2978.4092),(73 2971.681),(74 2976.5852),(75 3003.059),(76 2989.3213),(77 2952.8892),(78 2955.1116),(79 2945.3596),
(1 914.11615),(2 1537.0286),(3 1896.2177),(4 2048.53),(5 2148.7268),(6 2253.8796),(7 2314.1416),(8 2325.5627),(9 2367.025),(10 2422.7046),(11 2455.1265),(12 2466.5974),(13 2455.1328),(14 2481.2046),(15 2499.8147),(16 2515.9592),(17 2514.02),(18 2546.973),(19 2552.022),(20 2596.755),(21 2645.482),(22 2693.4023),(23 2753.2417),(24 2754.8152),(25 2746.927),(26 2735.0088),(27 2770.3032),(28 2776.1157),(29 2772.2334),(30 2773.112),(31 2799.0894),(32 2785.9646),(33 2759.7568),(34 2734.3293),(35 2705.4011),(36 2734.388),(37 2765.2144),(38 2792.261),(39 2808.741),(40 2798.812),(41 2831.808),(42 2912.08),(43 2950.3992),(44 2956.7588),(45 2950.4602),(46 2957.365),(47 2961.4531),(48 3009.103),(49 3028.4358),(50 3026.4414),(51 3029.0017),(52 3018.018),(53 3019.897),(54 3027.134),(55 3062.0618),(56 3087.7888),(57 3068.5732),(58 3087.365),(59 3100.6338),(60 3070.234),(61 3018.4011),(62 3016.015),(63 3068.2795),(64 3087.0718),(65 3100.742),(66 3090.378),(67 3089.5376),(68 3090.2234),(69 3092.5476),(70 3073.8823),(71 3052.7944),(72 3023.7405),(73 3006.2727),(74 2981.7756),(75 2998.39),(76 3009.4685),(77 3014.6362),(78 3039.056),(79 3054.421),
(1 882.7771),(2 1467.9656),(3 1821.8348),(4 1989.1268),(5 2033.539),(6 2134.5002),(7 2207.274),(8 2233.1863),(9 2294.4575),(10 2364.1472),(11 2388.9292),(12 2384.444),(13 2376.251),(14 2350.0403),(15 2357.8723),(16 2373.848),(17 2400.1443),(18 2460.7808),(19 2487.3696),(20 2502.8235),(21 2525.4001),(22 2557.672),(23 2584.6138),(24 2575.6714),(25 2576.1575),(26 2559.611),(27 2584.017),(28 2564.6746),(29 2578.8828),(30 2584.676),(31 2569.3872),(32 2562.9163),(33 2612.2412),(34 2640.988),(35 2646.7283),(36 2658.0376),(37 2669.6475),(38 2675.3896),(39 2678.8347),(40 2708.274),(41 2741.6912),(42 2763.7273),(43 2797.082),(44 2808.7656),(45 2838.356),(46 2810.267),(47 2805.6626),(48 2830.8218),(49 2859.367),(50 2877.9978),(51 2892.462),(52 2913.9175),(53 2920.9),(54 2933.5305),(55 2956.1023),(56 2992.1294),(57 3009.0427),(58 3033.979),(59 3044.7183),(60 3011.5537),(61 3009.199),(62 3011.9114),(63 3029.0474),(64 3023.3435),(65 2996.3335),(66 3029.4434),(67 3007.2644),(68 2999.6125),(69 2998.0566),(70 2981.088),(71 2958.6265),(72 2929.189),(73 2933.319),(74 2909.623),(75 2888.3389),(76 2881.4873),(77 2882.65),(78 2930.014),(79 2916.0234),
(1 900.4039),(2 1526.032),(3 1898.8202),(4 2061.7046),(5 2158.0774),(6 2258.25),(7 2293.5837),(8 2301.1838),(9 2324.1128),(10 2379.7866),(11 2420.7756),(12 2411.2446),(13 2388.3867),(14 2398.027),(15 2426.8496),(16 2427.5388),(17 2453.7617),(18 2506.2668),(19 2524.4458),(20 2527.0024),(21 2558.211),(22 2599.449),(23 2602.4426),(24 2574.7314),(25 2544.3591),(26 2529.5674),(27 2547.0313),(28 2582.418),(29 2593.693),(30 2561.748),(31 2541.8525),(32 2565.2659),(33 2566.541),(34 2576.4626),(35 2609.0925),(36 2630.3289),(37 2625.023),(38 2645.7622),(39 2644.6016),(40 2649.1594),(41 2663.4612),(42 2676.4321),(43 2665.7336),(44 2708.1196),(45 2742.5557),(46 2753.3752),(47 2792.6672),(48 2818.7168),(49 2846.9097),(50 2852.5083),(51 2887.2156),(52 2896.9722),(53 2892.4539),(54 2903.6436),(55 2937.9053),(56 2936.9492),(57 2937.197),(58 2951.6294),(59 2960.1714),(60 2967.1218),(61 2915.7627),(62 2893.9028),(63 2920.7266),(64 2919.6738),(65 2924.4626),(66 2949.5518),(67 2947.5168),(68 2943.968),(69 2932.2788),(70 2924.2534),(71 2903.596),(72 2875.7615),(73 2874.8223),(74 2870.2405),(75 2894.9912),(76 2891.6003),(77 2901.1162),(78 2898.0144),(79 2913.9587),
