1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 27250.838),(2 61165.25),(3 104545.1),(4 185348.92),(5 265863.97),(6 350038.1),(7 472925.22),(8 587863.94),(9 713500.8),(10 881769.3),(11 1048224.2),(12 1225511.3),(13 1435808.4),(14 1655319.4),(15 1879238.4),(16 2133094),(17 2395378.5),(18 2650415.8),(19 2963627.3),(20 3253355.3),(21 3531192),(22 3842218.3),(23 4139713.3),(24 4401514),(25 4697228.5),(26 5009807.5),(27 5277302),(28 5579734.5),(29 5888609.5),(30 6143188),(31 6407365.5),(32 6658666.5),(33 6866189.5),(34 7108047.5),(35 7317350.5),(36 7481052),(37 7689424.5),(38 7868841.5),(39 8004968.5),(40 8140684.5),(41 8256725.5),(42 8325915.5),(43 8411247),(44 8476451),(45 8495715),(46 8521365),(47 8539363),(48 8516887),(49 8506336),(50 8493224),(51 8450426),(52 8424551),(53 8429122),(54 8384098),(55 8393483),(56 8403060),(57 8409791),(58 8435658),(59 8473579),(60 8498621),(61 8545326),(62 8628368),(63 8715452),(64 8802560),(65 8925683),(66 9052964),(67 9190276),(68 9342509),(69 9488795),(70 9650756),(71 9784952),(72 9924317),(73 10095203),(74 10292992),(75 10509865),(76 10722669),(77 10972943),(78 11254061),(79 11516577),
(1 958.50256),(2 1317.1798),(3 1340.8313),(4 1410.0018),(5 1473.088),(6 1472.2075),(7 1532.334),(8 1599.771),(9 1610.729),(10 1650.339),(11 1706.7305),(12 1726.707),(13 1763.4742),(14 1781.7616),(15 1796.4847),(16 1830.8761),(17 1854.2675),(18 1901.2091),(19 1895.3413),(20 1927.8157),(21 1956.7457),(22 1975.6218),(23 1974.1016),(24 2001.609),(25 2008.6772),(26 2017.866),(27 2017.9996),(28 2039.5352),(29 2057.417),(30 2062.7068),(31 2063.4595),(32 2074.2197),(33 2052.9385),(34 2066.9863),(35 2080.9404),(36 2114.2224),(37 2108.538),(38 2134.0212),(39 2105.3645),(40 2093.1445),(41 2100.0603),(42 2120.1035),(43 2162.554),(44 2193.6765),(45 2205.0432),(46 2203.7678),(47 2196.1003),(48 2179.0024),(49 2156.2288),(50 2180.2263),(51 2156.0864),(52 2137.59),(53 2119.5244),(54 2108.319),(55 2116.494),(56 2113.9436),(57 2092.215),(58 2086.706),(59 2079.5322),(60 2060.8303),(61 2065.965),(62 2073.5178),(63 2064.5193),(64 2065.8135),(65 2046.4941),(66 2056.8342),(67 2044.2479),(68 2036.0032),(69 2036.2177),(70 2007.8583),(71 2020.922),(72 2019.3331),(73 2034.7214),(74 2052.9712),(75 2044.8925),(76 2048.7283),(77 2055.744),(78 2054.1436),(79 2067.4019),
(1 956.2174),(2 1299.2589),(3 1320.7477),(4 1378.7529),(5 1444.9259),(6 1458.385),(7 1491.0049),(8 1549.25),(9 1577.7239),(10 1614.0947),(11 1625.7878),(12 1669.1678),(13 1703.5371),(14 1711.9082),(15 1745.8645),(16 1772.5996),(17 1780.9846),(18 1804.006),(19 1830.0198),(20 1893.9747),(21 1893.7152),(22 1893.427),(23 1910.827),(24 1942.7911),(25 1971.4983),(26 1990.6029),(27 1995.3503),(28 2005.2759),(29 2039.6465),(30 2029.1128),(31 2023.5282),(32 2057.7566),(33 2048.5776),(34 2039.3633),(35 2053.916),(36 2071.1213),(37 2080.2703),(38 2106.3552),(39 2125.272),(40 2124.8284),(41 2142.3594),(42 2170.6978),(43 2188.5527),(44 2198.7727),(45 2233.6543),(46 2220.2615),(47 2224.27),(48 2206.8374),(49 2186.793),(50 2195.4387),(51 2189.1064),(52 2175.6963),(53 2185.8809),(54 2178.482),(55 2140.2847),(56 2123.468),(57 2115.5696),(58 2125.549),(59 2092.701),(60 2069.2214),(61 2065.149),(62 2083.3113),(63 2046.6215),(64 2037.7295),(65 2048.855),(66 2039.5592),(67 2010.6995),(68 2030.8839),(69 1990.5011),(70 1958.8291),(71 1976.3773),(72 1979.2074),(73 1980.6799),(74 1942.0967),(75 1942.6229),(76 1959.5854),(77 1966.0726),(78 1972.2225),(79 1958.0935),
(1 949.4562),(2 1286.5608),(3 1282.826),(4 1319.4093),(5 1382.926),(6 1385.6732),(7 1426.0103),(8 1506.8132),(9 1542.1584),(10 1582.6394),(11 1587.2845),(12 1620.1289),(13 1656.7347),(14 1689.3765),(15 1714.7185),(16 1735.806),(17 1743.9578),(18 1790.2097),(19 1827.082),(20 1869.08),(21 1890.9531),(22 1874.2197),(23 1891.9935),(24 1903.7424),(25 1928.6359),(26 1960.0271),(27 1958.1608),(28 1980.4424),(29 1990.096),(30 2015.1418),(31 2022.9148),(32 2013.0447),(33 1996.2887),(34 2004.7535),(35 2005.299),(36 2013.5624),(37 2005.3165),(38 2018.133),(39 2026.1497),(40 2021.3468),(41 2036.8508),(42 2025.6584),(43 2059.444),(44 2070.0532),(45 2100.206),(46 2105.5684),(47 2073.848),(48 2058.3374),(49 2062.535),(50 2067.3809),(51 2069.821),(52 2056.75),(53 2037.9219),(54 2019.8484),(55 2012.9944),(56 2019.9509),(57 2011.3243),(58 2017.4465),(59 2020.218),(60 2011.2906),(61 1978.3048),(62 1971.1697),(63 1975.4282),(64 1965.4642),(65 1968.162),(66 1978.0023),(67 1971.6135),(68 1973.3961),(69 1986.256),(70 1957.561),(71 1958.6382),(72 1956.9965),(73 1984.518),(74 1959.8264),(75 1969.9454),(76 1959.3451),(77 1963.1593),(78 1937.7957),(79 1926.5936),
(1 919.1441),(2 1245.9115),(3 1273.4747),(4 1332.608),(5 1368.3712),(6 1364.7451),(7 1438.242),(8 1496.2987),(9 1514.1538),(10 1564.1935),(11 1574.4448),(12 1610.5693),(13 1647.4739),(14 1704.4606),(15 1732.2454),(16 1756.3472),(17 1786.438),(18 1810.7073),(19 1834.7291),(20 1904.0549),(21 1920.9636),(22 1915.1707),(23 1923.4106),(24 1945.0236),(25 1955.718),(26 1973.907),(27 1990.9884),(28 1983.9106),(29 2017.6198),(30 2052.7827),(31 2052.488),(32 2046.4243),(33 2022.1716),(34 2052.248),(35 2049.0017),(36 2054.474),(37 2079.4565),(38 2115.6624),(39 2137.969),(40 2123.0093),(41 2126.5352),(42 2125.8826),(43 2130.6116),(44 2143.3325),(45 2182.8635),(46 2183.9907),(47 2152.0793),(48 2115.741),(49 2105.2231),(50 2100.5242),(51 2096.7188),(52 2094.7554),(53 2095.3572),(54 2057.4036),(55 2043.3853),(56 2036.3507),(57 2026.4379),(58 2027.0887),(59 2010.7684),(60 2013.318),(61 1994.4368),(62 1954.6885),(63 1936.4268),(64 1920.4404),(65 1933.9414),(66 1948.6431),(67 1965.3516),(68 1935.264),(69 1955.3823),(70 1958.2916),(71 1964.884),(72 1939.6936),(73 1930.1461),(74 1940.2701),(75 1949.2803),(76 1937.2625),(77 1951.1757),(78 1950.599),(79 1937.8695),
(1 892.8032),(2 1209.6832),(3 1256.1455),(4 1317.808),(5 1365.6383),(6 1366.3066),(7 1437.6892),(8 1507.857),(9 1524.6925),(10 1549.9166),(11 1578.2452),(12 1610.0653),(13 1655.8906),(14 1679.2855),(15 1712.0283),(16 1752.9393),(17 1782.576),(18 1798.3245),(19 1837.6874),(20 1857.817),(21 1851.3195),(22 1874.8528),(23 1881.9478),(24 1913.8112),(25 1922.3184),(26 1922.0613),(27 1953.4014),(28 1961.6316),(29 1976.467),(30 1989.3148),(31 1989.6763),(32 1978.8185),(33 1980.7157),(34 2003.2135),(35 1988.387),(36 1976.5001),(37 1987.0968),(38 2002.9214),(39 2023.3281),(40 2017.718),(41 1997.7354),(42 1991.756),(43 2010.2333),(44 1995.7367),(45 2027.4917),(46 2037.9847),(47 2019.0006),(48 2011.1747),(49 1994.0542),(50 1984.2955),(51 1965.519),(52 1961.0406),(53 1956.4324),(54 1924.9075),(55 1912.2205),(56 1894.9293),(57 1886.8115),(58 1888.2107),(59 1884.4996),(60 1881.9037),(61 1878.9745),(62 1862.5128),(63 1875.3829),(64 1878.0709),(65 1861.9346),(66 1894.5402),(67 1890.174),(68 1893.6863),(69 1903.4467),(70 1889.0771),(71 1881.9713),(72 1895.5815),(73 1903.8959),(74 1896.1006),(75 1921.5009),(76 1917.1285),(77 1930.6602),(78 1927.8253),(79 1926.1256),
(1 905.1407),(2 1204.575),(3 1223.5117),(4 1292.2196),(5 1356.1539),(6 1361.4528),(7 1424.6874),(8 1497.1995),(9 1527.3668),(10 1547.7465),(11 1577.8156),(12 1608.0027),(13 1646.3531),(14 1694.5283),(15 1728.168),(16 1746.1025),(17 1785.3466),(18 1795.9138),(19 1821.0587),(20 1837.9071),(21 1871.9242),(22 1861.5337),(23 1878.4973),(24 1919.642),(25 1935.0189),(26 1915.0447),(27 1935.8086),(28 1947.7144),(29 1975.1703),(30 1962.9991),(31 1979.8427),(32 1978.726),(33 1984.3105),(34 2029.0098),(35 2001.7438),(36 1979.263),(37 1988.9833),(38 2001.3536),(39 2003.0435),(40 1985.3314),(41 1963.3376),(42 1965.4465),(43 1990.0388),(44 1986.8192),(45 2020.8522),(46 2009.2678),(47 1986.826),(48 1967.4514),(49 1962.5186),(50 1932.4309),(51 1898.5609),(52 1913.5104),(53 1893.7667),(54 1872.035),(55 1887.1344),(56 1852.8983),(57 1828.9149),(58 1843.4802),(59 1841.2347),(60 1837.8444),(61 1817.3215),(62 1823.8962),(63 1825.4238),(64 1833.7352),(65 1816.0485),(66 1830.6866),(67 1845.2461),(68 1831.9873),(69 1858.6637),(70 1879.7283),(71 1863.8079),(72 1868.6068),(73 1874.4893),(74 1877.61),(75 1871.531),(76 1865.2438),(77 1850.6614),(78 1869.9042),(79 1873.8113),
(1 874.04926),(2 1176.5691),(3 1204.4823),(4 1274.71),(5 1337.0385),(6 1358.9897),(7 1427.3099),(8 1494.4298),(9 1535.4625),(10 1560.2662),(11 1584.0165),(12 1622.4146),(13 1672.3867),(14 1702.0632),(15 1750.5327),(16 1756.4069),(17 1777.7013),(18 1826.0122),(19 1860.8796),(20 1879.7295),(21 1899.4325),(22 1912.1654),(23 1930.6632),(24 1944.0779),(25 1957.0239),(26 1918.6844),(27 1935.2151),(28 1964.3071),(29 1945.8013),(30 1941.6758),(31 1947.4502),(32 1967.7231),(33 1955.5756),(34 1984.2524),(35 1988.068),(36 1982.2501),(37 2013.7875),(38 2012.1777),(39 1995.9714),(40 1984.854),(41 1995.7847),(42 1987.672),(43 1985.1002),(44 1991.1456),(45 1975.7539),(46 1979.3535),(47 1971.3213),(48 1950.8638),(49 1922.3667),(50 1887.4244),(51 1874.9567),(52 1887.5664),(53 1866.05),(54 1847.0461),(55 1859.3981),(56 1848.9639),(57 1837.8997),(58 1807.0621),(59 1826.8439),(60 1810.2847),(61 1796.19),(62 1785.341),(63 1804.8816),(64 1800.791),(65 1808.6333),(66 1814.4432),(67 1791.7744),(68 1804.2056),(69 1820.6698),(70 1836.8704),(71 1826.0403),(72 1834.1829),(73 1847.1635),(74 1864.5939),(75 1888.8821),(76 1870.1876),(77 1855.4259),(78 1869.1531),(79 1878.0096),
(1 878.5259),(2 1167.4624),(3 1207.5302),(4 1303.8014),(5 1337.5148),(6 1328.0945),(7 1385.8477),(8 1456.0787),(9 1488.8815),(10 1542.6506),(11 1585.3193),(12 1615.5549),(13 1650.367),(14 1688.9066),(15 1728.4221),(16 1741.1279),(17 1759.5599),(18 1811.947),(19 1805.991),(20 1828.7281),(21 1870.1947),(22 1865.6538),(23 1873.614),(24 1864.827),(25 1851.9952),(26 1850.0277),(27 1867.6174),(28 1858.2703),(29 1879.4498),(30 1862.2303),(31 1876.7524),(32 1870.42),(33 1871.6677),(34 1901.3689),(35 1918.0485),(36 1919.5698),(37 1935.3798),(38 1946.864),(39 1961.7069),(40 1965.3407),(41 1962.9507),(42 1947.5686),(43 1965.0287),(44 1952.4293),(45 1954.8613),(46 1949.774),(47 1942.1678),(48 1942.2544),(49 1951.7203),(50 1917.9457),(51 1917.3186),(52 1907.9941),(53 1883.2828),(54 1855.1385),(55 1860.0569),(56 1847.0253),(57 1848.0044),(58 1828.5535),(59 1838.7882),(60 1833.0059),(61 1814.7264),(62 1806.6704),(63 1807.3306),(64 1805.717),(65 1820.9178),(66 1843.7698),(67 1827.0557),(68 1823.0093),(69 1828.3057),(70 1845.3232),(71 1839.0667),(72 1834.5048),(73 1846.3434),(74 1837.1108),(75 1832.825),(76 1817.6848),(77 1823.2449),(78 1825.1902),(79 1821.8274),
(1 863.1123),(2 1135.7621),(3 1186.3644),(4 1249.2007),(5 1315.7322),(6 1308.5231),(7 1361.2534),(8 1412.2719),(9 1427.9735),(10 1473.7574),(11 1477.3413),(12 1519.9188),(13 1546.464),(14 1564.9973),(15 1623.5836),(16 1638.6238),(17 1669.4567),(18 1691.6216),(19 1713.0267),(20 1752.9219),(21 1790.1127),(22 1787.3765),(23 1812.6863),(24 1794.8179),(25 1799.64),(26 1806.6874),(27 1818.8231),(28 1837.3093),(29 1837.3248),(30 1852.3716),(31 1844.6422),(32 1828.5192),(33 1845.3102),(34 1857.329),(35 1859.7323),(36 1857.261),(37 1884.3567),(38 1888.5962),(39 1909.2087),(40 1913.9926),(41 1906.3403),(42 1896.454),(43 1913.9087),(44 1891.849),(45 1897.0089),(46 1896.7732),(47 1887.2577),(48 1889.8245),(49 1858.0066),(50 1833.3813),(51 1837.6573),(52 1826.8063),(53 1792.937),(54 1798.6334),(55 1803.766),(56 1778.3413),(57 1785.005),(58 1768.9645),(59 1763.942),(60 1748.9509),(61 1740.7485),(62 1739.9442),(63 1761.745),(64 1761.6469),(65 1768.4658),(66 1782.4137),(67 1797.3821),(68 1799.1816),(69 1806.2947),(70 1805.5433),(71 1781.3855),(72 1786.308),(73 1806.386),(74 1809.345),(75 1785.6592),(76 1763.2998),(77 1782.6215),(78 1815.2257),(79 1812.0817),
(1 830.28644),(2 1105.0552),(3 1143.8894),(4 1207.0671),(5 1267.5964),(6 1278.3049),(7 1322.2861),(8 1382.2244),(9 1428.4219),(10 1464.5829),(11 1461.4011),(12 1497.0299),(13 1540.1211),(14 1564.9207),(15 1636.1757),(16 1649.9851),(17 1658.2858),(18 1670.7224),(19 1683.1072),(20 1691.6619),(21 1732.5063),(22 1736.0487),(23 1746.6245),(24 1740.2013),(25 1740.8823),(26 1757.1161),(27 1777.6824),(28 1784.0267),(29 1784.9479),(30 1807.9639),(31 1800.6196),(32 1784.5472),(33 1812.6788),(34 1828.3632),(35 1815.2051),(36 1791.051),(37 1807.2816),(38 1805.2211),(39 1820.5037),(40 1847.325),(41 1866.512),(42 1888.4021),(43 1893.5273),(44 1874.2686),(45 1871.2789),(46 1870.8484),(47 1859.8882),(48 1859.6053),(49 1845.1697),(50 1836.8424),(51 1847.8934),(52 1823.0676),(53 1803.5562),(54 1807.999),(55 1807.8425),(56 1780.6421),(57 1770.5404),(58 1749.6487),(59 1749.5377),(60 1737.3525),(61 1721.8976),(62 1728.7222),(63 1735.1902),(64 1736.3577),(65 1737.3081),(66 1745.4022),(67 1749.5292),(68 1738.0566),(69 1752.1428),(70 1752.5071),(71 1751.2816),(72 1748.9844),(73 1759.6888),(74 1756.0343),(75 1775.1139),(76 1760.3109),(77 1761.9756),(78 1788.2866),(79 1789.4872),
(1 849.02924),(2 1106.103),(3 1133.5388),(4 1225.522),(5 1269.2029),(6 1284.5305),(7 1343.3115),(8 1407.0052),(9 1428.1132),(10 1468.9335),(11 1473.4863),(12 1532.1755),(13 1596.3604),(14 1602.9042),(15 1629.5061),(16 1616.6492),(17 1649.3947),(18 1674.5626),(19 1679.1682),(20 1717.9241),(21 1746.4076),(22 1740.8726),(23 1757.452),(24 1758.3657),(25 1777.2896),(26 1760.3954),(27 1766.6058),(28 1769.185),(29 1764.6947),(30 1764.7996),(31 1759.9155),(32 1771.8899),(33 1797.6483),(34 1806.1759),(35 1802.9137),(36 1808.6467),(37 1808.2845),(38 1805.491),(39 1807.519),(40 1839.9838),(41 1848.8418),(42 1835.6167),(43 1847.6151),(44 1844.3657),(45 1861.97),(46 1851.0378),(47 1844.9858),(48 1847.7733),(49 1819.5642),(50 1813.9867),(51 1821.2383),(52 1798.98),(53 1753.8741),(54 1757.9105),(55 1747.5184),(56 1747.7416),(57 1745.4454),(58 1751.6233),(59 1743.904),(60 1724.1393),(61 1712.8876),(62 1720.9891),(63 1736.4591),(64 1722.288),(65 1719.0504),(66 1709.9436),(67 1739.8774),(68 1754.5313),(69 1752.882),(70 1742.2994),(71 1726.6079),(72 1737.4482),(73 1729.3861),(74 1726.5891),(75 1755.7496),(76 1765.2543),(77 1764.1464),(78 1761.4095),(79 1768.9022),
(1 836.5885),(2 1087.149),(3 1096.1119),(4 1178.3496),(5 1243.6655),(6 1265.05),(7 1329.3901),(8 1370.3243),(9 1384.8196),(10 1420.5886),(11 1437.0948),(12 1491.1455),(13 1529.1644),(14 1559.0686),(15 1574.5759),(16 1583.9502),(17 1616.8586),(18 1626.2711),(19 1655.0161),(20 1700.2145),(21 1693.8386),(22 1702.9551),(23 1733.3295),(24 1727.788),(25 1743.9523),(26 1734.6433),(27 1745.3221),(28 1758.121),(29 1781.7244),(30 1787.692),(31 1780.7689),(32 1778.1095),(33 1792.8917),(34 1804.7355),(35 1820.5673),(36 1831.3427),(37 1838.4438),(38 1801.9248),(39 1819.8528),(40 1827.3577),(41 1826.073),(42 1821.6504),(43 1838.1884),(44 1836.3077),(45 1790.0797),(46 1798.8063),(47 1790.1309),(48 1779.0935),(49 1757.2153),(50 1748.1624),(51 1762.3186),(52 1734.6898),(53 1722.1466),(54 1710.5914),(55 1709.2811),(56 1703.1267),(57 1715.4478),(58 1704.918),(59 1689.224),(60 1686.2745),(61 1662.9873),(62 1673.1707),(63 1699.3271),(64 1695.7917),(65 1702.4789),(66 1701.1262),(67 1698.8773),(68 1693.9858),(69 1696.8271),(70 1696.192),(71 1673.2732),(72 1689.6061),(73 1682.9331),(74 1681.5328),(75 1721.4233),(76 1701.3182),(77 1687.3107),(78 1702.3129),(79 1701.5482),
(1 814.1344),(2 1068.1772),(3 1098.574),(4 1144.6315),(5 1187.5139),(6 1190.6399),(7 1263.616),(8 1282.6075),(9 1318.6472),(10 1332.3567),(11 1365.9376),(12 1405.0796),(13 1440.927),(14 1472.5682),(15 1497.9889),(16 1487.7229),(17 1532.5978),(18 1563.1495),(19 1565.1038),(20 1596.455),(21 1601.7719),(22 1623.278),(23 1647.5935),(24 1657.6318),(25 1654.5057),(26 1639.5669),(27 1667.3866),(28 1665.4447),(29 1668.0315),(30 1683.2002),(31 1679.9255),(32 1665.3531),(33 1691.0626),(34 1691.9386),(35 1688.72),(36 1690.339),(37 1702.8746),(38 1689.1986),(39 1704.2117),(40 1708.038),(41 1693.5121),(42 1709.35),(43 1735.7844),(44 1724.4666),(45 1709.5886),(46 1721.7252),(47 1722.6704),(48 1708.2131),(49 1702.6155),(50 1701.69),(51 1700.9055),(52 1682.9388),(53 1665.2986),(54 1678.4788),(55 1677.671),(56 1670.055),(57 1678.7896),(58 1661.4846),(59 1652.482),(60 1658.6207),(61 1614.6448),(62 1612.799),(63 1623.6534),(64 1634.202),(65 1637.6227),(66 1629.1904),(67 1649.1497),(68 1635.5062),(69 1634.4196),(70 1630.98),(71 1616.2926),(72 1629.463),(73 1610.2559),(74 1631.7174),(75 1646.7582),(76 1658.6498),(77 1664.8561),(78 1664.591),(79 1659.9357),
(1 817.30084),(2 1047.5547),(3 1073.4666),(4 1139.4954),(5 1182.7659),(6 1200.4539),(7 1256.9679),(8 1305.0841),(9 1343.8617),(10 1391.928),(11 1415.5016),(12 1453.0244),(13 1502.7655),(14 1521.9539),(15 1540.94),(16 1561.6749),(17 1591.6523),(18 1619.4214),(19 1628.7014),(20 1666.2483),(21 1689.3868),(22 1712.5984),(23 1731.2087),(24 1724.9807),(25 1733.4971),(26 1720.3755),(27 1738.6382),(28 1738.2224),(29 1751.5511),(30 1754.2615),(31 1730.0867),(32 1737.6356),(33 1744.0007),(34 1753.266),(35 1764.7843),(36 1763.468),(37 1779.9281),(38 1748.7524),(39 1746.9847),(40 1734.576),(41 1740.0734),(42 1737.1473),(43 1744.4574),(44 1735.0858),(45 1719.2554),(46 1712.7689),(47 1726.84),(48 1706.727),(49 1679.3354),(50 1678.041),(51 1679.2222),(52 1652.773),(53 1653.2142),(54 1654.3566),(55 1637.0464),(56 1658.4637),(57 1639.2001),(58 1638.7417),(59 1648.331),(60 1639.4042),(61 1624.3627),(62 1635.1946),(63 1657.7028),(64 1662.562),(65 1649.7032),(66 1680.4988),(67 1674.3163),(68 1659.1359),(69 1665.3484),(70 1655.6107),(71 1640.0354),(72 1648.0149),(73 1647.2195),(74 1663.7987),(75 1677.2197),(76 1671.2883),(77 1672.166),(78 1661.0417),(79 1658.5278),
(1 790.0176),(2 1013.5634),(3 1041.0828),(4 1092.3729),(5 1146.0671),(6 1159.4016),(7 1222.8523),(8 1250.9375),(9 1290.2599),(10 1308.1475),(11 1318.6953),(12 1350.19),(13 1378.6931),(14 1381.2632),(15 1423.778),(16 1442.3813),(17 1467.6989),(18 1486.5583),(19 1486.3024),(20 1508.2377),(21 1520.2671),(22 1546.1516),(23 1561.544),(24 1558.2618),(25 1568.421),(26 1577.3595),(27 1599.453),(28 1578.3932),(29 1594.4835),(30 1599.0698),(31 1568.1924),(32 1561.8408),(33 1592.7458),(34 1591.761),(35 1616.6216),(36 1623.1831),(37 1642.0814),(38 1618.8527),(39 1627.9066),(40 1629.4402),(41 1637.479),(42 1639.0255),(43 1638.1014),(44 1638.5695),(45 1613.545),(46 1606.1091),(47 1612.2444),(48 1597.3479),(49 1589.2239),(50 1604.9767),(51 1609.046),(52 1565.6744),(53 1574.5486),(54 1567.7656),(55 1551.4297),(56 1545.0215),(57 1542.197),(58 1545.7802),(59 1558.5969),(60 1559.1746),(61 1544.0648),(62 1560.124),(63 1565.1354),(64 1561.6356),(65 1566.7733),(66 1578.9913),(67 1580.893),(68 1576.2985),(69 1582.3701),(70 1581.5134),(71 1563.2871),(72 1561.5889),(73 1555.4155),(74 1560.2574),(75 1575.5449),(76 1577.3605),(77 1602.1375),(78 1608.0719),(79 1599.539),
(1 800.39264),(2 1011.7745),(3 1031.7794),(4 1099.6),(5 1141.5717),(6 1163.1311),(7 1231.4113),(8 1269.1036),(9 1275.7764),(10 1293.7161),(11 1317.0774),(12 1342.0283),(13 1392.7545),(14 1405.7238),(15 1437.7495),(16 1458.6804),(17 1485.6097),(18 1479.4592),(19 1504.5044),(20 1544.2543),(21 1543.8457),(22 1530.7347),(23 1535.0952),(24 1567.8848),(25 1574.34),(26 1564.6285),(27 1602.4966),(28 1611.6495),(29 1619.9243),(30 1618.3418),(31 1596.4407),(32 1587.371),(33 1606.4685),(34 1630.5511),(35 1642.5521),(36 1642.181),(37 1641.4601),(38 1607.5979),(39 1647.365),(40 1614.4011),(41 1606.7024),(42 1596.353),(43 1611.6494),(44 1599.875),(45 1603.379),(46 1607.0552),(47 1598.3735),(48 1594.3121),(49 1603.1132),(50 1593.1731),(51 1596.958),(52 1564.4287),(53 1573.5076),(54 1574.4694),(55 1561.1582),(56 1577.1301),(57 1576.7487),(58 1562.2446),(59 1584.6196),(60 1588.928),(61 1602.2046),(62 1592.1063),(63 1581.8843),(64 1571.8652),(65 1587.4064),(66 1591.9133),(67 1600.4514),(68 1594.3994),(69 1599.7588),(70 1608.0774),(71 1597.1984),(72 1599.3375),(73 1573.9895),(74 1578.4844),(75 1613.9647),(76 1598.1476),(77 1602.6539),(78 1598.3154),(79 1592.0637),
