1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 9481.581),(2 18127.023),(3 39478.32),(4 57872.375),(5 86120.914),(6 111008.336),(7 144494.45),(8 174072.73),(9 213735.77),(10 247733.42),(11 290072.6),(12 328987.44),(13 377512),(14 422453.5),(15 477876.66),(16 529414.9),(17 592132),(18 651562.8),(19 719114.3),(20 786711.8),(21 867741.06),(22 955897.2),(23 1060782.4),(24 1168005.9),(25 1289902.9),(26 1412208),(27 1554034.4),(28 1703572.6),(29 1875565.6),(30 2044097.4),(31 2235660.8),(32 2431278.3),(33 2621840.8),(34 2791202),(35 2964467.3),(36 3134525.3),(37 3309963),(38 3487600.8),(39 3679160),(40 3860073),(41 4051022),(42 4252239.5),(43 4449972.5),(44 4639570.5),(45 4828909),(46 5006564),(47 5205858.5),(48 5392168.5),(49 5579575.5),(50 5769668.5),(51 5958550.5),(52 6143808),(53 6333697.5),(54 6509206),(55 6716504),(56 6917448),(57 7120712),(58 7315674.5),(59 7494668),(60 7661336.5),(61 7842574.5),(62 7968258.5),(63 8093457.5),(64 8211676),(65 8312789.5),(66 8406401),(67 8486261),(68 8543316),(69 8587498),(70 8600792),(71 8612488),(72 8596220),(73 8569201),(74 8515993),(75 8464940),(76 8379668.5),(77 8308587.5),(78 8219953.5),(79 8156474.5),
(1 75.87545),(2 85.30528),(3 89.09451),(4 89.273926),(5 91.07479),(6 93.24942),(7 96.53929),(8 99.26293),(9 99.12015),(10 99.02403),(11 100.29729),(12 100.27932),(13 100.74628),(14 101.89209),(15 102.97381),(16 100.56742),(17 103.59511),(18 104.63038),(19 103.09533),(20 103.56371),(21 104.83692),(22 103.15388),(23 105.33925),(24 104.60059),(25 104.12613),(26 104.85157),(27 105.36013),(28 104.38819),(29 105.084854),(30 105.74961),(31 104.82753),(32 105.52009),(33 106.982254),(34 107.73867),(35 107.39934),(36 108.54871),(37 109.28706),(38 108.94317),(39 110.31841),(40 110.30053),(41 108.862755),(42 108.91176),(43 108.85825),(44 108.84784),(45 109.899315),(46 110.52323),(47 111.08017),(48 109.66671),(49 108.05462),(50 109.35798),(51 107.733185),(52 109.39924),(53 107.66277),(54 109.51213),(55 108.757744),(56 111.215836),(57 107.664894),(58 107.33755),(59 107.60396),(60 105.414154),(61 103.42137),(62 102.66696),(63 102.33847),(64 103.014725),(65 102.06268),(66 102.87881),(67 103.80501),(68 103.606384),(69 103.22891),(70 103.32872),(71 103.341805),(72 104.356544),(73 103.55448),(74 102.84547),(75 105.59878),(76 104.07718),(77 102.79964),(78 104.86746),(79 105.346855),
(1 73.89301),(2 83.57621),(3 87.3998),(4 90.39041),(5 90.9533),(6 92.966515),(7 95.0873),(8 98.94923),(9 97.617836),(10 97.15456),(11 100.34626),(12 101.2257),(13 100.16509),(14 100.67284),(15 101.66404),(16 102.850075),(17 102.452385),(18 103.12986),(19 103.61409),(20 104.35029),(21 104.90559),(22 104.45308),(23 105.4329),(24 104.93525),(25 104.59365),(26 105.05895),(27 107.64855),(28 105.63568),(29 105.16109),(30 106.66422),(31 106.82116),(32 106.65922),(33 107.58443),(34 106.52904),(35 106.3555),(36 105.8832),(37 106.43609),(38 106.712135),(39 108.47784),(40 108.32613),(41 109.17078),(42 106.74796),(43 107.22876),(44 108.59389),(45 107.40023),(46 106.6442),(47 107.71463),(48 109.236176),(49 104.871124),(50 106.936714),(51 105.77368),(52 108.315285),(53 105.474525),(54 106.905075),(55 106.17312),(56 106.50066),(57 106.698616),(58 103.95952),(59 104.77451),(60 103.02933),(61 101.80545),(62 100.59006),(63 101.50669),(64 101.743286),(65 101.06729),(66 102.45463),(67 100.23948),(68 102.714516),(69 101.35333),(70 102.502655),(71 100.57772),(72 100.54155),(73 101.54506),(74 101.72645),(75 103.67538),(76 102.80775),(77 101.94286),(78 102.40651),(79 103.74324),
(1 73.4747),(2 82.98478),(3 87.11351),(4 88.51121),(5 89.56174),(6 93.30778),(7 94.98202),(8 97.52236),(9 97.74293),(10 96.36278),(11 99.42752),(12 98.95509),(13 99.79801),(14 98.311935),(15 101.54101),(16 101.69089),(17 101.02162),(18 103.32394),(19 102.05588),(20 102.31625),(21 104.089615),(22 104.60818),(23 103.00762),(24 101.84546),(25 101.64871),(26 102.25463),(27 105.090416),(28 105.22087),(29 104.63793),(30 104.906204),(31 106.583916),(32 104.911224),(33 104.446106),(34 105.47428),(35 104.94282),(36 103.577705),(37 104.13015),(38 106.251816),(39 106.61309),(40 107.55263),(41 106.22903),(42 107.58439),(43 107.14758),(44 106.56251),(45 105.301384),(46 106.378204),(47 104.60183),(48 105.95201),(49 103.774),(50 102.76052),(51 102.33642),(52 103.29152),(53 102.75019),(54 104.60241),(55 102.18245),(56 102.457184),(57 102.13099),(58 100.84353),(59 101.89253),(60 100.70124),(61 99.42321),(62 98.80819),(63 100.43049),(64 100.16616),(65 98.63389),(66 99.27749),(67 100.258804),(68 100.11927),(69 98.1786),(70 99.99515),(71 99.772095),(72 100.26423),(73 100.43213),(74 99.52007),(75 101.23032),(76 100.38904),(77 100.124535),(78 98.86146),(79 100.05546),
(1 73.40571),(2 81.63016),(3 83.74896),(4 85.405174),(5 87.7602),(6 91.26677),(7 91.78531),(8 93.37217),(9 94.29792),(10 93.912445),(11 96.15417),(12 96.59285),(13 97.08676),(14 97.9155),(15 98.251755),(16 100.21884),(17 100.86086),(18 100.35212),(19 100.27563),(20 101.23897),(21 102.297615),(22 104.32938),(23 102.7583),(24 102.400215),(25 101.0846),(26 102.417816),(27 103.50329),(28 102.86358),(29 103.80795),(30 103.97534),(31 103.8208),(32 103.018166),(33 103.807526),(34 103.938286),(35 104.68213),(36 102.49804),(37 102.93994),(38 102.17197),(39 104.56219),(40 104.38833),(41 103.71014),(42 101.98211),(43 103.38311),(44 103.31118),(45 103.12036),(46 103.70237),(47 102.77051),(48 103.9471),(49 102.5602),(50 102.4345),(51 102.673836),(52 103.45102),(53 103.285835),(54 102.98959),(55 102.5972),(56 104.553375),(57 101.891426),(58 102.54101),(59 102.75605),(60 101.413475),(61 99.71472),(62 99.98766),(63 99.84563),(64 100.19787),(65 99.62217),(66 97.11793),(67 98.279076),(68 99.39805),(69 99.18177),(70 99.40027),(71 99.46296),(72 99.03033),(73 99.683784),(74 98.29378),(75 99.713234),(76 100.595695),(77 100.08599),(78 100.727585),(79 102.172844),
(1 70.55473),(2 80.05576),(3 81.77125),(4 84.2352),(5 85.962616),(6 88.254364),(7 89.7002),(8 91.88955),(9 92.84748),(10 92.20945),(11 93.75952),(12 94.53884),(13 94.58562),(14 94.52322),(15 94.96044),(16 96.1435),(17 97.38737),(18 97.33783),(19 96.72606),(20 97.358925),(21 98.733475),(22 99.744),(23 98.18423),(24 98.44267),(25 98.19388),(26 98.21597),(27 100.15363),(28 100.478325),(29 99.68443),(30 99.997055),(31 100.48373),(32 101.275055),(33 101.16529),(34 101.623985),(35 101.26061),(36 100.93436),(37 100.78996),(38 101.69861),(39 101.88732),(40 101.710075),(41 101.4998),(42 100.61627),(43 99.353874),(44 100.80682),(45 100.16003),(46 100.651306),(47 101.162704),(48 101.943),(49 99.46613),(50 100.10739),(51 100.402565),(52 101.207855),(53 98.9072),(54 100.07191),(55 99.40502),(56 99.23491),(57 99.1697),(58 97.94319),(59 98.93989),(60 98.36542),(61 96.082756),(62 96.4595),(63 95.52255),(64 95.45317),(65 95.28047),(66 95.34887),(67 94.70739),(68 94.91756),(69 96.39168),(70 95.26175),(71 97.118416),(72 94.723206),(73 96.64789),(74 95.589005),(75 97.95053),(76 95.71873),(77 96.13646),(78 96.16811),(79 98.132416),
(1 70.15648),(2 77.762024),(3 80.59202),(4 82.05059),(5 83.25107),(6 85.89171),(7 87.725204),(8 88.822014),(9 89.48773),(10 90.447174),(11 93.14704),(12 92.846596),(13 93.76271),(14 93.227165),(15 95.68076),(16 95.71121),(17 97.08105),(18 97.375275),(19 97.19837),(20 97.8929),(21 99.15855),(22 99.04383),(23 98.96594),(24 98.37422),(25 98.300964),(26 98.45509),(27 100.28089),(28 99.80009),(29 100.13843),(30 100.311615),(31 99.49092),(32 99.489334),(33 100.13731),(34 101.3178),(35 100.025665),(36 99.38197),(37 100.630005),(38 100.57757),(39 100.83652),(40 101.765526),(41 101.26597),(42 101.307755),(43 101.11496),(44 100.01212),(45 100.97427),(46 102.325905),(47 101.32153),(48 101.010574),(49 99.713),(50 99.143135),(51 97.87968),(52 98.63671),(53 97.07847),(54 98.24536),(55 98.50992),(56 98.06067),(57 97.61081),(58 96.02534),(59 96.91037),(60 96.50306),(61 95.80309),(62 95.25407),(63 95.16647),(64 95.07312),(65 94.20091),(66 95.79966),(67 95.38176),(68 94.3251),(69 95.53969),(70 95.176186),(71 94.4251),(72 94.20418),(73 95.764206),(74 94.978134),(75 95.66449),(76 96.21078),(77 96.684456),(78 95.77505),(79 96.32059),
(1 68.268265),(2 76.97153),(3 78.93075),(4 81.38142),(5 82.30374),(6 84.02925),(7 85.635086),(8 88.51091),(9 89.969635),(10 90.40547),(11 91.52965),(12 91.23754),(13 91.358665),(14 92.25758),(15 92.96835),(16 92.873055),(17 93.032974),(18 93.55523),(19 93.81816),(20 94.17406),(21 95.47458),(22 97.81361),(23 96.213425),(24 95.463005),(25 95.1245),(26 95.19175),(27 96.34873),(28 97.36336),(29 96.50236),(30 96.82865),(31 96.53672),(32 97.18716),(33 97.94083),(34 99.13457),(35 97.480644),(36 97.614075),(37 98.16274),(38 97.26764),(39 99.17101),(40 98.52857),(41 99.41015),(42 98.46637),(43 98.31935),(44 97.691986),(45 97.67195),(46 98.619774),(47 98.48972),(48 98.8416),(49 96.74174),(50 97.0939),(51 96.4616),(52 98.00826),(53 97.184425),(54 97.37527),(55 96.629776),(56 97.06331),(57 98.19399),(58 96.16778),(59 96.781204),(60 93.972),(61 94.256325),(62 93.21356),(63 93.113235),(64 92.430244),(65 93.68457),(66 93.94993),(67 92.89595),(68 92.31245),(69 92.446175),(70 92.5212),(71 91.704865),(72 93.41383),(73 93.7035),(74 92.0631),(75 93.37999),(76 93.23212),(77 93.38973),(78 93.24758),(79 93.104004),
(1 68.55219),(2 77.89561),(3 80.665855),(4 81.90734),(5 82.99991),(6 86.43708),(7 87.39153),(8 88.51952),(9 90.188995),(10 91.149445),(11 92.11063),(12 92.211296),(13 93.32248),(14 93.05541),(15 93.36714),(16 95.63211),(17 94.58518),(18 95.32793),(19 96.07493),(20 95.7897),(21 96.28867),(22 96.29501),(23 96.83147),(24 97.1532),(25 95.73521),(26 96.66892),(27 98.803986),(28 97.23998),(29 97.27459),(30 97.05474),(31 99.05657),(32 98.11028),(33 97.28105),(34 99.37216),(35 98.76143),(36 98.42614),(37 97.83924),(38 96.9886),(39 98.10265),(40 99.084114),(41 97.93049),(42 96.908104),(43 98.02476),(44 97.276436),(45 97.27461),(46 98.463455),(47 97.02405),(48 98.36736),(49 95.852196),(50 98.519844),(51 96.63587),(52 96.56906),(53 98.22375),(54 97.50992),(55 96.73381),(56 97.989456),(57 97.303276),(58 96.65991),(59 96.18847),(60 95.60558),(61 94.051346),(62 93.60344),(63 94.11465),(64 92.50147),(65 93.80954),(66 93.388016),(67 92.67046),(68 93.11652),(69 93.72552),(70 93.68765),(71 92.83664),(72 93.59185),(73 92.78702),(74 94.58497),(75 95.33281),(76 95.840454),(77 94.94467),(78 96.82669),(79 96.74514),
(1 67.51829),(2 77.198456),(3 79.07767),(4 80.53176),(5 82.65239),(6 84.94369),(7 86.90996),(8 88.04261),(9 91.07661),(10 90.90226),(11 93.05762),(12 92.592545),(13 93.31433),(14 94.72387),(15 95.71109),(16 93.597435),(17 94.52692),(18 96.18748),(19 96.42324),(20 97.083084),(21 96.59955),(22 96.21431),(23 97.06706),(24 96.68051),(25 95.82981),(26 95.636635),(27 97.56156),(28 97.86684),(29 98.10107),(30 98.99425),(31 99.127716),(32 98.22284),(33 97.880196),(34 95.66881),(35 95.62827),(36 96.39638),(37 97.31248),(38 96.64824),(39 97.89494),(40 98.636894),(41 97.781525),(42 97.13218),(43 96.49547),(44 95.91727),(45 95.20729),(46 96.227844),(47 96.24141),(48 96.88979),(49 93.44232),(50 95.06419),(51 96.38651),(52 95.43473),(53 94.418526),(54 94.90585),(55 94.084526),(56 95.3877),(57 95.473015),(58 94.35877),(59 94.720894),(60 94.44387),(61 94.55793),(62 93.663994),(63 93.20789),(64 94.77319),(65 93.96044),(66 93.35786),(67 92.80959),(68 92.655815),(69 92.03253),(70 92.352974),(71 91.69799),(72 91.68469),(73 92.673386),(74 92.58675),(75 93.747055),(76 93.906296),(77 93.69216),(78 92.07552),(79 93.71093),
(1 66.00345),(2 74.677704),(3 77.11716),(4 77.83261),(5 79.568275),(6 82.1455),(7 83.92595),(8 85.18329),(9 86.60671),(10 86.222725),(11 88.59075),(12 88.708954),(13 88.08837),(14 87.69791),(15 90.310425),(16 91.277794),(17 90.28006),(18 91.42608),(19 91.60453),(20 92.278694),(21 92.20602),(22 93.24859),(23 92.34186),(24 91.60813),(25 92.11384),(26 93.16414),(27 93.54307),(28 93.25433),(29 94.61609),(30 93.83622),(31 94.53628),(32 95.10781),(33 94.72047),(34 94.57502),(35 94.150734),(36 94.54106),(37 95.1217),(38 95.51766),(39 95.09631),(40 94.68717),(41 95.46736),(42 94.81161),(43 93.973404),(44 94.08532),(45 94.663635),(46 94.399956),(47 94.72865),(48 94.14328),(49 92.34808),(50 92.90811),(51 93.486374),(52 93.97255),(53 93.25488),(54 94.19308),(55 95.28142),(56 94.723434),(57 95.14148),(58 93.0428),(59 92.813416),(60 92.176544),(61 91.11321),(62 90.89318),(63 89.79792),(64 89.84001),(65 89.83629),(66 89.87666),(67 90.61351),(68 90.0534),(69 90.789604),(70 90.780464),(71 89.67062),(72 90.05474),(73 89.9683),(74 90.78411),(75 91.18408),(76 91.35574),(77 90.724655),(78 92.41125),(79 93.271515),
(1 65.16704),(2 73.21558),(3 75.39816),(4 78.08794),(5 79.37849),(6 81.198944),(7 83.22195),(8 84.76704),(9 86.7815),(10 86.87588),(11 87.1801),(12 87.994934),(13 89.83653),(14 89.3169),(15 89.293304),(16 90.7962),(17 90.79415),(18 92.19315),(19 92.16174),(20 91.43935),(21 91.90457),(22 92.69012),(23 91.37923),(24 92.75592),(25 91.03893),(26 90.72702),(27 93.45686),(28 91.45863),(29 92.81941),(30 93.485306),(31 92.06157),(32 92.76967),(33 92.64681),(34 92.0996),(35 93.552155),(36 92.50338),(37 92.45304),(38 94.04891),(39 93.70732),(40 92.920616),(41 92.96214),(42 92.6254),(43 92.39447),(44 92.12616),(45 92.94924),(46 92.714195),(47 92.17838),(48 92.35648),(49 91.38785),(50 92.681206),(51 90.63257),(52 91.009224),(53 91.19505),(54 91.10292),(55 91.98309),(56 90.11181),(57 91.926445),(58 89.47103),(59 89.87058),(60 90.557434),(61 88.847534),(62 89.29385),(63 88.058815),(64 87.638596),(65 88.77064),(66 88.315155),(67 88.40383),(68 88.774155),(69 88.113174),(70 88.052635),(71 87.52927),(72 88.072334),(73 87.90523),(74 89.60429),(75 90.59686),(76 90.682655),(77 88.8895),(78 90.31798),(79 90.63619),
(1 64.05876),(2 71.325905),(3 73.325615),(4 74.69177),(5 76.377525),(6 77.706604),(7 79.83362),(8 81.70142),(9 82.04121),(10 82.90812),(11 85.15779),(12 85.30608),(13 86.409424),(14 87.32382),(15 87.131134),(16 87.7735),(17 88.044334),(18 88.034004),(19 88.47331),(20 89.2738),(21 89.92512),(22 90.462906),(23 89.658745),(24 90.84837),(25 90.60836),(26 90.30955),(27 91.46721),(28 90.38576),(29 91.125),(30 90.59908),(31 90.981834),(32 90.351616),(33 89.83449),(34 90.04606),(35 90.752525),(36 91.154755),(37 90.532906),(38 90.91886),(39 90.80474),(40 90.778854),(41 90.290535),(42 90.144554),(43 89.742805),(44 88.79231),(45 88.738),(46 89.24196),(47 87.70906),(48 87.96884),(49 86.85554),(50 88.02803),(51 89.18291),(52 87.555305),(53 87.71158),(54 87.99946),(55 86.94687),(56 88.20199),(57 88.69412),(58 87.65373),(59 86.122765),(60 86.87531),(61 85.963066),(62 86.19653),(63 85.96992),(64 85.968216),(65 86.42257),(66 86.6498),(67 87.022415),(68 87.461174),(69 85.96926),(70 85.752075),(71 86.33969),(72 85.85307),(73 86.04937),(74 87.03985),(75 90.07309),(76 88.40538),(77 88.888214),(78 88.302284),(79 88.195786),
(1 64.41241),(2 71.71725),(3 73.51225),(4 75.60055),(5 78.0914),(6 79.14832),(7 81.185646),(8 83.09538),(9 84.61476),(10 84.80648),(11 85.386734),(12 85.83392),(13 86.876076),(14 87.37433),(15 87.176765),(16 87.43188),(17 88.16879),(18 87.893166),(19 88.62873),(20 88.70002),(21 89.21679),(22 89.22167),(23 89.31042),(24 90.07021),(25 89.7684),(26 89.28858),(27 90.02181),(28 91.425835),(29 90.393585),(30 91.04488),(31 91.62381),(32 91.417015),(33 91.18033),(34 90.675255),(35 90.769684),(36 91.31084),(37 90.24279),(38 91.75792),(39 92.48287),(40 91.64841),(41 91.71922),(42 91.83913),(43 90.44486),(44 89.953),(45 90.970375),(46 91.20039),(47 90.98695),(48 91.32703),(49 89.66662),(50 89.8682),(51 90.455956),(52 90.70011),(53 89.68838),(54 89.53681),(55 88.91083),(56 89.02219),(57 90.08183),(58 88.67508),(59 88.30675),(60 87.91005),(61 87.0344),(62 85.14633),(63 85.735435),(64 86.09725),(65 87.248474),(66 86.4892),(67 86.226456),(68 86.964966),(69 85.629555),(70 86.15342),(71 86.09464),(72 86.4561),(73 85.69505),(74 85.412384),(75 87.30038),(76 87.682045),(77 88.71773),(78 89.19833),(79 89.45609),
(1 62.555305),(2 70.69583),(3 71.35575),(4 74.0158),(5 74.126495),(6 76.43376),(7 78.13486),(8 80.6209),(9 81.722694),(10 82.61777),(11 84.60287),(12 84.43357),(13 85.89177),(14 85.04584),(15 85.6402),(16 85.71466),(17 86.827156),(18 86.75865),(19 86.88541),(20 87.55144),(21 88.369125),(22 86.84395),(23 87.460175),(24 86.96206),(25 86.88087),(26 87.63737),(27 88.76714),(28 88.01989),(29 87.09491),(30 87.715576),(31 89.29513),(32 88.863434),(33 88.78113),(34 88.52001),(35 89.209984),(36 87.7269),(37 87.29328),(38 88.611275),(39 89.37827),(40 89.43247),(41 88.2946),(42 88.1144),(43 88.09178),(44 87.296974),(45 87.138115),(46 88.3247),(47 87.99588),(48 87.5753),(49 87.046425),(50 87.304085),(51 86.5511),(52 85.82264),(53 86.00158),(54 85.40309),(55 86.83317),(56 86.159386),(57 85.557144),(58 86.30031),(59 85.24803),(60 83.51239),(61 83.403404),(62 83.601524),(63 85.622116),(64 84.653465),(65 85.59314),(66 84.27244),(67 84.40163),(68 84.042046),(69 84.54813),(70 84.822205),(71 84.476204),(72 84.32125),(73 83.841995),(74 84.141464),(75 85.42276),(76 86.07137),(77 84.209694),(78 84.4246),(79 84.86659),
(1 62.798256),(2 68.74693),(3 71.94189),(4 73.485916),(5 74.60555),(6 76.52478),(7 78.51691),(8 78.42284),(9 79.92984),(10 80.8535),(11 81.3263),(12 81.722786),(13 82.02553),(14 82.35693),(15 84.48316),(16 84.83757),(17 85.94726),(18 85.31835),(19 86.086525),(20 86.18831),(21 86.467094),(22 87.41479),(23 86.05958),(24 86.04454),(25 86.35708),(26 87.58738),(27 88.49008),(28 88.116714),(29 88.79337),(30 87.46692),(31 87.84888),(32 87.48449),(33 88.34803),(34 87.006966),(35 88.055954),(36 87.556145),(37 86.46766),(38 87.08585),(39 87.099525),(40 87.50779),(41 86.57192),(42 87.02437),(43 86.83222),(44 86.55216),(45 86.36701),(46 86.167),(47 85.15941),(48 83.94824),(49 84.44583),(50 83.71971),(51 83.81505),(52 83.33492),(53 83.73058),(54 83.43766),(55 84.075485),(56 83.817154),(57 83.96421),(58 84.427155),(59 84.07996),(60 83.68229),(61 82.33829),(62 82.77398),(63 82.72049),(64 82.88995),(65 82.474396),(66 82.669365),(67 82.46081),(68 82.0211),(69 83.71953),(70 82.92174),(71 84.185104),(72 83.22723),(73 82.601974),(74 83.303696),(75 84.552956),(76 85.11615),(77 84.17103),(78 83.62251),(79 84.205536),
(1 60.45437),(2 68.03747),(3 69.98523),(4 72.022804),(5 72.774536),(6 75.098465),(7 75.68367),(8 76.73056),(9 77.47909),(10 79.77232),(11 80.93892),(12 81.23585),(13 82.38142),(14 82.812035),(15 82.97097),(16 83.83992),(17 84.04265),(18 84.00945),(19 84.26843),(20 83.88599),(21 83.835),(22 83.61654),(23 84.20444),(24 84.94856),(25 85.53281),(26 85.45584),(27 86.45974),(28 87.11814),(29 86.07272),(30 86.28878),(31 87.70691),(32 87.69341),(33 88.70644),(34 87.98288),(35 86.79737),(36 88.13634),(37 87.921425),(38 89.0248),(39 89.76884),(40 89.44053),(41 89.55006),(42 88.95404),(43 88.9158),(44 88.96542),(45 88.94371),(46 89.72872),(47 89.43965),(48 87.364136),(49 87.45743),(50 86.54626),(51 87.46376),(52 87.103455),(53 86.52476),(54 87.282814),(55 86.73818),(56 87.244316),(57 87.02085),(58 86.018745),(59 85.889626),(60 84.58701),(61 84.06037),(62 83.22509),(63 83.47774),(64 83.62182),(65 83.34719),(66 82.69083),(67 83.06253),(68 83.74606),(69 83.35578),(70 83.038795),(71 83.86645),(72 83.80436),(73 82.36066),(74 83.8963),(75 83.27456),(76 82.66433),(77 83.008545),(78 82.69526),(79 84.14768),
(1 59.380707),(2 66.271736),(3 68.93202),(4 69.94021),(5 70.87015),(6 73.741165),(7 75.63173),(8 77.08577),(9 76.96669),(10 78.45038),(11 80.32242),(12 81.19645),(13 80.59289),(14 80.531456),(15 81.912315),(16 82.54098),(17 82.922134),(18 82.97688),(19 82.42608),(20 83.59933),(21 82.80235),(22 83.45103),(23 83.41517),(24 82.74126),(25 82.81848),(26 83.02301),(27 84.29585),(28 84.980835),(29 83.82543),(30 82.821945),(31 83.1806),(32 83.80357),(33 84.23864),(34 84.02788),(35 82.512634),(36 83.313324),(37 82.66014),(38 84.19234),(39 83.62704),(40 84.78312),(41 83.80018),(42 84.16357),(43 82.5119),(44 83.35816),(45 84.657265),(46 84.01797),(47 83.354485),(48 82.17147),(49 82.286125),(50 82.301384),(51 82.76764),(52 82.88182),(53 81.8172),(54 81.73547),(55 82.29287),(56 82.67821),(57 82.83131),(58 81.89161),(59 80.90379),(60 80.812195),(61 80.83262),(62 80.434975),(63 80.08947),(64 79.50471),(65 79.62608),(66 79.36039),(67 79.19827),(68 79.06248),(69 79.405525),(70 80.06597),(71 79.826065),(72 79.027756),(73 80.21218),(74 79.84991),(75 79.889656),(76 79.77813),(77 80.63443),(78 80.81668),(79 81.145096),
