1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 59108.8),(2 78669.65),(3 68071.86),(4 146341.05),(5 201460.89),(6 220042.92),(7 307908.06),(8 381273.4),(9 388765.22),(10 498230.6),(11 642296.44),(12 697813.94),(13 840934.06),(14 960951),(15 1014140.3),(16 1163041.5),(17 1271265.4),(18 1320989.6),(19 1447004),(20 1555239.9),(21 1603558.4),(22 1744504),(23 1876976.4),(24 1929126.5),(25 2075434.4),(26 2195303.3),(27 2249982.8),(28 2398073.8),(29 2495543),(30 2537784.3),(31 2687659.8),(32 2779249.8),(33 2788608.8),(34 2910044.8),(35 2991891.3),(36 3009532),(37 3145074.8),(38 3238131.3),(39 3253845),(40 3396923.8),(41 3507438),(42 3553832),(43 3721439),(44 3825260),(45 3873372.8),(46 4032419.3),(47 4160113.3),(48 4210441.5),(49 4375042),(50 4512070),(51 4597553.5),(52 4797761),(53 4975184.5),(54 5070390),(55 5279804.5),(56 5443605.5),(57 5535370.5),(58 5715626),(59 5864248.5),(60 5947752),(61 6141901.5),(62 6299973.5),(63 6387509.5),(64 6593404),(65 6740702.5),(66 6848274),(67 7052922.5),(68 7229432),(69 7346946.5),(70 7569500.5),(71 7735840),(72 7871044),(73 8088137.5),(74 8240083.5),(75 8381972),(76 8580481),(77 8721629),(78 8860059),(79 9094371),
(1 1502.768),(2 2685.0063),(3 3427.4507),(4 3904.779),(5 4296.1333),(6 4600.599),(7 4748.5703),(8 4935.8423),(9 5131.2314),(10 5364.983),(11 5501.362),(12 5633.4023),(13 5766.8306),(14 5890.612),(15 6053.9146),(16 6047.6875),(17 6131.931),(18 6200.483),(19 6220.1797),(20 6277.924),(21 6319.8804),(22 6321.181),(23 6387.229),(24 6450.9336),(25 6503.3804),(26 6552.408),(27 6655.9775),(28 6667.127),(29 6653.3247),(30 6643.079),(31 6643.303),(32 6573.4126),(33 6519.328),(34 6527.629),(35 6592.9663),(36 6537.442),(37 6537.7813),(38 6543.455),(39 6572.8755),(40 6554.7363),(41 6571.6133),(42 6509.3896),(43 6484.917),(44 6464.253),(45 6452.659),(46 6451.1147),(47 6448.51),(48 6367.9917),(49 6333.076),(50 6326.8154),(51 6347.384),(52 6371.888),(53 6350.4614),(54 6322.9507),(55 6332.156),(56 6396.6196),(57 6482.679),(58 6438.5547),(59 6463.212),(60 6485.053),(61 6424.1323),(62 6296.6157),(63 6301.65),(64 6310.6),(65 6348.4014),(66 6356.8677),(67 6414.0186),(68 6382.5815),(69 6375.7695),(70 6358.809),(71 6375.346),(72 6394.8),(73 6436.1323),(74 6381.5957),(75 6316.849),(76 6240.6357),(77 6154.278),(78 6098.9897),(79 6085.1274),
(1 1514.3348),(2 2709.814),(3 3417.8342),(4 3869.537),(5 4285.0327),(6 4546.808),(7 4696.7305),(8 4868.5547),(9 5033.0327),(10 5156.569),(11 5242.428),(12 5307.858),(13 5378.2524),(14 5466.866),(15 5598.5225),(16 5590.768),(17 5639.569),(18 5720.1753),(19 5799.109),(20 5821.8945),(21 5811.024),(22 5852.841),(23 5900.4946),(24 6004.8096),(25 6103.3345),(26 6179.8003),(27 6279.193),(28 6295.1343),(29 6300.1973),(30 6377.324),(31 6389.7954),(32 6393.0913),(33 6337.986),(34 6348.574),(35 6301.47),(36 6241.8545),(37 6250.0283),(38 6202.539),(39 6215.93),(40 6191.238),(41 6212.7227),(42 6243.4487),(43 6285.149),(44 6331.14),(45 6346.203),(46 6364.763),(47 6371.64),(48 6336.713),(49 6272.0967),(50 6189.0903),(51 6194.303),(52 6175.8467),(53 6197.848),(54 6238.6743),(55 6259.083),(56 6299.3013),(57 6305.0615),(58 6300.33),(59 6308.259),(60 6344.737),(61 6319.5996),(62 6307.6113),(63 6325.326),(64 6383.553),(65 6480.9043),(66 6532.7144),(67 6526.4126),(68 6454.572),(69 6393.5347),(70 6355.844),(71 6379.6973),(72 6334.4053),(73 6373.7695),(74 6389.14),(75 6310.164),(76 6177.7163),(77 6140.5166),(78 6144.286),(79 6137.666),
(1 1449.9418),(2 2596.0588),(3 3341.9373),(4 3831.9827),(5 4260.3574),(6 4602.606),(7 4811.113),(8 5046.056),(9 5232.277),(10 5374.967),(11 5469.515),(12 5561.766),(13 5653.3145),(14 5753.493),(15 5889.811),(16 5930.4033),(17 5980.71),(18 6071.2705),(19 6202.4565),(20 6231.8247),(21 6227.6963),(22 6242.4756),(23 6295.1123),(24 6332.892),(25 6363.516),(26 6394.997),(27 6531.863),(28 6560.2817),(29 6558.86),(30 6598.1045),(31 6663.713),(32 6658.8784),(33 6607.104),(34 6536.952),(35 6565.6313),(36 6549.7964),(37 6564.191),(38 6500.779),(39 6462.3267),(40 6410.9463),(41 6440.215),(42 6484.317),(43 6488.7617),(44 6573.889),(45 6600.808),(46 6626.213),(47 6599.5664),(48 6559.6333),(49 6492.7524),(50 6435.338),(51 6413.9756),(52 6432.659),(53 6484.556),(54 6544.2163),(55 6551.0864),(56 6550.559),(57 6524.845),(58 6483.127),(59 6515.2793),(60 6549.8037),(61 6510.7085),(62 6480.9814),(63 6430.0923),(64 6457.8516),(65 6462.921),(66 6456.8193),(67 6402.957),(68 6351.65),(69 6257.461),(70 6245.5015),(71 6248.8594),(72 6141.383),(73 6117.5723),(74 6114.6104),(75 6110.06),(76 6114.791),(77 6072.7417),(78 6112.722),(79 6105.413),
(1 1453.9965),(2 2651.5327),(3 3359.1748),(4 3836.1992),(5 4315.7554),(6 4666.8066),(7 4815.967),(8 5017.1455),(9 5152.801),(10 5374.635),(11 5523.0454),(12 5601.3237),(13 5685.3335),(14 5735.6416),(15 5856.194),(16 5852.619),(17 5878.7046),(18 5943.5664),(19 6037.406),(20 6136.996),(21 6155.361),(22 6182.1016),(23 6279.524),(24 6372.1094),(25 6455.754),(26 6538.636),(27 6740.8496),(28 6859.323),(29 6929.9775),(30 6913.1987),(31 6885.1343),(32 6876.8735),(33 6822.5977),(34 6728.854),(35 6643.4434),(36 6504.5635),(37 6460.9907),(38 6342.342),(39 6323.165),(40 6285.2837),(41 6261.141),(42 6279.519),(43 6262.773),(44 6251.3945),(45 6240.1284),(46 6221.483),(47 6225.942),(48 6137.0195),(49 6144.316),(50 6124.159),(51 6099.1763),(52 6124.198),(53 6162.2427),(54 6209.34),(55 6263.6636),(56 6392.5586),(57 6445.177),(58 6480.0444),(59 6499.8154),(60 6491.6914),(61 6451.1875),(62 6447.3154),(63 6465.878),(64 6434.5767),(65 6402.586),(66 6387.9736),(67 6344.4194),(68 6279.7466),(69 6211.413),(70 6186.8677),(71 6245.683),(72 6190.124),(73 6143.397),(74 6150.527),(75 6201.7524),(76 6227.7705),(77 6241.649),(78 6255.7954),(79 6200.5776),
(1 1403.5398),(2 2557.7268),(3 3226.2627),(4 3653.6584),(5 4059.518),(6 4380.008),(7 4547.4814),(8 4797.6997),(9 5013.9336),(10 5238.5996),(11 5404.289),(12 5541.908),(13 5691.968),(14 5798.7085),(15 5965.194),(16 5956.982),(17 6019.52),(18 6107.6196),(19 6116.0073),(20 6130.627),(21 6187.571),(22 6246.8154),(23 6320.847),(24 6416.6035),(25 6520.3154),(26 6589.3516),(27 6706.933),(28 6804.824),(29 6825.3975),(30 6840.882),(31 6859.7754),(32 6764.2783),(33 6728.009),(34 6670.4424),(35 6615.7593),(36 6575.032),(37 6499.685),(38 6448.709),(39 6426.4834),(40 6451.2217),(41 6454.827),(42 6428.598),(43 6407.4727),(44 6353.9224),(45 6284.797),(46 6278.68),(47 6224.838),(48 6196.082),(49 6212.3936),(50 6237.8984),(51 6301.9063),(52 6356.7754),(53 6342.182),(54 6319.392),(55 6317.333),(56 6363.6436),(57 6378.724),(58 6416.0103),(59 6430.971),(60 6472.8745),(61 6460.45),(62 6446.506),(63 6448.9487),(64 6421.2026),(65 6409.2666),(66 6371.3013),(67 6318.708),(68 6285.0005),(69 6248.0303),(70 6212.336),(71 6205.7305),(72 6122.155),(73 6108.5547),(74 6158.5015),(75 6129.366),(76 6107.719),(77 6095.536),(78 6082.5835),(79 6064.8184),
(1 1404.8826),(2 2488.42),(3 3158.497),(4 3532.366),(5 3912.8162),(6 4216.79),(7 4402.252),(8 4698.666),(9 4924.6587),(10 5128.859),(11 5316.2275),(12 5473.507),(13 5617.676),(14 5695.8813),(15 5891.4897),(16 5989.2646),(17 6093.517),(18 6145.2783),(19 6228.095),(20 6310.2534),(21 6349.461),(22 6391.115),(23 6431.085),(24 6555.742),(25 6623.1616),(26 6663.3027),(27 6800.7207),(28 6802.8516),(29 6824.0938),(30 6806.789),(31 6822.2),(32 6783.147),(33 6802.9185),(34 6802.879),(35 6779.9263),(36 6760.196),(37 6731.8306),(38 6758.009),(39 6764.5107),(40 6761.432),(41 6722.17),(42 6718.982),(43 6659.155),(44 6564.685),(45 6437.008),(46 6405.723),(47 6378.2354),(48 6351.6514),(49 6390.644),(50 6443.3936),(51 6478.157),(52 6470.8516),(53 6441.616),(54 6409.5117),(55 6452.5503),(56 6480.531),(57 6517.0044),(58 6591.853),(59 6577.8193),(60 6569.5396),(61 6523.958),(62 6448.4033),(63 6423.814),(64 6395.951),(65 6359.773),(66 6365.771),(67 6361.7817),(68 6355.291),(69 6355.67),(70 6334.471),(71 6290.5117),(72 6229.094),(73 6203.586),(74 6136.506),(75 6094.856),(76 6069.121),(77 6015.445),(78 5997.1484),(79 5954.742),
(1 1358.3264),(2 2370.6882),(3 2965.525),(4 3316.6484),(5 3610.0742),(6 3850.0076),(7 4018.724),(8 4274.6816),(9 4481.915),(10 4759.482),(11 4922.2344),(12 4996.994),(13 5102.397),(14 5199.129),(15 5374.7974),(16 5468.487),(17 5570.4365),(18 5606.897),(19 5663.3135),(20 5721.319),(21 5742.137),(22 5847.125),(23 5915.0747),(24 5971.2),(25 5974.072),(26 6016.05),(27 6123.0386),(28 6255.506),(29 6223.9473),(30 6196.896),(31 6171.771),(32 6171.9824),(33 6156.772),(34 6092.702),(35 6098.9883),(36 6128.1973),(37 6065.681),(38 6080.412),(39 6093.8315),(40 6061.2427),(41 6072.3354),(42 6107.802),(43 6102.1694),(44 6091.363),(45 6024.2153),(46 5977.7085),(47 5945.3364),(48 5955.763),(49 5932.248),(50 5907.4146),(51 5875.6855),(52 5884.453),(53 5960.015),(54 5948.3076),(55 6001.9106),(56 6062.912),(57 6192.681),(58 6289.367),(59 6306.3486),(60 6273.0073),(61 6205.755),(62 6117.4883),(63 6102.937),(64 6002.0005),(65 5972.2),(66 6010.3247),(67 5993.328),(68 5963.5894),(69 6017.799),(70 6048.7246),(71 5984.8213),(72 5917.829),(73 5865.97),(74 5789.481),(75 5679.3315),(76 5660.2896),(77 5662.4424),(78 5664.953),(79 5666.241),
(1 1349.1151),(2 2381.5374),(3 3004.2532),(4 3365.773),(5 3637.1104),(6 3914.2407),(7 4067.2993),(8 4281.673),(9 4459.939),(10 4669.305),(11 4800.061),(12 4879.821),(13 4965.7437),(14 5092.8784),(15 5220.0415),(16 5275.35),(17 5317.411),(18 5434.064),(19 5533.251),(20 5587.1016),(21 5586.316),(22 5601.198),(23 5672.59),(24 5727.6445),(25 5846.59),(26 5902.8477),(27 5996.6704),(28 6115.3037),(29 6168.864),(30 6205.405),(31 6181.2964),(32 6185.053),(33 6139.8315),(34 6066.6714),(35 6055.391),(36 6067.321),(37 6032.634),(38 5992.082),(39 6005.379),(40 5987.1245),(41 6010.6826),(42 6034.4346),(43 6087.1533),(44 6052.333),(45 6000.957),(46 5968.337),(47 5958.2827),(48 5901.0415),(49 5928.3154),(50 5953.5225),(51 5900.9414),(52 5868.1064),(53 5869.534),(54 5865.1323),(55 5884.0337),(56 5910.2856),(57 5990.951),(58 6094.9326),(59 6131.3394),(60 6145.0938),(61 6167.014),(62 6110.1646),(63 6094.719),(64 6031.2437),(65 6022.5093),(66 5993.5933),(67 5960.0137),(68 5924.235),(69 5893.8823),(70 5891.7974),(71 5900.7656),(72 5850.8438),(73 5831.025),(74 5801.1104),(75 5793.838),(76 5741.932),(77 5688.8726),(78 5651.7915),(79 5655.275),
(1 1342.961),(2 2367.9214),(3 3008.0476),(4 3422.3574),(5 3683.0972),(6 3903.1838),(7 4064.1187),(8 4240.613),(9 4411.137),(10 4562.724),(11 4644.9277),(12 4698.153),(13 4814.6577),(14 4937.6294),(15 5058.253),(16 5149.992),(17 5243.2065),(18 5366.869),(19 5515.1685),(20 5617.695),(21 5727.7744),(22 5706.0815),(23 5743.757),(24 5811.844),(25 5935.326),(26 6010.845),(27 6081.277),(28 6162.47),(29 6206.006),(30 6201.0664),(31 6152.355),(32 6039.605),(33 6017.358),(34 5998.9375),(35 5971.968),(36 5939.244),(37 5913.943),(38 5971.0127),(39 5951.94),(40 5881.0166),(41 5823.595),(42 5766.423),(43 5756.1606),(44 5687.272),(45 5665.498),(46 5633.9043),(47 5604.8555),(48 5630.468),(49 5611.8657),(50 5636.7983),(51 5663.436),(52 5619.875),(53 5615.376),(54 5659.6006),(55 5653.531),(56 5664.493),(57 5679.4863),(58 5677.753),(59 5673.9497),(60 5749.6753),(61 5775.2417),(62 5740.2393),(63 5743.815),(64 5741.6494),(65 5799.004),(66 5826.872),(67 5853.8765),(68 5888.6016),(69 5832.472),(70 5761.6597),(71 5727.214),(72 5723.781),(73 5732.253),(74 5718.2163),(75 5651.538),(76 5575.5264),(77 5547.1636),(78 5525.2188),(79 5487.4277),
(1 1377.1392),(2 2409.7834),(3 3048.4639),(4 3432.5461),(5 3727.5908),(6 3948.0361),(7 4050.6492),(8 4191.851),(9 4323.0996),(10 4467.438),(11 4574.2817),(12 4664.41),(13 4780.6924),(14 4881.9697),(15 5009.883),(16 5080.1934),(17 5194.416),(18 5346.927),(19 5439.9697),(20 5554.26),(21 5657.2104),(22 5711.9014),(23 5708.6284),(24 5748.585),(25 5859.5415),(26 5955.711),(27 6095.372),(28 6165.3423),(29 6180.755),(30 6173.5127),(31 6102.722),(32 6039.6064),(33 6055.637),(34 6064.48),(35 6014.53),(36 5923.1426),(37 5842.9385),(38 5814.781),(39 5802.1895),(40 5753.887),(41 5761.6113),(42 5693.7544),(43 5604.703),(44 5517.402),(45 5462.7007),(46 5445.453),(47 5470.0796),(48 5443.0186),(49 5438.4966),(50 5452.2964),(51 5468.4736),(52 5468.088),(53 5500.2896),(54 5496.926),(55 5495.8857),(56 5550.23),(57 5563.2847),(58 5568.7427),(59 5548.2695),(60 5538.676),(61 5575.3965),(62 5542.5234),(63 5538.981),(64 5585.426),(65 5645.388),(66 5725.079),(67 5813.1724),(68 5808.333),(69 5817.998),(70 5792.1753),(71 5745.822),(72 5674.983),(73 5689.325),(74 5688.9067),(75 5628.9243),(76 5550.6445),(77 5502.635),(78 5461.1533),(79 5476.448),
(1 1311.2461),(2 2282.8486),(3 2884.3274),(4 3246.7317),(5 3553.8203),(6 3779.7637),(7 3888.8655),(8 4068.467),(9 4241.179),(10 4452.96),(11 4620.6343),(12 4733.01),(13 4824.2886),(14 4919.4434),(15 5005.7397),(16 5060.628),(17 5162.026),(18 5226.0464),(19 5268.622),(20 5341.7437),(21 5403.577),(22 5449.0537),(23 5478.419),(24 5506.3286),(25 5548.6777),(26 5601.3115),(27 5692.213),(28 5730.0264),(29 5750.6577),(30 5778.7915),(31 5774.123),(32 5777.3647),(33 5773.0923),(34 5835.495),(35 5804.625),(36 5742.451),(37 5642.034),(38 5572.3613),(39 5573.908),(40 5533.0044),(41 5544.5093),(42 5547.192),(43 5547.4063),(44 5517.2183),(45 5497.185),(46 5514.4727),(47 5525.707),(48 5615.736),(49 5709.4756),(50 5709.6113),(51 5731.9336),(52 5721.9517),(53 5681.3945),(54 5655.1084),(55 5707.354),(56 5723.601),(57 5779.423),(58 5845.348),(59 5837.049),(60 5784.8438),(61 5752.6143),(62 5659.2817),(63 5643.4014),(64 5610.4697),(65 5630.4453),(66 5605.548),(67 5633.2427),(68 5673.8037),(69 5686.3916),(70 5659.139),(71 5664.2837),(72 5607.7773),(73 5565.108),(74 5503.9453),(75 5499.6987),(76 5434.02),(77 5353.303),(78 5280.4956),(79 5309.0366),
(1 1273.376),(2 2223.3364),(3 2832.0073),(4 3225.387),(5 3538.577),(6 3735.1956),(7 3889.0623),(8 4111.7695),(9 4284.1733),(10 4507.3643),(11 4675.618),(12 4806.788),(13 4915.7617),(14 4996.1694),(15 5109.6416),(16 5101.7397),(17 5153.984),(18 5237.3037),(19 5278.3135),(20 5279.6475),(21 5330.2334),(22 5321.8306),(23 5336.2407),(24 5374.9517),(25 5487.856),(26 5554.8857),(27 5631.4043),(28 5695.1724),(29 5662.019),(30 5704.9473),(31 5728.6147),(32 5791.5083),(33 5793.45),(34 5801.3687),(35 5722.8584),(36 5625.9614),(37 5550.0586),(38 5450.5796),(39 5465.5693),(40 5402.344),(41 5447.931),(42 5517.9307),(43 5496.7305),(44 5467.4697),(45 5401.668),(46 5352.418),(47 5341.923),(48 5441.0107),(49 5521.2593),(50 5633.7256),(51 5696.0796),(52 5747.804),(53 5700.079),(54 5704.1904),(55 5747.6284),(56 5780.317),(57 5820.421),(58 5867.8394),(59 5842.3975),(60 5823.4844),(61 5777.783),(62 5722.849),(63 5702.3926),(64 5718.343),(65 5730.575),(66 5696.317),(67 5705.8364),(68 5782.2485),(69 5726.2886),(70 5699.1694),(71 5680.799),(72 5677.6045),(73 5644.5537),(74 5640.242),(75 5605.8057),(76 5540.0327),(77 5444.0947),(78 5357.16),(79 5345.0894),
(1 1266.1312),(2 2232.703),(3 2821.8835),(4 3224.2795),(5 3535.4822),(6 3785.1067),(7 3974.386),(8 4172.303),(9 4356.9966),(10 4586.4424),(11 4695.8325),(12 4794.49),(13 4958.725),(14 5087.758),(15 5209.8896),(16 5218.559),(17 5244.143),(18 5370.69),(19 5381.664),(20 5396.0317),(21 5365.5654),(22 5346.066),(23 5371.4556),(24 5418.135),(25 5485.703),(26 5510.3706),(27 5542.042),(28 5629.2783),(29 5613.186),(30 5644.776),(31 5622.9175),(32 5657.432),(33 5591.629),(34 5556.226),(35 5456.5586),(36 5365.813),(37 5300.3794),(38 5263.221),(39 5290.6587),(40 5247.7236),(41 5251.5874),(42 5288.611),(43 5317.627),(44 5335.4307),(45 5310.282),(46 5256.5503),(47 5311.113),(48 5358.7173),(49 5422.2383),(50 5486.0586),(51 5554.142),(52 5559.3384),(53 5537.861),(54 5543.8677),(55 5560.31),(56 5544.354),(57 5530.733),(58 5498.206),(59 5445.344),(60 5466.4414),(61 5492.421),(62 5454.869),(63 5470.0884),(64 5503.74),(65 5531.4365),(66 5524.2954),(67 5554.1055),(68 5569.357),(69 5518.173),(70 5457.205),(71 5417.269),(72 5376.1904),(73 5384.0034),(74 5388.1943),(75 5393.8115),(76 5323.946),(77 5307.042),(78 5251.115),(79 5271.159),
(1 1255.6049),(2 2147.848),(3 2729.0093),(4 3092.5078),(5 3352.6804),(6 3555.5173),(7 3701.1194),(8 3872.6033),(9 4050.36),(10 4296.8057),(11 4424.713),(12 4562.1597),(13 4675.6826),(14 4719.8286),(15 4752.977),(16 4756.8965),(17 4832.1934),(18 4950.4653),(19 4950.895),(20 4931.919),(21 4940.309),(22 4950.1396),(23 4942.9824),(24 4931.229),(25 4984.5776),(26 5045.142),(27 5103.938),(28 5170.445),(29 5202.9097),(30 5202.18),(31 5159.67),(32 5177.1567),(33 5148.6157),(34 5048.7437),(35 4964.261),(36 4894.4917),(37 4870.3857),(38 4889.6055),(39 4912.716),(40 4926.2495),(41 4940.1714),(42 4954.9307),(43 4946.4653),(44 4941.77),(45 4947.6284),(46 4898.33),(47 4919.1753),(48 4946.0205),(49 4983.4536),(50 5015.0728),(51 5019.357),(52 4936.24),(53 4911.9487),(54 4905.8286),(55 4931.388),(56 4927.9434),(57 4852.002),(58 4842.7925),(59 4839.0757),(60 4787.838),(61 4809.916),(62 4818.3296),(63 4852.9097),(64 4884.214),(65 4903.214),(66 4886.8784),(67 4885.4185),(68 4935.5225),(69 4924.7505),(70 4898.256),(71 4893.5537),(72 4854.289),(73 4846.2124),(74 4867.7925),(75 4871.2207),(76 4818.3667),(77 4788.516),(78 4790.2524),(79 4837.369),
(1 1245.8451),(2 2150.7332),(3 2700.5356),(4 3065.1184),(5 3296.0645),(6 3486.795),(7 3613.817),(8 3733.2244),(9 3844.7825),(10 4069.5015),(11 4203.3926),(12 4363.4014),(13 4514.163),(14 4555.2563),(15 4620.1807),(16 4660.715),(17 4735.6665),(18 4790.8223),(19 4843.6245),(20 4855.9116),(21 4857.528),(22 4832.091),(23 4883.9272),(24 4921.3438),(25 4951.0347),(26 5003.463),(27 5023.8037),(28 5107.715),(29 5130.7056),(30 5147.9985),(31 5137.022),(32 5119.4463),(33 5097.507),(34 5076.4985),(35 5054.659),(36 5055.295),(37 5067.0146),(38 5063.5547),(39 5141.8643),(40 5096.4883),(41 5078.2847),(42 5054.4883),(43 5087.1553),(44 5098.954),(45 5104.565),(46 5066.095),(47 5084.258),(48 5067.4434),(49 5126.1895),(50 5076.9854),(51 5086.376),(52 5068.61),(53 5104.1895),(54 5092.5273),(55 5107.647),(56 5104.692),(57 5046.1353),(58 5060.9463),(59 5071.8896),(60 5060.893),(61 5116.7983),(62 5082.3926),(63 5175.0005),(64 5176.3276),(65 5167.009),(66 5137.3247),(67 5102.51),(68 5090.3584),(69 5078.195),(70 5020.263),(71 5008.9956),(72 4974.589),(73 4946.2773),(74 4886.935),(75 4913.582),(76 4889.752),(77 4864.9683),(78 4846.2715),(79 4859.458),
(1 1202.1448),(2 2086.5964),(3 2655.8318),(4 3050.2705),(5 3343.88),(6 3576.6953),(7 3711.094),(8 3872.1116),(9 4036.9077),(10 4228.6533),(11 4384.7104),(12 4490.806),(13 4638.2393),(14 4715.9663),(15 4809.1016),(16 4832.868),(17 4916.892),(18 4966.5127),(19 5004.3374),(20 5023.33),(21 5020.46),(22 5037.558),(23 5042.2524),(24 5027.3965),(25 5053.8843),(26 5119.9727),(27 5204.8228),(28 5303),(29 5319.501),(30 5279.743),(31 5237.8696),(32 5158.2183),(33 5118.5522),(34 5108.738),(35 5099.955),(36 5105.6895),(37 5089.7783),(38 5129.435),(39 5142.5405),(40 5097.5347),(41 5153.832),(42 5205.0547),(43 5242.55),(44 5279.2773),(45 5227.171),(46 5175.3),(47 5156.8687),(48 5153.725),(49 5210.452),(50 5206.4824),(51 5155.95),(52 5158.736),(53 5194.4863),(54 5198.0796),(55 5195.8555),(56 5164.61),(57 5103.5356),(58 5081.9956),(59 5077.564),(60 5087.9106),(61 5098.7515),(62 5103.4614),(63 5143.056),(64 5154.659),(65 5123.5854),(66 5076.295),(67 5025.871),(68 4976.3916),(69 4904.1763),(70 4883.2314),(71 4852.255),(72 4876.238),(73 4858.893),(74 4901.0938),(75 4955.896),(76 4917.1997),(77 4911.8677),(78 4877.4175),(79 4850.6846),
