1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 11462.945),(2 37147.92),(3 75030.195),(4 119878.445),(5 173397.08),(6 229960.19),(7 291694.9),(8 355182.6),(9 418068.84),(10 476375.25),(11 531091.8),(12 577358.3),(13 614807.06),(14 652565),(15 685591),(16 709644.94),(17 735206),(18 742322.8),(19 759621.75),(20 776791.94),(21 790953.8),(22 804295.5),(23 813030.2),(24 827127.8),(25 848751.06),(26 869630.94),(27 899886),(28 934828.25),(29 990585.2),(30 1044786.2),(31 1104995.4),(32 1172073),(33 1244495.4),(34 1314836.4),(35 1391375.8),(36 1462138.6),(37 1541757.4),(38 1608717),(39 1680000),(40 1744774),(41 1821707.6),(42 1888564),(43 1960652.6),(44 2029661.4),(45 2084975.9),(46 2134579),(47 2170400),(48 2185609.3),(49 2214393.3),(50 2229915.3),(51 2257514.5),(52 2270373.8),(53 2294427.3),(54 2326912.8),(55 2378149.3),(56 2411373),(57 2445587.5),(58 2473102.3),(59 2505991.3),(60 2541535.8),(61 2577868),(62 2617213.5),(63 2646270.3),(64 2684767),(65 2725180.3),(66 2756269.5),(67 2819741.3),(68 2879114),(69 2938201.3),(70 2989674),(71 3040069.8),(72 3073438.8),(73 3111904.3),(74 3145615.3),(75 3167358.8),(76 3184993.3),(77 3209357.8),(78 3217822.8),(79 3248281.3),
(1 1029.6674),(2 1712.4088),(3 2243.8137),(4 2660.6968),(5 3021.5718),(6 3302.5815),(7 3635.5676),(8 4046.5566),(9 4345.2095),(10 4690.0894),(11 5004.9414),(12 5332.947),(13 5742.753),(14 6113.945),(15 6523.6563),(16 6839.52),(17 7132.0337),(18 7439.3496),(19 7706.6025),(20 7912.8696),(21 8097.9917),(22 8180.7314),(23 8288.455),(24 8304.938),(25 8234.381),(26 8175.43),(27 8069.757),(28 7958.6147),(29 7849.1133),(30 7742.632),(31 7631.5938),(32 7561.9146),(33 7476.3813),(34 7404.2607),(35 7373.3257),(36 7359.865),(37 7346.4746),(38 7312.759),(39 7289.5474),(40 7281.436),(41 7288.639),(42 7293.2188),(43 7397.526),(44 7391.743),(45 7364.0957),(46 7375.159),(47 7435.856),(48 7455.013),(49 7423.43),(50 7425.802),(51 7474.2417),(52 7474.9424),(53 7476.062),(54 7399.736),(55 7408.7104),(56 7406.024),(57 7344.2007),(58 7293.351),(59 7270.438),(60 7210.343),(61 7160.171),(62 7152.8516),(63 7069.6357),(64 7034.247),(65 7003.5674),(66 6946.87),(67 6961.9346),(68 6902.5186),(69 6908.507),(70 6879.74),(71 6873.5835),(72 6835.058),(73 6803.243),(74 6786.153),(75 6866.755),(76 6917.44),(77 6927.315),(78 6968.9756),(79 6975.414),
(1 1018.61444),(2 1699.6426),(3 2223.99),(4 2652.171),(5 3040.69),(6 3298.8486),(7 3628.7776),(8 4012.3176),(9 4309.4224),(10 4694.133),(11 5004.2725),(12 5347.8374),(13 5818.756),(14 6207.317),(15 6639.6235),(16 6906.9385),(17 7195.3647),(18 7479.8506),(19 7698.766),(20 7941.7275),(21 8105.326),(22 8197.212),(23 8311.59),(24 8355.786),(25 8267.878),(26 8203.831),(27 8106.447),(28 7970.267),(29 7844.433),(30 7693.6523),(31 7551.1724),(32 7431.906),(33 7373.64),(34 7236.0903),(35 7149.41),(36 7091.7466),(37 7075.179),(38 7043.4272),(39 7056.807),(40 7077.0713),(41 7122.706),(42 7127.4487),(43 7188.626),(44 7183.378),(45 7160.722),(46 7186.2896),(47 7221.011),(48 7190.5957),(49 7148.3906),(50 7155.275),(51 7146.0366),(52 7141.2944),(53 7144.8613),(54 7081.7734),(55 7065.256),(56 6994.467),(57 6932.4365),(58 6893.557),(59 6885.257),(60 6850.657),(61 6784.7124),(62 6764.227),(63 6676.959),(64 6634.9917),(65 6643.062),(66 6616.9287),(67 6624.6743),(68 6548.331),(69 6541.184),(70 6538.9897),(71 6559.3545),(72 6594.8813),(73 6638.9004),(74 6662.7764),(75 6762.2837),(76 6803.659),(77 6834.2603),(78 6875.305),(79 6869.4663),
(1 1013.71606),(2 1658.3091),(3 2168.2073),(4 2573.054),(5 2938.0688),(6 3234.8047),(7 3609.3767),(8 4018.9158),(9 4334.396),(10 4691.704),(11 5003.716),(12 5359.097),(13 5820.6587),(14 6189.3657),(15 6624.244),(16 6951.7173),(17 7305.063),(18 7579.4907),(19 7859.155),(20 8116.3667),(21 8337.6),(22 8396.065),(23 8478.603),(24 8418.594),(25 8315.904),(26 8243.289),(27 8098.674),(28 7969.0977),(29 7817.3237),(30 7702.4214),(31 7608.3296),(32 7563.567),(33 7590.9067),(34 7533.9385),(35 7549.5435),(36 7587.6855),(37 7638.347),(38 7697.7534),(39 7704.5625),(40 7750.3267),(41 7826.8677),(42 7811.9224),(43 7847.412),(44 7796.5386),(45 7832.25),(46 7886.3086),(47 7935.99),(48 7909.5864),(49 7802.2656),(50 7828.4717),(51 7806.763),(52 7779.0063),(53 7738.49),(54 7652.9395),(55 7591.811),(56 7541.405),(57 7504.6895),(58 7430.4414),(59 7369.9272),(60 7338.1523),(61 7281.0645),(62 7264.244),(63 7182.6733),(64 7110.838),(65 7088.3853),(66 7021.8525),(67 7024.4775),(68 6961.195),(69 6915.6177),(70 6878.271),(71 6883.67),(72 6863.6147),(73 6874.292),(74 6905.4614),(75 6974.9736),(76 6995.7383),(77 6984.941),(78 7008.4883),(79 7018.4043),
(1 1004.52795),(2 1650.2153),(3 2163.3499),(4 2572.1577),(5 2920.1094),(6 3201.2607),(7 3514.2283),(8 3886.3118),(9 4185.117),(10 4515.76),(11 4860.392),(12 5184.0137),(13 5612.424),(14 5984.9517),(15 6380.4834),(16 6651.213),(17 7007.6797),(18 7268.732),(19 7490.003),(20 7745.882),(21 7943.4897),(22 8045.885),(23 8148.4497),(24 8061.512),(25 7908.8604),(26 7820.569),(27 7674.7285),(28 7529.197),(29 7371.038),(30 7268.5337),(31 7177.713),(32 7144.7334),(33 7137.1836),(34 7064.923),(35 7080.5415),(36 7087.26),(37 7157.617),(38 7151.555),(39 7231.452),(40 7301.1616),(41 7349.8145),(42 7380.5586),(43 7471.8804),(44 7481.602),(45 7509.567),(46 7599.238),(47 7612.069),(48 7643.818),(49 7600.379),(50 7632.213),(51 7609.9185),(52 7568.8833),(53 7516.977),(54 7414.278),(55 7381.6353),(56 7305.9717),(57 7262.857),(58 7215.931),(59 7188.0386),(60 7154.89),(61 7083.3433),(62 7064.028),(63 6968.63),(64 6877.7363),(65 6817.8486),(66 6724.6484),(67 6650.5645),(68 6585.701),(69 6517.3438),(70 6479.8804),(71 6435.903),(72 6410.628),(73 6394.2056),(74 6409.7197),(75 6463.6445),(76 6474.1504),(77 6511.523),(78 6604.8813),(79 6618.058),
(1 957.13007),(2 1581.574),(3 2069.8547),(4 2433.7886),(5 2762.3984),(6 3012.8884),(7 3317.6692),(8 3660.7375),(9 3919.2605),(10 4233.932),(11 4603.9756),(12 4925.857),(13 5318.282),(14 5679.0796),(15 6060.4307),(16 6329.7393),(17 6608.044),(18 6818.003),(19 7076.8955),(20 7292.5674),(21 7506.161),(22 7627.2856),(23 7699.2305),(24 7734.6646),(25 7641.6157),(26 7540.017),(27 7413.0376),(28 7282.5654),(29 7090.4233),(30 6969.8867),(31 6899.621),(32 6815.219),(33 6745.618),(34 6720.475),(35 6668.2183),(36 6678.3457),(37 6675.5513),(38 6674.335),(39 6695.1655),(40 6744.152),(41 6816.2305),(42 6828.1733),(43 6831.4907),(44 6862.191),(45 6907.665),(46 6926.2075),(47 6967.003),(48 6996.346),(49 6953.738),(50 6975.42),(51 6930.826),(52 6869.748),(53 6893.818),(54 6810.8975),(55 6745.1914),(56 6693.8853),(57 6634.0225),(58 6608.3594),(59 6569.8154),(60 6553.3115),(61 6492.241),(62 6424.8774),(63 6328.7515),(64 6299.865),(65 6263.605),(66 6192.4614),(67 6172.073),(68 6152.6025),(69 6130.517),(70 6127.4395),(71 6113.996),(72 6092.2344),(73 6143.58),(74 6176.41),(75 6240.1123),(76 6321.784),(77 6361.0674),(78 6372.1724),(79 6412.2837),
(1 981.8533),(2 1607.2552),(3 2090.6287),(4 2496.3708),(5 2782.7227),(6 3030.2344),(7 3330.6577),(8 3674.3545),(9 3962.028),(10 4276.3003),(11 4624.24),(12 4965.853),(13 5328.602),(14 5681.738),(15 6036.8374),(16 6288.8623),(17 6587.848),(18 6869.1567),(19 7084.8447),(20 7228.2383),(21 7379.731),(22 7447.086),(23 7516.868),(24 7487.686),(25 7346.699),(26 7249.739),(27 7162.8994),(28 7094.59),(29 6962.516),(30 6898.3),(31 6852.4785),(32 6815.109),(33 6769.978),(34 6752.6436),(35 6740.101),(36 6718.526),(37 6721.282),(38 6726.2603),(39 6725.9033),(40 6758.825),(41 6789.0044),(42 6808.4355),(43 6826.575),(44 6862.1963),(45 6932.38),(46 6947.0215),(47 6955.8193),(48 6920.5083),(49 6859.5503),(50 6880.16),(51 6857.899),(52 6829.944),(53 6780.801),(54 6650.3765),(55 6597.794),(56 6512.03),(57 6458.9346),(58 6397.13),(59 6372.9067),(60 6327.9307),(61 6265.3823),(62 6209.704),(63 6075.5),(64 6042.146),(65 5963.401),(66 5919.58),(67 5901.304),(68 5845.8813),(69 5825.907),(70 5828.955),(71 5854.2114),(72 5888.5645),(73 5928.004),(74 5976.761),(75 6039.5044),(76 6136.543),(77 6183.101),(78 6170.7603),(79 6212.888),
(1 956.77893),(2 1572.7043),(3 2056.9612),(4 2447.851),(5 2772.5862),(6 3037.277),(7 3352.1455),(8 3687.4324),(9 3979.0327),(10 4352.5347),(11 4704.839),(12 5055.909),(13 5487.805),(14 5880.851),(15 6244.997),(16 6535.781),(17 6882.4507),(18 7173.237),(19 7418.544),(20 7603.4473),(21 7777.824),(22 7874.113),(23 7941.2686),(24 7953.985),(25 7843.0967),(26 7755.945),(27 7685.216),(28 7636.757),(29 7527.408),(30 7470.1333),(31 7443.0137),(32 7404.8965),(33 7372.09),(34 7305.9487),(35 7253.9546),(36 7246.122),(37 7190.601),(38 7218.2344),(39 7244.2314),(40 7272.7334),(41 7264.9004),(42 7273.38),(43 7275.886),(44 7257.6367),(45 7284.949),(46 7340.43),(47 7377.2314),(48 7334.0693),(49 7259.169),(50 7264.458),(51 7237.831),(52 7193.0366),(53 7190.636),(54 7052.818),(55 7003.721),(56 6952.674),(57 6924.123),(58 6872.7617),(59 6851.944),(60 6824.6655),(61 6782.4224),(62 6752.1416),(63 6657.9917),(64 6626.7554),(65 6541.963),(66 6452.485),(67 6448.8013),(68 6409.941),(69 6348.4985),(70 6349.9023),(71 6352.873),(72 6390.3916),(73 6451.615),(74 6499.301),(75 6562.7705),(76 6663.3477),(77 6701.599),(78 6726.169),(79 6733.0186),
(1 950.629),(2 1555.1783),(3 2031.9891),(4 2401.9158),(5 2717.37),(6 2973.3657),(7 3275.5593),(8 3619.6958),(9 3918.9722),(10 4232.5137),(11 4541.3823),(12 4912.76),(13 5290.9883),(14 5627.292),(15 5976.7524),(16 6192.782),(17 6479.1045),(18 6734.6997),(19 6990.8413),(20 7197.6353),(21 7362.7197),(22 7476.6113),(23 7528.7583),(24 7531.5366),(25 7417.3213),(26 7359.0386),(27 7317.218),(28 7253.5146),(29 7135.356),(30 7070.532),(31 7049.9893),(32 7025.224),(33 7029.3667),(34 7037.05),(35 6986.746),(36 6999.33),(37 6998.662),(38 7015.2637),(39 7015.274),(40 6987.4604),(41 6985.788),(42 7011.436),(43 7034.2334),(44 7027.128),(45 7054.792),(46 7091.634),(47 7092.4517),(48 7053.794),(49 6997.4507),(50 6957.18),(51 6909.264),(52 6841.7114),(53 6779.7153),(54 6660.922),(55 6614.9497),(56 6546.928),(57 6499.734),(58 6480.2314),(59 6440.17),(60 6415.8706),(61 6341.428),(62 6283.9854),(63 6280.0654),(64 6247.158),(65 6211.9634),(66 6117.2417),(67 6092.024),(68 6035.9424),(69 6008.6885),(70 5988.4116),(71 5992.2983),(72 6001.578),(73 6023.0728),(74 6054.99),(75 6100.128),(76 6134.288),(77 6141.3228),(78 6129.456),(79 6101.3604),
(1 947.27136),(2 1545.3885),(3 2016.1536),(4 2408.9773),(5 2692.8862),(6 2942.53),(7 3246.5962),(8 3563.7927),(9 3830.5251),(10 4139.16),(11 4427.309),(12 4745.8535),(13 5103.204),(14 5410.0547),(15 5780.0684),(16 6009.409),(17 6308.794),(18 6565.6357),(19 6808.9775),(20 6981.432),(21 7183.9478),(22 7237.512),(23 7304.4194),(24 7271.542),(25 7215.94),(26 7190.6665),(27 7117.142),(28 7001.192),(29 6938.5967),(30 6882.715),(31 6818.1523),(32 6762.262),(33 6769.9497),(34 6754.6504),(35 6722.827),(36 6727.901),(37 6719.1797),(38 6703.08),(39 6755.442),(40 6770.046),(41 6783.014),(42 6815.006),(43 6863.8315),(44 6891.981),(45 6957.124),(46 6986.049),(47 6993.217),(48 6990.292),(49 6924.732),(50 6897.515),(51 6864.668),(52 6806.493),(53 6779.0176),(54 6666.9355),(55 6604.423),(56 6567.9253),(57 6525.729),(58 6492.2397),(59 6445.1016),(60 6377.7515),(61 6315.435),(62 6272.9473),(63 6241.428),(64 6192.7617),(65 6158.193),(66 6048.7188),(67 6042.6626),(68 5991.088),(69 5941.8076),(70 5898.682),(71 5885.8735),(72 5905.6626),(73 5910.804),(74 5943.2285),(75 5978.6553),(76 5987.71),(77 6004.2813),(78 6053.8887),(79 6066.395),
(1 926.76843),(2 1501.233),(3 1977.9175),(4 2292.9026),(5 2552.2695),(6 2814.857),(7 3096.276),(8 3442.912),(9 3712.2004),(10 4012.7256),(11 4314.954),(12 4611.0913),(13 4975.702),(14 5251.4473),(15 5592.758),(16 5841.9478),(17 6144.257),(18 6404.295),(19 6619.305),(20 6827.3364),(21 6991.1025),(22 7027.911),(23 7099.9395),(24 7078.531),(25 7034.7734),(26 6983.122),(27 6926.0645),(28 6826.5405),(29 6761.453),(30 6752.8354),(31 6731.64),(32 6731.4565),(33 6774.801),(34 6755.6885),(35 6758.156),(36 6767.677),(37 6783.8315),(38 6829.9995),(39 6838.5146),(40 6838.2725),(41 6855.528),(42 6873.3047),(43 6886.4473),(44 6886.9497),(45 6915.2817),(46 6903.6743),(47 6916.058),(48 6914.824),(49 6820.053),(50 6828.512),(51 6800.72),(52 6767.323),(53 6744.8823),(54 6661.913),(55 6573.6885),(56 6504.846),(57 6478.381),(58 6429.9204),(59 6412.652),(60 6423.63),(61 6402.918),(62 6374.7583),(63 6306.1724),(64 6279.7124),(65 6236.3467),(66 6116.374),(67 6074.2837),(68 5993.4434),(69 5949.784),(70 5903.721),(71 5903.724),(72 5889.995),(73 5888.9746),(74 5883.168),(75 5902.15),(76 5936.8926),(77 5910.705),(78 5936.6343),(79 5934.76),
(1 921.7397),(2 1505.2964),(3 1962.8982),(4 2332.6182),(5 2571.104),(6 2849.3047),(7 3161.648),(8 3505.658),(9 3793.2432),(10 4121.623),(11 4431.2104),(12 4738.9785),(13 5090.848),(14 5447.4556),(15 5779.914),(16 6010.9194),(17 6359.5103),(18 6631.8726),(19 6868.1426),(20 7067.3955),(21 7207.488),(22 7208.792),(23 7255.3916),(24 7211.321),(25 7095.174),(26 7043.025),(27 6939.984),(28 6878.3906),(29 6825.1055),(30 6746.716),(31 6679.4673),(32 6656.633),(33 6687.026),(34 6680.964),(35 6666.651),(36 6696.23),(37 6646.531),(38 6642.5186),(39 6681.934),(40 6680.859),(41 6693.663),(42 6718.514),(43 6762.5376),(44 6771.482),(45 6794.816),(46 6757.879),(47 6759.491),(48 6732.6753),(49 6668.951),(50 6671.0024),(51 6656.3735),(52 6570.884),(53 6531.666),(54 6421.3433),(55 6352.7124),(56 6272.5723),(57 6242.652),(58 6224.7544),(59 6203.1064),(60 6173.2),(61 6100.7876),(62 6059.1147),(63 5989.2056),(64 5963.7314),(65 5949.295),(66 5869.2676),(67 5862.0127),(68 5847.754),(69 5829.815),(70 5829.3403),(71 5873.309),(72 5871.895),(73 5901.0747),(74 5918.488),(75 5960.816),(76 5995.3926),(77 6015.9683),(78 6058.988),(79 6041.381),
(1 925.26733),(2 1513.9459),(3 1939.7246),(4 2312.7146),(5 2603.3132),(6 2895.668),(7 3264.892),(8 3593.5657),(9 3906.0537),(10 4222.7056),(11 4571.9336),(12 4948.0596),(13 5368.2256),(14 5712.2817),(15 6076.1187),(16 6334.492),(17 6605.0127),(18 6901.7495),(19 7112.2466),(20 7310.2183),(21 7459.647),(22 7515.011),(23 7582.9053),(24 7539.983),(25 7414.2163),(26 7349.2144),(27 7236.3784),(28 7134.368),(29 7044.8423),(30 6927.4233),(31 6859.9595),(32 6859.8477),(33 6790.7925),(34 6735.424),(35 6696.842),(36 6665.0786),(37 6662.989),(38 6664.2207),(39 6733.6377),(40 6735.74),(41 6761.6875),(42 6782.901),(43 6828.878),(44 6883.9775),(45 6931.21),(46 6967.2036),(47 7000.248),(48 6994.7217),(49 6973.481),(50 6972.4453),(51 6972.5615),(52 6938.1714),(53 6940.7876),(54 6891.893),(55 6912.492),(56 6858.8193),(57 6841.5303),(58 6803.0586),(59 6771.926),(60 6753.468),(61 6680.126),(62 6677.1025),(63 6623.5635),(64 6597.758),(65 6528.7993),(66 6447.42),(67 6431.1475),(68 6410.3667),(69 6404.664),(70 6386.6787),(71 6381.366),(72 6362.3086),(73 6360.8345),(74 6353.5776),(75 6403.3027),(76 6450.8677),(77 6455.3374),(78 6478.103),(79 6466.0947),
(1 913.9923),(2 1462.1997),(3 1877.8868),(4 2224.6292),(5 2519.4937),(6 2822.3018),(7 3164.537),(8 3481.5684),(9 3748.739),(10 4055.8298),(11 4360.084),(12 4701.2124),(13 5110.5596),(14 5458.1836),(15 5774.577),(16 6020.256),(17 6240.683),(18 6470.688),(19 6681.126),(20 6848.3184),(21 6974.821),(22 7020.51),(23 7091.6484),(24 7155.6465),(25 7098.2354),(26 7051.5664),(27 6992.3354),(28 6939.2847),(29 6874.587),(30 6760.9995),(31 6687.213),(32 6667.3364),(33 6640.409),(34 6604.756),(35 6591.23),(36 6557.337),(37 6540.495),(38 6545.448),(39 6554.198),(40 6552.483),(41 6572.422),(42 6583.8677),(43 6614.1523),(44 6593.033),(45 6607.8257),(46 6580.1445),(47 6550.6133),(48 6504.0728),(49 6434.779),(50 6412.3076),(51 6403.6274),(52 6378.045),(53 6353.953),(54 6288.5874),(55 6298.2827),(56 6267.2974),(57 6206.306),(58 6171.7236),(59 6128.1494),(60 6108.553),(61 6051.223),(62 6003.465),(63 5958.0303),(64 5926.8223),(65 5885.4688),(66 5805.5967),(67 5796.545),(68 5761.0063),(69 5758.514),(70 5773.4424),(71 5821.51),(72 5822.4985),(73 5851.651),(74 5885.616),(75 5928.6074),(76 5971.049),(77 5959.2373),(78 6001.88),(79 6020.5938),
(1 910.7514),(2 1449.6233),(3 1916.3436),(4 2243.4646),(5 2534.689),(6 2827.8538),(7 3131.4668),(8 3445.923),(9 3720.6738),(10 4037.6257),(11 4357.682),(12 4695.8047),(13 5037.3257),(14 5349.646),(15 5674.617),(16 5926.57),(17 6225.3677),(18 6462.3257),(19 6682.7505),(20 6898.6914),(21 7017.452),(22 7074.1045),(23 7160.149),(24 7165.9526),(25 7111.8604),(26 7097.906),(27 6997.7046),(28 6915.8643),(29 6835.338),(30 6772.9087),(31 6694.204),(32 6678.7847),(33 6720.7183),(34 6735.1733),(35 6753.0005),(36 6762.3965),(37 6769.3433),(38 6819.7515),(39 6846.7046),(40 6885.053),(41 6968.0664),(42 7049.8477),(43 7110.565),(44 7114.381),(45 7158.481),(46 7195.783),(47 7195.805),(48 7160.8975),(49 7102.8125),(50 7070.0933),(51 7037.264),(52 7028.2466),(53 6988.34),(54 6869.411),(55 6823.215),(56 6721.6934),(57 6669.8286),(58 6603.77),(59 6561.7993),(60 6489.5557),(61 6402.5347),(62 6392.5713),(63 6337.1196),(64 6306.1855),(65 6273.4966),(66 6220.661),(67 6193.7866),(68 6125.0107),(69 6136.8),(70 6142.8823),(71 6155.0313),(72 6175.9316),(73 6201.287),(74 6193.2515),(75 6196.016),(76 6212.022),(77 6200.1934),(78 6180.983),(79 6166.6177),
(1 883.7264),(2 1392.2136),(3 1831.35),(4 2144.0469),(5 2427.2932),(6 2692.5486),(7 2956.9302),(8 3297.4905),(9 3555.7883),(10 3852.767),(11 4180.9805),(12 4479.032),(13 4785.3564),(14 5057.3945),(15 5366.7134),(16 5588.3984),(17 5892.4604),(18 6112.9214),(19 6335.4385),(20 6532.9556),(21 6681.669),(22 6742.83),(23 6793.597),(24 6750.123),(25 6690.0127),(26 6661.7783),(27 6598.0117),(28 6513.662),(29 6419.4243),(30 6336.065),(31 6291.736),(32 6295.9453),(33 6372.5386),(34 6410.9414),(35 6436.466),(36 6448.662),(37 6494.907),(38 6578.141),(39 6639.3613),(40 6704.6123),(41 6762.484),(42 6786.931),(43 6851.8755),(44 6850.3936),(45 6879.8784),(46 6928.2397),(47 6935.0874),(48 6887.4336),(49 6828.7236),(50 6818.7383),(51 6770.5947),(52 6708.1563),(53 6644.9185),(54 6536.7544),(55 6494.9126),(56 6403.4673),(57 6358.8135),(58 6286.4683),(59 6244.8574),(60 6159.4805),(61 6070.8906),(62 6061.14),(63 6004.06),(64 5966.572),(65 5943.919),(66 5835.2437),(67 5817.814),(68 5755.7524),(69 5711.5254),(70 5715.9053),(71 5685.5366),(72 5688.6855),(73 5674.5757),(74 5669.26),(75 5740.0283),(76 5777.688),(77 5754.7266),(78 5781.257),(79 5807.466),
(1 876.38794),(2 1391.2404),(3 1814.403),(4 2152.8835),(5 2431.4353),(6 2706.3684),(7 3000.0457),(8 3328.0461),(9 3594.336),(10 3882.2988),(11 4190.6523),(12 4498.0137),(13 4814.251),(14 5095.6333),(15 5398.285),(16 5645.6514),(17 5941.19),(18 6199.6563),(19 6401.7144),(20 6565.7134),(21 6662.6064),(22 6663.898),(23 6665.6763),(24 6620.7056),(25 6498.7217),(26 6414.2236),(27 6343.792),(28 6246.864),(29 6215.3447),(30 6203.3506),(31 6177.976),(32 6180.4443),(33 6172.1943),(34 6161.7935),(35 6201.8857),(36 6180.6978),(37 6216.06),(38 6263.7813),(39 6271.9214),(40 6306.252),(41 6296.9653),(42 6278.5234),(43 6290.6484),(44 6309.6714),(45 6343.3203),(46 6350.5864),(47 6367.4893),(48 6354.6226),(49 6339.1675),(50 6341.1733),(51 6299.4346),(52 6242.752),(53 6217.3813),(54 6144.3765),(55 6117.38),(56 6074.424),(57 6020.248),(58 6001.422),(59 5963.498),(60 5938.8813),(61 5911.9434),(62 5898.2603),(63 5847.952),(64 5825.228),(65 5792.8237),(66 5705.6978),(67 5710.18),(68 5679.03),(69 5639.7627),(70 5596.144),(71 5549.8706),(72 5519.7637),(73 5497.58),(74 5498.988),(75 5541.7485),(76 5574.946),(77 5546.0566),(78 5563.5874),(79 5585.4023),
