1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 33709.457),(2 109627.336),(3 218473.45),(4 343965.53),(5 475726.72),(6 604158.06),(7 725759.5),(8 837764),(9 926765.8),(10 1006445),(11 1194194.6),(12 1326285),(13 1464932.6),(14 1617598.5),(15 1729854.1),(16 1827081),(17 1930079.6),(18 2016611.6),(19 2117807.3),(20 2262266.3),(21 2451417),(22 2661324.8),(23 2882262.8),(24 3119411.8),(25 3371878),(26 3731075.8),(27 4051103.8),(28 4409172.5),(29 4754698.5),(30 5076185.5),(31 5425989.5),(32 5650046),(33 5904113.5),(34 6089268),(35 6245179.5),(36 6393233.5),(37 6573114.5),(38 6726618.5),(39 6893431.5),(40 7056246),(41 7213167.5),(42 7302340),(43 7365591.5),(44 7373498.5),(45 7360206),(46 7315501.5),(47 7214145.5),(48 7070381.5),(49 6896466.5),(50 6685775.5),(51 6488110),(52 6312979.5),(53 6199714),(54 6070516),(55 6007944),(56 5947950.5),(57 5934900),(58 5895694.5),(59 5905712.5),(60 5891684),(61 5871789.5),(62 5875838.5),(63 5811412.5),(64 5783760),(65 5784414.5),(66 5763920),(67 5747651.5),(68 5653299.5),(69 5624061.5),(70 5550359),(71 5488422.5),(72 5450941.5),(73 5421197.5),(74 5403980),(75 5408117.5),(76 5429833.5),(77 5478410.5),(78 5461153),(79 5425200.5),
(1 192.00783),(2 309.8597),(3 385.12863),(4 427.91983),(5 468.8722),(6 494.05634),(7 513.522),(8 525.3239),(9 535.0267),(10 543.23975),(11 548.5044),(12 548.97186),(13 552.01245),(14 561.74023),(15 574.4445),(16 579.5106),(17 586.1051),(18 593.0199),(19 598.52057),(20 605.57355),(21 612.06195),(22 608.0798),(23 609.29144),(24 609.94257),(25 611.27527),(26 610.5782),(27 611.8839),(28 611.548),(29 614.35956),(30 621.0007),(31 629.3213),(32 632.7009),(33 639.82794),(34 638.9018),(35 634.6474),(36 634.0884),(37 630.4645),(38 639.1609),(39 640.51056),(40 635.54346),(41 636.38403),(42 633.37964),(43 642.5302),(44 643.364),(45 645.9969),(46 653.4355),(47 656.9018),(48 658.0106),(49 660.75574),(50 669.1538),(51 670.0321),(52 664.27985),(53 663.1482),(54 666.1853),(55 663.81384),(56 665.95844),(57 667.69434),(58 666.93384),(59 666.8325),(60 663.8896),(61 665.10785),(62 667.322),(63 671.44666),(64 672.4598),(65 672.9378),(66 677.15485),(67 677.56946),(68 681.9511),(69 688.10706),(70 691.8799),(71 693.04144),(72 689.73914),(73 687.5483),(74 695.03217),(75 699.66406),(76 697.0173),(77 691.0974),(78 692.42004),(79 688.9882),
(1 192.0103),(2 309.24332),(3 383.83096),(4 434.4293),(5 475.74725),(6 500.6094),(7 517.9886),(8 536.66284),(9 546.77747),(10 555.94684),(11 560.70105),(12 562.8856),(13 567.72687),(14 577.905),(15 585.5284),(16 593.504),(17 603.5786),(18 612.257),(19 615.022),(20 616.4114),(21 618.30084),(22 625.22473),(23 628.09424),(24 627.6405),(25 625.6074),(26 636.7616),(27 635.3176),(28 635.3717),(29 634.8001),(30 643.21967),(31 644.58606),(32 646.4178),(33 650.7298),(34 652.1879),(35 651.3093),(36 647.65466),(37 650.04736),(38 659.0526),(39 659.61224),(40 655.0321),(41 652.9086),(42 649.63434),(43 650.8564),(44 649.9039),(45 652.6357),(46 660.1215),(47 660.6193),(48 663.48553),(49 667.1061),(50 673.738),(51 674.7016),(52 666.645),(53 668.3243),(54 669.32794),(55 666.17065),(56 667.00745),(57 668.96704),(58 670.0109),(59 662.126),(60 666.3598),(61 670.57184),(62 669.3617),(63 662.8022),(64 667.1849),(65 669.1889),(66 670.4677),(67 670.64355),(68 676.83704),(69 675.3819),(70 673.9338),(71 675.2553),(72 674.05896),(73 668.2545),(74 672.9633),(75 667.5346),(76 668.36456),(77 672.65735),(78 672.65375),(79 673.9579),
(1 185.53517),(2 304.29016),(3 368.3947),(4 416.79413),(5 453.4828),(6 475.5723),(7 495.26978),(8 513.79175),(9 529.0067),(10 536.4522),(11 545.9922),(12 543.65564),(13 548.973),(14 562.30505),(15 572.3442),(16 573.2718),(17 576.9048),(18 578.253),(19 582.84607),(20 587.18884),(21 589.07153),(22 598.62836),(23 596.69196),(24 600.6816),(25 605.54224),(26 602.9722),(27 603.2094),(28 603.64325),(29 603.7424),(30 608.14557),(31 607.9793),(32 608.2922),(33 615.0815),(34 617.2664),(35 621.4753),(36 618.94055),(37 622.13043),(38 630.3877),(39 633.66296),(40 632.62244),(41 634.1797),(42 631.6045),(43 630.35864),(44 634.3499),(45 633.4096),(46 632.04553),(47 636.2461),(48 638.2278),(49 639.0252),(50 644.0917),(51 645.83417),(52 651.3394),(53 651.9668),(54 649.2531),(55 652.038),(56 652.8477),(57 655.87054),(58 656.5833),(59 651.4218),(60 653.5912),(61 656.23376),(62 661.3188),(63 662.97455),(64 661.8636),(65 660.64276),(66 664.7006),(67 666.78394),(68 666.1807),(69 658.94574),(70 660.8456),(71 657.3146),(72 658.1064),(73 651.8808),(74 659.36566),(75 664.212),(76 667.2924),(77 666.6774),(78 664.3755),(79 665.88446),
(1 188.33029),(2 298.7535),(3 365.49603),(4 408.5767),(5 441.2185),(6 463.4059),(7 481.28058),(8 495.87695),(9 511.53854),(10 520.8806),(11 528.8025),(12 530.9178),(13 533.97235),(14 546.73),(15 552.93353),(16 554.8323),(17 560.3233),(18 566.61145),(19 575.5764),(20 581.60974),(21 588.3731),(22 589.98376),(23 590.4987),(24 591.5896),(25 596.7902),(26 597.1923),(27 601.6192),(28 601.267),(29 600.2349),(30 605.6424),(31 609.7704),(32 609.1339),(33 605.55066),(34 604.72046),(35 599.61255),(36 597.5714),(37 598.93677),(38 603.038),(39 606.47217),(40 605.683),(41 605.09033),(42 605.8064),(43 604.76074),(44 608.49023),(45 610.1068),(46 610.76733),(47 611.0356),(48 613.9768),(49 616.96484),(50 620.71075),(51 624.07874),(52 626.50903),(53 626.77405),(54 628.45087),(55 628.90094),(56 627.45935),(57 628.1778),(58 632.46124),(59 632.2568),(60 623.98114),(61 624.7611),(62 631.9169),(63 640.4641),(64 638.04047),(65 638.69885),(66 644.01215),(67 645.00055),(68 654.0581),(69 645.9796),(70 653.7354),(71 655.99036),(72 654.7575),(73 649.8895),(74 657.26654),(75 657.3407),(76 650.6147),(77 645.5106),(78 642.23126),(79 636.8669),
(1 183.86496),(2 291.27298),(3 356.7042),(4 397.64996),(5 428.70538),(6 457.5571),(7 468.5466),(8 482.6011),(9 497.2871),(10 500.03488),(11 508.78873),(12 512.52124),(13 516.4526),(14 532.44727),(15 541.483),(16 542.925),(17 553.3641),(18 554.09906),(19 554.83136),(20 553.7195),(21 555.37964),(22 555.2149),(23 554.5456),(24 560.1013),(25 565.49677),(26 568.2204),(27 576.1025),(28 578.7687),(29 583.89215),(30 587.74207),(31 592.8737),(32 592.439),(33 598.4078),(34 600.3126),(35 595.18225),(36 596.2055),(37 594.285),(38 599.01715),(39 595.1628),(40 588.29895),(41 595.61285),(42 592.3284),(43 593.13855),(44 598.2881),(45 599.19165),(46 601.033),(47 601.26373),(48 597.43304),(49 596.90094),(50 611.3538),(51 617.23285),(52 612.51044),(53 609.9612),(54 607.9143),(55 609.73804),(56 613.23145),(57 609.5513),(58 611.3186),(59 611.30414),(60 607.6642),(61 610.1375),(62 618.008),(63 619.783),(64 622.57513),(65 625.63934),(66 627.6993),(67 630.99207),(68 633.6363),(69 635.2203),(70 637.4839),(71 635.67676),(72 630.49036),(73 626.8088),(74 634.8448),(75 635.3498),(76 629.60114),(77 630.2369),(78 621.9504),(79 616.9365),
(1 181.86763),(2 291.84836),(3 358.54437),(4 403.62958),(5 438.69833),(6 459.44427),(7 471.2641),(8 486.6193),(9 500.15042),(10 509.27707),(11 516.5811),(12 517.8166),(13 520.33093),(14 532.943),(15 534.8256),(16 538.87646),(17 545.44867),(18 552.76794),(19 555.5204),(20 558.95544),(21 561.0647),(22 563.6422),(23 557.82983),(24 559.96857),(25 563.4654),(26 565.81244),(27 574.93286),(28 573.923),(29 580.2547),(30 582.7497),(31 581.1106),(32 583.15314),(33 583.75867),(34 583.52655),(35 583.61633),(36 581.43604),(37 577.9722),(38 581.3945),(39 575.80963),(40 575.7131),(41 581.2446),(42 581.86914),(43 588.0759),(44 589.47534),(45 590.4092),(46 593.5776),(47 593.9981),(48 598.9457),(49 600.46387),(50 607.80865),(51 608.84863),(52 607.5067),(53 606.27325),(54 602.29254),(55 605.0824),(56 605.0464),(57 601.6123),(58 604.52325),(59 600.4596),(60 601.6943),(61 607.7029),(62 616.1684),(63 611.2765),(64 609.71375),(65 613.5975),(66 611.4205),(67 608.0706),(68 607.2526),(69 610.2208),(70 608.057),(71 605.88586),(72 604.88403),(73 603.7608),(74 610.818),(75 613.5452),(76 617.3036),(77 619.6493),(78 614.4638),(79 615.9653),
(1 179.31656),(2 288.37515),(3 353.32623),(4 399.6423),(5 436.59497),(6 460.31332),(7 472.99664),(8 488.7067),(9 496.81213),(10 504.46014),(11 508.66248),(12 511.48465),(13 515.2303),(14 526.39484),(15 532.5473),(16 533.80664),(17 536.11084),(18 540.16754),(19 542.59283),(20 546.74615),(21 545.1957),(22 543.1117),(23 540.92865),(24 544.3257),(25 544.0881),(26 550.4502),(27 551.99133),(28 554.6332),(29 555.3033),(30 561.15045),(31 563.6996),(32 564.458),(33 562.86743),(34 563.7456),(35 562.4831),(36 561.0943),(37 564.34204),(38 575.8842),(39 576.46387),(40 576.64233),(41 573.93744),(42 575.9539),(43 577.8941),(44 587.0017),(45 589.8533),(46 592.9291),(47 592.4886),(48 592.7977),(49 594.47845),(50 608.2806),(51 608.5485),(52 611.2303),(53 611.6243),(54 616.45654),(55 617.79584),(56 623.8542),(57 624.4627),(58 626.1042),(59 620.63),(60 614.0614),(61 618.2841),(62 629.6342),(63 624.0379),(64 620.8869),(65 621.14594),(66 618.79694),(67 621.78674),(68 623.9094),(69 628.269),(70 628.359),(71 627.0781),(72 628.6452),(73 627.8184),(74 627.8852),(75 623.35846),(76 620.6275),(77 614.5105),(78 614.4508),(79 616.7734),
(1 175.94058),(2 282.84454),(3 342.1357),(4 379.3262),(5 410.47116),(6 440.03256),(7 458.8035),(8 468.9635),(9 478.43152),(10 484.51987),(11 494.74768),(12 496.86356),(13 498.77316),(14 506.1029),(15 508.30994),(16 510.27493),(17 514.1216),(18 519.989),(19 525.99896),(20 531.0061),(21 528.7577),(22 530.3864),(23 532.39246),(24 537.6097),(25 536.6418),(26 543.3423),(27 544.37244),(28 544.8251),(29 544.5776),(30 543.5432),(31 540.63226),(32 539.1847),(33 541.7709),(34 540.9239),(35 537.1284),(36 541.22656),(37 544.8363),(38 554.285),(39 556.7808),(40 554.9196),(41 560.7998),(42 562.2524),(43 568.5459),(44 569.4293),(45 570.14624),(46 570.267),(47 570.6752),(48 569.9499),(49 570.24866),(50 575.62714),(51 572.007),(52 570.0011),(53 577.05853),(54 576.34485),(55 582.58466),(56 584.5841),(57 588.2292),(58 585.53674),(59 586.1065),(60 584.29456),(61 585.5412),(62 592.8945),(63 597.68945),(64 597.19556),(65 595.3589),(66 601.1047),(67 601.68945),(68 597.8837),(69 594.5068),(70 596.3903),(71 597.6543),(72 593.2843),(73 593.06616),(74 595.2875),(75 596.8327),(76 594.9009),(77 595.371),(78 590.9389),(79 587.40924),
(1 175.19699),(2 278.20386),(3 333.88535),(4 375.59216),(5 409.01437),(6 432.5549),(7 445.4173),(8 458.17923),(9 466.2817),(10 477.4686),(11 486.94464),(12 489.0844),(13 488.92426),(14 500.10223),(15 503.9928),(16 502.86194),(17 508.49747),(18 516.59015),(19 520.1308),(20 523.023),(21 527.84094),(22 531.83075),(23 531.8289),(24 534.7964),(25 534.36176),(26 538.4372),(27 540.073),(28 538.0023),(29 535.91144),(30 534.7085),(31 540.9937),(32 541.6195),(33 543.3236),(34 545.4941),(35 544.58484),(36 544.91504),(37 546.76715),(38 552.3866),(39 553.8152),(40 555.77484),(41 561.1309),(42 556.80383),(43 558.00507),(44 560.61914),(45 559.74243),(46 558.03796),(47 558.08234),(48 556.68567),(49 559.0059),(50 572.9071),(51 573.4743),(52 573.71234),(53 569.32544),(54 565.9461),(55 565.3801),(56 568.54224),(57 573.8546),(58 578.38),(59 579.4034),(60 578.7057),(61 579.69464),(62 589.6356),(63 587.4426),(64 587.3963),(65 586.58716),(66 592.6353),(67 592.4342),(68 587.6279),(69 587.13184),(70 586.31934),(71 591.9166),(72 596.46814),(73 594.8108),(74 592.72205),(75 589.33246),(76 586.3139),(77 584.51086),(78 583.88556),(79 581.52026),
(1 172.50853),(2 268.47073),(3 324.0472),(4 363.64096),(5 392.5115),(6 408.35162),(7 422.88174),(8 434.0363),(9 442.27185),(10 445.05948),(11 449.85864),(12 452.56784),(13 456.97513),(14 467.33765),(15 470.53586),(16 471.45224),(17 477.89313),(18 490.7753),(19 492.74588),(20 494.1165),(21 494.59103),(22 503.8604),(23 499.74905),(24 499.30865),(25 498.87457),(26 498.90286),(27 503.37277),(28 505.39728),(29 505.657),(30 507.56207),(31 507.60986),(32 510.99988),(33 515.22406),(34 516.7064),(35 517.52026),(36 512.88367),(37 516.364),(38 519.9436),(39 518.72107),(40 516.1329),(41 521.1321),(42 522.6515),(43 523.1659),(44 525.0837),(45 527.2262),(46 529.51105),(47 532.5361),(48 534.5724),(49 537.16895),(50 542.2362),(51 545.9553),(52 546.61346),(53 547.5635),(54 549.9503),(55 549.5016),(56 550.20044),(57 548.72375),(58 549.13684),(59 550.07367),(60 548.0554),(61 548.5751),(62 552.33704),(63 551.946),(64 552.8035),(65 552.3243),(66 553.0711),(67 554.8207),(68 552.17773),(69 556.5668),(70 557.4558),(71 554.3703),(72 555.5565),(73 555.996),(74 558.92175),(75 555.1159),(76 549.7045),(77 551.0603),(78 552.4168),(79 549.9359),
(1 170.34096),(2 271.6351),(3 329.47522),(4 369.10098),(5 401.18814),(6 423.7069),(7 438.26108),(8 455.2865),(9 464.36926),(10 473.53134),(11 476.60583),(12 476.13208),(13 477.36847),(14 488.41263),(15 495.19547),(16 497.7934),(17 501.112),(18 504.69803),(19 511.56146),(20 512.5055),(21 509.9804),(22 510.2599),(23 507.08908),(24 507.65048),(25 511.87387),(26 514.9898),(27 519.46704),(28 521.2375),(29 521.553),(30 526.1799),(31 527.9792),(32 528.6409),(33 529.4603),(34 532.1641),(35 534.6743),(36 531.18555),(37 528.67505),(38 533.0529),(39 534.55286),(40 528.48615),(41 527.3655),(42 529.5529),(43 529.27844),(44 528.98706),(45 532.6762),(46 531.888),(47 530.9416),(48 536.97235),(49 538.1316),(50 545.93054),(51 548.38794),(52 551.0623),(53 553.853),(54 554.37616),(55 552.18805),(56 554.0545),(57 552.3432),(58 550.09436),(59 551.0705),(60 548.6403),(61 551.5678),(62 556.38306),(63 558.8343),(64 563.2459),(65 567.71454),(66 568.65686),(67 572.45795),(68 572.2801),(69 576.13654),(70 580.29376),(71 575.85614),(72 574.5822),(73 573.44183),(74 582.53284),(75 581.30316),(76 579.12854),(77 583.06995),(78 583.6885),(79 580.4649),
(1 169.20346),(2 266.46576),(3 326.14618),(4 362.9317),(5 387.38745),(6 409.84216),(7 422.12854),(8 439.33154),(9 450.6722),(10 458.9816),(11 460.50714),(12 466.73962),(13 468.99313),(14 478.36154),(15 487.00415),(16 491.01974),(17 497.289),(18 503.68665),(19 506.20554),(20 507.17343),(21 509.5188),(22 507.13193),(23 511.5408),(24 509.3267),(25 510.6432),(26 519.6569),(27 518.49445),(28 520.83136),(29 521.388),(30 521.41125),(31 523.91595),(32 529.9371),(33 536.0553),(34 539.7112),(35 537.37604),(36 533.8089),(37 535.46075),(38 537.1621),(39 533.0266),(40 533.1546),(41 535.0288),(42 536.2506),(43 538.60474),(44 538.7689),(45 537.5709),(46 534.71515),(47 531.0847),(48 535.8489),(49 537.27686),(50 539.52765),(51 542.0014),(52 545.0392),(53 546.75964),(54 543.3816),(55 541.92084),(56 539.9671),(57 541.62115),(58 545.9821),(59 542.502),(60 544.3192),(61 548.10254),(62 556.70575),(63 557.88385),(64 558.0894),(65 562.555),(66 561.42395),(67 557.33167),(68 558.6563),(69 557.95197),(70 558.0259),(71 556.7983),(72 556.9256),(73 556.1804),(74 562.8595),(75 555.24994),(76 553.004),(77 550.869),(78 550.03613),(79 554.1795),
(1 165.80133),(2 258.8056),(3 315.01147),(4 355.27396),(5 378.283),(6 395.03128),(7 413.513),(8 430.4488),(9 441.44577),(10 448.93054),(11 450.1831),(12 452.66418),(13 457.48532),(14 467.90253),(15 474.64392),(16 474.30405),(17 482.42252),(18 488.4559),(19 488.90964),(20 488.22076),(21 487.5023),(22 491.59674),(23 490.53595),(24 489.42255),(25 488.80185),(26 496.62802),(27 497.69135),(28 499.0865),(29 500.95874),(30 505.23648),(31 510.25012),(32 513.0778),(33 516.1913),(34 517.58234),(35 518.4437),(36 516.94653),(37 517.94495),(38 521.4886),(39 524.20154),(40 525.2087),(41 528.72797),(42 524.5087),(43 521.4794),(44 522.16876),(45 522.92456),(46 522.74426),(47 517.72925),(48 515.31903),(49 516.63086),(50 526.02814),(51 522.68317),(52 519.8973),(53 515.06213),(54 519.93634),(55 520.58844),(56 523.4679),(57 522.2035),(58 528.9222),(59 531.5602),(60 532.6578),(61 535.20056),(62 539.8599),(63 533.4494),(64 532.1085),(65 528.15875),(66 528.57477),(67 527.23584),(68 527.67316),(69 526.1678),(70 532.6671),(71 533.98676),(72 531.49963),(73 535.6944),(74 542.9953),(75 548.0264),(76 542.78186),(77 541.6413),(78 541.04004),(79 541.1198),
(1 165.11781),(2 259.85324),(3 314.80603),(4 349.65533),(5 378.31342),(6 399.7532),(7 415.43353),(8 424.4609),(9 432.10062),(10 440.89774),(11 440.24292),(12 442.34354),(13 450.87027),(14 460.67044),(15 466.55667),(16 468.805),(17 476.6095),(18 481.36093),(19 479.4745),(20 478.9233),(21 479.59207),(22 484.23352),(23 487.17383),(24 488.1783),(25 494.65054),(26 497.44424),(27 501.90295),(28 504.1142),(29 506.10608),(30 507.34695),(31 508.56097),(32 509.40176),(33 509.59174),(34 510.40942),(35 509.014),(36 508.2693),(37 508.21368),(38 510.0263),(39 508.6487),(40 510.28583),(41 510.27295),(42 513.1777),(43 512.6236),(44 514.0412),(45 511.3952),(46 509.74756),(47 514.7135),(48 515.1887),(49 521.4037),(50 529.9086),(51 531.86475),(52 531.355),(53 530.3552),(54 534.87897),(55 536.6619),(56 537.71796),(57 534.958),(58 536.6463),(59 540.3773),(60 542.7222),(61 544.48157),(62 554.3094),(63 550.39056),(64 548.4983),(65 540.3696),(66 540.1635),(67 537.4984),(68 535.21313),(69 531.0302),(70 530.3231),(71 529.65173),(72 523.0382),(73 524.30035),(74 526.2813),(75 531.9732),(76 535.9838),(77 536.07367),(78 542.40985),(79 543.92523),
(1 158.74863),(2 249.62425),(3 304.36407),(4 337.76547),(5 362.69852),(6 385.47482),(7 402.43634),(8 413.4711),(9 418.60233),(10 422.2307),(11 427.15454),(12 427.34366),(13 432.3536),(14 437.62405),(15 442.9091),(16 443.69272),(17 449.80386),(18 454.8558),(19 457.3916),(20 458.8668),(21 460.31744),(22 466.19034),(23 461.82724),(24 462.6183),(25 465.59518),(26 474.96338),(27 476.90204),(28 478.1351),(29 479.62793),(30 481.5383),(31 483.11688),(32 481.13138),(33 481.97998),(34 482.70255),(35 484.88565),(36 480.54453),(37 477.20068),(38 482.7871),(39 482.5277),(40 486.34445),(41 496.06433),(42 492.89203),(43 495.1997),(44 495.40625),(45 493.8164),(46 492.42343),(47 494.1111),(48 492.18677),(49 492.18298),(50 498.16043),(51 494.42624),(52 500.49792),(53 501.50793),(54 505.7952),(55 509.6626),(56 514.7412),(57 518.8247),(58 521.79144),(59 521.9425),(60 521.6825),(61 520.3814),(62 521.3928),(63 522.80286),(64 525.3748),(65 522.6306),(66 523.61096),(67 524.2263),(68 522.45105),(69 521.48444),(70 523.95435),(71 526.4567),(72 523.8441),(73 522.7619),(74 525.7149),(75 519.323),(76 520.8679),(77 519.3958),(78 522.6169),(79 523.58704),
(1 158.81691),(2 248.01457),(3 299.4309),(4 335.96457),(5 362.29166),(6 386.66928),(7 399.02487),(8 408.90414),(9 416.30792),(10 419.44016),(11 423.8683),(12 426.1848),(13 424.03256),(14 430.7659),(15 436.1758),(16 441.46942),(17 442.69284),(18 447.4126),(19 450.63358),(20 452.21426),(21 452.27463),(22 460.31656),(23 465.1467),(24 468.00723),(25 472.5543),(26 479.21326),(27 481.38525),(28 479.8157),(29 483.8987),(30 486.05716),(31 483.4238),(32 483.34082),(33 481.11252),(34 484.7116),(35 484.2185),(36 487.0924),(37 489.2893),(38 484.79907),(39 486.9267),(40 486.1325),(41 484.11423),(42 486.6134),(43 490.44763),(44 491.21716),(45 492.1333),(46 491.2163),(47 490.96875),(48 488.1964),(49 487.69952),(50 495.2035),(51 488.35733),(52 487.38385),(53 490.2282),(54 489.5523),(55 489.5327),(56 487.72778),(57 490.99445),(58 493.82166),(59 493.29703),(60 497.40735),(61 497.9873),(62 499.05957),(63 501.31952),(64 502.73776),(65 502.2609),(66 500.39664),(67 500.73886),(68 500.34918),(69 501.33414),(70 500.7846),(71 501.1733),(72 502.23172),(73 500.6082),(74 500.7503),(75 500.7756),(76 500.88293),(77 504.0084),(78 501.51538),(79 500.45123),
(1 157.98611),(2 249.68343),(3 299.82935),(4 337.49643),(5 362.93634),(6 383.91467),(7 398.1366),(8 410.59717),(9 419.12302),(10 423.17368),(11 426.45917),(12 429.93335),(13 429.68063),(14 437.85373),(15 436.17255),(16 441.72046),(17 449.05057),(18 452.1957),(19 455.79648),(20 456.7424),(21 460.66196),(22 465.5185),(23 468.81702),(24 466.4721),(25 472.1417),(26 474.42007),(27 476.50027),(28 475.52866),(29 479.5481),(30 480.34457),(31 479.27097),(32 479.69208),(33 478.03342),(34 478.0366),(35 476.87152),(36 479.39407),(37 481.3204),(38 483.7145),(39 483.47412),(40 484.46948),(41 482.88882),(42 482.4858),(43 480.13858),(44 482.86148),(45 484.21393),(46 488.42398),(47 489.48077),(48 489.95276),(49 488.61322),(50 498.42044),(51 493.81476),(52 494.33536),(53 492.9993),(54 491.18753),(55 497.46167),(56 500.03586),(57 494.2438),(58 493.86356),(59 497.02417),(60 496.05832),(61 496.15836),(62 498.6408),(63 499.83823),(64 502.29868),(65 506.2479),(66 508.76324),(67 504.94183),(68 505.15808),(69 506.5221),(70 510.52985),(71 507.875),(72 508.29935),(73 503.4074),(74 505.54318),(75 506.7677),(76 504.34622),(77 508.2735),(78 509.3245),(79 504.21353),
(1 151.39517),(2 243.14977),(3 291.36478),(4 326.26447),(5 347.2195),(6 364.32965),(7 374.4541),(8 382.09085),(9 386.33557),(10 392.86865),(11 399.0096),(12 402.07428),(13 408.9113),(14 417.20587),(15 418.97296),(16 425.48874),(17 426.84027),(18 431.8135),(19 435.1946),(20 437.22003),(21 440.31107),(22 445.3922),(23 449.90463),(24 448.56973),(25 451.14767),(26 455.6178),(27 454.0082),(28 458.30054),(29 458.04688),(30 459.25488),(31 462.80493),(32 463.85965),(33 459.71854),(34 461.59924),(35 459.5246),(36 462.20032),(37 462.5955),(38 467.3164),(39 471.1387),(40 466.5156),(41 471.95108),(42 470.7952),(43 468.30807),(44 466.68716),(45 468.03387),(46 465.28412),(47 468.6883),(48 466.96454),(49 469.18234),(50 476.09167),(51 481.49176),(52 480.03366),(53 478.5726),(54 481.57797),(55 485.43903),(56 483.37485),(57 484.0481),(58 484.5805),(59 486.49295),(60 485.68066),(61 486.26968),(62 490.8305),(63 490.64325),(64 493.21167),(65 497.05472),(66 501.10355),(67 499.5155),(68 500.35782),(69 498.58978),(70 501.2172),(71 503.93152),(72 504.7764),(73 500.72772),(74 507.8215),(75 507.18262),(76 505.09833),(77 508.5888),(78 502.429),(79 501.57983),
