1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 11790.065),(2 36594.67),(3 72158.445),(4 110662.43),(5 150138.77),(6 192808.7),(7 236365.92),(8 284523.03),(9 334768.06),(10 384643.16),(11 445370.13),(12 497921.88),(13 562668.3),(14 624126.06),(15 690301.2),(16 756456.06),(17 818312.5),(18 868651.5),(19 911127.56),(20 955635.7),(21 1005083.7),(22 1050274.1),(23 1096230.6),(24 1142843.9),(25 1187309.4),(26 1236738.3),(27 1269800.4),(28 1307204.5),(29 1349311),(30 1384902.4),(31 1416599.5),(32 1435152.4),(33 1464704),(34 1493715.4),(35 1529082),(36 1555532.4),(37 1580274.9),(38 1589772),(39 1604690),(40 1617752),(41 1637327.6),(42 1661101),(43 1684459.4),(44 1687903.6),(45 1704989.6),(46 1718164.6),(47 1742699),(48 1762717.1),(49 1793975.4),(50 1833960.6),(51 1890874.6),(52 1956579.4),(53 2033632.5),(54 2098077.8),(55 2182046.8),(56 2246608.3),(57 2315227),(58 2367534.3),(59 2412108.8),(60 2458222),(61 2511018),(62 2558702.3),(63 2623069.3),(64 2677804),(65 2760106.3),(66 2854778.3),(67 2961093),(68 3084493.3),(69 3212770.8),(70 3329463.3),(71 3452508),(72 3542863),(73 3635067),(74 3689759.8),(75 3740323.8),(76 3778448.3),(77 3817451.3),(78 3840953.8),(79 3882134.3),
(1 556.3338),(2 829.16425),(3 1016.80286),(4 1143.9546),(5 1249.7305),(6 1369.1257),(7 1467.8368),(8 1550.428),(9 1646.4326),(10 1725.8207),(11 1798.7152),(12 1873.2756),(13 1961.8545),(14 2039.0806),(15 2094.741),(16 2138.834),(17 2193.924),(18 2244.922),(19 2295.712),(20 2372.914),(21 2411.8992),(22 2450.7483),(23 2476.5032),(24 2495.06),(25 2510.3076),(26 2541.0972),(27 2563.6667),(28 2601.6936),(29 2623.717),(30 2626.5164),(31 2638.604),(32 2635.454),(33 2658.5103),(34 2665.5405),(35 2653.7698),(36 2644.8076),(37 2629.1133),(38 2624.9172),(39 2597.974),(40 2565.1404),(41 2527.8623),(42 2497.8),(43 2443.3193),(44 2392.994),(45 2356.2175),(46 2306.2507),(47 2268.9548),(48 2218.4446),(49 2180.6318),(50 2160.1265),(51 2146.0378),(52 2123.9314),(53 2105.7346),(54 2045.7335),(55 2018.0283),(56 1990.5981),(57 1990.7976),(58 2007.4811),(59 2019.7666),(60 2048.6812),(61 2064.078),(62 2068.9622),(63 2091.2605),(64 2109.3958),(65 2149.4019),(66 2170.0044),(67 2244.6033),(68 2265.612),(69 2309.233),(70 2363.7993),(71 2420.0737),(72 2466.7869),(73 2529.791),(74 2566.8494),(75 2639.1306),(76 2698.1213),(77 2753.3674),(78 2815.0557),(79 2855.6257),
(1 544.9421),(2 815.84985),(3 1005.3939),(4 1132.3314),(5 1233.0764),(6 1346.0674),(7 1441.1868),(8 1525.9951),(9 1615.6555),(10 1690.0768),(11 1760.8771),(12 1824.7416),(13 1893.5022),(14 1971.67),(15 2029.4998),(16 2081.0483),(17 2135.9575),(18 2192.8157),(19 2248.8848),(20 2295.0042),(21 2337.4497),(22 2361.379),(23 2393.2922),(24 2412.8232),(25 2443.1929),(26 2477.9604),(27 2483.9863),(28 2508.5798),(29 2514.677),(30 2519.881),(31 2526.6714),(32 2525.8289),(33 2542.2405),(34 2535.4263),(35 2497.4055),(36 2489.4294),(37 2456.7605),(38 2436.414),(39 2406.266),(40 2373.7097),(41 2354.4617),(42 2323.4688),(43 2278.6963),(44 2228.911),(45 2204.6536),(46 2181.915),(47 2150.8552),(48 2118.7148),(49 2092.3223),(50 2079.638),(51 2082.6833),(52 2065.391),(53 2055.1433),(54 2011.378),(55 1999.7888),(56 1975.001),(57 1984.8198),(58 1996.289),(59 2014.8602),(60 2031.915),(61 2047.3378),(62 2057.206),(63 2071.3252),(64 2091.7258),(65 2115.9812),(66 2139.7646),(67 2185.8015),(68 2208.6582),(69 2234.8735),(70 2287.3835),(71 2332.704),(72 2387.1248),(73 2482.1362),(74 2515.2786),(75 2564.1895),(76 2603.9453),(77 2663.722),(78 2705.7227),(79 2722.411),
(1 535.2836),(2 805.9196),(3 983.9312),(4 1089.5608),(5 1196.4513),(6 1303.8623),(7 1390.7606),(8 1463.9414),(9 1559.8552),(10 1635.1072),(11 1693.8085),(12 1744.274),(13 1801.6738),(14 1868.007),(15 1936.8783),(16 1982.7222),(17 2037.7465),(18 2081.6897),(19 2144.9504),(20 2172.6807),(21 2211.577),(22 2220.578),(23 2243.789),(24 2263.6035),(25 2287.4663),(26 2315.4084),(27 2339.1287),(28 2341.5269),(29 2363.7932),(30 2359.314),(31 2364.1646),(32 2359.4492),(33 2376.8853),(34 2366.3877),(35 2339.9019),(36 2338.586),(37 2327.5469),(38 2310.0408),(39 2283.0688),(40 2258.4048),(41 2223.6333),(42 2212.3564),(43 2176.047),(44 2143.032),(45 2109.225),(46 2094.1958),(47 2067.3975),(48 2045.1188),(49 2017.3375),(50 2000.6453),(51 1977.0261),(52 1957.4807),(53 1958.6722),(54 1911.8696),(55 1884.6403),(56 1858.7522),(57 1868.8398),(58 1889.3506),(59 1913.075),(60 1923.3693),(61 1928.318),(62 1952.2052),(63 1960.4851),(64 1991.6628),(65 2028.8254),(66 2052.4722),(67 2095.5366),(68 2129.512),(69 2180.8264),(70 2224.5173),(71 2260.415),(72 2312.5674),(73 2398.8977),(74 2423.1306),(75 2476.4038),(76 2515.078),(77 2578.6934),(78 2652.4182),(79 2672.3203),
(1 542.5036),(2 808.77374),(3 966.9713),(4 1066.4116),(5 1162.0692),(6 1278.1163),(7 1372.1427),(8 1445.9626),(9 1539.4166),(10 1610.8857),(11 1684.3403),(12 1751.5635),(13 1801.2805),(14 1851.8699),(15 1912.7969),(16 1952.5962),(17 1999.3041),(18 2030.1924),(19 2067.6729),(20 2104.3604),(21 2134.9238),(22 2142.5127),(23 2173.0386),(24 2203.8774),(25 2222.2927),(26 2256.3997),(27 2287.9546),(28 2294.6543),(29 2314.498),(30 2295.5825),(31 2300.673),(32 2287.002),(33 2303.7378),(34 2305.8362),(35 2297.2747),(36 2276.8726),(37 2270.4546),(38 2258.1768),(39 2207.807),(40 2188.768),(41 2153.1528),(42 2139.4392),(43 2109.1099),(44 2072.628),(45 2042.7136),(46 2029.7566),(47 2016.1683),(48 1990.4275),(49 1969.2616),(50 1946.192),(51 1921.4817),(52 1909.2623),(53 1912.9725),(54 1867.6735),(55 1834.2798),(56 1805.6525),(57 1818.3188),(58 1821.0663),(59 1834.1355),(60 1866.0785),(61 1871.5682),(62 1889.5311),(63 1900.9725),(64 1944.0463),(65 1971.025),(66 2021.0319),(67 2071.804),(68 2115.8184),(69 2192.9375),(70 2231.8853),(71 2295.4438),(72 2361.7444),(73 2453.1033),(74 2503.8438),(75 2546.652),(76 2592.2075),(77 2665.9993),(78 2742.345),(79 2778.391),
(1 527.73364),(2 790.65607),(3 950.9742),(4 1066.0643),(5 1158.2168),(6 1279.4976),(7 1379.106),(8 1459.1235),(9 1535.5327),(10 1611.2994),(11 1673.9598),(12 1743.442),(13 1792.3827),(14 1855.8638),(15 1912.1512),(16 1947.623),(17 2003.5006),(18 2041.7513),(19 2079.5557),(20 2138.4211),(21 2179.5623),(22 2211.795),(23 2230.809),(24 2272.976),(25 2287.4778),(26 2298.277),(27 2317.2578),(28 2337.3965),(29 2356.4487),(30 2378.8484),(31 2388.1719),(32 2391.246),(33 2396.3303),(34 2388.493),(35 2367.8635),(36 2357.6167),(37 2343.3),(38 2312.9082),(39 2276.9504),(40 2245.2534),(41 2202.447),(42 2179.1443),(43 2137.8745),(44 2111.1858),(45 2078.723),(46 2046.3447),(47 2038.7535),(48 2013.8013),(49 1985.8538),(50 1972.3419),(51 1950.3075),(52 1937.3623),(53 1927.9794),(54 1885.4154),(55 1860.0892),(56 1840.5083),(57 1841.9838),(58 1854.1346),(59 1859.9219),(60 1886.0677),(61 1910.3019),(62 1908.9988),(63 1925.3936),(64 1962.4316),(65 1993.6622),(66 2030.4401),(67 2079.7112),(68 2113.3298),(69 2179.9924),(70 2225.8086),(71 2278.3462),(72 2324.9636),(73 2397.3926),(74 2442.5044),(75 2505.1409),(76 2557.0952),(77 2633.2065),(78 2689.2026),(79 2720.3074),
(1 517.8741),(2 791.9178),(3 964.4994),(4 1072.7241),(5 1166.3071),(6 1286.177),(7 1392.5736),(8 1473.4839),(9 1563.4772),(10 1639.9734),(11 1705.8341),(12 1778.7906),(13 1837.5009),(14 1892.5284),(15 1943.8737),(16 1985.3948),(17 2027.5148),(18 2077.1902),(19 2124.3777),(20 2175.9753),(21 2211.7356),(22 2248.0503),(23 2258.6177),(24 2293.0964),(25 2303.437),(26 2328.8774),(27 2345.9795),(28 2382.2947),(29 2400.67),(30 2417.9236),(31 2423.0664),(32 2426.231),(33 2433.0813),(34 2419.9219),(35 2409.9634),(36 2400.5117),(37 2370.6658),(38 2362.8354),(39 2333.374),(40 2296.2917),(41 2255.4917),(42 2236.8474),(43 2197.1816),(44 2165.128),(45 2143.1833),(46 2108.5747),(47 2102.4688),(48 2066.1873),(49 2056.0803),(50 2041.3152),(51 2040.9644),(52 2037.5575),(53 2019.9612),(54 1967.5864),(55 1944.2025),(56 1921.1694),(57 1927.2377),(58 1961.2659),(59 1971.8467),(60 2011.3162),(61 2039.4077),(62 2066.6436),(63 2062.4238),(64 2084.6655),(65 2123.7434),(66 2166.366),(67 2207.5369),(68 2225.5781),(69 2273.9548),(70 2308.6719),(71 2340.2463),(72 2371.9595),(73 2411.3994),(74 2443.4714),(75 2486.8838),(76 2529.0896),(77 2581.1538),(78 2611.366),(79 2649.3794),
(1 509.46548),(2 755.4433),(3 913.75336),(4 1022.54126),(5 1114.1578),(6 1215.6384),(7 1304.0225),(8 1382.9308),(9 1459.2988),(10 1522.907),(11 1582.0348),(12 1640.6241),(13 1691.5873),(14 1754.9296),(15 1815.6486),(16 1854.0972),(17 1904.4926),(18 1960.1768),(19 1998.3375),(20 2058.5251),(21 2087.3452),(22 2113.7295),(23 2139.5137),(24 2148.706),(25 2186.666),(26 2217.2073),(27 2241.551),(28 2272.419),(29 2280.851),(30 2285.9666),(31 2309.6072),(32 2310.7227),(33 2327.298),(34 2314.2058),(35 2307.1084),(36 2294.8064),(37 2267.0059),(38 2237.4192),(39 2220.6912),(40 2189.7578),(41 2147.007),(42 2125.5557),(43 2093.6123),(44 2060.239),(45 2037.768),(46 2011.9762),(47 2002.9297),(48 1983.9933),(49 1960.644),(50 1942.7844),(51 1939.1063),(52 1933.4994),(53 1920.2859),(54 1864.917),(55 1838.0742),(56 1815.3367),(57 1808.0236),(58 1836.5436),(59 1849.0693),(60 1863.7345),(61 1879.9205),(62 1902.0615),(63 1919.5905),(64 1930.943),(65 1961.1997),(66 1981.5074),(67 2016.0992),(68 2021.5636),(69 2082.1116),(70 2104.71),(71 2143.1042),(72 2182.7302),(73 2251.241),(74 2292.017),(75 2324.0867),(76 2371.127),(77 2401.8936),(78 2447.9456),(79 2482.7007),
(1 507.90408),(2 751.824),(3 908.4676),(4 1017.5553),(5 1109.967),(6 1212.9852),(7 1307.0374),(8 1379.3373),(9 1442.7451),(10 1498.4292),(11 1551.8427),(12 1602.2427),(13 1667.1396),(14 1720.5131),(15 1784.4149),(16 1818.7305),(17 1870.8124),(18 1923.881),(19 1972.338),(20 2028.7445),(21 2052.297),(22 2085.7483),(23 2116.345),(24 2141.2986),(25 2178.16),(26 2212.7324),(27 2215.087),(28 2270.747),(29 2272.6018),(30 2283.2815),(31 2284.5095),(32 2280.4365),(33 2297.058),(34 2292.9033),(35 2268.75),(36 2254.5586),(37 2242.292),(38 2222.4766),(39 2181.4214),(40 2143.686),(41 2104.895),(42 2083.953),(43 2066.0242),(44 2014.2925),(45 1994.4336),(46 1966.9668),(47 1947.6705),(48 1933.4347),(49 1910.3259),(50 1873.5826),(51 1848.5775),(52 1841.1199),(53 1820.9409),(54 1781.1353),(55 1757.0153),(56 1734.6923),(57 1730.1954),(58 1748.2272),(59 1751.168),(60 1766.829),(61 1780.1864),(62 1821.7631),(63 1857.3635),(64 1872.854),(65 1897.7515),(66 1935.5223),(67 1975.8972),(68 2004.9205),(69 2058.5313),(70 2075.2805),(71 2116.847),(72 2158.7363),(73 2229.0535),(74 2271.4019),(75 2306.1365),(76 2343.2908),(77 2384.6702),(78 2425.67),(79 2459.273),
(1 508.02826),(2 750.4203),(3 911.2814),(4 1024.7413),(5 1122.7169),(6 1229.0917),(7 1310.5459),(8 1381.7026),(9 1444.7587),(10 1521.9486),(11 1580.5343),(12 1632.3766),(13 1699.5712),(14 1743.523),(15 1790.853),(16 1842.5454),(17 1876.9215),(18 1920.0104),(19 1957.8435),(20 2006.7006),(21 2042.3207),(22 2064.6802),(23 2089.8367),(24 2115.0908),(25 2123.2432),(26 2157.0247),(27 2170.4307),(28 2214.2542),(29 2240.5752),(30 2259.97),(31 2289.8447),(32 2297.0583),(33 2308.745),(34 2300.9673),(35 2291.939),(36 2288.7573),(37 2281.5908),(38 2271.254),(39 2234.4038),(40 2201.546),(41 2163.6145),(42 2161.674),(43 2138.5613),(44 2099.6536),(45 2088.9077),(46 2045.1813),(47 2031.7532),(48 2008.3982),(49 1985.3005),(50 1954.5404),(51 1945.8555),(52 1933.2216),(53 1930.477),(54 1883.6177),(55 1853.8907),(56 1823.5468),(57 1808.6859),(58 1824.7323),(59 1816.1564),(60 1835.8121),(61 1836.9066),(62 1862.8854),(63 1874.2552),(64 1883.1702),(65 1913.2212),(66 1948.7941),(67 1980.7764),(68 2003.9442),(69 2060.4436),(70 2075.8704),(71 2132.576),(72 2156.279),(73 2229.4731),(74 2250.2651),(75 2279.7488),(76 2299.621),(77 2341.4302),(78 2385.9858),(79 2438.332),
(1 487.68384),(2 727.13043),(3 870.6645),(4 968.42206),(5 1062.1226),(6 1169.9906),(7 1245.8112),(8 1321.1702),(9 1392.7886),(10 1460.9775),(11 1514.1096),(12 1573.066),(13 1651.775),(14 1710.7626),(15 1771.4542),(16 1812.6356),(17 1867.9504),(18 1914.8567),(19 1955.873),(20 1998.3522),(21 2043.8643),(22 2064.0007),(23 2091.357),(24 2106.8037),(25 2112.7825),(26 2143.0913),(27 2165.638),(28 2196.787),(29 2220.563),(30 2223.2583),(31 2240.6777),(32 2250.42),(33 2246.8916),(34 2239.085),(35 2230.285),(36 2220.3416),(37 2201.3638),(38 2198.2644),(39 2180.012),(40 2146.6025),(41 2103.3098),(42 2074.735),(43 2035.6189),(44 2003.7985),(45 1997.8914),(46 1960.1442),(47 1943.6625),(48 1912.0061),(49 1876.9926),(50 1869.4384),(51 1854.503),(52 1838.6252),(53 1821.6136),(54 1783.1458),(55 1754.4695),(56 1735.2628),(57 1722.7432),(58 1741.5566),(59 1741.0219),(60 1757.7993),(61 1770.7913),(62 1784.8577),(63 1807.4823),(64 1824.8308),(65 1838.7136),(66 1887.5103),(67 1918.8076),(68 1948.4164),(69 1998.5005),(70 2021.8383),(71 2081.8074),(72 2117.0552),(73 2196.64),(74 2251.473),(75 2309.885),(76 2367.6406),(77 2421.7527),(78 2480.5774),(79 2522.3972),
(1 488.5009),(2 729.7382),(3 885.86755),(4 986.9829),(5 1080.8284),(6 1181.804),(7 1267.8932),(8 1347.5442),(9 1428.6327),(10 1500.1013),(11 1553.682),(12 1620.1543),(13 1710.8484),(14 1758.2992),(15 1821.6364),(16 1872.0243),(17 1923.2152),(18 1956.7406),(19 1989.7633),(20 2026.8494),(21 2065.108),(22 2080.381),(23 2096.0408),(24 2123.2278),(25 2139.916),(26 2170.4712),(27 2187.1333),(28 2195.7202),(29 2228.8276),(30 2251.377),(31 2278.2866),(32 2291.886),(33 2295.0667),(34 2271.1113),(35 2253.344),(36 2237.6934),(37 2217.3936),(38 2196.7725),(39 2166.258),(40 2133.5952),(41 2092.983),(42 2071.8835),(43 2038.058),(44 2002.5446),(45 1992.8546),(46 1965.457),(47 1948.5963),(48 1938.9604),(49 1912.0685),(50 1898.2953),(51 1898.9115),(52 1885.4424),(53 1859.6035),(54 1826.1962),(55 1782.7682),(56 1749.4746),(57 1745.4733),(58 1762.0592),(59 1773.9545),(60 1784.2634),(61 1812.799),(62 1840.2117),(63 1852.4496),(64 1874.4978),(65 1897.195),(66 1913.5995),(67 1947.3857),(68 1967.8339),(69 2027.9763),(70 2058.9578),(71 2123.05),(72 2156.2678),(73 2226.534),(74 2276.9229),(75 2311.4617),(76 2372.9495),(77 2433.8628),(78 2501.5254),(79 2545.4778),
(1 481.6768),(2 720.72437),(3 866.1718),(4 977.1139),(5 1077.0674),(6 1178.5187),(7 1262.4575),(8 1332.8552),(9 1406.1992),(10 1495.1045),(11 1557.6719),(12 1614.8718),(13 1701.0714),(14 1766.7787),(15 1816.2898),(16 1864.7515),(17 1904.4109),(18 1953.0187),(19 1989.1724),(20 2015.9792),(21 2025.4944),(22 2054.143),(23 2071.6602),(24 2075.594),(25 2080.4822),(26 2104.001),(27 2104.4712),(28 2124.6018),(29 2145.138),(30 2156.766),(31 2152.378),(32 2134.5679),(33 2131.0515),(34 2120.1165),(35 2113.7253),(36 2089.0046),(37 2073.464),(38 2061.015),(39 2019.7485),(40 1993.2676),(41 1951.8613),(42 1931.1521),(43 1907.6077),(44 1878.7794),(45 1867.3839),(46 1855.9811),(47 1846.0227),(48 1819.1082),(49 1796.5848),(50 1780.5433),(51 1770.3765),(52 1776.5001),(53 1770.0813),(54 1748.3875),(55 1730.4379),(56 1710.0574),(57 1714.7965),(58 1731.661),(59 1751.1462),(60 1773.2869),(61 1781.2197),(62 1803.6255),(63 1801.9303),(64 1820.5377),(65 1852.7682),(66 1890.551),(67 1929.1056),(68 1959.8978),(69 2011.3485),(70 2021.7389),(71 2055.8225),(72 2098.7063),(73 2154.7551),(74 2210.1033),(75 2243.9949),(76 2307.8362),(77 2363.001),(78 2432.9058),(79 2477.7634),
(1 483.64163),(2 718.151),(3 871.2665),(4 968.7792),(5 1059.5034),(6 1168.764),(7 1248.2726),(8 1315.3932),(9 1381.4166),(10 1461.8562),(11 1519.1803),(12 1573.2832),(13 1646.4822),(14 1705.8579),(15 1763.703),(16 1825.5397),(17 1879.2113),(18 1917.775),(19 1950.2517),(20 1984.639),(21 1999.7997),(22 2026.1635),(23 2046.9409),(24 2072.847),(25 2081.1265),(26 2099.0723),(27 2105.0088),(28 2119.4998),(29 2123.0034),(30 2117.0237),(31 2116.0845),(32 2121.8857),(33 2109.5403),(34 2077.7214),(35 2073.2446),(36 2056.239),(37 2037.2135),(38 2007.1292),(39 1980.0745),(40 1963.8013),(41 1919.733),(42 1905.5286),(43 1878.9508),(44 1843.8707),(45 1830.3451),(46 1811.8726),(47 1794.9656),(48 1786.5748),(49 1764.7865),(50 1763.0953),(51 1758.1699),(52 1761.0781),(53 1739.4429),(54 1706.6504),(55 1696.1865),(56 1688.4591),(57 1684.8937),(58 1695.6404),(59 1712.0131),(60 1732.3247),(61 1748.167),(62 1775.1559),(63 1798.0397),(64 1826.2173),(65 1841.0367),(66 1869.2512),(67 1889.4469),(68 1910.9053),(69 1946.2794),(70 1969.663),(71 2009.2887),(72 2051.3674),(73 2118.123),(74 2143.4353),(75 2192.9592),(76 2255.5803),(77 2306.277),(78 2370.8315),(79 2398.7107),
(1 476.97305),(2 698.8955),(3 848.6824),(4 938.7174),(5 1031.32),(6 1123.4462),(7 1199.2662),(8 1267.3091),(9 1338.7186),(10 1407.2427),(11 1467.6245),(12 1533.456),(13 1610.306),(14 1675.5913),(15 1736.6375),(16 1786.8624),(17 1841.2133),(18 1891.5002),(19 1942.0972),(20 1975.978),(21 2000.6163),(22 2030.8391),(23 2048.584),(24 2065.3523),(25 2072.0747),(26 2104.2527),(27 2114.8264),(28 2131.4436),(29 2156.5083),(30 2159.0264),(31 2161.0645),(32 2154.3516),(33 2161.7312),(34 2138.066),(35 2118.2686),(36 2102.092),(37 2074.8047),(38 2057.0266),(39 2025.1187),(40 1986.1222),(41 1953.2894),(42 1938.6067),(43 1896.7452),(44 1854.9658),(45 1841.4103),(46 1819.4954),(47 1799.1881),(48 1780.7866),(49 1754.3173),(50 1736.4824),(51 1720.7887),(52 1709.1902),(53 1682.5437),(54 1646.6553),(55 1638.3474),(56 1619.4585),(57 1616.4662),(58 1638.96),(59 1657.915),(60 1669.8976),(61 1680.533),(62 1711.6151),(63 1733.268),(64 1750.8042),(65 1772.2168),(66 1799.2719),(67 1815.5962),(68 1820.7238),(69 1862.5082),(70 1882.7461),(71 1927.3102),(72 1978.9904),(73 2046.0958),(74 2083.7053),(75 2132.3118),(76 2182.2717),(77 2226.8704),(78 2283.6064),(79 2333.692),
(1 463.50104),(2 684.01715),(3 839.40027),(4 924.9204),(5 1014.70624),(6 1105.487),(7 1181.6816),(8 1246.5297),(9 1324.4684),(10 1382.2672),(11 1428.6327),(12 1483.1329),(13 1551.6859),(14 1593.1874),(15 1648.9307),(16 1688.1357),(17 1745.146),(18 1784.1887),(19 1817.323),(20 1838.8639),(21 1870.3817),(22 1897.2277),(23 1911.8174),(24 1922.7041),(25 1926.1233),(26 1948.3558),(27 1972.6951),(28 2002.7354),(29 2016.7887),(30 2019.5707),(31 2025.4229),(32 2015.4868),(33 2034.2922),(34 2016.8177),(35 1995.858),(36 1982.8414),(37 1966.7501),(38 1965.3275),(39 1928.2598),(40 1896.8246),(41 1856.3148),(42 1843.4712),(43 1815.8025),(44 1783.7798),(45 1755.436),(46 1740.7676),(47 1727.4519),(48 1704.8785),(49 1666.7609),(50 1659.6437),(51 1636.3217),(52 1623.2816),(53 1611.746),(54 1576.8711),(55 1570.5464),(56 1550.3363),(57 1557.7701),(58 1560.5042),(59 1578.3258),(60 1593.1399),(61 1597.1044),(62 1630.4125),(63 1640.5594),(64 1647.4963),(65 1666.3262),(66 1706.5204),(67 1713.7351),(68 1733.6584),(69 1773.3458),(70 1802.9167),(71 1853.1533),(72 1897.513),(73 1963.4064),(74 2000.1136),(75 2036.3501),(76 2089.962),(77 2118.0122),(78 2153.0737),(79 2178.5447),
(1 462.50006),(2 681.31287),(3 829.8519),(4 922.64966),(5 1004.8058),(6 1107.2291),(7 1189.1179),(8 1260.851),(9 1333.3514),(10 1399.6649),(11 1467.0331),(12 1515.0385),(13 1584.2085),(14 1622.9414),(15 1672.4438),(16 1712.7714),(17 1754.0736),(18 1782.5638),(19 1818.9325),(20 1837.3889),(21 1863.6302),(22 1873.6904),(23 1869.8196),(24 1883.3881),(25 1879.9186),(26 1883.2799),(27 1885.651),(28 1903.749),(29 1906.975),(30 1917.8674),(31 1906.09),(32 1893.8958),(33 1883.2266),(34 1866.9252),(35 1866.8114),(36 1856.347),(37 1847.5525),(38 1838.1625),(39 1803.8618),(40 1788.4349),(41 1765.2382),(42 1745.705),(43 1723.8453),(44 1705.6187),(45 1688.7761),(46 1678.0073),(47 1667.179),(48 1649.906),(49 1623.2266),(50 1622.5326),(51 1610.8579),(52 1606.3604),(53 1593.2994),(54 1562.6292),(55 1551.0529),(56 1536.8088),(57 1550.16),(58 1548.936),(59 1556.8365),(60 1579.9587),(61 1585.614),(62 1602.1283),(63 1610.115),(64 1631.9596),(65 1637.508),(66 1678.58),(67 1697.7301),(68 1723.1907),(69 1751.498),(70 1761.8782),(71 1803.907),(72 1841.8201),(73 1890.8585),(74 1909.4053),(75 1925.419),(76 1952.3491),(77 1999.589),(78 2037.4374),(79 2046.9127),
