1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 9452.156),(2 10069.163),(3 22993.408),(4 28413.828),(5 47781.83),(6 58589.08),(7 82826.18),(8 95184.76),(9 122192.414),(10 141165.83),(11 172110.14),(12 193896.38),(13 229366.58),(14 254127.83),(15 290725.3),(16 314517.72),(17 354182.16),(18 377816.25),(19 416394.03),(20 448489.9),(21 491644.34),(22 527664.7),(23 569416.2),(24 606584.5),(25 653270.2),(26 689599.8),(27 734017.06),(28 762819.2),(29 815849.7),(30 845444.7),(31 894504.5),(32 931028.8),(33 982442.06),(34 1024556.8),(35 1078376.5),(36 1119294.1),(37 1175103.4),(38 1219534.4),(39 1273574),(40 1326257.6),(41 1377232.4),(42 1417711),(43 1471717.4),(44 1514290.9),(45 1559303.1),(46 1597884.1),(47 1648844),(48 1686964),(49 1743571),(50 1785523),(51 1839427.6),(52 1884216.6),(53 1936114.9),(54 1976501.4),(55 2031311),(56 2072793.4),(57 2127005),(58 2180225.3),(59 2230846.8),(60 2285085.8),(61 2332541.8),(62 2385122.3),(63 2445606.5),(64 2501051.3),(65 2560867),(66 2618065.3),(67 2679763),(68 2737475.3),(69 2798046.8),(70 2853302.3),(71 2928103.3),(72 2993917.3),(73 3073081.3),(74 3136521.3),(75 3210883.3),(76 3280575.8),(77 3365275.3),(78 3450202.8),(79 3530651),
(1 26.438913),(2 29.556873),(3 29.942188),(4 30.76175),(5 30.939743),(6 31.554934),(7 31.21698),(8 31.210546),(9 31.722916),(10 31.361547),(11 31.372194),(12 31.373388),(13 31.275436),(14 31.349234),(15 31.361303),(16 31.692371),(17 31.463432),(18 31.77939),(19 31.743032),(20 31.23757),(21 31.60952),(22 31.797844),(23 31.648176),(24 31.453243),(25 31.673111),(26 31.831472),(27 31.612696),(28 31.540447),(29 31.440573),(30 31.223574),(31 31.236513),(32 31.385336),(33 31.484596),(34 31.458403),(35 31.32765),(36 31.684145),(37 31.414795),(38 31.550594),(39 31.616653),(40 31.944643),(41 31.621246),(42 31.437723),(43 31.417019),(44 31.445852),(45 31.161097),(46 31.545597),(47 31.739391),(48 31.592842),(49 31.7458),(50 31.994423),(51 31.749792),(52 31.603586),(53 31.59253),(54 31.89771),(55 32.166),(56 32.130905),(57 32.349083),(58 32.419025),(59 32.62404),(60 32.465794),(61 32.59346),(62 32.739834),(63 32.847893),(64 32.939617),(65 32.830788),(66 33.12428),(67 33.595425),(68 33.476322),(69 34.032387),(70 34.280914),(71 33.774048),(72 33.954453),(73 34.205055),(74 34.52569),(75 34.143745),(76 34.233818),(77 34.121822),(78 34.369305),(79 33.938618),
(1 26.057236),(2 28.948935),(3 29.256083),(4 29.820816),(5 30.008514),(6 30.311651),(7 30.670317),(8 30.927273),(9 31.02026),(10 30.748554),(11 31.040918),(12 31.335745),(13 31.190042),(14 31.38042),(15 30.670967),(16 30.87002),(17 31.095482),(18 31.601221),(19 31.706236),(20 30.982761),(21 31.244404),(22 31.729834),(23 31.444477),(24 31.165848),(25 30.893785),(26 31.070553),(27 30.931679),(28 30.917624),(29 30.845728),(30 30.621841),(31 30.689217),(32 30.724543),(33 30.697556),(34 30.509344),(35 30.15164),(36 30.439924),(37 30.28395),(38 30.619726),(39 30.14429),(40 30.191849),(41 30.869595),(42 30.888544),(43 30.705814),(44 30.71573),(45 30.806164),(46 30.95292),(47 30.552673),(48 30.550161),(49 30.867424),(50 30.45219),(51 30.929052),(52 31.100498),(53 31.09021),(54 31.234472),(55 31.313948),(56 31.05355),(57 31.443365),(58 31.78073),(59 31.99079),(60 31.729376),(61 31.989323),(62 31.789627),(63 31.851622),(64 32.321712),(65 32.02066),(66 32.2546),(67 32.196323),(68 32.139526),(69 32.312653),(70 32.465984),(71 32.505066),(72 33.071964),(73 32.788803),(74 32.996544),(75 32.5811),(76 32.684093),(77 32.65617),(78 32.708073),(79 32.924995),
(1 25.960596),(2 29.150572),(3 29.802004),(4 30.189095),(5 30.439934),(6 30.724133),(7 30.699535),(8 30.80537),(9 30.877092),(10 30.943394),(11 30.949507),(12 30.803951),(13 31.243805),(14 31.170738),(15 30.875822),(16 31.080828),(17 31.496754),(18 31.291407),(19 31.447617),(20 31.410364),(21 31.44655),(22 31.34809),(23 31.087486),(24 31.232023),(25 31.273445),(26 31.03597),(27 30.875114),(28 31.242737),(29 30.915497),(30 30.363937),(31 30.675993),(32 30.920023),(33 30.869516),(34 30.810968),(35 30.573887),(36 30.66046),(37 30.475784),(38 30.87381),(39 31.053558),(40 30.947628),(41 31.117802),(42 31.065382),(43 31.361643),(44 31.05556),(45 30.738758),(46 30.663696),(47 30.69178),(48 30.9846),(49 30.915016),(50 30.913649),(51 31.127865),(52 31.529232),(53 31.092648),(54 30.924467),(55 31.046076),(56 31.266876),(57 31.379183),(58 31.349588),(59 31.819172),(60 31.564732),(61 31.845253),(62 32.012363),(63 31.850773),(64 32.154575),(65 32.31827),(66 32.059055),(67 32.38589),(68 32.467766),(69 32.85043),(70 32.71248),(71 32.123596),(72 32.81977),(73 32.564922),(74 32.91696),(75 32.779167),(76 33.164856),(77 32.94253),(78 33.164772),(79 33.085014),
(1 25.208216),(2 28.358751),(3 28.888119),(4 29.0976),(5 29.676308),(6 29.778612),(7 29.522831),(8 29.550016),(9 30.2165),(10 30.505056),(11 30.488634),(12 30.36105),(13 30.348892),(14 30.598753),(15 30.3875),(16 30.59299),(17 30.382858),(18 30.617052),(19 30.820929),(20 31.096678),(21 30.95537),(22 30.75993),(23 30.763712),(24 30.496601),(25 30.521324),(26 30.377201),(27 30.35365),(28 30.150509),(29 30.520504),(30 30.129148),(31 30.052156),(32 30.186146),(33 29.723955),(34 30.012152),(35 30.021332),(36 30.196669),(37 30.008497),(38 30.177479),(39 30.201551),(40 30.360275),(41 30.054266),(42 30.472475),(43 30.636328),(44 30.291527),(45 30.223385),(46 29.923185),(47 30.133898),(48 30.128077),(49 30.295874),(50 30.287819),(51 30.57073),(52 30.39921),(53 30.857971),(54 30.483246),(55 31.182775),(56 30.73581),(57 30.758282),(58 30.878323),(59 30.87133),(60 31.3758),(61 31.130554),(62 31.370008),(63 31.580477),(64 31.893637),(65 32.065605),(66 32.02465),(67 31.61475),(68 32.597065),(69 32.442417),(70 32.42197),(71 32.422333),(72 32.83018),(73 32.87135),(74 32.96623),(75 33.108185),(76 33.009037),(77 32.980827),(78 32.48948),(79 32.907017),
(1 24.418499),(2 27.531313),(3 28.046785),(4 28.485811),(5 29.062605),(6 29.005785),(7 28.820776),(8 29.203444),(9 29.428543),(10 29.654982),(11 29.87281),(12 29.481012),(13 29.331844),(14 29.56852),(15 29.458052),(16 29.666317),(17 29.704632),(18 29.907017),(19 29.817715),(20 30.204166),(21 30.249355),(22 30.064451),(23 29.556349),(24 29.368288),(25 29.72098),(26 29.34311),(27 29.395967),(28 29.207277),(29 29.627378),(30 29.223057),(31 28.788715),(32 29.171947),(33 29.140682),(34 28.666939),(35 29.121283),(36 28.926361),(37 29.045324),(38 29.067093),(39 29.083149),(40 29.131838),(41 29.058767),(42 29.120956),(43 29.25188),(44 29.063562),(45 29.128029),(46 29.022276),(47 29.040695),(48 28.757633),(49 29.61545),(50 29.115427),(51 29.361551),(52 29.842043),(53 29.861546),(54 29.660292),(55 29.956669),(56 29.997646),(57 30.368658),(58 30.148943),(59 30.700563),(60 30.675488),(61 30.449419),(62 30.448399),(63 30.860317),(64 31.000292),(65 31.193506),(66 31.495125),(67 31.275871),(68 31.494917),(69 31.713322),(70 31.563814),(71 31.502394),(72 31.590975),(73 31.900946),(74 31.697899),(75 31.785858),(76 31.848835),(77 31.86903),(78 31.847967),(79 31.979927),
(1 24.684717),(2 27.605358),(3 28.506102),(4 29.110332),(5 29.177),(6 29.213537),(7 29.522097),(8 30.094347),(9 29.967167),(10 30.12237),(11 29.886412),(12 29.546602),(13 29.970325),(14 29.73502),(15 29.52033),(16 29.597122),(17 29.904068),(18 29.882717),(19 30.081667),(20 30.158976),(21 30.178686),(22 30.205393),(23 29.954018),(24 29.869757),(25 30.449255),(26 30.22936),(27 29.880695),(28 30.037876),(29 29.576822),(30 29.959545),(31 29.627611),(32 29.530266),(33 29.408743),(34 29.83984),(35 29.260134),(36 29.750772),(37 29.518463),(38 29.556715),(39 29.564825),(40 29.446493),(41 29.50992),(42 29.925001),(43 29.762848),(44 29.829689),(45 29.370665),(46 29.707603),(47 29.289288),(48 29.582073),(49 29.253872),(50 29.488476),(51 29.834063),(52 30.324926),(53 30.402931),(54 30.279226),(55 29.975164),(56 30.259726),(57 30.653486),(58 30.268803),(59 31.080006),(60 30.778547),(61 30.751581),(62 31.198936),(63 30.78635),(64 30.920647),(65 31.137754),(66 31.345499),(67 31.76341),(68 32.352474),(69 32.424007),(70 31.933676),(71 32.172585),(72 32.494015),(73 32.5806),(74 32.493904),(75 32.183395),(76 32.06011),(77 31.889341),(78 32.139038),(79 32.127026),
(1 24.236898),(2 27.303087),(3 27.628754),(4 28.639923),(5 28.798706),(6 28.333357),(7 28.71975),(8 29.285545),(9 29.207058),(10 29.1856),(11 29.081234),(12 29.079092),(13 29.580288),(14 29.457684),(15 29.056448),(16 29.530546),(17 29.502064),(18 29.224833),(19 29.791458),(20 29.943115),(21 29.698343),(22 29.708961),(23 29.240826),(24 29.128132),(25 29.182032),(26 29.277187),(27 29.114742),(28 29.37524),(29 29.162155),(30 29.055204),(31 28.798082),(32 28.862148),(33 29.032402),(34 29.103771),(35 28.985971),(36 29.342083),(37 29.105743),(38 29.42709),(39 29.118166),(40 28.871895),(41 29.114275),(42 28.979212),(43 29.13132),(44 28.900534),(45 29.09655),(46 29.31074),(47 28.774239),(48 28.939857),(49 29.326233),(50 28.984194),(51 28.843164),(52 29.456007),(53 29.43052),(54 29.528475),(55 29.56904),(56 29.7589),(57 30.008833),(58 30.125391),(59 30.136911),(60 30.18257),(61 30.628563),(62 30.901081),(63 30.30638),(64 30.708838),(65 30.910578),(66 30.727468),(67 30.842815),(68 31.324461),(69 31.265951),(70 31.284859),(71 31.255423),(72 31.63434),(73 31.470037),(74 32.1694),(75 31.906065),(76 32.06723),(77 31.830044),(78 31.697884),(79 30.938946),
(1 24.162638),(2 26.929497),(3 27.613438),(4 27.673326),(5 27.924982),(6 28.223713),(7 28.253569),(8 28.498476),(9 28.697617),(10 28.833426),(11 28.481085),(12 28.514235),(13 28.462208),(14 28.622652),(15 29.07991),(16 29.375618),(17 29.006462),(18 29.064785),(19 29.320587),(20 29.2521),(21 29.216742),(22 29.057137),(23 29.002802),(24 29.160107),(25 29.370264),(26 29.583078),(27 29.530684),(28 29.380537),(29 28.98071),(30 29.37627),(31 29.148249),(32 29.329702),(33 29.590614),(34 28.79613),(35 29.048103),(36 28.759964),(37 28.83977),(38 29.262768),(39 28.751083),(40 28.774553),(41 28.852821),(42 28.897285),(43 29.248695),(44 28.467304),(45 28.733564),(46 28.908932),(47 28.610853),(48 28.326654),(49 28.3534),(50 28.617643),(51 29.127808),(52 29.041359),(53 29.081367),(54 29.138304),(55 29.108232),(56 29.085772),(57 29.565943),(58 29.36263),(59 29.806684),(60 29.55954),(61 30.005207),(62 30.100317),(63 30.215586),(64 30.177036),(65 30.513596),(66 30.678488),(67 30.6541),(68 30.802902),(69 30.61765),(70 31.10739),(71 30.880707),(72 30.866674),(73 30.923687),(74 31.104982),(75 31.312784),(76 30.820013),(77 31.359161),(78 30.973381),(79 30.816904),
(1 23.885489),(2 26.551481),(3 27.67932),(4 28.00009),(5 28.390835),(6 28.244495),(7 28.642567),(8 28.667957),(9 28.592834),(10 28.9812),(11 28.851732),(12 28.758036),(13 28.80346),(14 28.995909),(15 28.952732),(16 29.39804),(17 29.059292),(18 29.523674),(19 29.568676),(20 29.0973),(21 29.482578),(22 29.446423),(23 28.689032),(24 29.102594),(25 28.823019),(26 29.145693),(27 29.15696),(28 28.90952),(29 28.503996),(30 28.950172),(31 28.580837),(32 28.641726),(33 28.700548),(34 29.151003),(35 29.361786),(36 29.128815),(37 29.048311),(38 29.541016),(39 29.013927),(40 28.379335),(41 28.869215),(42 28.827343),(43 28.892927),(44 28.828781),(45 28.836132),(46 29.179394),(47 29.132292),(48 29.001272),(49 29.025215),(50 29.04312),(51 29.104908),(52 28.927366),(53 29.433353),(54 29.369246),(55 29.21007),(56 29.389206),(57 29.665337),(58 29.710497),(59 29.78874),(60 29.672703),(61 29.94897),(62 29.867918),(63 30.173311),(64 29.987516),(65 30.408571),(66 30.466486),(67 30.521729),(68 30.324944),(69 30.434559),(70 30.460144),(71 30.641085),(72 30.733751),(73 30.617214),(74 30.984098),(75 30.751822),(76 30.6473),(77 31.009144),(78 30.479136),(79 30.79772),
(1 23.301746),(2 25.873573),(3 26.58519),(4 27.147984),(5 27.494974),(6 27.895647),(7 27.744627),(8 28.22721),(9 28.309273),(10 27.84953),(11 28.019281),(12 27.986643),(13 27.983341),(14 28.121967),(15 28.239174),(16 28.353165),(17 28.063934),(18 28.252176),(19 28.621632),(20 28.568245),(21 28.070137),(22 28.47668),(23 28.286125),(24 28.626032),(25 28.490448),(26 28.40457),(27 28.4134),(28 28.15778),(29 27.744644),(30 28.079699),(31 27.826908),(32 27.33944),(33 27.827475),(34 27.629501),(35 27.59845),(36 27.867094),(37 27.692781),(38 28.349636),(39 27.821913),(40 27.48561),(41 27.97593),(42 28.027323),(43 27.909418),(44 27.813911),(45 27.845953),(46 27.557978),(47 27.665598),(48 27.652975),(49 27.65619),(50 27.900227),(51 27.716581),(52 28.06557),(53 28.224874),(54 28.421618),(55 28.759958),(56 28.277515),(57 28.502974),(58 28.689968),(59 28.245937),(60 28.843855),(61 29.117273),(62 29.647167),(63 29.360502),(64 29.125484),(65 29.551594),(66 29.70749),(67 29.830687),(68 29.978369),(69 30.221897),(70 30.220945),(71 30.146944),(72 30.479845),(73 30.162895),(74 30.898834),(75 30.790672),(76 30.516102),(77 30.498028),(78 30.14985),(79 30.417421),
(1 23.355452),(2 26.162178),(3 26.788713),(4 27.122313),(5 27.605362),(6 27.828167),(7 28.166307),(8 28.281187),(9 28.238811),(10 28.395845),(11 28.010258),(12 28.099142),(13 28.26666),(14 28.273212),(15 28.281322),(16 28.260872),(17 28.6716),(18 28.52214),(19 28.919308),(20 28.919086),(21 28.994225),(22 29.14533),(23 28.545715),(24 28.362411),(25 28.815489),(26 28.787651),(27 28.761875),(28 28.586664),(29 28.509825),(30 28.27444),(31 28.320953),(32 27.870096),(33 28.316942),(34 28.417797),(35 27.95437),(36 28.549797),(37 28.270472),(38 28.356998),(39 28.410385),(40 28.103802),(41 28.235134),(42 28.563217),(43 28.519598),(44 28.456898),(45 28.365416),(46 27.996227),(47 27.86912),(48 27.938448),(49 27.888206),(50 27.914389),(51 28.061798),(52 28.145369),(53 28.346333),(54 28.491264),(55 28.566288),(56 28.654182),(57 28.444708),(58 28.690916),(59 29.043657),(60 28.885313),(61 29.331871),(62 29.645947),(63 29.472332),(64 29.058144),(65 29.499823),(66 29.700106),(67 29.680191),(68 29.729074),(69 30.036095),(70 30.202991),(71 30.35772),(72 30.301912),(73 30.61444),(74 30.97812),(75 30.509014),(76 30.796556),(77 30.65199),(78 30.866388),(79 30.649393),
(1 22.728281),(2 25.776205),(3 26.179586),(4 26.772717),(5 27.305302),(6 27.486834),(7 27.75332),(8 27.466118),(9 27.771772),(10 27.756487),(11 27.807737),(12 27.773321),(13 27.819647),(14 28.079702),(15 27.751057),(16 27.762796),(17 27.760809),(18 28.052528),(19 28.243946),(20 28.445202),(21 28.13177),(22 28.015768),(23 28.24249),(24 28.291138),(25 28.17652),(26 28.05326),(27 27.750608),(28 27.546568),(29 27.805437),(30 27.589985),(31 27.777729),(32 27.29874),(33 27.428482),(34 27.356195),(35 27.252062),(36 27.346453),(37 27.31184),(38 27.361267),(39 27.15103),(40 27.054127),(41 27.593508),(42 27.303108),(43 26.766779),(44 27.237782),(45 27.716276),(46 27.090832),(47 27.65873),(48 27.403265),(49 27.797787),(50 27.629229),(51 27.688406),(52 27.854218),(53 28.132788),(54 28.245077),(55 28.093756),(56 27.788637),(57 27.856712),(58 28.1631),(59 28.24325),(60 28.25571),(61 28.729881),(62 28.677574),(63 28.570621),(64 28.759449),(65 28.858374),(66 28.948662),(67 29.41617),(68 29.432886),(69 29.550213),(70 29.512726),(71 29.464579),(72 29.754448),(73 30.26759),(74 29.970896),(75 29.574726),(76 29.788042),(77 29.502012),(78 29.620846),(79 29.477127),
(1 22.484638),(2 25.259308),(3 25.790035),(4 25.955633),(5 26.482363),(6 26.476732),(7 26.63741),(8 26.550413),(9 26.96828),(10 26.775648),(11 26.969242),(12 26.84026),(13 26.81102),(14 26.73056),(15 26.694801),(16 26.89981),(17 26.857788),(18 27.020185),(19 27.220152),(20 27.119299),(21 27.020437),(22 27.36014),(23 26.9037),(24 26.999237),(25 27.31585),(26 27.043272),(27 26.808956),(28 26.806313),(29 26.54434),(30 26.659857),(31 26.53066),(32 26.591253),(33 26.924425),(34 26.833925),(35 26.695837),(36 26.67729),(37 26.351065),(38 26.87112),(39 26.829245),(40 26.675833),(41 26.711235),(42 26.900349),(43 26.547981),(44 26.73555),(45 26.904732),(46 26.643572),(47 26.644125),(48 26.535753),(49 26.89186),(50 26.82488),(51 26.670301),(52 26.881844),(53 27.057146),(54 27.195868),(55 27.214258),(56 27.064371),(57 26.81708),(58 27.075306),(59 27.251074),(60 27.272509),(61 27.801346),(62 27.816631),(63 27.898457),(64 27.77877),(65 27.878635),(66 27.533468),(67 28.079638),(68 28.109665),(69 28.446735),(70 28.274576),(71 28.257055),(72 28.539173),(73 28.99092),(74 28.723516),(75 29.016655),(76 28.915947),(77 28.96917),(78 28.68363),(79 29.14334),
(1 22.899996),(2 25.55648),(3 25.606794),(4 26.240355),(5 26.887632),(6 26.94988),(7 26.907333),(8 27.215687),(9 27.124403),(10 27.179047),(11 26.89491),(12 27.274393),(13 27.456078),(14 27.716919),(15 27.423306),(16 27.63637),(17 27.300392),(18 27.515503),(19 27.76324),(20 27.72752),(21 27.685669),(22 27.753319),(23 27.665112),(24 27.580307),(25 27.65521),(26 27.614927),(27 27.561422),(28 27.319462),(29 27.539549),(30 27.595684),(31 27.324265),(32 27.288357),(33 27.302279),(34 27.448395),(35 27.480814),(36 27.438307),(37 27.340307),(38 27.415737),(39 27.03428),(40 26.826387),(41 27.22678),(42 27.139523),(43 27.003056),(44 27.046606),(45 27.375788),(46 27.149847),(47 27.225327),(48 26.743998),(49 26.941425),(50 26.994753),(51 27.10481),(52 27.03883),(53 27.067617),(54 27.537106),(55 27.552622),(56 27.590025),(57 27.742476),(58 28.199057),(59 28.142778),(60 28.17686),(61 28.252497),(62 28.171394),(63 28.630915),(64 28.51327),(65 28.849506),(66 28.478085),(67 29.188334),(68 28.752455),(69 29.39567),(70 29.469194),(71 29.52897),(72 29.54108),(73 29.898104),(74 29.570572),(75 29.605375),(76 29.656065),(77 29.391624),(78 29.458199),(79 29.686977),
(1 22.539993),(2 25.146002),(3 25.229078),(4 26.253685),(5 26.517233),(6 26.540897),(7 26.127073),(8 26.260887),(9 26.704638),(10 26.816505),(11 27.136461),(12 26.917248),(13 27.212568),(14 27.34201),(15 27.000238),(16 27.349043),(17 27.489073),(18 27.497292),(19 27.545313),(20 27.375368),(21 27.73389),(22 27.709446),(23 27.3064),(24 27.66355),(25 27.683437),(26 27.424664),(27 27.12313),(28 26.908607),(29 27.152918),(30 27.323252),(31 27.027035),(32 26.55716),(33 26.865486),(34 26.63788),(35 26.474262),(36 26.737383),(37 26.576513),(38 26.784437),(39 26.922262),(40 26.567854),(41 26.818213),(42 26.885168),(43 26.866194),(44 26.711111),(45 26.711021),(46 26.56868),(47 26.688581),(48 26.694992),(49 26.417557),(50 26.561079),(51 26.589443),(52 27.032513),(53 27.179358),(54 27.145027),(55 27.399454),(56 27.003014),(57 26.99143),(58 27.46695),(59 27.184755),(60 27.252344),(61 27.64737),(62 27.99134),(63 27.861202),(64 27.824242),(65 27.9712),(66 28.052307),(67 28.803146),(68 28.910337),(69 28.938164),(70 29.225903),(71 29.309404),(72 29.039349),(73 29.401308),(74 29.239815),(75 29.087706),(76 29.202183),(77 29.365435),(78 29.401552),(79 29.176035),
(1 22.534609),(2 24.80644),(3 25.56121),(4 26.146574),(5 26.406311),(6 26.679024),(7 26.740715),(8 26.94462),(9 26.679157),(10 26.630571),(11 26.986551),(12 26.82302),(13 26.904972),(14 26.939817),(15 26.7194),(16 27.080227),(17 27.02433),(18 27.458221),(19 27.449202),(20 27.145172),(21 27.383186),(22 27.546774),(23 27.325008),(24 27.588516),(25 27.314993),(26 27.324642),(27 27.145138),(28 26.944056),(29 26.88544),(30 27.2623),(31 27.016073),(32 26.983953),(33 27.21416),(34 26.946665),(35 26.9146),(36 27.033255),(37 26.930109),(38 26.729658),(39 26.8493),(40 27.103151),(41 27.1551),(42 27.174526),(43 27.28937),(44 27.22397),(45 26.860836),(46 26.924044),(47 26.689594),(48 26.461235),(49 26.392838),(50 26.59646),(51 26.933537),(52 27.03155),(53 26.818348),(54 27.388575),(55 27.523462),(56 27.59712),(57 27.50741),(58 27.716465),(59 27.858725),(60 27.695177),(61 27.897612),(62 28.188814),(63 28.432632),(64 28.255615),(65 28.574942),(66 28.58259),(67 28.693886),(68 28.34319),(69 28.907396),(70 29.093298),(71 29.173813),(72 29.064472),(73 29.246824),(74 29.105995),(75 29.14192),(76 29.260448),(77 29.270483),(78 29.01797),(79 29.153795),
(1 21.698172),(2 24.239613),(3 24.813696),(4 25.257046),(5 25.496168),(6 25.852365),(7 25.593647),(8 26.107231),(9 25.9803),(10 25.904423),(11 25.867243),(12 26.075216),(13 26.019428),(14 26.05356),(15 25.846935),(16 26.261166),(17 26.106682),(18 26.59753),(19 27.006865),(20 26.520168),(21 26.315811),(22 26.544088),(23 26.516516),(24 26.56896),(25 26.142809),(26 26.291136),(27 26.340519),(28 26.034195),(29 26.21425),(30 26.415125),(31 26.368385),(32 26.007843),(33 25.812786),(34 25.84355),(35 26.08681),(36 26.020298),(37 26.446424),(38 26.544867),(39 26.15541),(40 26.014343),(41 25.889532),(42 26.571068),(43 25.817722),(44 26.066692),(45 25.81052),(46 25.670036),(47 25.88151),(48 25.67632),(49 25.554451),(50 25.907206),(51 25.862146),(52 25.911667),(53 26.19312),(54 26.280437),(55 26.502695),(56 26.256496),(57 26.720165),(58 26.91589),(59 26.65462),(60 26.774364),(61 26.80647),(62 27.059568),(63 26.914509),(64 27.087444),(65 27.60427),(66 27.65382),(67 27.949442),(68 27.94321),(69 27.801083),(70 27.978415),(71 27.936525),(72 27.823973),(73 28.178324),(74 28.16852),(75 28.049036),(76 28.153456),(77 28.245798),(78 28.100962),(79 28.04605),
