1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1470166.4),(2 1670623.1),(3 545811.6),(4 2241146),(5 2622938.8),(6 1570018.6),(7 3263461.3),(8 3768659.3),(9 2870363.3),(10 4408740.5),(11 4980217.5),(12 4202848.5),(13 5655276),(14 6226492),(15 5420386),(16 6855815.5),(17 7361890.5),(18 6592413.5),(19 7787273.5),(20 8232952.5),(21 7237159.5),(22 8232480),(23 8565133),(24 7502405.5),(25 8258808),(26 8543644),(27 7524649.5),(28 8218038.5),(29 8611129),(30 7733113.5),(31 8584483),(32 9135812),(33 8704915),(34 9527925),(35 10249145),(36 9988683),(37 10880884),(38 11760467),(39 11715085),(40 12701293),(41 13711551),(42 13790712),(43 14715293),(44 15541085),(45 15396841),(46 15962120),(47 16566717),(48 16556672),(49 16989018),(50 17559682),(51 17365134),(52 17869224),(53 18510472),(54 18270950),(55 18805756),(56 19384944),(57 19063162),(58 19803854),(59 20509426),(60 20329218),(61 21341146),(62 22283994),(63 22751702),(64 23635704),(65 24761606),(66 25030310),(67 26352656),(68 27723310),(69 27961968),(70 29271878),(71 30453798),(72 30970414),(73 32213198),(74 33401102),(75 33743372),(76 34617710),(77 35695350),(78 36209116),(79 37155612),
(1 1526.0885),(2 1961.2407),(3 2289.112),(4 2369.0764),(5 2476.8738),(6 2516.884),(7 2611.2014),(8 2712.9722),(9 2776.496),(10 2774.245),(11 2809.393),(12 2874.839),(13 2881.2327),(14 2934.7432),(15 2955.6157),(16 3019.232),(17 3069.156),(18 3118.134),(19 3147.3284),(20 3147.533),(21 3202.8984),(22 3208.414),(23 3199.7808),(24 3174.6094),(25 3198.5398),(26 3223.3108),(27 3208.8948),(28 3197.4277),(29 3220.8196),(30 3206.2834),(31 3219.1953),(32 3227.7847),(33 3302.0935),(34 3290.595),(35 3290.9802),(36 3319.0251),(37 3356.6323),(38 3347.8328),(39 3376.444),(40 3392.497),(41 3422.3386),(42 3416.0046),(43 3435.688),(44 3431.8396),(45 3454.7495),(46 3445.7573),(47 3459.9883),(48 3493.7651),(49 3506.4756),(50 3533.9229),(51 3534.4556),(52 3553.4836),(53 3514.8318),(54 3454.1277),(55 3488.8062),(56 3461.8252),(57 3495.9905),(58 3453.129),(59 3421.6538),(60 3419.084),(61 3420.8313),(62 3371.9138),(63 3412.2402),(64 3366.4182),(65 3373.0212),(66 3375.2495),(67 3354.3804),(68 3375.8608),(69 3371.7803),(70 3381.1323),(71 3377.696),(72 3337.0212),(73 3351.1865),(74 3385.5205),(75 3383.2664),(76 3385.7139),(77 3384.7903),(78 3434.933),(79 3448.121),
(1 1502.7074),(2 1940.164),(3 2285.305),(4 2335.688),(5 2411.225),(6 2427.7239),(7 2517.6523),(8 2576.8052),(9 2658.5962),(10 2658.6182),(11 2665.3806),(12 2682.1682),(13 2703.8984),(14 2743.2734),(15 2785.9302),(16 2829.498),(17 2858.402),(18 2917.3667),(19 2959.6965),(20 2961.057),(21 3017.9912),(22 2986.9224),(23 3002.307),(24 3008.4978),(25 3034.6426),(26 3041.6516),(27 3051.3457),(28 3056.1536),(29 3074.0989),(30 3096.4285),(31 3098.6108),(32 3084.3335),(33 3148.0068),(34 3142.2212),(35 3154.4868),(36 3148.2874),(37 3123.7117),(38 3160.4585),(39 3165.9446),(40 3169.264),(41 3162.9963),(42 3198.729),(43 3215.3525),(44 3195.735),(45 3208.0703),(46 3181.797),(47 3194.612),(48 3276.1543),(49 3277.0342),(50 3309.9097),(51 3306.58),(52 3282.7778),(53 3251.94),(54 3240.457),(55 3244.2986),(56 3227.8264),(57 3214.274),(58 3223.0889),(59 3216.052),(60 3203.47),(61 3225.117),(62 3195.7617),(63 3285.5928),(64 3228.4146),(65 3256.0903),(66 3241.5562),(67 3245.5947),(68 3235.6196),(69 3200.1086),(70 3208.16),(71 3207.0115),(72 3169.4346),(73 3128.136),(74 3161.0112),(75 3169.8506),(76 3201.2385),(77 3210.9285),(78 3278.1987),(79 3287.9766),
(1 1422.9209),(2 1844.336),(3 2179.3457),(4 2300.0947),(5 2376.9673),(6 2427.8513),(7 2481.6526),(8 2539.228),(9 2577.899),(10 2604.1667),(11 2658.401),(12 2716.1943),(13 2719.0127),(14 2755.9058),(15 2790.344),(16 2852.7957),(17 2907.758),(18 2902.859),(19 2948.5078),(20 2962.5137),(21 2987.897),(22 2998.3484),(23 3031.7563),(24 3035.8054),(25 3056.0662),(26 3068.1187),(27 3055.3457),(28 3025.4756),(29 3057.8118),(30 3094.3206),(31 3089.8577),(32 3083.2534),(33 3115.1084),(34 3137.6462),(35 3159.9922),(36 3161.1277),(37 3134.0037),(38 3131.697),(39 3175.1323),(40 3159.1082),(41 3162.6335),(42 3145.2522),(43 3176.5852),(44 3168.2266),(45 3172.2117),(46 3157.7856),(47 3166.902),(48 3217.807),(49 3265.921),(50 3298.4614),(51 3295.643),(52 3252.9937),(53 3264.5654),(54 3264.8647),(55 3251.2993),(56 3236.3643),(57 3247.8613),(58 3265.8547),(59 3224.1082),(60 3172.3176),(61 3208.6619),(62 3202.4165),(63 3273.5916),(64 3198.3396),(65 3239.047),(66 3199.3533),(67 3174.7854),(68 3151.3386),(69 3124.4412),(70 3099.2698),(71 3107.33),(72 3096.8118),(73 3131.7354),(74 3126.0234),(75 3119.8293),(76 3170.316),(77 3206.144),(78 3249.2761),(79 3239.0173),
(1 1379.812),(2 1789.648),(3 2123.2432),(4 2215.4966),(5 2277.9375),(6 2379.971),(7 2457.5842),(8 2503.2573),(9 2583.617),(10 2586.513),(11 2627.8296),(12 2699.8604),(13 2729.2053),(14 2756.6523),(15 2779.6458),(16 2849.168),(17 2887.2183),(18 2948.4983),(19 2969.1677),(20 3015.2974),(21 3011.331),(22 3000.0996),(23 3015.831),(24 2983.8025),(25 2993.8623),(26 3017.425),(27 3024.7603),(28 2996.4482),(29 3010.597),(30 3008.9712),(31 2970.0532),(32 2984.3848),(33 3032.3992),(34 3078.4255),(35 3083.4465),(36 3090.3777),(37 3073.21),(38 3098.5454),(39 3091.725),(40 3102.1086),(41 3116.1199),(42 3085.5627),(43 3138.5085),(44 3114.2417),(45 3116.7869),(46 3114.8457),(47 3130.8818),(48 3177.4038),(49 3211.1294),(50 3250.2083),(51 3262.553),(52 3251.4443),(53 3245.5945),(54 3192.2944),(55 3215.1704),(56 3216.9604),(57 3188.8142),(58 3204.9133),(59 3189.0205),(60 3138.2568),(61 3147.567),(62 3155.4316),(63 3192.5564),(64 3096.4944),(65 3155.397),(66 3136.8564),(67 3094.2986),(68 3083.5625),(69 3062.1228),(70 3079.0566),(71 3074.6052),(72 3057.9321),(73 3088.2202),(74 3097.9963),(75 3135.0366),(76 3158.394),(77 3144.6873),(78 3220.0952),(79 3258.3918),
(1 1334.1654),(2 1748.3907),(3 2074.816),(4 2188.0298),(5 2249.7983),(6 2300.9343),(7 2366.1294),(8 2432.093),(9 2480.2517),(10 2481.254),(11 2534.6206),(12 2573.604),(13 2608.836),(14 2638.8416),(15 2662.8604),(16 2703.6902),(17 2732.0251),(18 2799.5024),(19 2837.7373),(20 2855.026),(21 2870.5198),(22 2892.0923),(23 2900.9229),(24 2871.4734),(25 2924.8655),(26 2939.699),(27 2951.677),(28 2949.9688),(29 2912.2087),(30 2920.534),(31 2920.1602),(32 2922.301),(33 2973.36),(34 2968.7021),(35 2950.4487),(36 2966.7366),(37 2989.712),(38 3024.1152),(39 2995.707),(40 2970.3276),(41 3008.4858),(42 3043.233),(43 3045.3276),(44 3049.4067),(45 3028.3232),(46 3053.7515),(47 3040.021),(48 3084.262),(49 3100.4546),(50 3113.868),(51 3148.2964),(52 3119.1602),(53 3117.1772),(54 3081.1177),(55 3107.526),(56 3084.333),(57 3115.464),(58 3095.6138),(59 3111.7705),(60 3071.4849),(61 3071.7974),(62 3089.7813),(63 3122.438),(64 3087.9316),(65 3082.9753),(66 3035.313),(67 3033.3447),(68 3053.7742),(69 3008.9338),(70 3056.586),(71 3069.3923),(72 3059.4673),(73 3021.4822),(74 3024.38),(75 3078.3665),(76 3096.0066),(77 3073.5557),(78 3112.6272),(79 3125.7998),
(1 1308.0834),(2 1688.263),(3 2002.5006),(4 2111.9531),(5 2175.3462),(6 2206.23),(7 2265.8647),(8 2338.6116),(9 2385.6367),(10 2385.9033),(11 2464.1733),(12 2495.7366),(13 2531.2856),(14 2575.3794),(15 2601.8835),(16 2646.5828),(17 2670.5322),(18 2717.0679),(19 2757.2217),(20 2792.4507),(21 2800.422),(22 2838.06),(23 2832.4302),(24 2821.0796),(25 2813.5208),(26 2808.3298),(27 2782.8096),(28 2793.1055),(29 2799.2783),(30 2805.727),(31 2825.907),(32 2806.642),(33 2894.0674),(34 2908.9744),(35 2931.4614),(36 2928.215),(37 2918.0654),(38 2952.6155),(39 2959.218),(40 2944.8892),(41 2979.7),(42 3012.5034),(43 3013.2656),(44 2985.3416),(45 3005.173),(46 3006.309),(47 3036.9385),(48 3084.5278),(49 3067.1267),(50 3095.9314),(51 3100.211),(52 3074.0737),(53 3081.237),(54 3063.9414),(55 3060.6726),(56 3085.5652),(57 3057.3203),(58 3080.4204),(59 3072.0146),(60 3039.1729),(61 3043.5898),(62 3015.1074),(63 3074.4875),(64 3013.0437),(65 3034.7104),(66 2971.3413),(67 3002.822),(68 3010.0818),(69 2960.3057),(70 2955.4944),(71 2934.6118),(72 2934.2722),(73 2952.2725),(74 2969.3188),(75 2986.731),(76 2985.2617),(77 2966.3052),(78 3025.593),(79 3007.0686),
(1 1291.0748),(2 1682.7645),(3 1993.8115),(4 2099.8135),(5 2155.4265),(6 2200.3162),(7 2244.9304),(8 2316.9873),(9 2354.0195),(10 2372.594),(11 2415.5005),(12 2436.3894),(13 2451.262),(14 2484.6555),(15 2507.3464),(16 2553.4119),(17 2617.0852),(18 2679.9524),(19 2723.4783),(20 2752.3186),(21 2737.2424),(22 2742.1934),(23 2762.8442),(24 2764.3),(25 2787.2314),(26 2801.9158),(27 2789.5088),(28 2749.905),(29 2774.471),(30 2759.256),(31 2797.066),(32 2820.7644),(33 2896.784),(34 2918.5547),(35 2939.9521),(36 2953.2388),(37 2955.0679),(38 2957.3188),(39 2959.3337),(40 2970.1082),(41 2969.3115),(42 3009.1458),(43 2996.277),(44 2994.385),(45 2992.2043),(46 2982.2976),(47 3024.5571),(48 3062.6296),(49 3045.3748),(50 3042.8096),(51 3053.598),(52 3012.9192),(53 2999.6936),(54 3014.877),(55 3020.835),(56 2981.8735),(57 2959.3762),(58 2968.691),(59 2965.0657),(60 2957.0466),(61 2953.4397),(62 2941.9514),(63 2966.269),(64 2911.3586),(65 2909.4426),(66 2904.0437),(67 2878.32),(68 2922.8489),(69 2865.047),(70 2852.62),(71 2820.1428),(72 2833.173),(73 2833.457),(74 2875.0986),(75 2881.1377),(76 2899.9329),(77 2898.5024),(78 2958.4993),(79 2958.6172),
(1 1246.1777),(2 1638.9906),(3 1914.1677),(4 2010.2284),(5 2066.812),(6 2132.2805),(7 2187.9045),(8 2235.8643),(9 2267.1719),(10 2270.5752),(11 2316.132),(12 2359.6082),(13 2390.7092),(14 2413.2324),(15 2423.6892),(16 2484.7244),(17 2514.4646),(18 2559.9697),(19 2594.8748),(20 2611.168),(21 2616.9036),(22 2630.9458),(23 2640.1084),(24 2637.0793),(25 2666.3115),(26 2653.9214),(27 2690.0293),(28 2661.731),(29 2648.3142),(30 2667.7515),(31 2657.4644),(32 2680.396),(33 2753.537),(34 2757.7273),(35 2735.0605),(36 2749.4866),(37 2752.8328),(38 2745.8364),(39 2749.2515),(40 2751.771),(41 2802.9773),(42 2803.4524),(43 2812.3335),(44 2832.6846),(45 2829.0657),(46 2828.2998),(47 2863.8464),(48 2870.0535),(49 2823.9702),(50 2846.4807),(51 2884.1626),(52 2875.254),(53 2875.238),(54 2870.6638),(55 2849.9646),(56 2853.1506),(57 2820.0908),(58 2833.5398),(59 2822.5872),(60 2833.0051),(61 2830.0017),(62 2775.545),(63 2827.0842),(64 2773.6418),(65 2736.71),(66 2751.2874),(67 2741.2158),(68 2759.9207),(69 2717.9001),(70 2713.691),(71 2718.9646),(72 2689.7207),(73 2734.619),(74 2754.3967),(75 2758.5977),(76 2770.3638),(77 2790.6755),(78 2868.434),(79 2909.8289),
(1 1205.8301),(2 1602.4155),(3 1902.2311),(4 1998.7667),(5 2039.5322),(6 2086.7158),(7 2127.2654),(8 2174.8542),(9 2209.1301),(10 2236.806),(11 2274.9517),(12 2310.8616),(13 2366.3225),(14 2390.9783),(15 2433.4443),(16 2490.3562),(17 2520.8918),(18 2594.8826),(19 2583.443),(20 2615.6506),(21 2622.9763),(22 2656.1108),(23 2666.7002),(24 2664.135),(25 2676.85),(26 2651.7214),(27 2654.0227),(28 2632.8452),(29 2612.563),(30 2645.2078),(31 2647.9355),(32 2671.2695),(33 2717.3643),(34 2740.6213),(35 2721.7444),(36 2724.3088),(37 2728.1658),(38 2727.0107),(39 2729.6062),(40 2737.6812),(41 2780.9011),(42 2782.6487),(43 2781.4382),(44 2775.2825),(45 2759.9197),(46 2766.695),(47 2792.3916),(48 2857.257),(49 2822.3394),(50 2794.6204),(51 2852.7463),(52 2831.344),(53 2827.2456),(54 2803.9434),(55 2797.0059),(56 2809.5571),(57 2800.471),(58 2791.6892),(59 2747.7395),(60 2752.5737),(61 2757.3499),(62 2725.9417),(63 2755.627),(64 2743.4294),(65 2729.6912),(66 2705.0215),(67 2699.9324),(68 2677.2197),(69 2673.9763),(70 2703.0676),(71 2702.9695),(72 2704.9202),(73 2705.7551),(74 2725.169),(75 2717.9043),(76 2725.4492),(77 2730.5012),(78 2779.6665),(79 2808.485),
(1 1210.2418),(2 1553.1912),(3 1841.8582),(4 1923.771),(5 1987.6893),(6 2008.3713),(7 2050.7917),(8 2104.396),(9 2158.029),(10 2184.8296),(11 2220.4556),(12 2247.5496),(13 2287.152),(14 2327.055),(15 2342.6006),(16 2381.5066),(17 2449.7837),(18 2479.8462),(19 2502.0977),(20 2540.9204),(21 2560.2632),(22 2554.6545),(23 2551.189),(24 2509.1777),(25 2510.9502),(26 2506.152),(27 2516.0461),(28 2519.897),(29 2503.0303),(30 2518.9714),(31 2538.2737),(32 2555.882),(33 2596.239),(34 2648.2727),(35 2628.198),(36 2637.6523),(37 2667.876),(38 2672.2744),(39 2673.6292),(40 2664.6475),(41 2662.1858),(42 2695.317),(43 2706.7893),(44 2707.4014),(45 2746.963),(46 2732.32),(47 2746.4023),(48 2763.5815),(49 2764.4946),(50 2775.0662),(51 2808.2417),(52 2798.1726),(53 2762.3796),(54 2767.6675),(55 2760.3489),(56 2709.1543),(57 2700.572),(58 2692.593),(59 2661.459),(60 2687.3325),(61 2672.7876),(62 2666.7566),(63 2701.2417),(64 2662.977),(65 2688.8848),(66 2655.2998),(67 2660.1355),(68 2630.7424),(69 2588.2185),(70 2615.0222),(71 2591.7146),(72 2591.8916),(73 2622.6602),(74 2630.108),(75 2676.2283),(76 2700.1333),(77 2706.025),(78 2756.4995),(79 2746.1914),
(1 1181.8247),(2 1521.5034),(3 1800.4974),(4 1890.3793),(5 1935.8741),(6 1982.2833),(7 2006.8918),(8 2038.437),(9 2101.5576),(10 2132.375),(11 2162.9424),(12 2208.1953),(13 2230.8074),(14 2246.9316),(15 2248.9653),(16 2305.5125),(17 2328.7327),(18 2420.0942),(19 2427.806),(20 2468.1804),(21 2479.675),(22 2493.8738),(23 2504.97),(24 2495.9832),(25 2517.5818),(26 2522.6533),(27 2513.2283),(28 2527.7268),(29 2512.4834),(30 2520.792),(31 2531.7046),(32 2525.1475),(33 2590.801),(34 2580.4387),(35 2567.8142),(36 2587.5173),(37 2609.4734),(38 2618.1948),(39 2614.5984),(40 2626.7112),(41 2625.8752),(42 2649.3438),(43 2668.346),(44 2647.04),(45 2650.9983),(46 2641.8088),(47 2664.569),(48 2682.3242),(49 2665.6646),(50 2670.1025),(51 2702.3704),(52 2674.7285),(53 2680.1106),(54 2666.8306),(55 2683.127),(56 2663.9336),(57 2627.3591),(58 2635.1104),(59 2635.9055),(60 2599.3342),(61 2571.61),(62 2567.3684),(63 2598.9768),(64 2571.6702),(65 2576.7415),(66 2576.845),(67 2575.8264),(68 2546.6313),(69 2521.2556),(70 2547.9143),(71 2568.2842),(72 2553.687),(73 2554.9082),(74 2563.5288),(75 2575.384),(76 2604.313),(77 2654.3752),(78 2709.0679),(79 2691.6108),
(1 1121.9008),(2 1473.1365),(3 1741.586),(4 1813.7429),(5 1844.0198),(6 1881.7396),(7 1926.0731),(8 1968.5668),(9 2023.68),(10 2051.93),(11 2107.7007),(12 2126.5337),(13 2154.139),(14 2176.7454),(15 2211.372),(16 2239.1821),(17 2274.6162),(18 2349.5374),(19 2391.0361),(20 2412.4175),(21 2427.9177),(22 2446.8901),(23 2444.7383),(24 2421.2349),(25 2447.133),(26 2496.0225),(27 2509.8174),(28 2516.977),(29 2495.861),(30 2498.7432),(31 2469.5713),(32 2469.1895),(33 2532.9587),(34 2526.264),(35 2550.1235),(36 2533.5615),(37 2574.7002),(38 2578.8748),(39 2582.1904),(40 2571.2705),(41 2573.9277),(42 2578.0217),(43 2591.1738),(44 2592.639),(45 2600.5762),(46 2622.7422),(47 2624.9746),(48 2607.5574),(49 2638.6167),(50 2628.6316),(51 2653.1284),(52 2623.479),(53 2618.0095),(54 2607.0515),(55 2589.937),(56 2558.5793),(57 2553.9717),(58 2553.7341),(59 2550.8027),(60 2512.9119),(61 2510.3184),(62 2447.9668),(63 2545.929),(64 2486.7017),(65 2482.9126),(66 2468.4536),(67 2457.482),(68 2477.7654),(69 2449.6047),(70 2441.3943),(71 2444.5117),(72 2421.4216),(73 2433.1113),(74 2422.7737),(75 2455.7463),(76 2447.9473),(77 2485.626),(78 2530.5913),(79 2562.0906),
(1 1112.7734),(2 1427.123),(3 1714.8949),(4 1806.9055),(5 1827.3016),(6 1869.3137),(7 1896.144),(8 1953.5665),(9 1991.4082),(10 2002.2878),(11 2046.4458),(12 2083.2527),(13 2101.1873),(14 2114.41),(15 2125.77),(16 2172.4053),(17 2210.0667),(18 2256.8525),(19 2322.7664),(20 2339.3696),(21 2355.6292),(22 2349.446),(23 2332.0132),(24 2300.6375),(25 2306.1416),(26 2325.8513),(27 2315.158),(28 2323.4314),(29 2320.9111),(30 2337.757),(31 2372.6682),(32 2365.7412),(33 2434.0427),(34 2415.8254),(35 2427.3328),(36 2447.8643),(37 2438.361),(38 2462.5198),(39 2460.403),(40 2433.0833),(41 2461.3252),(42 2481.2864),(43 2500.0525),(44 2481.2104),(45 2496.5745),(46 2478.754),(47 2484.743),(48 2502.0625),(49 2522.6165),(50 2517.559),(51 2549.5317),(52 2506.8018),(53 2515.9678),(54 2491.2908),(55 2491.3906),(56 2465.8708),(57 2478.9744),(58 2459.3499),(59 2426.5552),(60 2414.6677),(61 2405.7068),(62 2353.1624),(63 2386.9897),(64 2357.959),(65 2360.6204),(66 2340.3384),(67 2368.5076),(68 2389.6033),(69 2372.0928),(70 2352.3982),(71 2332.5933),(72 2301.505),(73 2327.9944),(74 2355.7695),(75 2385.1948),(76 2416.333),(77 2433.0017),(78 2470.414),(79 2476.3687),
(1 1065.9408),(2 1392.0364),(3 1631.3947),(4 1727.0529),(5 1755.4371),(6 1793.8347),(7 1814.7134),(8 1891.5157),(9 1929.5137),(10 1958.4584),(11 1999.3279),(12 2007.5),(13 2033.6581),(14 2039.3887),(15 2071.043),(16 2106.7664),(17 2132.1028),(18 2210.1226),(19 2240.4424),(20 2238.2368),(21 2235.1677),(22 2228.9294),(23 2234.2473),(24 2211.8877),(25 2199.9534),(26 2209.4724),(27 2187.4688),(28 2213.5398),(29 2204.2893),(30 2210.5227),(31 2219.017),(32 2227.1953),(33 2253.7776),(34 2248.8567),(35 2253.5405),(36 2278.8857),(37 2274.6555),(38 2270.4724),(39 2277.0159),(40 2272.4158),(41 2300.344),(42 2298.5242),(43 2280.5486),(44 2263.7341),(45 2281.1624),(46 2322.4658),(47 2334.7498),(48 2364.4382),(49 2363.5376),(50 2380.028),(51 2391.3),(52 2357.6082),(53 2369.3313),(54 2385.17),(55 2407.3289),(56 2400.2231),(57 2384.7813),(58 2369.0498),(59 2340.9626),(60 2305.3958),(61 2280.4153),(62 2299.9224),(63 2323.4922),(64 2312.3926),(65 2299.7297),(66 2284.176),(67 2285.1924),(68 2292.0833),(69 2276.3853),(70 2296.663),(71 2275.6343),(72 2288.0037),(73 2307.8215),(74 2303.5715),(75 2343.783),(76 2364.579),(77 2386.5532),(78 2419.9478),(79 2424.0967),
(1 1069.6482),(2 1378.7954),(3 1660.6556),(4 1745.6393),(5 1800.1407),(6 1845.6108),(7 1870.3641),(8 1879.9285),(9 1930.6979),(10 1983.4341),(11 2020.0891),(12 2075.595),(13 2120.5007),(14 2132.8977),(15 2147.8755),(16 2172.8357),(17 2199.9172),(18 2248.0396),(19 2257.171),(20 2266.64),(21 2290.2903),(22 2282.821),(23 2261.7488),(24 2234.766),(25 2235.7104),(26 2233.767),(27 2242.2275),(28 2273.6248),(29 2247.8538),(30 2232.7854),(31 2209.361),(32 2208.5176),(33 2259.181),(34 2260.9546),(35 2280.001),(36 2312.6572),(37 2302.7651),(38 2308.7258),(39 2304.5928),(40 2317.4756),(41 2332.9065),(42 2334.7678),(43 2354.092),(44 2342.7012),(45 2336.8198),(46 2362.7368),(47 2346.4421),(48 2384.7693),(49 2386.88),(50 2393.902),(51 2428.2095),(52 2417.9224),(53 2414.1465),(54 2420.4011),(55 2440.576),(56 2416.5015),(57 2388.9067),(58 2411.944),(59 2424.223),(60 2408.0828),(61 2389.3972),(62 2378.1619),(63 2408.8918),(64 2371.6514),(65 2364.0164),(66 2379.5852),(67 2366.9316),(68 2388.5483),(69 2386.6401),(70 2370.051),(71 2366.97),(72 2317.349),(73 2311.9434),(74 2342.2292),(75 2335.0881),(76 2328.3557),(77 2358.7305),(78 2413.6733),(79 2447.5051),
(1 1019.44653),(2 1319.6528),(3 1580.9257),(4 1642.1464),(5 1695.5238),(6 1729.3011),(7 1778.7231),(8 1828.8011),(9 1861.14),(10 1893.8807),(11 1931.331),(12 1957.2434),(13 1979.2526),(14 2000.7946),(15 2004.8955),(16 2054.509),(17 2045.3138),(18 2108.13),(19 2123.6926),(20 2128.426),(21 2145.4624),(22 2136.906),(23 2127.9573),(24 2107.026),(25 2112.668),(26 2087.9573),(27 2085.7456),(28 2088.9875),(29 2091.7766),(30 2090.004),(31 2100.5588),(32 2095.996),(33 2157.631),(34 2135.9436),(35 2154.894),(36 2181.3162),(37 2172.6858),(38 2189.9094),(39 2182.7935),(40 2172.0344),(41 2205.0618),(42 2206.2974),(43 2210.9373),(44 2208.9973),(45 2231.3699),(46 2242.415),(47 2242.296),(48 2263.1455),(49 2272.1055),(50 2263.2783),(51 2311.0938),(52 2307.3682),(53 2313.3667),(54 2292.9666),(55 2287.4517),(56 2269.39),(57 2267.9744),(58 2288.1077),(59 2280.8374),(60 2250.8408),(61 2270.2192),(62 2239.5703),(63 2299.485),(64 2262.29),(65 2271.572),(66 2284.3828),(67 2302.0703),(68 2292.5173),(69 2254.4202),(70 2256.407),(71 2221.3088),(72 2216.1838),(73 2224.436),(74 2241.4),(75 2264.3262),(76 2282.2153),(77 2286.0232),(78 2337.8909),(79 2342.9536),
