1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 3688.8962),(2 9294.407),(3 15611.237),(4 22432.25),(5 29780.666),(6 37683.86),(7 47253.24),(8 57758.965),(9 70020.586),(10 82446.164),(11 94369.23),(12 107312.68),(13 123683.21),(14 140292.83),(15 158418.48),(16 178718.38),(17 196260.2),(18 217242.31),(19 242310.5),(20 265022.84),(21 287613.9),(22 315614.75),(23 345011.53),(24 368343.25),(25 399978.88),(26 425003.03),(27 447532.66),(28 469306.78),(29 485618.34),(30 500332.34),(31 510392.25),(32 520801.53),(33 531118.25),(34 537778.1),(35 544912),(36 550306.56),(37 549189.56),(38 548283.2),(39 543884),(40 538470.94),(41 530782.56),(42 523282.25),(43 509458.9),(44 499308.34),(45 489112.25),(46 476881.16),(47 460892.84),(48 442004.72),(49 420440.16),(50 403067.9),(51 385499.78),(52 371585.6),(53 358970.53),(54 349765.25),(55 346954.56),(56 346899.5),(57 351344.25),(58 347647.13),(59 355690),(60 368246.72),(61 385505.16),(62 403931.1),(63 422198.03),(64 451976.34),(65 478305.84),(66 505318),(67 538502.06),(68 572933.75),(69 613231.44),(70 650179.44),(71 691681.44),(72 736318.3),(73 782400.94),(74 818518.25),(75 858887.7),(76 904604.06),(77 941821.44),(78 969749),(79 999842),
(1 593.80383),(2 949.2831),(3 1245.3679),(4 1415.8281),(5 1572.9471),(6 1701.4397),(7 1818.2117),(8 1903.1709),(9 1996.3888),(10 2093.2222),(11 2155.88),(12 2216.0156),(13 2338.4878),(14 2401.024),(15 2477.1375),(16 2512.013),(17 2524.607),(18 2541.6968),(19 2570.5088),(20 2628.0205),(21 2649.9644),(22 2680.9365),(23 2695.0613),(24 2707.811),(25 2730.0771),(26 2762.9485),(27 2786.4343),(28 2754.359),(29 2763.848),(30 2770.1453),(31 2808.117),(32 2838.9368),(33 2857.262),(34 2885.6904),(35 2929.1135),(36 2972.605),(37 2990.985),(38 2996.012),(39 3042.4812),(40 3056.9727),(41 3058.2761),(42 3074.6563),(43 3077.6016),(44 3083.9688),(45 3092.363),(46 3094.2185),(47 3117.7214),(48 3114.949),(49 3124.357),(50 3148.5596),(51 3174.6987),(52 3190.2773),(53 3190.6956),(54 3195.726),(55 3193.4207),(56 3187.9768),(57 3190.9927),(58 3188.6287),(59 3196.885),(60 3209.1),(61 3218.6482),(62 3218.7515),(63 3250.92),(64 3261.2305),(65 3263.3503),(66 3279.544),(67 3289.976),(68 3300.849),(69 3313.3113),(70 3305.2163),(71 3302.0505),(72 3278.4888),(73 3259.983),(74 3255.652),(75 3268.8513),(76 3278.6711),(77 3284.4646),(78 3292.075),(79 3307.9153),
(1 574.7627),(2 927.74854),(3 1210.7308),(4 1375.6783),(5 1549.841),(6 1681.6759),(7 1812.6854),(8 1912.5044),(9 1993.9791),(10 2073.3083),(11 2132.522),(12 2192.6997),(13 2333.786),(14 2401.0295),(15 2477.2961),(16 2511.5974),(17 2543.3552),(18 2580.3945),(19 2599.7961),(20 2637.0337),(21 2645.2034),(22 2649.149),(23 2662.0552),(24 2679.0889),(25 2692.2395),(26 2719.2405),(27 2748.167),(28 2725.4927),(29 2724.7715),(30 2741.008),(31 2763.248),(32 2781.2993),(33 2795.7366),(34 2823.861),(35 2845.1338),(36 2858.2344),(37 2858.0583),(38 2872.4429),(39 2898.5735),(40 2895.8774),(41 2891.5107),(42 2922.7285),(43 2904.8066),(44 2919.0513),(45 2927.8223),(46 2954.6885),(47 2982.7222),(48 2988.406),(49 3011.3948),(50 3047.4165),(51 3074.3582),(52 3086.4236),(53 3107.3962),(54 3128.9385),(55 3137.479),(56 3146.3608),(57 3150.1257),(58 3165.523),(59 3174.3938),(60 3181.2346),(61 3206.258),(62 3227.8013),(63 3241.065),(64 3253.6262),(65 3258.6382),(66 3268.8943),(67 3264.2312),(68 3257.608),(69 3241.25),(70 3236.3335),(71 3212.1294),(72 3216.4263),(73 3205.0078),(74 3195.3882),(75 3215.9824),(76 3217.7432),(77 3224.0337),(78 3236.4585),(79 3251.8723),
(1 570.31415),(2 919.321),(3 1203.5054),(4 1381.1436),(5 1539.4305),(6 1674.5089),(7 1798.4156),(8 1907.3649),(9 2009.637),(10 2100.8477),(11 2171.5012),(12 2237.2273),(13 2374.3835),(14 2458.4429),(15 2555.9038),(16 2572.015),(17 2607.9253),(18 2639.2942),(19 2657.428),(20 2675.32),(21 2678.683),(22 2678.5261),(23 2699.2646),(24 2719.9082),(25 2724.3586),(26 2732.2793),(27 2746.1565),(28 2736.1638),(29 2737.5525),(30 2751.8188),(31 2777.2295),(32 2794.7024),(33 2814.1309),(34 2837.0598),(35 2858.0134),(36 2867.8042),(37 2886.9033),(38 2898.086),(39 2935.6597),(40 2929.0562),(41 2946.9187),(42 2972.7925),(43 2959.341),(44 2960.3225),(45 2956.051),(46 2965.8577),(47 2988.5862),(48 2999.0107),(49 3014.2075),(50 3033.4314),(51 3059.3508),(52 3081.1711),(53 3116.0762),(54 3137.3794),(55 3158.6348),(56 3176.2036),(57 3190.9084),(58 3211.5308),(59 3200.7888),(60 3197.5374),(61 3222.3564),(62 3215.4797),(63 3219.392),(64 3219.6455),(65 3231.6118),(66 3240.1863),(67 3259.531),(68 3244.5222),(69 3235.187),(70 3224.2695),(71 3216.9045),(72 3226.1416),(73 3203.5596),(74 3202.0115),(75 3201.1409),(76 3202.906),(77 3215.7075),(78 3227.0894),(79 3236.8894),
(1 559.64624),(2 901.9913),(3 1181.2094),(4 1333.0829),(5 1467.4249),(6 1583.4056),(7 1695.7548),(8 1794.0548),(9 1889.9508),(10 1984.029),(11 2051.3225),(12 2120.1626),(13 2241.071),(14 2316.6658),(15 2399.4841),(16 2420.2688),(17 2443.2417),(18 2475.2937),(19 2485.1633),(20 2509.3794),(21 2519.1506),(22 2531.0383),(23 2561.6482),(24 2578.9043),(25 2603.2402),(26 2606.214),(27 2627.981),(28 2628.0789),(29 2641.6619),(30 2643.2222),(31 2660.0483),(32 2694.4116),(33 2729.698),(34 2735.8945),(35 2757.5237),(36 2766.453),(37 2780.891),(38 2805.5476),(39 2844.135),(40 2857.0269),(41 2877.068),(42 2895.807),(43 2895.4111),(44 2903.9714),(45 2925.712),(46 2958.27),(47 2975.9033),(48 2977.21),(49 2992.0916),(50 2995.4917),(51 2993.995),(52 2995.1292),(53 3002.2366),(54 3020.3606),(55 3033.6802),(56 3044.001),(57 3053.5732),(58 3072.7285),(59 3074.4673),(60 3075.5603),(61 3081.35),(62 3074.2285),(63 3073.0908),(64 3088.2583),(65 3108.9407),(66 3115.8015),(67 3151.0864),(68 3161.6252),(69 3159.4185),(70 3158.694),(71 3166.1062),(72 3165.3948),(73 3140.9963),(74 3140.7542),(75 3144.4717),(76 3132.8984),(77 3159.328),(78 3169.494),(79 3180.9287),
(1 559.3166),(2 898.496),(3 1163.8307),(4 1330.9114),(5 1476.6835),(6 1603.442),(7 1710.7083),(8 1791.7491),(9 1875.2058),(10 1953.7903),(11 2020.0681),(12 2073.798),(13 2181.0989),(14 2237.9536),(15 2318.2336),(16 2352.2107),(17 2377.4875),(18 2415.8484),(19 2441.0493),(20 2457.8496),(21 2477.2874),(22 2518.6497),(23 2531.841),(24 2523.287),(25 2522.54),(26 2532.9182),(27 2551.5132),(28 2567.427),(29 2575.9954),(30 2578.4758),(31 2590.2505),(32 2614.5344),(33 2638.2087),(34 2656.8826),(35 2686.8752),(36 2698.525),(37 2707.2637),(38 2719.5107),(39 2756.0522),(40 2756.3384),(41 2758.2654),(42 2774.1194),(43 2755.9314),(44 2767.8315),(45 2794.4336),(46 2799.6636),(47 2831.305),(48 2831.8867),(49 2840.184),(50 2849.504),(51 2845.989),(52 2863.001),(53 2862.1733),(54 2882.0156),(55 2904.3303),(56 2915.2266),(57 2920.326),(58 2919.5732),(59 2910.2827),(60 2912.0928),(61 2916.0725),(62 2923.528),(63 2956.3872),(64 2961.9277),(65 2971.6492),(66 2965.544),(67 2968.918),(68 2964.9646),(69 2971.6545),(70 2980.6492),(71 2980.5032),(72 2963.6104),(73 2956.0298),(74 2959.5452),(75 2983.2917),(76 2983.664),(77 2984.5762),(78 2991.9893),(79 2997.9512),
(1 564.796),(2 903.59576),(3 1161.8412),(4 1325.0372),(5 1478.9716),(6 1604.6078),(7 1718.5934),(8 1811.4077),(9 1890.7966),(10 1970.5958),(11 2039.4702),(12 2100.8127),(13 2188.1528),(14 2250.1453),(15 2341.1636),(16 2373.6648),(17 2410.2876),(18 2439.6287),(19 2461.066),(20 2484.4382),(21 2506.394),(22 2540.77),(23 2559.104),(24 2557.6458),(25 2570.482),(26 2578.3115),(27 2604.3838),(28 2614.6406),(29 2617.8416),(30 2620.5713),(31 2630.3423),(32 2654.708),(33 2681.5413),(34 2703.6973),(35 2732.3638),(36 2737.5808),(37 2756.3796),(38 2769.726),(39 2779.6763),(40 2784.957),(41 2791.4163),(42 2794.2634),(43 2763.6216),(44 2778.998),(45 2775.4495),(46 2788.042),(47 2795.9539),(48 2815.3225),(49 2838.8157),(50 2849.0042),(51 2866.6558),(52 2883.2761),(53 2889.531),(54 2885.382),(55 2890.58),(56 2886.966),(57 2896.3086),(58 2903.3015),(59 2894.9333),(60 2896.8394),(61 2910.4465),(62 2911.782),(63 2938.4011),(64 2943.5906),(65 2962.1792),(66 2977.9653),(67 2995.828),(68 2998.1433),(69 3003.1072),(70 3018.4207),(71 3015.8035),(72 3011.1099),(73 2994.3462),(74 3004.293),(75 3026.0864),(76 3025.3767),(77 3043.8066),(78 3055.569),(79 3062.059),
(1 550.967),(2 879.74854),(3 1131.4543),(4 1283.9825),(5 1428.4647),(6 1550.0448),(7 1668.0688),(8 1751.8992),(9 1826.4446),(10 1911.4285),(11 1973.7941),(12 2024.7976),(13 2129.8809),(14 2180.2585),(15 2264.8374),(16 2310.8423),(17 2345.437),(18 2363.9028),(19 2383.909),(20 2418.2832),(21 2453.775),(22 2472.5393),(23 2482.1802),(24 2490.333),(25 2498.8618),(26 2507.3606),(27 2534.2546),(28 2539.571),(29 2536.5989),(30 2538.2876),(31 2548.1638),(32 2577.1726),(33 2612.7932),(34 2631.8235),(35 2645.1128),(36 2643.1345),(37 2646.7053),(38 2659.8738),(39 2677.5422),(40 2668.9426),(41 2670.5474),(42 2670.786),(43 2673.921),(44 2685.7195),(45 2694.7947),(46 2705.265),(47 2712.2822),(48 2728.0496),(49 2755.9807),(50 2760.6213),(51 2779.5378),(52 2783.7021),(53 2799.769),(54 2808.7024),(55 2816.1284),(56 2830.2793),(57 2823.8538),(58 2856.0261),(59 2859.8057),(60 2849.7627),(61 2880.535),(62 2884.6511),(63 2888.828),(64 2875.209),(65 2900.666),(66 2904.2751),(67 2900.476),(68 2890.8064),(69 2876.654),(70 2880.217),(71 2874.3887),(72 2883.1443),(73 2877.96),(74 2874.799),(75 2880.3306),(76 2887.707),(77 2889.5046),(78 2889.9956),(79 2901.02),
(1 542.7366),(2 864.70654),(3 1112.8917),(4 1253.7682),(5 1388.0071),(6 1497.6337),(7 1611.282),(8 1698.8347),(9 1783.972),(10 1868.4823),(11 1939.0803),(12 1996.7815),(13 2097.7183),(14 2165.2813),(15 2244.5703),(16 2297.6216),(17 2350.4),(18 2382.4885),(19 2409.4258),(20 2438.3064),(21 2466.6528),(22 2481.514),(23 2484.5466),(24 2493.0078),(25 2497.744),(26 2496.8655),(27 2530.3335),(28 2540.9246),(29 2565.1067),(30 2579.8035),(31 2592.3665),(32 2597.9255),(33 2621.1672),(34 2630.4722),(35 2642.2788),(36 2644.258),(37 2662.9985),(38 2658.3918),(39 2674.3635),(40 2665.3943),(41 2664.4907),(42 2672.1528),(43 2668.0085),(44 2671.4492),(45 2682.763),(46 2675.4634),(47 2688.1604),(48 2701.6624),(49 2710.4036),(50 2718.26),(51 2735.2107),(52 2740.5715),(53 2740.8054),(54 2766.1511),(55 2785.1096),(56 2809.0632),(57 2799.011),(58 2816.2683),(59 2824.63),(60 2811.361),(61 2816.5288),(62 2821.779),(63 2835.7478),(64 2832.2017),(65 2822.9458),(66 2816.8008),(67 2824.4604),(68 2805.3506),(69 2802.4233),(70 2800.3394),(71 2788.7268),(72 2791.111),(73 2816.3462),(74 2824.8394),(75 2854.943),(76 2876.758),(77 2884.227),(78 2900.5872),(79 2895.745),
(1 541.74316),(2 863.378),(3 1114.2821),(4 1271.4379),(5 1407.2557),(6 1532.0924),(7 1644.4734),(8 1738.8235),(9 1826.2202),(10 1902.5435),(11 1953.2168),(12 2005.7665),(13 2112.899),(14 2178.6584),(15 2248.5132),(16 2277.625),(17 2322.8416),(18 2351.044),(19 2378.3474),(20 2401.5713),(21 2407.2813),(22 2442.831),(23 2461.393),(24 2463.352),(25 2458.5361),(26 2449.7559),(27 2464.6423),(28 2454.1877),(29 2455.5193),(30 2473.6309),(31 2476.8582),(32 2500.5623),(33 2515.2827),(34 2532.1301),(35 2546.0652),(36 2555.3645),(37 2577.1133),(38 2596.7734),(39 2626.7598),(40 2624.2417),(41 2626.8438),(42 2629.712),(43 2619.964),(44 2626.4343),(45 2634.6965),(46 2648.5732),(47 2660.2544),(48 2679.6726),(49 2695.2188),(50 2710.8352),(51 2732.5369),(52 2742.0122),(53 2748.1943),(54 2760.1445),(55 2798.764),(56 2811.957),(57 2826.056),(58 2851.234),(59 2845.9944),(60 2849.754),(61 2854.4768),(62 2881.7473),(63 2898.8706),(64 2898.4204),(65 2903.2026),(66 2910.868),(67 2922.1792),(68 2927.9385),(69 2933.997),(70 2935.1926),(71 2932.2366),(72 2930.9417),(73 2943.8733),(74 2944.1006),(75 2956.0767),(76 2958.1677),(77 2974.643),(78 3010.5693),(79 3004.7686),
(1 532.012),(2 846.3445),(3 1082.8397),(4 1231.8398),(5 1363.0416),(6 1483.4784),(7 1587.3428),(8 1670.3796),(9 1743.5936),(10 1820.1648),(11 1888.9303),(12 1950.2773),(13 2048.002),(14 2111.1597),(15 2173.3647),(16 2195.9023),(17 2214.6748),(18 2237.9707),(19 2271.545),(20 2311.499),(21 2327.4084),(22 2349.7036),(23 2377.302),(24 2400.3044),(25 2409.9812),(26 2419.6892),(27 2452.321),(28 2436.5828),(29 2450.5435),(30 2464.09),(31 2475.6165),(32 2491.581),(33 2504.7634),(34 2519.1313),(35 2509.5728),(36 2513.3113),(37 2513.1335),(38 2522.3054),(39 2531.0151),(40 2530.3801),(41 2533.0781),(42 2526.1787),(43 2520.383),(44 2533.148),(45 2530.9507),(46 2535.796),(47 2543.305),(48 2554.6355),(49 2574.5735),(50 2588.121),(51 2623.6274),(52 2642.0564),(53 2649.8167),(54 2668.4973),(55 2708.7415),(56 2728.7957),(57 2740.4714),(58 2760.1516),(59 2757.1711),(60 2765.1685),(61 2777.7207),(62 2783.5366),(63 2808.2927),(64 2825.162),(65 2832.5317),(66 2835.369),(67 2835.3816),(68 2838.1177),(69 2847.5117),(70 2850.1853),(71 2851.99),(72 2846.6965),(73 2840.5974),(74 2811.4421),(75 2817.1733),(76 2812.077),(77 2815.7656),(78 2833.6003),(79 2839.7593),
(1 533.0985),(2 848.4116),(3 1084.3195),(4 1232.5568),(5 1356.2798),(6 1469.7213),(7 1571.6798),(8 1662.2891),(9 1734.3881),(10 1814.8096),(11 1893.0609),(12 1958.1162),(13 2074.6775),(14 2132.5757),(15 2206.9011),(16 2230.788),(17 2253.9727),(18 2272.7368),(19 2301.2366),(20 2335.3152),(21 2355.8472),(22 2360.2546),(23 2370.0442),(24 2387.1238),(25 2398.1584),(26 2417.3643),(27 2435.4827),(28 2426.9556),(29 2423.0642),(30 2443.036),(31 2449.3447),(32 2473.6626),(33 2487.2102),(34 2505.1172),(35 2518.735),(36 2530.483),(37 2532.1367),(38 2549.116),(39 2570.7207),(40 2588.1226),(41 2590.3396),(42 2602.4663),(43 2607.402),(44 2603.5017),(45 2602.0115),(46 2618.5603),(47 2619.6184),(48 2614.6074),(49 2624.2437),(50 2635.056),(51 2656.97),(52 2670.5168),(53 2670.2654),(54 2672.247),(55 2685.862),(56 2701.3762),(57 2710.6045),(58 2750.4546),(59 2763.4836),(60 2782.2495),(61 2781.0217),(62 2784.3962),(63 2810.5188),(64 2815.7087),(65 2818.2395),(66 2817.391),(67 2827.8252),(68 2826.5525),(69 2837.418),(70 2850.6577),(71 2847.0889),(72 2823.3748),(73 2827.3403),(74 2818.2573),(75 2813.4387),(76 2816.8757),(77 2825.8486),(78 2850.2273),(79 2850.299),
(1 523.0793),(2 828.84674),(3 1068.6864),(4 1216.1106),(5 1344.5155),(6 1448.7015),(7 1552.8483),(8 1630.2131),(9 1712.112),(10 1785.9648),(11 1852.2328),(12 1921.4469),(13 2032.2465),(14 2092.5938),(15 2183.9832),(16 2210.3513),(17 2243.733),(18 2283.2297),(19 2321.855),(20 2354.5076),(21 2374.9148),(22 2381.7231),(23 2398.8943),(24 2416.2031),(25 2437.4739),(26 2455.2524),(27 2469.8123),(28 2457.1),(29 2457.7512),(30 2457.2458),(31 2477.6423),(32 2474.294),(33 2485.4888),(34 2492.1162),(35 2503.9666),(36 2522.1855),(37 2533.0315),(38 2535.5461),(39 2551.2427),(40 2545.8196),(41 2556.9788),(42 2545.7083),(43 2518.9055),(44 2502.1768),(45 2485.079),(46 2510.534),(47 2529.9563),(48 2535.5212),(49 2546.0566),(50 2559.9607),(51 2583.8906),(52 2581.5337),(53 2581.9597),(54 2590.431),(55 2605.1543),(56 2607.8525),(57 2594.69),(58 2606.86),(59 2605.269),(60 2603.1423),(61 2602.1262),(62 2608.4753),(63 2614.8267),(64 2631.7407),(65 2649.033),(66 2656.3137),(67 2672.6162),(68 2678.2468),(69 2695.716),(70 2696.0496),(71 2698.94),(72 2701.0725),(73 2697.0251),(74 2702.8816),(75 2719.3176),(76 2747.2563),(77 2774.431),(78 2794.318),(79 2794.9763),
(1 516.75684),(2 820.90955),(3 1060.3765),(4 1209.4579),(5 1331.9902),(6 1436.7117),(7 1538.7316),(8 1616.6062),(9 1698.5123),(10 1760.5308),(11 1819.5775),(12 1874.5194),(13 1982.8518),(14 2038.9452),(15 2113.9158),(16 2131.7493),(17 2161.031),(18 2195.871),(19 2222.7917),(20 2249.3088),(21 2280.2607),(22 2305.5693),(23 2325.623),(24 2336.0034),(25 2341.2495),(26 2358.4644),(27 2379.9575),(28 2365.6592),(29 2375.9028),(30 2355.7693),(31 2389.7407),(32 2404.1318),(33 2434.1646),(34 2452.5723),(35 2461.8025),(36 2459.4583),(37 2464.794),(38 2473.3496),(39 2495.958),(40 2498.0847),(41 2502.1326),(42 2502.1345),(43 2484.4204),(44 2486.2034),(45 2493.562),(46 2512.9473),(47 2527.4211),(48 2536.4883),(49 2556.8157),(50 2575.0454),(51 2603.4956),(52 2605.806),(53 2616.6284),(54 2628.3032),(55 2647.4036),(56 2656.4534),(57 2658.3857),(58 2685.8955),(59 2697.2886),(60 2708.6362),(61 2714.733),(62 2723.2058),(63 2730.5662),(64 2730.606),(65 2732.4734),(66 2740.861),(67 2744.1724),(68 2753.5493),(69 2758.5488),(70 2766.373),(71 2769.9124),(72 2761.429),(73 2760.1008),(74 2762.3516),(75 2776.056),(76 2791.1394),(77 2806.714),(78 2818.8496),(79 2827.1643),
(1 511.5854),(2 812.2572),(3 1044.2363),(4 1189.7515),(5 1326.8569),(6 1430.9839),(7 1519.17),(8 1614.2336),(9 1689.995),(10 1759.8219),(11 1822.034),(12 1872.9341),(13 1957.5559),(14 2015.2548),(15 2076.136),(16 2100.756),(17 2138.4958),(18 2178.0728),(19 2199.264),(20 2218.1719),(21 2237.0771),(22 2251.0757),(23 2266.818),(24 2275.175),(25 2288.39),(26 2306.9473),(27 2321.4058),(28 2334.1702),(29 2355.9412),(30 2355.1782),(31 2361.5142),(32 2379.3933),(33 2396.0117),(34 2411.1746),(35 2418.1382),(36 2422.6296),(37 2432.9697),(38 2440.3032),(39 2466.6682),(40 2479.5933),(41 2503.348),(42 2501.4602),(43 2501.8926),(44 2505.807),(45 2533.7683),(46 2552.4548),(47 2566.6406),(48 2584.499),(49 2594.6252),(50 2607.0767),(51 2627.6),(52 2636.9185),(53 2648.888),(54 2661.933),(55 2687.6563),(56 2698.204),(57 2708.8062),(58 2733.2356),(59 2741.5972),(60 2743.673),(61 2753.051),(62 2768.0403),(63 2804.8564),(64 2813.894),(65 2831.5317),(66 2843.0784),(67 2857.7756),(68 2871.2175),(69 2861.3535),(70 2858.1785),(71 2865.1672),(72 2847.8696),(73 2844.3203),(74 2836.9429),(75 2833.9246),(76 2831.0322),(77 2820.0688),(78 2829.0361),(79 2831.2036),
(1 507.44858),(2 790.951),(3 1025.4907),(4 1169.2726),(5 1292.3635),(6 1387.2938),(7 1481.5522),(8 1565.1715),(9 1643.6122),(10 1714.0665),(11 1773.6709),(12 1831.119),(13 1923.3505),(14 1978.7954),(15 2038.1288),(16 2060.5393),(17 2086.5015),(18 2114.689),(19 2158.1177),(20 2182.2446),(21 2210.375),(22 2226.7087),(23 2230.3298),(24 2253.775),(25 2257.8042),(26 2274.362),(27 2293.5583),(28 2303.9692),(29 2315.5496),(30 2315.4314),(31 2337.0422),(32 2356.6624),(33 2363.4377),(34 2374.2837),(35 2391.0654),(36 2410.6936),(37 2423.1572),(38 2426.3179),(39 2444.7866),(40 2446.8518),(41 2453.4397),(42 2457.136),(43 2461.8796),(44 2462.5237),(45 2473.082),(46 2482.3682),(47 2498.7593),(48 2522.2957),(49 2520.0498),(50 2529.67),(51 2553.0125),(52 2561.5933),(53 2577.1917),(54 2596.1743),(55 2609.5469),(56 2625.4775),(57 2635.2488),(58 2630.1155),(59 2640.1033),(60 2637.2332),(61 2645.482),(62 2651.6582),(63 2681.9377),(64 2683.2673),(65 2703.6946),(66 2709.4019),(67 2724.3733),(68 2723.5483),(69 2714.9966),(70 2712.769),(71 2711.6902),(72 2692.3647),(73 2700.4536),(74 2706.7266),(75 2714.748),(76 2711.3618),(77 2722.248),(78 2734.3462),(79 2731.5156),
(1 515.19995),(2 795.5121),(3 1027.3517),(4 1158.2823),(5 1274.1316),(6 1376.3636),(7 1462.1174),(8 1525.3922),(9 1591.4484),(10 1665.4159),(11 1733.2986),(12 1784.9973),(13 1879.2162),(14 1933.4114),(15 2003.1045),(16 2019.1031),(17 2049.5327),(18 2061.4297),(19 2099.2104),(20 2127.8252),(21 2145.2446),(22 2163.7354),(23 2166.3813),(24 2183.136),(25 2192.0527),(26 2203.7207),(27 2214.6667),(28 2218.719),(29 2226.267),(30 2234.5417),(31 2242.855),(32 2259.9966),(33 2269.832),(34 2282.8315),(35 2297.5488),(36 2310.1643),(37 2335.774),(38 2344.0234),(39 2364.0662),(40 2370.807),(41 2387.2114),(42 2397.5005),(43 2398.0015),(44 2409.2568),(45 2424.0034),(46 2431.311),(47 2444.7969),(48 2459.3625),(49 2460.0725),(50 2456.6538),(51 2477.912),(52 2504.1467),(53 2520.8474),(54 2546.2573),(55 2563.9048),(56 2586.0916),(57 2617.4048),(58 2614.861),(59 2617.458),(60 2615.8237),(61 2613.7507),(62 2626.9646),(63 2659.7253),(64 2649.4724),(65 2660.7148),(66 2666.3506),(67 2676.2703),(68 2683.3145),(69 2689.0425),(70 2683.7598),(71 2670.2493),(72 2664.698),(73 2634.643),(74 2621.9507),(75 2636.2751),(76 2631.8713),(77 2646.784),(78 2657.1365),(79 2658.8064),
