1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 66292.805),(2 84721.9),(3 49769.49),(4 127652.75),(5 155575.83),(6 124768.9),(7 203755.67),(8 246352.5),(9 205140.06),(10 283483.72),(11 311983.22),(12 283493.25),(13 372274.34),(14 382246.13),(15 346697.78),(16 424197.9),(17 452925.6),(18 421610.72),(19 504061.84),(20 528511.7),(21 496923.47),(22 577643),(23 647810.5),(24 598639.2),(25 694920.06),(26 752571.3),(27 727022.94),(28 837315.94),(29 898859.7),(30 863505.8),(31 979123.8),(32 1052100.4),(33 1031276.44),(34 1143472.8),(35 1238548.5),(36 1215229.6),(37 1349159.6),(38 1494794),(39 1470079.5),(40 1604021.1),(41 1719586.9),(42 1708392),(43 1855952),(44 1971279.4),(45 1985034),(46 2142359.5),(47 2289405.3),(48 2313432.3),(49 2479145.8),(50 2640170.3),(51 2685763),(52 2881170),(53 3109619.8),(54 3153779.8),(55 3367962),(56 3553165.8),(57 3631363),(58 3781772.8),(59 3942202.3),(60 4002759.3),(61 4187044),(62 4366251.5),(63 4446550),(64 4633640),(65 4813984.5),(66 4894544),(67 5062742.5),(68 5282247.5),(69 5336976.5),(70 5491710.5),(71 5633272.5),(72 5663090.5),(73 5800301.5),(74 5888817.5),(75 5895992.5),(76 5993356),(77 6108322.5),(78 6098696.5),(79 6238019.5),
(1 1854.356),(2 3531.5862),(3 4316.3813),(4 4654.25),(5 5006.8164),(6 5348.8774),(7 5553.301),(8 5757.0166),(9 5923.198),(10 6108.103),(11 6189.2407),(12 6184.7334),(13 6219.05),(14 6265.172),(15 6363.879),(16 6360.4326),(17 6374.485),(18 6349.7886),(19 6362.7285),(20 6412.027),(21 6453.3433),(22 6470.294),(23 6444.2627),(24 6364.3774),(25 6353.167),(26 6182.082),(27 6116.2095),(28 6161.2236),(29 6276.4297),(30 6367.65),(31 6339.0166),(32 6251.7637),(33 6215.3364),(34 6255.972),(35 6356.6924),(36 6382.38),(37 6422.157),(38 6401.811),(39 6491.2935),(40 6531.4897),(41 6526.371),(42 6482.6084),(43 6469.52),(44 6552.4707),(45 6678.648),(46 6683.996),(47 6707.9946),(48 6811.986),(49 6839.3247),(50 6849.216),(51 6874.3),(52 6957.141),(53 7029.5654),(54 7105.2173),(55 7145.1484),(56 7154.097),(57 7126.342),(58 7018.3574),(59 6868.991),(60 6767.099),(61 6707.4507),(62 6690.6953),(63 6727.801),(64 6792.329),(65 6865.2476),(66 6999.3955),(67 7091.387),(68 7051.972),(69 7124.439),(70 7175.7036),(71 7211.685),(72 7240.3477),(73 7354.203),(74 7373.996),(75 7391.422),(76 7407.2314),(77 7465.706),(78 7538.36),(79 7590.594),
(1 1828.9327),(2 3498.176),(3 4181.9336),(4 4523.1313),(5 4894.9175),(6 5196.071),(7 5386.725),(8 5549.5386),(9 5747.3823),(10 5918.7744),(11 5979.23),(12 5951.3955),(13 5974.1245),(14 5976.1045),(15 6057.5996),(16 6153.376),(17 6174.1294),(18 6170.4194),(19 6219.2876),(20 6280.562),(21 6305.639),(22 6231.7017),(23 6117.548),(24 6162.089),(25 6184.0903),(26 6126.6597),(27 6108.158),(28 6074.7207),(29 6183.1465),(30 6313.0747),(31 6230.723),(32 6212.3174),(33 6198.04),(34 6197.21),(35 6257.9116),(36 6313.146),(37 6314.0215),(38 6293.7163),(39 6327.278),(40 6364.1113),(41 6361.4297),(42 6292.2715),(43 6273.0176),(44 6315.306),(45 6435.442),(46 6504.3657),(47 6537.363),(48 6558.49),(49 6609.9224),(50 6713.032),(51 6766.684),(52 6911.1587),(53 7036.828),(54 7057.282),(55 7089.167),(56 7125.0107),(57 7103.056),(58 7037.2153),(59 6949.23),(60 6923.168),(61 6980.8726),(62 6920.649),(63 6888.0845),(64 6944.9155),(65 6977.1797),(66 6977.734),(67 7029.1035),(68 7029.0186),(69 7101.306),(70 7205.8438),(71 7306.02),(72 7447.316),(73 7498.785),(74 7451.2676),(75 7415.465),(76 7423.29),(77 7424.4263),(78 7424.593),(79 7412.7876),
(1 1813.4352),(2 3461.911),(3 4151.571),(4 4591.664),(5 4998.9214),(6 5286.313),(7 5536.829),(8 5786.936),(9 5959.941),(10 6084.3125),(11 6086.963),(12 6070.786),(13 6069.4126),(14 6072.7163),(15 6182.7446),(16 6216.4395),(17 6184.3276),(18 6170.5107),(19 6218.8813),(20 6218.5225),(21 6238.6665),(22 6224.5894),(23 6166.7627),(24 6179.552),(25 6191.846),(26 6154.0215),(27 6184.282),(28 6179.8374),(29 6324.9204),(30 6382.7847),(31 6375.0625),(32 6413.7915),(33 6380.0225),(34 6329.956),(35 6341.8457),(36 6325.9653),(37 6356.308),(38 6406.2886),(39 6500.004),(40 6479.312),(41 6450.244),(42 6404.686),(43 6416.9834),(44 6425.1987),(45 6441.959),(46 6443.156),(47 6477.142),(48 6525.927),(49 6615.4043),(50 6622.4863),(51 6668.131),(52 6808.5493),(53 6870.4893),(54 6917.084),(55 6982.2295),(56 6998.284),(57 7051.598),(58 7070.706),(59 6995.572),(60 7001.699),(61 6984.663),(62 6993.436),(63 7053.601),(64 7100.514),(65 7087.3574),(66 7084.3423),(67 7107.5923),(68 7113.873),(69 7139.2456),(70 7222.7476),(71 7315.569),(72 7364.526),(73 7303.926),(74 7322.6924),(75 7383.9243),(76 7442.7197),(77 7453.59),(78 7477.3813),(79 7529.311),
(1 1792.1641),(2 3433.7134),(3 4074.0938),(4 4366.0835),(5 4674.8643),(6 5036.745),(7 5223.7715),(8 5385.7554),(9 5525.5024),(10 5684.65),(11 5780.038),(12 5887.5796),(13 5944.8945),(14 5963.7773),(15 6036.482),(16 5994.2324),(17 5929.987),(18 5880.3228),(19 5938.594),(20 5928.7983),(21 5847.004),(22 5772.957),(23 5703.733),(24 5804.155),(25 5899.2046),(26 5901.9487),(27 5891.161),(28 5916.2534),(29 5981.9775),(30 6018.0747),(31 5987.472),(32 5983.6787),(33 5986.7207),(34 5966.278),(35 5961.3145),(36 5910.29),(37 5883.4526),(38 5941.1504),(39 6017.565),(40 6034.212),(41 6008.5234),(42 6041.295),(43 6103.913),(44 6100.5166),(45 6139.6367),(46 6204.05),(47 6215.8984),(48 6232.9146),(49 6330.8433),(50 6408.4478),(51 6395.684),(52 6505.0547),(53 6556.5527),(54 6616.4795),(55 6737.9985),(56 6849.519),(57 6879.0693),(58 6859.9087),(59 6794.515),(60 6820.031),(61 6877.369),(62 6896.3984),(63 6910.0586),(64 6948.7554),(65 7008.019),(66 6948.4707),(67 6846.4023),(68 6783.585),(69 6803.3535),(70 6840.7754),(71 6860.1157),(72 6909.705),(73 6931.0293),(74 6969.018),(75 6997.574),(76 7020.0913),(77 7012.2305),(78 7006.704),(79 6949.8833),
(1 1788.2728),(2 3367.55),(3 3994.0696),(4 4305.1816),(5 4617.016),(6 4866.557),(7 5016.6504),(8 5196.4297),(9 5327.256),(10 5419.223),(11 5517.91),(12 5570.3887),(13 5619.298),(14 5642.124),(15 5764.308),(16 5708.1777),(17 5677.326),(18 5669.423),(19 5735.72),(20 5788.0693),(21 5782.134),(22 5730.6294),(23 5649.436),(24 5650.565),(25 5710.1587),(26 5688.2456),(27 5732.931),(28 5890.9443),(29 5935.6465),(30 5911.258),(31 5867.943),(32 5851.754),(33 5806.4727),(34 5800.8784),(35 5872.3125),(36 5859.8306),(37 5846.5933),(38 5908.4204),(39 6019.9795),(40 6013.0015),(41 5971.121),(42 6037.705),(43 6167.6396),(44 6196.8696),(45 6207.189),(46 6295.6055),(47 6316.33),(48 6331.3022),(49 6362.549),(50 6451.0303),(51 6555.465),(52 6587.6187),(53 6595.2173),(54 6602.209),(55 6671.525),(56 6705.203),(57 6654.768),(58 6637.6216),(59 6605.0522),(60 6616.078),(61 6682.8677),(62 6736.191),(63 6773.112),(64 6768.6465),(65 6817.1206),(66 6872.0796),(67 6787.7407),(68 6744.6943),(69 6691.8057),(70 6724.24),(71 6796.5933),(72 6846.1924),(73 6854.5913),(74 6920.4067),(75 7020.357),(76 6942.234),(77 6940.847),(78 6922.891),(79 6883.102),
(1 1760.5779),(2 3340.259),(3 3916.6467),(4 4185.2017),(5 4498.6167),(6 4790.207),(7 4875.0166),(8 4967.046),(9 5073.2603),(10 5207.066),(11 5332.515),(12 5358.68),(13 5354.5586),(14 5447.3486),(15 5575.1333),(16 5549.642),(17 5528.1895),(18 5514.6323),(19 5568.3906),(20 5616.5107),(21 5684.052),(22 5672.833),(23 5551.7876),(24 5608.9165),(25 5668.6123),(26 5664.971),(27 5719.389),(28 5795.56),(29 5828.961),(30 5837.499),(31 5834.2334),(32 5795.825),(33 5735.751),(34 5714.721),(35 5713.966),(36 5694.136),(37 5701.7183),(38 5815.4585),(39 5935.8677),(40 5946.942),(41 6008.2793),(42 6090.293),(43 6192.3867),(44 6268.278),(45 6335.9155),(46 6360.649),(47 6309.8345),(48 6230.083),(49 6313.3257),(50 6343.113),(51 6322.3086),(52 6353.2837),(53 6442.1807),(54 6527.1816),(55 6551.415),(56 6506.6475),(57 6465.1055),(58 6418.2773),(59 6366.34),(60 6316.0654),(61 6330.454),(62 6242.2837),(63 6261.902),(64 6271.782),(65 6298.1143),(66 6371.614),(67 6351.981),(68 6310.0435),(69 6351.756),(70 6460.8237),(71 6532.433),(72 6530.4307),(73 6533.497),(74 6620.59),(75 6625.104),(76 6597.533),(77 6638.4346),(78 6706.7246),(79 6776.2764),
(1 1812.0802),(2 3389.7854),(3 3966.6414),(4 4184.3296),(5 4562.6597),(6 4873.171),(7 4981.2227),(8 5052.703),(9 5182.451),(10 5333.996),(11 5450.555),(12 5478.5483),(13 5448.095),(14 5476.0967),(15 5582.985),(16 5589.7305),(17 5620.1),(18 5629.9785),(19 5698.584),(20 5799.387),(21 5863.3584),(22 5836.958),(23 5786.9395),(24 5781.409),(25 5810.3003),(26 5711.6685),(27 5758.101),(28 5774.624),(29 5793.1226),(30 5750.6157),(31 5734.422),(32 5718.8384),(33 5615.4277),(34 5599.0723),(35 5648.249),(36 5632.172),(37 5684.168),(38 5882.8013),(39 6035.977),(40 6064.8623),(41 6086.7847),(42 6085.526),(43 6126.616),(44 6169.95),(45 6261.501),(46 6261.7026),(47 6223.345),(48 6167.978),(49 6156.8696),(50 6198.328),(51 6237.137),(52 6238.1836),(53 6234.04),(54 6218.766),(55 6270.992),(56 6219.687),(57 6251.174),(58 6223.497),(59 6221.1064),(60 6184.4556),(61 6190.5815),(62 6180.215),(63 6254.044),(64 6255.482),(65 6233.2397),(66 6308.2813),(67 6368.5747),(68 6365.283),(69 6415.9824),(70 6483.018),(71 6489.735),(72 6445.4575),(73 6496.216),(74 6605.809),(75 6586.4443),(76 6517.158),(77 6596.217),(78 6692.5273),(79 6714.0366),
(1 1718.969),(2 3209.36),(3 3839.608),(4 4132.383),(5 4393.3657),(6 4639.4634),(7 4771.1465),(8 4851.8345),(9 5003.3833),(10 5177.4443),(11 5341.2065),(12 5392.275),(13 5367.9854),(14 5412.273),(15 5455.3335),(16 5531.6255),(17 5528.3877),(18 5528.826),(19 5588.011),(20 5670.4966),(21 5759.0205),(22 5741.0645),(23 5644.463),(24 5698.99),(25 5647.0806),(26 5557.3213),(27 5614.011),(28 5629.709),(29 5607.272),(30 5610.9824),(31 5558.461),(32 5482.1816),(33 5463.862),(34 5483.592),(35 5580.996),(36 5615.0166),(37 5710.7773),(38 5773.5137),(39 5898.5137),(40 5921.161),(41 5944.265),(42 5981.0176),(43 5982.0166),(44 6027.5366),(45 6016.1274),(46 6014.1895),(47 5952.2646),(48 5922.195),(49 5876.9194),(50 5994.4067),(51 6091.182),(52 6103.4346),(53 6083.199),(54 6059.803),(55 6096.817),(56 6100.66),(57 6017.0396),(58 6008.5957),(59 6067.0073),(60 6078.6616),(61 6105.887),(62 6083.826),(63 6079.085),(64 6098.6646),(65 6099.224),(66 6144.3125),(67 6210.7813),(68 6233.434),(69 6348.239),(70 6421.589),(71 6383.0146),(72 6367.3896),(73 6450.7764),(74 6521.507),(75 6588.269),(76 6623.5093),(77 6706.4375),(78 6786.403),(79 6779.1475),
(1 1694.9343),(2 3206.813),(3 3826.8777),(4 4043.865),(5 4378.956),(6 4626.342),(7 4695.972),(8 4800.7095),(9 4926.1963),(10 5073.158),(11 5216.2524),(12 5257.224),(13 5211.9443),(14 5246.794),(15 5287.452),(16 5310.3667),(17 5248.5195),(18 5241.244),(19 5276.6597),(20 5363.255),(21 5441.0396),(22 5457.979),(23 5421.9463),(24 5436.5513),(25 5408.3613),(26 5341.9546),(27 5427.59),(28 5492.4546),(29 5516.6543),(30 5476.2124),(31 5383.5615),(32 5325.9287),(33 5288.07),(34 5252.6724),(35 5320.535),(36 5349.9873),(37 5399.244),(38 5533.1235),(39 5639.0737),(40 5633.7515),(41 5631.727),(42 5769.573),(43 5873.8794),(44 5919.8237),(45 5893.2773),(46 5884.6772),(47 5878.958),(48 5846.497),(49 5885.842),(50 6020.5796),(51 6116.1865),(52 6178.3066),(53 6237.7715),(54 6229.2124),(55 6233.6133),(56 6192.5015),(57 6115.329),(58 6170.7163),(59 6227.3315),(60 6161.9053),(61 6155.7397),(62 6104.9736),(63 6055.1),(64 6098.0635),(65 6076.265),(66 6061.098),(67 6079.108),(68 6118.1196),(69 6196.315),(70 6173.2715),(71 6180.817),(72 6290.094),(73 6382.6177),(74 6468.6265),(75 6546.1167),(76 6555.3457),(77 6620.0825),(78 6667.769),(79 6622.3833),
(1 1672.1268),(2 3132.6428),(3 3688.409),(4 3871.641),(5 4156.966),(6 4411.536),(7 4545.425),(8 4648.656),(9 4747.2686),(10 4861.326),(11 5015.9097),(12 5039.904),(13 5026.208),(14 5065.078),(15 5144.4478),(16 5070.8223),(17 5012.0186),(18 5019.5845),(19 5059.44),(20 5085.4585),(21 5101.8667),(22 5125.167),(23 5182.3994),(24 5309.219),(25 5342.5815),(26 5272.9146),(27 5316.6484),(28 5357.3755),(29 5356.529),(30 5304.145),(31 5207.9204),(32 5173.2993),(33 5176.622),(34 5169.156),(35 5231.246),(36 5306.747),(37 5358.8364),(38 5435.716),(39 5600.7173),(40 5665.9175),(41 5653.59),(42 5688.762),(43 5795.568),(44 5883.2017),(45 5907.078),(46 5906.2144),(47 5986.5625),(48 6037.0186),(49 6049.2476),(50 6011.041),(51 6093.9434),(52 6126.4097),(53 6199.147),(54 6268.335),(55 6359.678),(56 6335.541),(57 6280.449),(58 6289.7856),(59 6320.6665),(60 6285.7134),(61 6280.1904),(62 6251.753),(63 6246.874),(64 6267.7373),(65 6169.384),(66 6093.2417),(67 6064.3076),(68 6020.2256),(69 6081.007),(70 6140.5737),(71 6182.9756),(72 6303.795),(73 6435.6343),(74 6477.507),(75 6472.2544),(76 6448.4873),(77 6518.0693),(78 6534.7036),(79 6488.9277),
(1 1631.6182),(2 3020.368),(3 3525.6885),(4 3727.287),(5 4038.7627),(6 4261.337),(7 4346.4116),(8 4483.6846),(9 4625.564),(10 4784.9487),(11 4871.5723),(12 4887.396),(13 4930.669),(14 4962.2583),(15 5028.0547),(16 5043.284),(17 5025.0347),(18 5042.614),(19 5033.4526),(20 5052.489),(21 5084.826),(22 5133.6816),(23 5197.8105),(24 5323.7734),(25 5345.405),(26 5367.7183),(27 5394.567),(28 5339.0244),(29 5359.541),(30 5319.5254),(31 5269.576),(32 5278.15),(33 5267.6836),(34 5260.471),(35 5303.701),(36 5321.3486),(37 5386.2256),(38 5418.0674),(39 5468.661),(40 5473.0205),(41 5488.2183),(42 5523.754),(43 5537.127),(44 5590.5522),(45 5580.6235),(46 5598.7915),(47 5627.4067),(48 5642.957),(49 5634.0767),(50 5664.35),(51 5651.5166),(52 5620.0967),(53 5624.7773),(54 5610.0225),(55 5654.2705),(56 5636.3647),(57 5660.5474),(58 5773.874),(59 5809.2144),(60 5785.477),(61 5781.8403),(62 5850.903),(63 5922.9604),(64 5974.8237),(65 5980.317),(66 5960.8164),(67 5942.391),(68 5972.1914),(69 6000.251),(70 5979.801),(71 5948.447),(72 6053.1016),(73 6143.384),(74 6174.677),(75 6179.8496),(76 6278.8486),(77 6253.9287),(78 6205.1055),(79 6213.773),
(1 1653.9346),(2 3017.7505),(3 3503.0579),(4 3744.2197),(5 3998.3743),(6 4235.2695),(7 4314.644),(8 4435.282),(9 4617.759),(10 4768.4883),(11 4792.268),(12 4794.854),(13 4838.2334),(14 4919.327),(15 5052.7974),(16 5028.558),(17 5020.129),(18 4935.611),(19 4909.1045),(20 4864.8384),(21 4875.5674),(22 4903.4707),(23 5033.523),(24 5134.4854),(25 5094.446),(26 5033.3237),(27 5070.781),(28 5107.6675),(29 5125.597),(30 5099.257),(31 5098.606),(32 5126.121),(33 5156.6123),(34 5142.8423),(35 5183.1265),(36 5136.9663),(37 5200.996),(38 5193.2295),(39 5198.824),(40 5204.504),(41 5203.632),(42 5224.7524),(43 5293.1904),(44 5387.9795),(45 5375.804),(46 5332.0796),(47 5324.21),(48 5358.5884),(49 5355.6504),(50 5399.7705),(51 5467.539),(52 5473.5415),(53 5427.3086),(54 5379.347),(55 5404.1387),(56 5476.5273),(57 5533.9985),(58 5621.317),(59 5630.899),(60 5634.428),(61 5727.5566),(62 5791.1895),(63 5857.7095),(64 5852.2603),(65 5866.397),(66 5943.3853),(67 6017.7437),(68 6078.7705),(69 6127.79),(70 6070.5376),(71 6022.192),(72 6035.963),(73 6095.0386),(74 6151.91),(75 6172.132),(76 6252.725),(77 6284.2705),(78 6320.3975),(79 6362.968),
(1 1657.0305),(2 3071.0916),(3 3638.457),(4 3902.525),(5 4098.6597),(6 4285.797),(7 4400.0894),(8 4492.5845),(9 4638.9727),(10 4856.356),(11 4970.989),(12 4923.0283),(13 4942.6763),(14 4988.638),(15 5029.4053),(16 4963.639),(17 4930.8315),(18 4965.207),(19 4918.3706),(20 4851.2935),(21 4828.126),(22 4871.4385),(23 4957.2246),(24 4960.8677),(25 4845.8203),(26 4772.398),(27 4786.586),(28 4884.008),(29 4963.782),(30 4988.0137),(31 5010.5454),(32 4945.058),(33 4907.772),(34 4958.351),(35 5023.441),(36 5045.5796),(37 5097.468),(38 5114.0747),(39 5145.685),(40 5183.47),(41 5175.661),(42 5209.322),(43 5293.3164),(44 5328.654),(45 5377.9),(46 5428.688),(47 5323.59),(48 5297.0923),(49 5279.518),(50 5259.401),(51 5252.879),(52 5272.2456),(53 5274.813),(54 5296.283),(55 5384.3345),(56 5432.535),(57 5514.5503),(58 5599.154),(59 5676.976),(60 5733.112),(61 5751.106),(62 5782.2153),(63 5811.5405),(64 5813.3315),(65 5875.7754),(66 5885.5103),(67 5907.012),(68 5925.92),(69 5958.975),(70 5993.6177),(71 5991.0337),(72 5985.3833),(73 5951.7407),(74 5961.5728),(75 6000.099),(76 6058.3594),(77 6075.1343),(78 6106.073),(79 6144.7446),
(1 1624.0276),(2 2987.496),(3 3495.9658),(4 3746.8018),(5 4018.9707),(6 4266.3237),(7 4399.2983),(8 4468.2437),(9 4583.5127),(10 4679.068),(11 4706.2393),(12 4683.6807),(13 4736.007),(14 4838.748),(15 4859.2803),(16 4852.7935),(17 4852.1543),(18 4848.3193),(19 4842.495),(20 4788.444),(21 4754.7036),(22 4823.206),(23 4912.9897),(24 4920.048),(25 4896.921),(26 4977.0474),(27 5063.1353),(28 5036.206),(29 4981.0356),(30 4967.5674),(31 4965.049),(32 4923.5293),(33 4890.631),(34 4901.17),(35 4911.3853),(36 4941.762),(37 5013.6563),(38 5082.728),(39 5121.0825),(40 5173.491),(41 5192.8984),(42 5233.5503),(43 5307.1685),(44 5349.162),(45 5382.312),(46 5390.623),(47 5308.0137),(48 5270.561),(49 5272.8022),(50 5259.1426),(51 5221.0767),(52 5218.0884),(53 5290.5386),(54 5369.807),(55 5450.2974),(56 5463.994),(57 5522.4014),(58 5610.535),(59 5677.4478),(60 5722.0596),(61 5720.735),(62 5768.7705),(63 5692.395),(64 5678.4185),(65 5712.905),(66 5683.041),(67 5705.9336),(68 5792.858),(69 5858.1123),(70 5868.0186),(71 5917.1895),(72 5947.1855),(73 5925.4185),(74 5904.2437),(75 5938.153),(76 5944.7803),(77 5999.5557),(78 6039.8174),(79 6046.6333),
(1 1545.6133),(2 2804.0916),(3 3292.7654),(4 3569.9712),(5 3855.1611),(6 4104.1587),(7 4224.4023),(8 4347.454),(9 4483.16),(10 4547.8755),(11 4565.3467),(12 4559.9263),(13 4618.9),(14 4641.11),(15 4640.7173),(16 4626.9155),(17 4643.7407),(18 4637.552),(19 4634.0527),(20 4646.864),(21 4649.539),(22 4667.8193),(23 4747.0884),(24 4797.417),(25 4801.595),(26 4803.3286),(27 4893.6025),(28 4880.417),(29 4860.81),(30 4802.392),(31 4825.3057),(32 4812.8887),(33 4821.0967),(34 4851.8716),(35 4858.5317),(36 4843.771),(37 4910.631),(38 4988.458),(39 5015.2544),(40 4996.679),(41 4971.8833),(42 5045.2603),(43 5087.87),(44 5089.8877),(45 5135.9707),(46 5197.697),(47 5255.894),(48 5318.2905),(49 5339.8906),(50 5270.259),(51 5267.559),(52 5329.3755),(53 5383.9224),(54 5457.851),(55 5500.5913),(56 5538.122),(57 5578.8057),(58 5635.565),(59 5660.4033),(60 5647.8535),(61 5699.811),(62 5740.0303),(63 5723.2905),(64 5677.0376),(65 5690.297),(66 5715.091),(67 5727.899),(68 5758.017),(69 5853.2134),(70 5880.399),(71 5934.659),(72 5909.8096),(73 5893.7656),(74 5843.5684),(75 5836.468),(76 5850.7993),(77 5877.7754),(78 5869.8374),(79 5834.1216),
(1 1550.4725),(2 2821.1013),(3 3333.2112),(4 3625.9434),(5 3898.0037),(6 4085.0476),(7 4187.9136),(8 4287.9136),(9 4378.7666),(10 4471.046),(11 4510.0674),(12 4502.023),(13 4515.511),(14 4577.6313),(15 4628.403),(16 4658.3115),(17 4669.928),(18 4707.5005),(19 4741.726),(20 4736.4775),(21 4669.8364),(22 4553.205),(23 4607.8843),(24 4599.3306),(25 4520.1006),(26 4531.958),(27 4624.019),(28 4637.1807),(29 4600.15),(30 4609.152),(31 4734.627),(32 4740.2886),(33 4765.19),(34 4838.974),(35 4942.0894),(36 4926.7173),(37 4934.183),(38 4950.0063),(39 5027.785),(40 5060.185),(41 5076.4927),(42 5124.7144),(43 5148.6963),(44 5194.174),(45 5228.6465),(46 5251.896),(47 5243.4546),(48 5315.479),(49 5276.994),(50 5280.433),(51 5268.9385),(52 5292.1343),(53 5290.6743),(54 5355.942),(55 5444.5845),(56 5531.0483),(57 5620.5254),(58 5683.582),(59 5744.0605),(60 5728.2534),(61 5748.494),(62 5737.5356),(63 5732.701),(64 5688.137),(65 5689.28),(66 5698.731),(67 5783.3384),(68 5845.4883),(69 5856.8076),(70 5866.389),(71 5889.955),(72 5971.6475),(73 6041.4634),(74 6059.801),(75 6030.4834),(76 6006.258),(77 5929.454),(78 5855.5938),(79 5822.643),
