1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 80120.06),(2 216411.8),(3 407789.34),(4 701719.7),(5 985827.8),(6 1287097.6),(7 1648004),(8 1994989),(9 2330686.5),(10 2710764.8),(11 3060194.8),(12 3384686.8),(13 3726406.3),(14 4049348.8),(15 4348848),(16 4681786.5),(17 5017947.5),(18 5311162),(19 5681136.5),(20 6096229.5),(21 6520672),(22 7045890.5),(23 7600447.5),(24 8136474),(25 8756471),(26 9427535),(27 10135456),(28 11002026),(29 11832800),(30 12629225),(31 13489179),(32 14402467),(33 15250984),(34 16210903),(35 17147934),(36 18048524),(37 19011562),(38 20028058),(39 20950142),(40 21856258),(41 22783054),(42 23608494),(43 24395552),(44 25322922),(45 26202378),(46 27085514),(47 28008694),(48 28843970),(49 29712954),(50 30743736),(51 31686352),(52 32726040),(53 34060080),(54 35329092),(55 36885760),(56 38683080),(57 40417412),(58 42374236),(59 44374390),(60 46251132),(61 48325540),(62 50453120),(63 52368400),(64 54520588),(65 56727004),(66 58775332),(67 60861492),(68 62826804),(69 64252492),(70 65734484),(71 67286840),(72 68697704),(73 70319800),(74 71872616),(75 73099290),(76 74409390),(77 75625610),(78 76544050),(79 77440024),
(1 1226.3198),(2 1562.0979),(3 1731.6805),(4 1860.1545),(5 1957.301),(6 2009.157),(7 2104.9775),(8 2191.5842),(9 2202.468),(10 2260.4246),(11 2266.992),(12 2284.892),(13 2313.0908),(14 2322.3916),(15 2339.302),(16 2419.6597),(17 2430.702),(18 2460.017),(19 2455.3215),(20 2451.2073),(21 2476.8157),(22 2503.292),(23 2494.29),(24 2470.5435),(25 2473.387),(26 2450.8357),(27 2447.7305),(28 2469.5544),(29 2452.7063),(30 2449.6682),(31 2485.129),(32 2472.0896),(33 2510.6724),(34 2540.4407),(35 2552.7732),(36 2572.882),(37 2588.3936),(38 2659.705),(39 2645.1597),(40 2677.2114),(41 2748.752),(42 2793.567),(43 2843.4382),(44 2831.7278),(45 2824.4827),(46 2853.7344),(47 2887.176),(48 2923.6038),(49 2913.1567),(50 2929.8662),(51 2943.393),(52 2938.19),(53 2954.2432),(54 2944.4653),(55 2973.2344),(56 3014.6262),(57 3046.1475),(58 3064.4468),(59 3066.232),(60 3047.3743),(61 3055.8015),(62 3063.388),(63 3081.787),(64 3091.0947),(65 3098.44),(66 3105.404),(67 3113.9895),(68 3126.5215),(69 3131.8992),(70 3172.0234),(71 3161.673),(72 3112.8245),(73 3079.7256),(74 3082.6035),(75 3110.727),(76 3103.671),(77 3089.6194),(78 3085.3394),(79 3102.3857),
(1 1202.7434),(2 1525.4124),(3 1711.883),(4 1835.6661),(5 1940.825),(6 1961.1326),(7 2019.9661),(8 2114.4382),(9 2167.2366),(10 2189.0278),(11 2191.256),(12 2218.9993),(13 2214.691),(14 2249.8135),(15 2294.4639),(16 2293.7476),(17 2322.664),(18 2334.2175),(19 2345.2751),(20 2312.0098),(21 2358.3892),(22 2371.978),(23 2377.587),(24 2338.4912),(25 2356.7239),(26 2344.2957),(27 2324.6614),(28 2357.295),(29 2333.769),(30 2364.2048),(31 2415.311),(32 2416.2288),(33 2461.5215),(34 2445.2898),(35 2478.8894),(36 2493.9177),(37 2564.6052),(38 2613.6658),(39 2644.4346),(40 2663.3354),(41 2678.7217),(42 2728.1023),(43 2751.6775),(44 2775.7776),(45 2790.4604),(46 2805.409),(47 2827.76),(48 2853.1323),(49 2873.8477),(50 2875.5317),(51 2864.3418),(52 2874.7065),(53 2864.351),(54 2841.781),(55 2860.1292),(56 2850.057),(57 2863.5637),(58 2871.4844),(59 2889.6567),(60 2854.9792),(61 2844.7249),(62 2862.788),(63 2854.8376),(64 2858.3784),(65 2857.6238),(66 2847.695),(67 2884.9646),(68 2890.773),(69 2878.2756),(70 2905.8586),(71 2907.3323),(72 2873.7664),(73 2893.4946),(74 2878.7007),(75 2925.451),(76 2916.5771),(77 2906.0496),(78 2905.6797),(79 2884.294),
(1 1158.8064),(2 1466.4406),(3 1598.3239),(4 1765.7382),(5 1860.527),(6 1926.0682),(7 1958.9358),(8 2057.8303),(9 2104.795),(10 2149.904),(11 2192.672),(12 2192.1367),(13 2183.4663),(14 2223.013),(15 2239.0662),(16 2253.8157),(17 2282.8784),(18 2314.8445),(19 2309.6162),(20 2293.4626),(21 2309.9797),(22 2322.569),(23 2313.7563),(24 2282.3467),(25 2310.4377),(26 2315.7036),(27 2315.0916),(28 2320.8945),(29 2335.8557),(30 2373.5186),(31 2387.9385),(32 2390.0664),(33 2397.582),(34 2456.208),(35 2478.8225),(36 2512.8716),(37 2557.5679),(38 2605.306),(39 2652.489),(40 2619.7732),(41 2675.8147),(42 2710.948),(43 2704.3945),(44 2738.9312),(45 2774.1628),(46 2777.2773),(47 2797.2217),(48 2798.5059),(49 2813.8516),(50 2850.8933),(51 2825.3118),(52 2854.653),(53 2885.6848),(54 2885.1934),(55 2886.5854),(56 2901.0947),(57 2902.2014),(58 2898.507),(59 2890.009),(60 2917.6084),(61 2927.604),(62 2940.959),(63 2943.7703),(64 2895.4138),(65 2900.3457),(66 2913.5205),(67 2908.7036),(68 2925.4712),(69 2907.6914),(70 2890.0166),(71 2873.1304),(72 2864.4678),(73 2844.558),(74 2820.808),(75 2831.4766),(76 2820.0122),(77 2816.6414),(78 2854.4773),(79 2813.507),
(1 1146.7333),(2 1461.2716),(3 1603.5975),(4 1747.5468),(5 1834.6244),(6 1890.4025),(7 1956.2544),(8 2043.3673),(9 2070.1384),(10 2126.3484),(11 2116.0156),(12 2122.7898),(13 2152.8325),(14 2160.181),(15 2154.333),(16 2169.7275),(17 2192.86),(18 2211.9272),(19 2218.052),(20 2188.0652),(21 2194.047),(22 2190.7283),(23 2191.4697),(24 2179.9119),(25 2196.423),(26 2218.9998),(27 2217.3196),(28 2255.8027),(29 2248.3928),(30 2246.5671),(31 2261.1543),(32 2232.6016),(33 2257.2092),(34 2281.563),(35 2296.9175),(36 2314.6802),(37 2367.778),(38 2429.339),(39 2411.9932),(40 2443.2546),(41 2482.7188),(42 2515.8723),(43 2551.2432),(44 2554.2976),(45 2615.1296),(46 2605.6816),(47 2610.8245),(48 2624.9666),(49 2641.3352),(50 2641.1138),(51 2670.0352),(52 2694.2195),(53 2717.6348),(54 2681.106),(55 2710.2837),(56 2716.4355),(57 2747.1003),(58 2733.9563),(59 2713.8738),(60 2707.0203),(61 2721.1714),(62 2710.2158),(63 2725.58),(64 2749.6204),(65 2721.909),(66 2732.8481),(67 2708.145),(68 2744.4763),(69 2751.5635),(70 2751.449),(71 2729.1167),(72 2718.5894),(73 2734.8127),(74 2695.2512),(75 2709.5461),(76 2721.9658),(77 2751.5735),(78 2752.288),(79 2769.5046),
(1 1158.187),(2 1473.4296),(3 1623.6635),(4 1755.8326),(5 1852.5903),(6 1873.2557),(7 1953.3083),(8 2010.0376),(9 2062.3074),(10 2111.455),(11 2125.5413),(12 2122.901),(13 2095.6914),(14 2147.169),(15 2150.7512),(16 2174.0208),(17 2195.8623),(18 2171.0334),(19 2182.4978),(20 2212.5908),(21 2209.2092),(22 2216.9336),(23 2240.9824),(24 2236.1108),(25 2235.6191),(26 2250.4504),(27 2263.9944),(28 2262.0176),(29 2253.0366),(30 2249.284),(31 2282.0356),(32 2253.2607),(33 2258.5356),(34 2299.8813),(35 2310.587),(36 2303.1792),(37 2342.2922),(38 2396.0225),(39 2433.1184),(40 2447.787),(41 2485.6091),(42 2508.877),(43 2541.4636),(44 2569.6514),(45 2569.5508),(46 2572.5789),(47 2601.5178),(48 2593.0518),(49 2616.0754),(50 2656.808),(51 2659.1824),(52 2632.1787),(53 2642.9534),(54 2667.7373),(55 2731.406),(56 2702.8018),(57 2700.6174),(58 2701.1206),(59 2697.1667),(60 2672.157),(61 2693.642),(62 2676.552),(63 2664.5042),(64 2681.0288),(65 2704.0872),(66 2686.173),(67 2685.5999),(68 2691.4033),(69 2693.776),(70 2676.2698),(71 2672.4565),(72 2696.862),(73 2702.725),(74 2675.2852),(75 2666.904),(76 2655.1914),(77 2649.1572),(78 2640.6848),(79 2639.191),
(1 1085.775),(2 1381.6394),(3 1527.5978),(4 1641.0768),(5 1715.6448),(6 1762.6725),(7 1807.5525),(8 1875.2183),(9 1922.9614),(10 1948.7876),(11 1944.7987),(12 1955.5184),(13 1971.287),(14 1989.1669),(15 2004.0112),(16 2018.2634),(17 2054.1365),(18 2061.277),(19 2073.278),(20 2077.6064),(21 2072.7822),(22 2078.208),(23 2154.6672),(24 2114.8936),(25 2108.4822),(26 2097.3108),(27 2091.769),(28 2100.5435),(29 2122.3477),(30 2131.323),(31 2141.0986),(32 2143.4338),(33 2148.4832),(34 2194.82),(35 2229.8906),(36 2261.7349),(37 2291.6736),(38 2308.7668),(39 2297.4438),(40 2282.8567),(41 2311.2695),(42 2351.4495),(43 2357.8428),(44 2364.596),(45 2370.8206),(46 2384.1563),(47 2401.8884),(48 2421.3147),(49 2443.5466),(50 2440.8794),(51 2455.0474),(52 2450.9312),(53 2453.175),(54 2450.0955),(55 2468.3699),(56 2503.3708),(57 2502.5696),(58 2503.9219),(59 2517.6099),(60 2503.689),(61 2509.6982),(62 2540.8623),(63 2548.2195),(64 2567.5574),(65 2553.8625),(66 2545.898),(67 2575.6765),(68 2583.4133),(69 2585.7441),(70 2579.8435),(71 2593.2002),(72 2578.215),(73 2572.6387),(74 2545.4084),(75 2560.573),(76 2507.2012),(77 2505.5378),(78 2519.226),(79 2510.131),
(1 1080.3478),(2 1376.8096),(3 1520.5148),(4 1630.0638),(5 1714.8799),(6 1752.0924),(7 1788.0547),(8 1890.9326),(9 1928.9114),(10 1938.24),(11 1965.3468),(12 1967.8855),(13 1969.0192),(14 1990.7913),(15 2017.1671),(16 2032.5573),(17 2076.7095),(18 2071.1882),(19 2045.8162),(20 2011.5626),(21 2019.0881),(22 2032.5122),(23 2064.826),(24 2072.5679),(25 2066.6726),(26 2075.5706),(27 2069.8447),(28 2078.619),(29 2088.1384),(30 2056.1592),(31 2094.571),(32 2074.9026),(33 2093.0256),(34 2135.6375),(35 2159.1033),(36 2184.297),(37 2222.3071),(38 2262.621),(39 2287.2866),(40 2338.835),(41 2340.4524),(42 2330.7585),(43 2386.3801),(44 2392.2725),(45 2382.7327),(46 2390.0708),(47 2403.923),(48 2407.9478),(49 2430.5403),(50 2405.7437),(51 2431.3208),(52 2425.5286),(53 2434.0073),(54 2388.5137),(55 2392.3616),(56 2430.0168),(57 2441.2546),(58 2454.5208),(59 2472.1448),(60 2479.8276),(61 2481.938),(62 2486.8694),(63 2510.1143),(64 2498.5432),(65 2473.8916),(66 2495.0532),(67 2498.7593),(68 2511.7585),(69 2500.888),(70 2503.8313),(71 2500.962),(72 2513.1572),(73 2515.3594),(74 2520.6487),(75 2517.1917),(76 2500.0112),(77 2526.709),(78 2539.0781),(79 2556.0015),
(1 1066.3915),(2 1371.4863),(3 1498.6661),(4 1608.49),(5 1662.0498),(6 1731.2534),(7 1781.124),(8 1870.3136),(9 1912.9156),(10 1946.2667),(11 1960.5975),(12 1964.0275),(13 1979.3359),(14 1962.6793),(15 1978.8876),(16 2007.9028),(17 2028.5225),(18 2031.4528),(19 2025.413),(20 2034.4796),(21 2011.8362),(22 2001.0823),(23 2018.7021),(24 2001.6376),(25 2023.2686),(26 2022.6108),(27 2017.493),(28 2016.4353),(29 2007.1984),(30 2000.1631),(31 2019.5703),(32 1989.0477),(33 1991.9805),(34 2029.0852),(35 2052.494),(36 2093.3413),(37 2109.6682),(38 2160.168),(39 2187.8298),(40 2218.2886),(41 2251.0093),(42 2239.715),(43 2260.2087),(44 2286.8694),(45 2319.981),(46 2343.949),(47 2376.4436),(48 2396.7224),(49 2389.7776),(50 2419.239),(51 2426.9883),(52 2420.1719),(53 2446.265),(54 2434.1367),(55 2468.7563),(56 2466.2122),(57 2464.7224),(58 2491.6558),(59 2465.0574),(60 2472.4707),(61 2491.7295),(62 2488.5872),(63 2492.9978),(64 2493.9722),(65 2492.8203),(66 2472.4658),(67 2481.301),(68 2459.7664),(69 2444.1624),(70 2459.35),(71 2431.6367),(72 2446.9006),(73 2453.352),(74 2428.5925),(75 2401.818),(76 2403.5842),(77 2421.3628),(78 2415.837),(79 2412.0234),
(1 1050.5581),(2 1347.8738),(3 1488.5591),(4 1589.2542),(5 1648.9722),(6 1717.2426),(7 1776.0951),(8 1838.101),(9 1890.3055),(10 1941.9677),(11 1948.0313),(12 1968.0607),(13 1972.8864),(14 1968.3467),(15 2001.2692),(16 2027.4073),(17 2034.1573),(18 2036.37),(19 2064.9104),(20 2055.0369),(21 2039.4166),(22 2031.4302),(23 2054.0764),(24 2045.3712),(25 2042.8901),(26 2068.5254),(27 2066.7368),(28 2081.4219),(29 2092.308),(30 2099.551),(31 2096.9526),(32 2088.8892),(33 2099.1746),(34 2137.8047),(35 2164.8865),(36 2160.3477),(37 2151.705),(38 2203.128),(39 2224.8555),(40 2210.5266),(41 2266.6428),(42 2277.959),(43 2293.5164),(44 2309.239),(45 2399.9065),(46 2447.0327),(47 2450.7163),(48 2456.5535),(49 2470.7249),(50 2467.3667),(51 2476.782),(52 2465.0454),(53 2480.713),(54 2495.2053),(55 2526.7112),(56 2523.4736),(57 2528.5776),(58 2584.8152),(59 2611.8296),(60 2640.5166),(61 2672.3896),(62 2683.994),(63 2714.695),(64 2720.3022),(65 2711.4297),(66 2670.0315),(67 2660.5044),(68 2628.255),(69 2616.811),(70 2644.4092),(71 2633.3406),(72 2661.7356),(73 2635.2556),(74 2630.8298),(75 2603.9941),(76 2541.8735),(77 2570.165),(78 2588.394),(79 2578.1992),
(1 1039.9686),(2 1317.8185),(3 1434.1481),(4 1525.488),(5 1601.8406),(6 1664.9451),(7 1727.1426),(8 1790.8704),(9 1818.3787),(10 1843.7012),(11 1867.9149),(12 1862.9761),(13 1900.7655),(14 1871.0205),(15 1903.4502),(16 1938.3652),(17 1948.6002),(18 1943.9857),(19 1941.0969),(20 1955.9805),(21 1922.3828),(22 1929.9264),(23 1964.5786),(24 1951.5187),(25 1969.4791),(26 1991.1481),(27 1990.9154),(28 1978.2632),(29 1962.6395),(30 1954.5768),(31 1957.4841),(32 1997.0206),(33 2027.875),(34 2066.6707),(35 2060.4397),(36 2043.7633),(37 2046.2986),(38 2123.7126),(39 2135.2266),(40 2145.9639),(41 2158.2307),(42 2201.1729),(43 2220.1338),(44 2248.0173),(45 2306.362),(46 2317.0693),(47 2350.945),(48 2348.2878),(49 2362.9316),(50 2367.7249),(51 2415.681),(52 2412.3647),(53 2414.0298),(54 2402.298),(55 2434.9775),(56 2406.518),(57 2423.4578),(58 2445.1887),(59 2440.8276),(60 2462.9587),(61 2456.367),(62 2467.2202),(63 2473.7676),(64 2458.7126),(65 2468.9246),(66 2464.0361),(67 2453.1104),(68 2475.9778),(69 2460.0693),(70 2480.3716),(71 2483.1162),(72 2470.3064),(73 2482.7803),(74 2451.145),(75 2462.169),(76 2447.6423),(77 2447.4944),(78 2490.478),(79 2466.7764),
(1 998.22266),(2 1282.6074),(3 1400.1829),(4 1520.6782),(5 1594.839),(6 1688.871),(7 1730.0232),(8 1788.4475),(9 1824.4623),(10 1847.7396),(11 1852.5131),(12 1871.3486),(13 1888.2244),(14 1886.0127),(15 1929.7552),(16 1935.5065),(17 1941.6134),(18 1933.9374),(19 1949.5735),(20 1948.6013),(21 1931.9263),(22 1961.3367),(23 1988.7526),(24 1986.3699),(25 2023.7278),(26 2021.4915),(27 2045.769),(28 2038.8927),(29 2044.1985),(30 2029.4325),(31 2044.4071),(32 2064.572),(33 2082.8247),(34 2100.0088),(35 2092.9011),(36 2101.4553),(37 2106.242),(38 2144.0212),(39 2191.7725),(40 2198.2139),(41 2231.2607),(42 2252.1938),(43 2295.0627),(44 2317.505),(45 2346.0483),(46 2344.5242),(47 2332.4063),(48 2315.8235),(49 2302.894),(50 2295.4055),(51 2295.5771),(52 2280.6892),(53 2328.8774),(54 2324.943),(55 2366.3237),(56 2387.1365),(57 2394.7937),(58 2425.5479),(59 2451.0095),(60 2467.4973),(61 2471.3806),(62 2480.243),(63 2473.5168),(64 2467.3052),(65 2455.5947),(66 2410.9788),(67 2452.605),(68 2443.188),(69 2430.143),(70 2426.2698),(71 2414.3662),(72 2393.5918),(73 2399.6426),(74 2394.1182),(75 2386.6133),(76 2384.5537),(77 2396.0002),(78 2410.9465),(79 2415.6838),
(1 1001.38226),(2 1278.3196),(3 1421.6353),(4 1557.887),(5 1630.1334),(6 1673.4788),(7 1744.7858),(8 1809.135),(9 1862.414),(10 1896.2374),(11 1893.3579),(12 1917.0598),(13 1906.7325),(14 1916.436),(15 1919.1477),(16 1938.7944),(17 1931.2185),(18 1922.6346),(19 1948.8252),(20 1971.8909),(21 1973.5586),(22 2008.9663),(23 2044.0154),(24 2044.2328),(25 2066.5698),(26 2058.235),(27 2069.8884),(28 2045.5254),(29 2019.42),(30 2024.1027),(31 2024.9338),(32 2028.0164),(33 2068.746),(34 2072.1238),(35 2068.2205),(36 2077.2485),(37 2076.292),(38 2134.9775),(39 2153.8845),(40 2156.7927),(41 2152.8176),(42 2166.5176),(43 2179.4736),(44 2189.224),(45 2213.1963),(46 2223.7942),(47 2228.3987),(48 2236.9463),(49 2245.4194),(50 2216.3704),(51 2244.2434),(52 2230.4868),(53 2257.8916),(54 2284.451),(55 2321.8525),(56 2310.6208),(57 2310.6924),(58 2352.3508),(59 2394.9983),(60 2395.518),(61 2376.5525),(62 2390.6113),(63 2404.1328),(64 2381.5342),(65 2359.983),(66 2351.4014),(67 2348.3174),(68 2345.9019),(69 2338.831),(70 2304.0781),(71 2294.7224),(72 2320.0532),(73 2314.1143),(74 2284.9912),(75 2275.8281),(76 2288.9722),(77 2305.7007),(78 2342.3496),(79 2344.941),
(1 983.89417),(2 1242.6425),(3 1360.6823),(4 1448.257),(5 1527.3934),(6 1565.616),(7 1622.9216),(8 1710.5771),(9 1727.9272),(10 1752.3376),(11 1755.5901),(12 1755.5889),(13 1764.1345),(14 1768.5831),(15 1790.9696),(16 1810.6522),(17 1809.4667),(18 1841.1934),(19 1842.4197),(20 1860.9882),(21 1831.2264),(22 1826.0675),(23 1880.2134),(24 1886.2798),(25 1893.2638),(26 1892.2286),(27 1888.2867),(28 1883.7712),(29 1894.1439),(30 1895.8787),(31 1895.5923),(32 1924.8326),(33 1951.4965),(34 1963.0242),(35 1947.0148),(36 1958.3752),(37 1958.6317),(38 2021.1469),(39 2022.5063),(40 2007.7462),(41 2040.73),(42 2057.217),(43 2077.0442),(44 2087.124),(45 2105.237),(46 2122.5417),(47 2117.3452),(48 2103.8625),(49 2124.7183),(50 2123.0325),(51 2149.5051),(52 2166.333),(53 2169.7407),(54 2168.8076),(55 2192.6953),(56 2203.8708),(57 2186.4995),(58 2209.062),(59 2205.0146),(60 2216.491),(61 2233.8362),(62 2257.6304),(63 2264.5845),(64 2245.1233),(65 2251.9448),(66 2245.8674),(67 2249.9126),(68 2238.355),(69 2234.6235),(70 2246.2292),(71 2240.7197),(72 2248.9346),(73 2252.778),(74 2254.4536),(75 2230.3015),(76 2233.5425),(77 2225.422),(78 2233.6643),(79 2206.6523),
(1 963.06323),(2 1208.1395),(3 1321.5918),(4 1425.1855),(5 1518.992),(6 1568.2736),(7 1589.6873),(8 1652.153),(9 1709.1335),(10 1720.1195),(11 1750.7378),(12 1756.7434),(13 1755.6022),(14 1772.528),(15 1770.4142),(16 1761.4546),(17 1772.8845),(18 1786.9725),(19 1814.8953),(20 1813.3986),(21 1815.0011),(22 1819.4127),(23 1859.0642),(24 1877.711),(25 1880.2112),(26 1892.9816),(27 1903.3341),(28 1893.239),(29 1899.6501),(30 1905.6505),(31 1922.0793),(32 1930.0476),(33 1966.727),(34 1980.2098),(35 2005.7263),(36 2002.8948),(37 2019.3046),(38 2075.186),(39 2080.0493),(40 2076.8433),(41 2126.064),(42 2151.437),(43 2185.5603),(44 2175.6167),(45 2174.8416),(46 2188.3513),(47 2175.872),(48 2187.285),(49 2198.0298),(50 2199.0967),(51 2189.803),(52 2171.3318),(53 2186.5127),(54 2192.813),(55 2214.048),(56 2221.4407),(57 2220.8052),(58 2217.5522),(59 2229.4717),(60 2232.449),(61 2242.3784),(62 2251.5107),(63 2264.6123),(64 2220.249),(65 2202.7168),(66 2233.9063),(67 2195.5635),(68 2183.1023),(69 2195.6594),(70 2167.2668),(71 2150.8784),(72 2131.1982),(73 2149.0642),(74 2139.9453),(75 2139.5796),(76 2158.4375),(77 2162.1636),(78 2172.8381),(79 2150.0117),
(1 940.41254),(2 1215.6415),(3 1356.5295),(4 1423.9736),(5 1515.8182),(6 1560.3756),(7 1617.558),(8 1656.0712),(9 1685.1387),(10 1697.1445),(11 1724.9316),(12 1727.4305),(13 1742.3912),(14 1743.5306),(15 1743.9973),(16 1740.6141),(17 1769.4686),(18 1798.3506),(19 1811.1064),(20 1820.1158),(21 1824.107),(22 1819.3081),(23 1847.7396),(24 1843.2814),(25 1865.1167),(26 1837.6606),(27 1865.0082),(28 1863.4313),(29 1842.8495),(30 1871.8893),(31 1893.9021),(32 1923.453),(33 1956.3207),(34 1977.959),(35 2005.9188),(36 2010.1917),(37 2072.2886),(38 2109.8013),(39 2100.6235),(40 2074.6382),(41 2114.479),(42 2136.6824),(43 2170.6829),(44 2163.353),(45 2150.9438),(46 2150.2256),(47 2175.1145),(48 2201.8003),(49 2191.8591),(50 2205.9053),(51 2212.3608),(52 2231.7202),(53 2228.819),(54 2242.1028),(55 2252.0354),(56 2265.019),(57 2269.3684),(58 2271.2998),(59 2304.7622),(60 2316.863),(61 2354.5022),(62 2357.0947),(63 2346.6265),(64 2355.236),(65 2366.898),(66 2369.7761),(67 2363.9731),(68 2374.8967),(69 2379.5713),(70 2359.1067),(71 2324.7473),(72 2320.103),(73 2296.1667),(74 2314.1306),(75 2339.5005),(76 2330.0295),(77 2345.174),(78 2337.7139),(79 2319.7153),
(1 923.286),(2 1152.153),(3 1308.1185),(4 1386.4193),(5 1458.5688),(6 1536.243),(7 1593.1307),(8 1627.5767),(9 1646.5308),(10 1678.7191),(11 1709.4122),(12 1701.0662),(13 1688.7274),(14 1695.4575),(15 1695.948),(16 1678.2633),(17 1696.9574),(18 1700.5787),(19 1733.0824),(20 1725.5298),(21 1737.234),(22 1759.9388),(23 1776.593),(24 1779.8843),(25 1784.1509),(26 1761.0765),(27 1748.0386),(28 1765.0142),(29 1751.7173),(30 1760.0271),(31 1776.7037),(32 1798.0812),(33 1830.552),(34 1835.4937),(35 1873.9175),(36 1886.7712),(37 1885.3801),(38 1916.3512),(39 1919.0994),(40 1928.1226),(41 1944.1771),(42 1963.4409),(43 1988.4298),(44 2007.3165),(45 2018.0586),(46 2041.2089),(47 2035.4857),(48 2035.1155),(49 2066.1602),(50 2048.3855),(51 2047.6515),(52 2051.6086),(53 2053.3684),(54 2035.58),(55 2041.4624),(56 1998.0753),(57 2007.5096),(58 2026.848),(59 2045.3253),(60 2081.9329),(61 2118.9165),(62 2136.526),(63 2134.9424),(64 2135.11),(65 2160.307),(66 2168.369),(67 2158.165),(68 2186.9534),(69 2190.0442),(70 2169.3733),(71 2154.4243),(72 2128.9128),(73 2150.4492),(74 2163.5894),(75 2177.241),(76 2191.0615),(77 2190.0327),(78 2159.6753),(79 2153.4822),
