1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 42341.215),(2 106031.77),(3 187498.2),(4 334413.94),(5 457536),(6 561103.1),(7 713420.8),(8 842559.7),(9 950493.3),(10 1118661),(11 1261395.5),(12 1364443.3),(13 1545466.6),(14 1663956.9),(15 1747325),(16 1891197),(17 2008959.9),(18 2084653.4),(19 2213228),(20 2299776.3),(21 2344918),(22 2431261.3),(23 2500110.5),(24 2567575),(25 2704037.5),(26 2781727.3),(27 2810967),(28 2885865.3),(29 2856628.3),(30 2842329.3),(31 2891229),(32 2926582),(33 2945759.3),(34 3024022.3),(35 3100941.3),(36 3157066.8),(37 3291659),(38 3426352.3),(39 3548850),(40 3728788.3),(41 3888046),(42 4045450),(43 4263612.5),(44 4477150.5),(45 4694108.5),(46 4993481),(47 5297154),(48 5588166),(49 5897877.5),(50 6115136),(51 6291810.5),(52 6515204.5),(53 6744616),(54 6957790.5),(55 7210856),(56 7414677.5),(57 7571718.5),(58 7757826.5),(59 7901765.5),(60 8032308.5),(61 8234576),(62 8426380),(63 8574485),(64 8757423),(65 8913925),(66 9027705),(67 9199450),(68 9372607),(69 9490606),(70 9630286),(71 9746984),(72 9794416),(73 9923972),(74 10052617),(75 10154375),(76 10330055),(77 10497743),(78 10651109),(79 10857039),
(1 1592.5963),(2 2133.018),(3 2189.7903),(4 2175.8423),(5 2203.712),(6 2258.5916),(7 2279.7336),(8 2357.5608),(9 2365.796),(10 2491.5134),(11 2470.5403),(12 2502.3452),(13 2503.0437),(14 2534.6768),(15 2642.177),(16 2671.2148),(17 2681.8003),(18 2721.6924),(19 2757.8774),(20 2830.8406),(21 2817.1416),(22 2826.6946),(23 2855.311),(24 2903.532),(25 2901.932),(26 2922.972),(27 2989.7026),(28 2981.754),(29 3039.7432),(30 3040.0098),(31 2977.204),(32 3024.8845),(33 3039.1897),(34 3049.2988),(35 3060.9314),(36 3008.9343),(37 2995.8137),(38 3008.8264),(39 3008.007),(40 3001.4434),(41 2979.465),(42 2985.6616),(43 2997.103),(44 2955.492),(45 2968.0015),(46 2975.764),(47 2960.8582),(48 2976.706),(49 3006.5356),(50 2963.5522),(51 3043.9785),(52 3015.3567),(53 2950.8313),(54 2925.062),(55 2970.4648),(56 2929.9885),(57 2899.338),(58 2918.8152),(59 2938.0193),(60 2973.2888),(61 2997.982),(62 2970.1265),(63 2934.8252),(64 2986.2202),(65 3013.0542),(66 2949.348),(67 2953.157),(68 3001.3066),(69 2991.911),(70 2967.2234),(71 3009.977),(72 3043.471),(73 3061.2349),(74 3056.8652),(75 2993.334),(76 3007.1494),(77 3061.038),(78 3110.977),(79 3095.6223),
(1 1536.2489),(2 2091.514),(3 2108.7583),(4 2097.3452),(5 2108.0598),(6 2183.5945),(7 2234.453),(8 2323.4597),(9 2383.3926),(10 2490.3347),(11 2465.876),(12 2503.3218),(13 2519.8032),(14 2557.0146),(15 2635.3235),(16 2640.9553),(17 2678.9395),(18 2712.6316),(19 2740.7952),(20 2795.8308),(21 2784.0579),(22 2811.9265),(23 2850.446),(24 2889.598),(25 2934.3142),(26 2962.1118),(27 2995.861),(28 2992.9692),(29 3042.349),(30 3053.679),(31 3011.3838),(32 3027.6367),(33 3029.3623),(34 3035.4756),(35 3006.3694),(36 2968.359),(37 3020.2144),(38 2971.2183),(39 2934.718),(40 2897.5295),(41 2946.4788),(42 2956.6487),(43 2943.783),(44 2937.9722),(45 2941.2563),(46 2947.6057),(47 2948.6982),(48 2921.6526),(49 2917.7537),(50 2904.2368),(51 2914.4731),(52 2899.882),(53 2875.5005),(54 2842.1174),(55 2830.539),(56 2799.6584),(57 2826.294),(58 2803.8484),(59 2806.6921),(60 2827.7112),(61 2872.4224),(62 2877.0945),(63 2848.1416),(64 2832.035),(65 2856.2676),(66 2836.8262),(67 2865.2878),(68 2873.9023),(69 2868.0012),(70 2848.4617),(71 2878.565),(72 2931.2415),(73 2983.864),(74 2967.577),(75 2969.8281),(76 2972.0334),(77 3029.4617),(78 3007.362),(79 3043.8945),
(1 1576.7548),(2 2041.7699),(3 2088.7966),(4 2085.8367),(5 2109.949),(6 2170.965),(7 2193.7212),(8 2272.9602),(9 2358.493),(10 2419.6277),(11 2439.6191),(12 2458.198),(13 2497.6436),(14 2450.4023),(15 2572.531),(16 2622.1353),(17 2674.912),(18 2684.9985),(19 2696.4167),(20 2747.5464),(21 2756.8196),(22 2756.2676),(23 2764.5654),(24 2804.0967),(25 2871.9724),(26 2920.8643),(27 2908.4033),(28 2894.5344),(29 2942.6782),(30 2934.5256),(31 2946.2964),(32 2953.3184),(33 2945.3984),(34 2945.8738),(35 2971.831),(36 2997.8213),(37 3018.5718),(38 2995.163),(39 2980.5452),(40 2954.5017),(41 2947.993),(42 2964.2273),(43 2996.7734),(44 2933.363),(45 2899.409),(46 2884.797),(47 2878.9324),(48 2878.6665),(49 2847.5703),(50 2900.125),(51 2920.2068),(52 2911.3918),(53 2922.7417),(54 2880.881),(55 2879.771),(56 2830.627),(57 2852.6729),(58 2850.8657),(59 2831.1262),(60 2833.6008),(61 2821.8574),(62 2868.2813),(63 2845.695),(64 2784.563),(65 2826.994),(66 2818.5083),(67 2853.6318),(68 2883.9116),(69 2829.9297),(70 2863.0188),(71 2933.9724),(72 2907.2466),(73 2899.8652),(74 2892.189),(75 2912.3335),(76 2960.2007),(77 2977.946),(78 3001.2578),(79 3012.841),
(1 1577.2533),(2 2080.7888),(3 2054.499),(4 2012.02),(5 2064.0574),(6 2135.438),(7 2124.3667),(8 2202.516),(9 2247.137),(10 2335.6692),(11 2323.8086),(12 2328.3945),(13 2356.7075),(14 2400.573),(15 2473.7573),(16 2529.6494),(17 2566.1392),(18 2603.0313),(19 2591.7498),(20 2626.5093),(21 2667.8325),(22 2649.1963),(23 2699.3894),(24 2715),(25 2724.574),(26 2754.17),(27 2770.887),(28 2796.8362),(29 2866.5088),(30 2846.821),(31 2869.0107),(32 2872.6165),(33 2857.179),(34 2873.4827),(35 2874.2244),(36 2875.1545),(37 2884.6934),(38 2829.7195),(39 2825.5938),(40 2848.433),(41 2845.4932),(42 2876.983),(43 2855.5623),(44 2817.6882),(45 2849.5706),(46 2836.6912),(47 2850.1794),(48 2832.8918),(49 2805.2952),(50 2783.1995),(51 2817.8984),(52 2794.9988),(53 2796.6353),(54 2818.4382),(55 2831.7063),(56 2808.8748),(57 2802.9675),(58 2812.933),(59 2819.3125),(60 2793.0398),(61 2810.0486),(62 2859.431),(63 2839.0457),(64 2820.7483),(65 2832.395),(66 2812.8293),(67 2809.9758),(68 2817.2483),(69 2809.422),(70 2828.6804),(71 2845.6707),(72 2829.0396),(73 2863.0662),(74 2890.975),(75 2911.5588),(76 2910.091),(77 2918.3762),(78 2962.0813),(79 2973.1226),
(1 1539.6401),(2 2000.4064),(3 1999.7072),(4 2006.6099),(5 2048.6135),(6 2061.5854),(7 2069.828),(8 2153.8188),(9 2246.5947),(10 2308.1123),(11 2317.1462),(12 2311.796),(13 2345.9683),(14 2385.7185),(15 2463.2825),(16 2497.6956),(17 2547.634),(18 2570.8477),(19 2563.6338),(20 2620.066),(21 2708.316),(22 2672.4631),(23 2694.7788),(24 2689.1445),(25 2719.7449),(26 2768.2666),(27 2785.0862),(28 2850.6582),(29 2846.881),(30 2808.46),(31 2860.4421),(32 2843.77),(33 2839.3457),(34 2846.2893),(35 2853.9216),(36 2846.0054),(37 2879.439),(38 2833.6763),(39 2844.182),(40 2821.583),(41 2789.4019),(42 2786.634),(43 2777.1824),(44 2782.2021),(45 2768.3965),(46 2756.8982),(47 2805.8538),(48 2792.076),(49 2742.5994),(50 2730.1152),(51 2747.449),(52 2735.864),(53 2702.5479),(54 2795.5833),(55 2791.2998),(56 2737.9888),(57 2749.5625),(58 2704.0918),(59 2741.955),(60 2753.8904),(61 2760.4783),(62 2763.4792),(63 2756.799),(64 2751.0356),(65 2755.774),(66 2765.352),(67 2790.1665),(68 2780.5598),(69 2780.4475),(70 2783.2307),(71 2804.409),(72 2820.0923),(73 2802.2888),(74 2839.5627),(75 2827.7534),(76 2902.8857),(77 2899.7878),(78 2907.082),(79 2915.329),
(1 1528.1426),(2 2039.3777),(3 2036.0625),(4 2032.793),(5 2041.4333),(6 2102.179),(7 2136.9976),(8 2231.974),(9 2299.977),(10 2350.5898),(11 2351.7278),(12 2391.342),(13 2416.1582),(14 2412.625),(15 2445.1611),(16 2512.233),(17 2629.147),(18 2652.6995),(19 2640.3394),(20 2683.134),(21 2660.8616),(22 2686.6887),(23 2752.2634),(24 2738.1038),(25 2790.506),(26 2817.5679),(27 2843.7175),(28 2878.0078),(29 2871.4832),(30 2800.0054),(31 2861.9963),(32 2848.0488),(33 2834.683),(34 2890.703),(35 2897.5955),(36 2874.9585),(37 2858.7373),(38 2850.0837),(39 2885.2004),(40 2833.7766),(41 2822.7297),(42 2821.4944),(43 2810.4417),(44 2817.3313),(45 2801.2766),(46 2806.601),(47 2831.4585),(48 2792.403),(49 2761.908),(50 2773.7573),(51 2792.5715),(52 2778.591),(53 2752.956),(54 2781.2288),(55 2794.3723),(56 2787.2458),(57 2768.8474),(58 2743.8484),(59 2736.6829),(60 2712.3162),(61 2720.69),(62 2761.6367),(63 2789.0337),(64 2737.4385),(65 2727.2993),(66 2736.1443),(67 2800.3936),(68 2793.2463),(69 2789.3042),(70 2785.1484),(71 2762.8572),(72 2798.4468),(73 2787.9766),(74 2802.025),(75 2832.4905),(76 2839.3315),(77 2863.3315),(78 2891.2039),(79 2881.8015),
(1 1468.7441),(2 1898.178),(3 1899.9149),(4 1920.6005),(5 1950.4989),(6 2004.0005),(7 2023.6611),(8 2110.784),(9 2157.8572),(10 2166.9407),(11 2268.813),(12 2312.405),(13 2337.999),(14 2344.7966),(15 2367.6082),(16 2447.1877),(17 2492.425),(18 2516.4631),(19 2554.602),(20 2582.1086),(21 2589.9922),(22 2600.608),(23 2618.9956),(24 2641.9377),(25 2658.8296),(26 2687.3706),(27 2727.7336),(28 2744.1687),(29 2705.5396),(30 2704.843),(31 2696.7622),(32 2686.1387),(33 2722.8232),(34 2728.6355),(35 2704.4749),(36 2744.599),(37 2733.4082),(38 2722.9048),(39 2702.89),(40 2660.1926),(41 2662.9734),(42 2682.689),(43 2642.709),(44 2644.4475),(45 2636.7207),(46 2598.489),(47 2644.565),(48 2612.2007),(49 2592.2107),(50 2601.0146),(51 2618.9385),(52 2627.8494),(53 2633.643),(54 2686.0188),(55 2661.109),(56 2636.6619),(57 2629.6519),(58 2627.046),(59 2651.9673),(60 2651.9624),(61 2670.3718),(62 2668.1548),(63 2681.5251),(64 2660.7693),(65 2681.0466),(66 2672.6858),(67 2728.0923),(68 2705.8008),(69 2734.5344),(70 2680.91),(71 2714.4326),(72 2736.4116),(73 2736.126),(74 2750.704),(75 2750.5977),(76 2738.7786),(77 2771.0562),(78 2828.335),(79 2824.3618),
(1 1425.1692),(2 1843.8403),(3 1879.7148),(4 1875.1185),(5 1909.7289),(6 1953.1132),(7 1992.1412),(8 2037.4651),(9 2080.4763),(10 2101.3013),(11 2158.514),(12 2179.1365),(13 2238.6985),(14 2258.1204),(15 2327.662),(16 2347.5615),(17 2391.343),(18 2418.5298),(19 2456.9807),(20 2503.1199),(21 2522.9783),(22 2502.0293),(23 2551.064),(24 2589.7244),(25 2628.265),(26 2626.8481),(27 2658.5413),(28 2681.2378),(29 2673.2612),(30 2728.3867),(31 2741.9285),(32 2765.6335),(33 2769.0212),(34 2744.6714),(35 2738.6),(36 2739.8857),(37 2715.4744),(38 2701.3801),(39 2690.078),(40 2685.0977),(41 2661.5938),(42 2658.4902),(43 2657.4307),(44 2671.7058),(45 2637.0146),(46 2616.3813),(47 2645.6982),(48 2635.5225),(49 2615.7292),(50 2622.7612),(51 2659.8057),(52 2606.7805),(53 2599.0688),(54 2643.0168),(55 2654.6455),(56 2634.7905),(57 2645.71),(58 2610.859),(59 2640.9111),(60 2620.683),(61 2609.18),(62 2598.498),(63 2616.4727),(64 2607.7246),(65 2615.4358),(66 2596.7656),(67 2594.735),(68 2613.308),(69 2634.16),(70 2649.1296),(71 2660.0051),(72 2679.612),(73 2720.8867),(74 2716.7573),(75 2695.4941),(76 2706.3486),(77 2715.8494),(78 2749.0671),(79 2821.3281),
(1 1410.216),(2 1812.6007),(3 1851.8102),(4 1876.273),(5 1893.9792),(6 1954.9716),(7 1979.427),(8 2075.7095),(9 2138.116),(10 2135.0244),(11 2169.8123),(12 2232.7275),(13 2275.257),(14 2304.9592),(15 2345.4373),(16 2389.2478),(17 2430.3508),(18 2447.5315),(19 2478.9695),(20 2519.049),(21 2516.9053),(22 2548.7058),(23 2570.969),(24 2593.2463),(25 2605.999),(26 2623.581),(27 2662.9634),(28 2673.4688),(29 2700.6553),(30 2708.0881),(31 2714.4006),(32 2709.8496),(33 2701.0745),(34 2685.501),(35 2706.666),(36 2702.6445),(37 2688.7444),(38 2653.5422),(39 2612.7202),(40 2603.7014),(41 2618.5293),(42 2589.0498),(43 2555.524),(44 2622.614),(45 2625.3828),(46 2615.6064),(47 2614.6301),(48 2610.5132),(49 2615.198),(50 2618.7346),(51 2584.4724),(52 2583.8933),(53 2578.5596),(54 2564.0676),(55 2542.2893),(56 2530.9336),(57 2544.8777),(58 2563.1072),(59 2577.693),(60 2594.8455),(61 2581.1428),(62 2577.6865),(63 2609.564),(64 2575.6267),(65 2610.3367),(66 2610.14),(67 2611.3855),(68 2624.0762),(69 2658.308),(70 2686.5667),(71 2663.283),(72 2715.132),(73 2723.9338),(74 2741.7615),(75 2748.24),(76 2772.361),(77 2770.7852),(78 2789.9658),(79 2816.3801),
(1 1410.8434),(2 1806.8922),(3 1794.9476),(4 1788.1842),(5 1847.0403),(6 1889.2311),(7 1888.5009),(8 1979.5483),(9 1992.4161),(10 2030.3561),(11 2071.7722),(12 2114.1094),(13 2153.0513),(14 2163.208),(15 2201.7288),(16 2282.2583),(17 2332.1755),(18 2366.6082),(19 2370.082),(20 2388.867),(21 2421.8784),(22 2441.857),(23 2504.0413),(24 2534.8953),(25 2518.0215),(26 2571.1804),(27 2632.678),(28 2648.0103),(29 2660.8882),(30 2674.58),(31 2671.6865),(32 2614.1538),(33 2637.6687),(34 2631.428),(35 2620.9094),(36 2594.4434),(37 2600.3403),(38 2572.4302),(39 2587.6187),(40 2540.9094),(41 2554.5764),(42 2531.0977),(43 2506.9548),(44 2544.6252),(45 2511.908),(46 2537.0508),(47 2565.3752),(48 2498.5708),(49 2518.7583),(50 2502.561),(51 2515.1836),(52 2491.5522),(53 2492.1816),(54 2493.6074),(55 2523.1382),(56 2510.452),(57 2534.4724),(58 2549.257),(59 2514.8196),(60 2508.3286),(61 2496.758),(62 2508.3674),(63 2529.9075),(64 2528.0852),(65 2527.7651),(66 2505.6016),(67 2497.1345),(68 2524.3943),(69 2554.7314),(70 2530.3716),(71 2518.0208),(72 2538.3857),(73 2549.739),(74 2564.7668),(75 2574.407),(76 2570.2175),(77 2582.8008),(78 2577.1025),(79 2591.7192),
(1 1398.231),(2 1785.438),(3 1808.1086),(4 1809.2043),(5 1835.7268),(6 1885.24),(7 1902.9109),(8 1996.6527),(9 2036.9352),(10 2057.1282),(11 2076.5847),(12 2143.6711),(13 2187.0098),(14 2200.7686),(15 2242.5237),(16 2273.9607),(17 2328.9065),(18 2345.2036),(19 2337.9932),(20 2368.0923),(21 2399.1216),(22 2430.5605),(23 2479.681),(24 2477.3767),(25 2471.0313),(26 2496.1057),(27 2546.5942),(28 2572.435),(29 2583.7979),(30 2619.3699),(31 2578.5005),(32 2581.0298),(33 2552.1772),(34 2549.19),(35 2512.5906),(36 2548.2495),(37 2557.1729),(38 2532.5603),(39 2544.7185),(40 2534.7917),(41 2538.657),(42 2484.2473),(43 2471.9001),(44 2469.263),(45 2497.275),(46 2512.4155),(47 2485.0916),(48 2507.7007),(49 2486.0105),(50 2482.898),(51 2489.3105),(52 2454.726),(53 2451.895),(54 2446.8965),(55 2425.9612),(56 2429.7468),(57 2405.5059),(58 2422.256),(59 2421.7166),(60 2430.9204),(61 2430.809),(62 2398.5947),(63 2422.9229),(64 2464.2659),(65 2434.8218),(66 2434.5955),(67 2398.4724),(68 2435.4922),(69 2462.4287),(70 2444.1116),(71 2467.02),(72 2477.4927),(73 2485.455),(74 2466.4175),(75 2516.0193),(76 2500.8003),(77 2548.3508),(78 2559.9092),(79 2575.2498),
(1 1372.6771),(2 1766.1283),(3 1802.594),(4 1782.6993),(5 1801.6085),(6 1883.9421),(7 1889.6473),(8 1970.4648),(9 2034.474),(10 2089.432),(11 2084.5999),(12 2124.918),(13 2166.9927),(14 2170.426),(15 2221.505),(16 2279.1165),(17 2316.865),(18 2333.0732),(19 2347.1545),(20 2383.3904),(21 2376.4536),(22 2384.909),(23 2425.4033),(24 2452.7769),(25 2438.5305),(26 2480.1284),(27 2537.155),(28 2546.914),(29 2561.7217),(30 2555.1616),(31 2529.4805),(32 2541.5295),(33 2525.442),(34 2513.494),(35 2523.2463),(36 2533.9126),(37 2522.6301),(38 2493.3882),(39 2495.3276),(40 2495.8047),(41 2497.0151),(42 2448.3694),(43 2451.3093),(44 2446.0925),(45 2413.9922),(46 2432.2383),(47 2439.0593),(48 2428.7795),(49 2412.626),(50 2424.334),(51 2420.8525),(52 2426.6533),(53 2414.4775),(54 2425.5977),(55 2446.5183),(56 2425.994),(57 2410.4329),(58 2416.5327),(59 2429.0505),(60 2438.3467),(61 2439.806),(62 2430.2107),(63 2465.4038),(64 2444.1533),(65 2485.5332),(66 2482.238),(67 2456.3115),(68 2466.7825),(69 2463.7734),(70 2480.5442),(71 2491.8333),(72 2528.342),(73 2538.259),(74 2509.0234),(75 2531.4707),(76 2537.724),(77 2631.834),(78 2631.8254),(79 2634.462),
(1 1332.2341),(2 1743.5195),(3 1810.7214),(4 1823.5852),(5 1861.263),(6 1929.606),(7 1925.1073),(8 1969.0316),(9 1998.5575),(10 2042.1539),(11 2078.158),(12 2122.049),(13 2171.659),(14 2184.62),(15 2226.2634),(16 2306.313),(17 2341.9407),(18 2331.3826),(19 2371.5068),(20 2385.482),(21 2385.0515),(22 2391.6272),(23 2402.9644),(24 2439.0974),(25 2451.2107),(26 2484.6797),(27 2561.5852),(28 2540.5952),(29 2568.9626),(30 2579.5518),(31 2585.3137),(32 2570.3782),(33 2579.1475),(34 2542.574),(35 2542.324),(36 2544.0374),(37 2512.9158),(38 2504.9392),(39 2518.0232),(40 2454.4937),(41 2484.8079),(42 2447.3567),(43 2452.2021),(44 2446.3113),(45 2459.2278),(46 2424.5852),(47 2432.4802),(48 2389.9758),(49 2435.3054),(50 2399.635),(51 2412.0916),(52 2373.6746),(53 2395.4097),(54 2430.634),(55 2394.2815),(56 2381.2915),(57 2423.1233),(58 2396.5857),(59 2417.6946),(60 2404.9229),(61 2423.9023),(62 2388.3914),(63 2400.4705),(64 2391.2913),(65 2410.9143),(66 2417.601),(67 2427.8806),(68 2443.3071),(69 2464.789),(70 2479.6523),(71 2479.1611),(72 2482.7021),(73 2500.67),(74 2554.1418),(75 2549.4705),(76 2567.718),(77 2568.1729),(78 2598.3713),(79 2643.9722),
(1 1323.6488),(2 1716.4403),(3 1787.2496),(4 1760.7802),(5 1791.5468),(6 1851.7306),(7 1893.912),(8 1909.908),(9 1947.5435),(10 1989.1509),(11 2032.0592),(12 2071.7039),(13 2061.7034),(14 2076.7854),(15 2116.77),(16 2197.633),(17 2253.9102),(18 2278.1526),(19 2274.0413),(20 2303.2236),(21 2314.84),(22 2322.1675),(23 2363.4136),(24 2382.9478),(25 2418.324),(26 2435.646),(27 2447.6506),(28 2449.7822),(29 2507.9211),(30 2509.4238),(31 2509.9905),(32 2512.4114),(33 2487.7324),(34 2492.869),(35 2476.6543),(36 2475.7212),(37 2456.4329),(38 2455.729),(39 2452.7134),(40 2454.1934),(41 2451.2712),(42 2395.756),(43 2384.4243),(44 2366.7996),(45 2402.6921),(46 2397.5852),(47 2391.1755),(48 2389.924),(49 2387.7434),(50 2401.5154),(51 2394.0435),(52 2388.965),(53 2409.4546),(54 2388.947),(55 2388.561),(56 2382.9143),(57 2407.4602),(58 2424.7646),(59 2417.001),(60 2424.7788),(61 2421.955),(62 2427.3345),(63 2423.9636),(64 2411.5505),(65 2426.615),(66 2411.6665),(67 2419.699),(68 2444.6628),(69 2465.98),(70 2450.7122),(71 2478.1118),(72 2490.1677),(73 2477.3054),(74 2470.5322),(75 2493.1),(76 2492.2083),(77 2486.4365),(78 2515.2136),(79 2514.4648),
(1 1348.3954),(2 1714.7213),(3 1753.5756),(4 1712.322),(5 1751.5033),(6 1806.6134),(7 1818.2227),(8 1846.7404),(9 1891.4961),(10 1941.6589),(11 1991.985),(12 2016.7161),(13 2056.154),(14 2054.2788),(15 2130.0066),(16 2190.527),(17 2233.6777),(18 2263.556),(19 2276.7112),(20 2250.4114),(21 2245.304),(22 2287.1128),(23 2308.7383),(24 2313.7566),(25 2338.8135),(26 2358.9126),(27 2388.2961),(28 2415.89),(29 2414.2302),(30 2424.288),(31 2413.683),(32 2403.606),(33 2390.227),(34 2368.5469),(35 2373.8533),(36 2398.7097),(37 2408.876),(38 2385.581),(39 2398.0618),(40 2404.3826),(41 2402.2556),(42 2371.1702),(43 2343.2358),(44 2325.7866),(45 2334.192),(46 2338.5938),(47 2364.9165),(48 2366.8352),(49 2321.8223),(50 2337.9612),(51 2361.3792),(52 2331.3),(53 2314.5828),(54 2323.3245),(55 2321.1108),(56 2355.2686),(57 2329.285),(58 2321.0771),(59 2309.134),(60 2283.5457),(61 2266.984),(62 2260.3),(63 2285.7507),(64 2270.3323),(65 2319.8147),(66 2329.1006),(67 2327.7227),(68 2325.0396),(69 2350.3286),(70 2395.0208),(71 2395.4238),(72 2428.893),(73 2421.72),(74 2419.5024),(75 2457.7893),(76 2477.73),(77 2484.0088),(78 2532.0579),(79 2542.199),
(1 1285.4615),(2 1602.9393),(3 1631.5808),(4 1631.0288),(5 1670.497),(6 1710.1395),(7 1730.7811),(8 1780.7601),(9 1819.4192),(10 1840.5891),(11 1877.343),(12 1891.847),(13 1925.4569),(14 1969.0745),(15 1989.3292),(16 2059.7805),(17 2093.1833),(18 2117.8345),(19 2128.4124),(20 2130.3289),(21 2165.7742),(22 2184.7424),(23 2209.157),(24 2206.353),(25 2228.6143),(26 2286.5283),(27 2330.4827),(28 2332.4265),(29 2321.5696),(30 2304.2644),(31 2313.4326),(32 2350.776),(33 2347.6453),(34 2315.2417),(35 2321.2341),(36 2299.8223),(37 2296.4958),(38 2278.2136),(39 2288.0842),(40 2296.411),(41 2295.3923),(42 2297.6855),(43 2299.3054),(44 2263.832),(45 2304.7715),(46 2290.7456),(47 2295.3765),(48 2277.974),(49 2263.208),(50 2248.1174),(51 2269.1729),(52 2273.635),(53 2283.184),(54 2268.8345),(55 2261.808),(56 2252.7493),(57 2280.2651),(58 2257.4155),(59 2256.3735),(60 2252.3362),(61 2262.6292),(62 2262.3894),(63 2261.7378),(64 2289.8032),(65 2282.316),(66 2287.708),(67 2293.8577),(68 2327.197),(69 2332.4167),(70 2301.7207),(71 2324.0605),(72 2344.1377),(73 2359.3713),(74 2352.6501),(75 2403.592),(76 2395.679),(77 2411.34),(78 2465.5398),(79 2460.7969),
