1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 80683.2),(2 142426.64),(3 170870.75),(4 327259.16),(5 462068.13),(6 564329.44),(7 802569.2),(8 1001106.2),(9 1136308),(10 1436710.1),(11 1683298.6),(12 1887292.1),(13 2277041.3),(14 2613894.3),(15 2878750.8),(16 3310506.8),(17 3709327),(18 4005518),(19 4461050),(20 4875692.5),(21 5195545.5),(22 5660862.5),(23 6128000.5),(24 6459972),(25 6909380),(26 7350064),(27 7702360.5),(28 8153977.5),(29 8596518),(30 8994322),(31 9491741),(32 10045294),(33 10469315),(34 10949291),(35 11454373),(36 11871784),(37 12312545),(38 12794285),(39 13180248),(40 13667821),(41 14176733),(42 14564155),(43 15043376),(44 15552733),(45 15966580),(46 16434584),(47 16974210),(48 17413576),(49 17941954),(50 18555270),(51 19055898),(52 19631928),(53 20265432),(54 20737538),(55 21367408),(56 22033968),(57 22535072),(58 23179104),(59 23861638),(60 24410742),(61 25062486),(62 25775890),(63 26413098),(64 27175334),(65 27978966),(66 28623002),(67 29479562),(68 30398568),(69 31113648),(70 32014126),(71 32962982),(72 33769404),(73 34642416),(74 35638630),(75 36481376),(76 37411908),(77 38378950),(78 39251236),(79 40203670),
(1 693.22614),(2 893.67725),(3 1006.52954),(4 1033.3068),(5 1066.741),(6 1104.8633),(7 1170.412),(8 1219.3932),(9 1237.8959),(10 1275.9594),(11 1318.4392),(12 1343.4249),(13 1364.1165),(14 1395.6525),(15 1432.3181),(16 1446.7235),(17 1452.3279),(18 1481.8373),(19 1513.3894),(20 1516.2969),(21 1543.2646),(22 1544.8904),(23 1577.8824),(24 1593.342),(25 1613.2974),(26 1618.3948),(27 1641.584),(28 1616.9346),(29 1636.2327),(30 1651.2329),(31 1666.942),(32 1686.0808),(33 1694.2891),(34 1713.8257),(35 1712.2369),(36 1723.1301),(37 1735.9553),(38 1727.4524),(39 1751.1056),(40 1731.561),(41 1739.83),(42 1725.7257),(43 1753.1504),(44 1769.7966),(45 1771.4724),(46 1776.0789),(47 1769.03),(48 1759.2875),(49 1740.9219),(50 1745.7336),(51 1726.911),(52 1691.3608),(53 1667.6403),(54 1655.1945),(55 1619.5848),(56 1568.5555),(57 1536.8518),(58 1525.8721),(59 1484.2913),(60 1456.2866),(61 1443.4639),(62 1425.6198),(63 1414.8413),(64 1400.08),(65 1381.4066),(66 1401.385),(67 1379.323),(68 1382.311),(69 1377.382),(70 1387.8906),(71 1408.3248),(72 1411.2942),(73 1419.8942),(74 1425.743),(75 1452.2664),(76 1462.2013),(77 1486.1794),(78 1506.1096),(79 1529.876),
(1 691.29034),(2 885.62976),(3 967.53735),(4 1002.33075),(5 1043.7932),(6 1072.0613),(7 1121.162),(8 1167.7876),(9 1191.5831),(10 1230.0803),(11 1252.1198),(12 1280.6586),(13 1296.467),(14 1329.4882),(15 1359.799),(16 1367.5897),(17 1390.6603),(18 1423.5815),(19 1430.5106),(20 1450.8488),(21 1463.9927),(22 1473.4624),(23 1491.0372),(24 1504.9438),(25 1524.0328),(26 1537.7468),(27 1544.84),(28 1553.0765),(29 1559.3828),(30 1591.3907),(31 1588.2366),(32 1600.9171),(33 1593.976),(34 1613.1426),(35 1616.5775),(36 1637.6274),(37 1641.7241),(38 1644.5754),(39 1657.3268),(40 1661.5277),(41 1659.9757),(42 1668.0381),(43 1688.322),(44 1679.773),(45 1683.8007),(46 1689.6272),(47 1694.8473),(48 1691.4678),(49 1666.3273),(50 1653.3862),(51 1620.9365),(52 1596.815),(53 1577.5413),(54 1578.4388),(55 1543.0441),(56 1515.4863),(57 1491.1696),(58 1472.5259),(59 1457.41),(60 1425.0336),(61 1398.9945),(62 1380.684),(63 1385.5466),(64 1363.2917),(65 1351.7921),(66 1358.1981),(67 1357.1469),(68 1373.5182),(69 1372.0969),(70 1377.4196),(71 1387.947),(72 1407.119),(73 1416.4318),(74 1435.0851),(75 1452.7513),(76 1445.2499),(77 1467.2588),(78 1484.4769),(79 1503.9954),
(1 677.31024),(2 874.65186),(3 971.5745),(4 1011.1242),(5 1036.9595),(6 1077.9939),(7 1139.433),(8 1183.0706),(9 1212.0142),(10 1239.7687),(11 1264.048),(12 1286.374),(13 1302.3644),(14 1345.9554),(15 1385.5491),(16 1402.3981),(17 1428.8115),(18 1454.7878),(19 1466.9768),(20 1476.9423),(21 1497.5682),(22 1510.819),(23 1536.5576),(24 1564.4182),(25 1575.9476),(26 1588.3293),(27 1613.503),(28 1627.1825),(29 1627.5265),(30 1631.1343),(31 1639.6116),(32 1653.4159),(33 1665.4672),(34 1701.6292),(35 1702.471),(36 1697.4169),(37 1714.0293),(38 1716.5906),(39 1723.6478),(40 1716.779),(41 1732.502),(42 1727.05),(43 1736.2249),(44 1730.7236),(45 1724.16),(46 1738.8167),(47 1729.3256),(48 1718.9952),(49 1690.8798),(50 1678.4546),(51 1646.1168),(52 1618.7937),(53 1603.6039),(54 1576.8862),(55 1547.7257),(56 1518.7554),(57 1498.3508),(58 1479.8029),(59 1455.3716),(60 1423.7026),(61 1425.5635),(62 1398.3881),(63 1407.4816),(64 1390.6289),(65 1364.3676),(66 1374.2197),(67 1391.404),(68 1389.8678),(69 1390.6691),(70 1396.5139),(71 1396.9866),(72 1405.9126),(73 1411.7035),(74 1429.0618),(75 1452.3712),(76 1464.7451),(77 1477.6414),(78 1490.7311),(79 1512.403),
(1 672.1418),(2 843.5052),(3 927.59656),(4 968.76105),(5 1001.92145),(6 1028.6691),(7 1084.4032),(8 1126.4769),(9 1150.9159),(10 1178.5845),(11 1191.0706),(12 1210.3624),(13 1239.3124),(14 1280.1597),(15 1308.9553),(16 1323.6033),(17 1340.6262),(18 1373.235),(19 1393.6288),(20 1399.9076),(21 1422.0243),(22 1423.0648),(23 1460.6874),(24 1480.1111),(25 1482.8186),(26 1496.928),(27 1506.0519),(28 1513.1715),(29 1519.4584),(30 1541.8982),(31 1560.433),(32 1558.845),(33 1579.4867),(34 1590.7551),(35 1596.416),(36 1599.5297),(37 1600.2134),(38 1612.8226),(39 1626.7573),(40 1634.0021),(41 1646.4252),(42 1643.7662),(43 1653.8478),(44 1650.2731),(45 1662.2744),(46 1657.7808),(47 1651.4526),(48 1651.0109),(49 1615.168),(50 1610.2727),(51 1581.4785),(52 1560.9507),(53 1537.6426),(54 1524.8788),(55 1496.8474),(56 1480.3787),(57 1457.7317),(58 1442.0051),(59 1402.9108),(60 1380.8818),(61 1375.7142),(62 1361.0144),(63 1353.2604),(64 1351.2797),(65 1339.0355),(66 1331.4745),(67 1330.0331),(68 1331.5452),(69 1338.936),(70 1343.84),(71 1350.5331),(72 1356.0182),(73 1369.3767),(74 1395.5552),(75 1432.0343),(76 1429.6141),(77 1451.3181),(78 1458.8895),(79 1477.2904),
(1 663.3312),(2 841.50903),(3 919.157),(4 947.654),(5 991.6884),(6 1008.1122),(7 1053.8376),(8 1100.1971),(9 1131.1725),(10 1155.8641),(11 1174.3507),(12 1201.1567),(13 1220.358),(14 1257.2367),(15 1286.2625),(16 1289.1598),(17 1315.0917),(18 1353.3962),(19 1361.6364),(20 1371.0898),(21 1384.8925),(22 1405.0778),(23 1427.9291),(24 1453.0587),(25 1472.867),(26 1463.2756),(27 1487.1345),(28 1501.9072),(29 1505.3717),(30 1521.2418),(31 1529.8735),(32 1530.005),(33 1541.4634),(34 1559.5787),(35 1565.931),(36 1559.4878),(37 1573.7056),(38 1582.2942),(39 1598.8044),(40 1588.8088),(41 1613.468),(42 1604.4747),(43 1618.3912),(44 1632.8243),(45 1646.7706),(46 1630.2571),(47 1623.0771),(48 1626.449),(49 1611.8925),(50 1595.7881),(51 1573.181),(52 1559.4535),(53 1539.087),(54 1524.2059),(55 1493.4044),(56 1460.19),(57 1445.0745),(58 1433.3163),(59 1409.3928),(60 1398.8081),(61 1385.841),(62 1373.4683),(63 1365.4629),(64 1358.5977),(65 1356.2864),(66 1354.408),(67 1374.6124),(68 1371.8474),(69 1372.539),(70 1381.5352),(71 1385.4923),(72 1390.6686),(73 1412.8228),(74 1432.7236),(75 1444.2152),(76 1462.8246),(77 1465.2167),(78 1473.9539),(79 1487.0928),
(1 659.01636),(2 843.58655),(3 921.064),(4 954.081),(5 1006.13727),(6 1015.73773),(7 1071.4894),(8 1105.0189),(9 1134.1838),(10 1158.2335),(11 1193.7876),(12 1210.2115),(13 1247.6406),(14 1277.7601),(15 1305.2972),(16 1321.2354),(17 1334.4817),(18 1374.2267),(19 1385.2334),(20 1396.2684),(21 1406.2114),(22 1422.4629),(23 1443.231),(24 1459.2566),(25 1463.575),(26 1457.0958),(27 1473.6744),(28 1473.7781),(29 1476.1641),(30 1488.8701),(31 1513.81),(32 1516.926),(33 1523.793),(34 1525.259),(35 1543.8999),(36 1562.3102),(37 1586.6255),(38 1569.9775),(39 1579.3367),(40 1591.2799),(41 1591.9619),(42 1597.434),(43 1603.257),(44 1610.0673),(45 1614.016),(46 1610.1304),(47 1614.471),(48 1603.7555),(49 1599.6583),(50 1582.2648),(51 1561.4528),(52 1541.3782),(53 1509.9918),(54 1483.4911),(55 1469.1606),(56 1441.5082),(57 1409.8855),(58 1385.8386),(59 1364.5825),(60 1345.497),(61 1333.4337),(62 1327.1919),(63 1309.482),(64 1317.1361),(65 1295.3228),(66 1295.9486),(67 1311.782),(68 1312.3499),(69 1322.4347),(70 1327.7744),(71 1331.3132),(72 1348.5764),(73 1340.953),(74 1362.9749),(75 1393.4781),(76 1401.915),(77 1418.1345),(78 1437.5404),(79 1461.3121),
(1 636.5406),(2 807.53644),(3 890.9171),(4 926.906),(5 973.1788),(6 988.8651),(7 1037.3113),(8 1079.7959),(9 1110.8203),(10 1115.9692),(11 1145.0651),(12 1152.0237),(13 1178.0082),(14 1222.2285),(15 1259.2748),(16 1270.1431),(17 1282.4305),(18 1313.6012),(19 1323.162),(20 1337.771),(21 1357.983),(22 1384.2813),(23 1396.3661),(24 1415.3751),(25 1415.65),(26 1431.8354),(27 1433.4231),(28 1447.8928),(29 1456.2977),(30 1470.7415),(31 1496.102),(32 1509.7026),(33 1503.62),(34 1520.4667),(35 1534.7135),(36 1521.1703),(37 1537.6438),(38 1534.8276),(39 1541.6976),(40 1541.226),(41 1536.995),(42 1528.3744),(43 1526.4979),(44 1538.3354),(45 1541.453),(46 1547.4303),(47 1551.6313),(48 1523.7369),(49 1512.0547),(50 1490.2749),(51 1475.0062),(52 1453.201),(53 1423.8772),(54 1396.6871),(55 1380.8677),(56 1355.0625),(57 1334.537),(58 1310.0034),(59 1309.3177),(60 1288.3881),(61 1288.315),(62 1280.3033),(63 1270.834),(64 1263.0764),(65 1254.3538),(66 1263.4249),(67 1267.9252),(68 1269.2357),(69 1290.2343),(70 1293.8677),(71 1292.9799),(72 1295.4357),(73 1310.9539),(74 1324.5774),(75 1370.1807),(76 1374.9921),(77 1393.0701),(78 1407.885),(79 1421.2635),
(1 629.1992),(2 813.0717),(3 896.62335),(4 938.00275),(5 989.62067),(6 1007.7677),(7 1055.3446),(8 1086.5645),(9 1124.8978),(10 1143.517),(11 1178.9495),(12 1190.6908),(13 1214.2075),(14 1246.3295),(15 1269.9309),(16 1274.59),(17 1296.841),(18 1303.3312),(19 1319.8264),(20 1341.6382),(21 1355.9038),(22 1375.1321),(23 1393.3971),(24 1421.6915),(25 1431.6907),(26 1432.47),(27 1441.5985),(28 1440.7615),(29 1447.6007),(30 1469.5023),(31 1491.157),(32 1495.1614),(33 1500.4535),(34 1506.1029),(35 1505.1144),(36 1527.5708),(37 1537.166),(38 1540.0347),(39 1537.9165),(40 1547.6759),(41 1557.5176),(42 1553.6946),(43 1543.8934),(44 1557.6062),(45 1568.8872),(46 1565.621),(47 1572.2413),(48 1550.8108),(49 1544.1476),(50 1545.0438),(51 1517.1908),(52 1504.5398),(53 1472.2833),(54 1434.6995),(55 1418.0851),(56 1408.099),(57 1360.8851),(58 1349.4525),(59 1331.1326),(60 1321.6354),(61 1302.5691),(62 1291.1655),(63 1280.2091),(64 1267.8162),(65 1271.5276),(66 1280.1898),(67 1284.0809),(68 1288.0101),(69 1297.5752),(70 1308.2985),(71 1308.0261),(72 1319.8834),(73 1326.2761),(74 1349.6189),(75 1379.1381),(76 1383.1937),(77 1412.8887),(78 1416.8103),(79 1442.0543),
(1 604.9553),(2 784.8542),(3 859.2679),(4 895.3711),(5 949.95435),(6 975.8825),(7 1035.1328),(8 1074.8561),(9 1109.5736),(10 1131.5328),(11 1166.6357),(12 1190.3503),(13 1204.0449),(14 1227.2676),(15 1240.8975),(16 1244.6531),(17 1260.4923),(18 1296.8843),(19 1303.0796),(20 1322.9794),(21 1339.313),(22 1346.4052),(23 1360.1807),(24 1374.7545),(25 1408.7566),(26 1408.5981),(27 1424.0234),(28 1427.4764),(29 1435.3632),(30 1446.9698),(31 1461.6637),(32 1475.2579),(33 1480.2467),(34 1496.6719),(35 1500.7706),(36 1506.8433),(37 1507.6971),(38 1512.0283),(39 1506.5533),(40 1514.109),(41 1517.7654),(42 1526.6685),(43 1520.6901),(44 1527.3328),(45 1537.5593),(46 1524.1008),(47 1527.4417),(48 1510.2902),(49 1473.9421),(50 1465.9196),(51 1436.4452),(52 1408.9315),(53 1386.9729),(54 1374.1057),(55 1362.0193),(56 1342.0673),(57 1310.8046),(58 1297.9695),(59 1270.4298),(60 1247.5317),(61 1233.3248),(62 1224.8042),(63 1220.7448),(64 1218.596),(65 1211.6968),(66 1220.559),(67 1211.9116),(68 1227.1119),(69 1238.7518),(70 1244.4243),(71 1246.3718),(72 1268.9788),(73 1275.9261),(74 1292.9009),(75 1312.6178),(76 1322.1091),(77 1346.8573),(78 1362.3383),(79 1374.9193),
(1 604.81165),(2 797.1782),(3 859.84174),(4 904.97986),(5 943.80334),(6 973.98413),(7 1019.87396),(8 1058.4368),(9 1090.7933),(10 1107.9615),(11 1140.4128),(12 1154.8551),(13 1176.785),(14 1196.0638),(15 1210.8541),(16 1213.1718),(17 1238.8091),(18 1250.1528),(19 1274.884),(20 1288.2476),(21 1302.7495),(22 1315.4204),(23 1325.7208),(24 1352.0729),(25 1356.8799),(26 1362.9581),(27 1375.7466),(28 1373.2594),(29 1381.0311),(30 1390.58),(31 1399.8931),(32 1414.1003),(33 1422.3729),(34 1431.9911),(35 1429.4172),(36 1426.6716),(37 1436.511),(38 1430.3202),(39 1433.157),(40 1425.5447),(41 1434.7814),(42 1447.3375),(43 1438.6605),(44 1456.9012),(45 1466.2196),(46 1463.6635),(47 1447.5834),(48 1435.4677),(49 1427.1643),(50 1425.8544),(51 1405.8854),(52 1390.1957),(53 1374.0063),(54 1358.5682),(55 1326.343),(56 1307.8003),(57 1280.7117),(58 1267.892),(59 1235.5253),(60 1236.247),(61 1214.9816),(62 1202.8693),(63 1194.304),(64 1196.1382),(65 1189.5823),(66 1195.8658),(67 1211.8821),(68 1215.101),(69 1213.9036),(70 1207.2229),(71 1217.495),(72 1221.13),(73 1247.9452),(74 1253.7764),(75 1263.7849),(76 1281.4736),(77 1302.8816),(78 1325.2964),(79 1347.1708),
(1 602.9267),(2 773.57227),(3 843.82355),(4 879.47034),(5 936.7317),(6 972.71216),(7 1013.16656),(8 1053.6285),(9 1084.4084),(10 1102.2244),(11 1120.8931),(12 1140.1378),(13 1162.051),(14 1187.9568),(15 1209.2458),(16 1213.8761),(17 1229.016),(18 1253.5557),(19 1274.3462),(20 1272.3319),(21 1279.2678),(22 1302.9227),(23 1311.4894),(24 1323.942),(25 1336.6602),(26 1358.7864),(27 1352.9534),(28 1360.191),(29 1365.5303),(30 1376.7189),(31 1385.2845),(32 1397.6874),(33 1399.5806),(34 1404.9755),(35 1416.5878),(36 1421.8619),(37 1417.2897),(38 1414.5201),(39 1432.4034),(40 1422.3634),(41 1430.8832),(42 1439.5992),(43 1428.1038),(44 1432.3717),(45 1447.0593),(46 1436.135),(47 1437.7517),(48 1430.9552),(49 1423.5145),(50 1408.7059),(51 1391.8844),(52 1361.4742),(53 1343.491),(54 1326.1625),(55 1300.9954),(56 1283.8773),(57 1265.4034),(58 1242.401),(59 1229.0481),(60 1222.3074),(61 1202.7356),(62 1192.6534),(63 1201.0552),(64 1184.3402),(65 1186.278),(66 1205.1055),(67 1208.4497),(68 1207.1813),(69 1209.0901),(70 1205.954),(71 1232.1437),(72 1228.7498),(73 1237.2668),(74 1254.7133),(75 1277.1982),(76 1291.0903),(77 1298.7716),(78 1321.4728),(79 1333.3511),
(1 592.46094),(2 778.6785),(3 841.6319),(4 874.7099),(5 906.5533),(6 932.4684),(7 976.59344),(8 1012.47375),(9 1048.6505),(10 1059.1328),(11 1081.2399),(12 1103.1113),(13 1115.7754),(14 1133.0211),(15 1135.0226),(16 1137.0732),(17 1151.9991),(18 1187.3452),(19 1194.9504),(20 1204.6012),(21 1219.9333),(22 1235.8043),(23 1243.3185),(24 1273.6855),(25 1278.3293),(26 1294.1858),(27 1288.9396),(28 1297.7283),(29 1303.4501),(30 1315.0314),(31 1334.8253),(32 1349.1206),(33 1346.528),(34 1353.575),(35 1358.5116),(36 1358.3618),(37 1352.773),(38 1376.6403),(39 1373.0676),(40 1378.2098),(41 1394.8088),(42 1392.3242),(43 1380.3971),(44 1392.273),(45 1384.3473),(46 1384.3197),(47 1371.4847),(48 1372.972),(49 1359.6168),(50 1351.9772),(51 1332.2876),(52 1298.5688),(53 1280.8544),(54 1267.73),(55 1247.3376),(56 1232.1719),(57 1215.6691),(58 1195.7534),(59 1178.507),(60 1171.7247),(61 1151.5853),(62 1147.375),(63 1154.3348),(64 1153.4504),(65 1153.519),(66 1154.0112),(67 1156.0876),(68 1164.2655),(69 1163.7474),(70 1165.8317),(71 1181.0146),(72 1168.7715),(73 1186.5607),(74 1199.3923),(75 1222.703),(76 1230.9122),(77 1258.1868),(78 1270.4478),(79 1284.4163),
(1 592.3732),(2 765.0593),(3 834.69946),(4 873.68634),(5 908.7388),(6 939.58905),(7 980.64886),(8 1016.359),(9 1042.7509),(10 1062.3865),(11 1095.3031),(12 1108.0602),(13 1128.2006),(14 1154.7592),(15 1159.6041),(16 1158.1771),(17 1160.724),(18 1185.7708),(19 1219.669),(20 1223.4452),(21 1234.3038),(22 1247.8514),(23 1266.6842),(24 1285.9885),(25 1281.2902),(26 1300.0596),(27 1308.7708),(28 1315.4783),(29 1326.6182),(30 1344.05),(31 1358.5332),(32 1380.5781),(33 1389.2588),(34 1395.7399),(35 1404.3483),(36 1396.7598),(37 1392.3805),(38 1400.6981),(39 1407.4658),(40 1403.1306),(41 1408.8076),(42 1412.862),(43 1399.4806),(44 1421.0111),(45 1420.7805),(46 1421.579),(47 1393.2714),(48 1390.8011),(49 1386.831),(50 1372.4182),(51 1357.4069),(52 1330.0074),(53 1303.5756),(54 1280.7605),(55 1265.1201),(56 1241.3535),(57 1227.9402),(58 1214.6191),(59 1204.5236),(60 1194.7716),(61 1180.4899),(62 1176.9601),(63 1177.1943),(64 1168.3805),(65 1169.1619),(66 1176.1122),(67 1180.2316),(68 1176.1259),(69 1182.4021),(70 1185.998),(71 1180.2535),(72 1202.7404),(73 1211.4092),(74 1223.1708),(75 1230.5465),(76 1265.2473),(77 1282.9304),(78 1300.7756),(79 1315.012),
(1 572.41425),(2 737.0175),(3 806.78613),(4 843.396),(5 887.8101),(6 904.59717),(7 951.29706),(8 977.8414),(9 1000.4717),(10 1029.1283),(11 1062.4547),(12 1084.4425),(13 1106.6248),(14 1135.7438),(15 1136.1912),(16 1146.2714),(17 1146.4069),(18 1179.0275),(19 1208.1989),(20 1211.3458),(21 1217.4176),(22 1239.5724),(23 1258.9325),(24 1271.1187),(25 1280.261),(26 1304.9955),(27 1318.847),(28 1326.5774),(29 1328.516),(30 1332.4734),(31 1346.5221),(32 1349.2357),(33 1366.1473),(34 1379.5485),(35 1377.9677),(36 1381.6444),(37 1372.1484),(38 1374.692),(39 1390.1768),(40 1387.843),(41 1400.6288),(42 1400.7571),(43 1406.6863),(44 1408.1931),(45 1412.6759),(46 1411.436),(47 1398.3846),(48 1378.4382),(49 1381.4156),(50 1364.7472),(51 1351.8241),(52 1324.5529),(53 1297.5696),(54 1287.3787),(55 1268.6233),(56 1257.168),(57 1228.8973),(58 1225.4882),(59 1200.5834),(60 1202.2405),(61 1185.0026),(62 1171.7656),(63 1173.0598),(64 1160.342),(65 1158.0575),(66 1166.418),(67 1173.6909),(68 1171.4537),(69 1180.2943),(70 1185.2128),(71 1195.742),(72 1211.815),(73 1224.5459),(74 1230.1224),(75 1238.3965),(76 1267.9105),(77 1294.5562),(78 1313.5148),(79 1316.5282),
(1 564.86346),(2 723.457),(3 799.8038),(4 826.8302),(5 876.5374),(6 900.543),(7 927.73395),(8 947.1394),(9 972.03906),(10 986.1545),(11 1021.35205),(12 1041.8433),(13 1063.4209),(14 1077.2463),(15 1091.3909),(16 1096.4844),(17 1108.4232),(18 1131.0073),(19 1158.8893),(20 1165.1042),(21 1187.0585),(22 1187.4838),(23 1196.6228),(24 1214.601),(25 1217.6625),(26 1227.4865),(27 1240.952),(28 1251.4038),(29 1259.3483),(30 1265.9773),(31 1276.408),(32 1291.1396),(33 1290.0898),(34 1299.7084),(35 1304.6803),(36 1302.0193),(37 1307.6251),(38 1309.3649),(39 1322.9872),(40 1324.2168),(41 1323.6527),(42 1332.7192),(43 1346.7762),(44 1354.138),(45 1349.6721),(46 1345.8503),(47 1352.4242),(48 1337.6261),(49 1339.52),(50 1326.1003),(51 1326.4302),(52 1305.6127),(53 1278.7076),(54 1265.1716),(55 1255.8029),(56 1243.4418),(57 1216.3762),(58 1210.153),(59 1184.1063),(60 1175.9863),(61 1165.3678),(62 1166.1343),(63 1177.0132),(64 1168.4703),(65 1153.7687),(66 1177.0603),(67 1175.8801),(68 1183.7412),(69 1182.6091),(70 1180.9583),(71 1186.7185),(72 1193.8676),(73 1196.4072),(74 1197.0488),(75 1206.8644),(76 1228.3043),(77 1237.5413),(78 1240.2937),(79 1243.4696),
(1 552.2091),(2 715.05664),(3 784.7095),(4 820.2955),(5 865.9212),(6 877.49713),(7 913.1379),(8 947.9678),(9 964.9669),(10 981.44),(11 1010.1191),(12 1018.7324),(13 1049.6427),(14 1071.3088),(15 1090.587),(16 1083.856),(17 1082.1077),(18 1105.2468),(19 1134.3586),(20 1151.3611),(21 1162.0316),(22 1180.0087),(23 1206.264),(24 1214.9961),(25 1220.1139),(26 1234.1255),(27 1231.5376),(28 1241.3303),(29 1251.2595),(30 1256.0881),(31 1261.6382),(32 1273.7314),(33 1291.2456),(34 1306.4365),(35 1312.8439),(36 1310.1824),(37 1306.33),(38 1306.3091),(39 1318.673),(40 1325.6876),(41 1321.8484),(42 1332.4362),(43 1330.8564),(44 1331.2946),(45 1345.8278),(46 1343.5359),(47 1339.0233),(48 1327.8402),(49 1327.0264),(50 1321.3105),(51 1295.2771),(52 1280.7604),(53 1256.167),(54 1255.7565),(55 1234.8402),(56 1218.0751),(57 1206.3854),(58 1208.1111),(59 1183.2117),(60 1162.8522),(61 1155.2732),(62 1142.3563),(63 1147.8168),(64 1144.7418),(65 1142.8065),(66 1143.2887),(67 1143.5198),(68 1148.5804),(69 1152.7742),(70 1154.2174),(71 1154.9896),(72 1165.8574),(73 1173.2256),(74 1192.1299),(75 1187.0013),(76 1193.391),(77 1227.2634),(78 1222.5255),(79 1227.706),
