1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 169254.83),(2 463810),(3 793416.5),(4 1202980.1),(5 1608182.4),(6 1952046.6),(7 2324070.3),(8 2698090.8),(9 2980483.8),(10 3275501.8),(11 3561113.3),(12 3661250.3),(13 3694328.3),(14 3741347.3),(15 3764650.3),(16 3737022.8),(17 3633175.3),(18 3565280.3),(19 3613369.3),(20 3590779.3),(21 3555647),(22 3601955.3),(23 3725123.8),(24 3764456),(25 3757916.8),(26 3974414),(27 4404733),(28 4807266.5),(29 5313965.5),(30 6221090),(31 7017115.5),(32 7441190),(33 8296191.5),(34 9248479),(35 9921252),(36 10229265),(37 10864444),(38 11471333),(39 12285363),(40 12906000),(41 13272815),(42 13745216),(43 14366565),(44 14823520),(45 15255299),(46 15536581),(47 15815309),(48 16133863),(49 16187720),(50 16302328),(51 16563779),(52 16467932),(53 16451052),(54 16368004),(55 16093925),(56 16009619),(57 15957296),(58 15663072),(59 15474136),(60 15442187),(61 15341469),(62 15102357),(63 14836495),(64 14571216),(65 14340851),(66 14031439),(67 13701924),(68 13408855),(69 13290828),(70 13283196),(71 13130261),(72 13072416),(73 13400485),(74 13393333),(75 13190360),(76 13655515),(77 14685699),(78 15888173),(79 17221778),
(1 56.172115),(2 62.169025),(3 65.55548),(4 67.11166),(5 67.0558),(6 67.32924),(7 68.58433),(8 68.717415),(9 69.97685),(10 68.73591),(11 68.66138),(12 69.706985),(13 70.58165),(14 69.921486),(15 69.15801),(16 69.35579),(17 69.176025),(18 69.70657),(19 68.80017),(20 69.62704),(21 70.5689),(22 70.8599),(23 70.26927),(24 70.46423),(25 70.83623),(26 69.56405),(27 69.67487),(28 70.84094),(29 70.58928),(30 70.09281),(31 71.11515),(32 70.19256),(33 71.24088),(34 69.77813),(35 70.23376),(36 70.5747),(37 70.2796),(38 70.82235),(39 71.982994),(40 71.8199),(41 72.336),(42 71.28418),(43 71.79126),(44 71.52415),(45 72.078224),(46 71.74356),(47 70.44716),(48 71.28742),(49 72.5366),(50 72.355736),(51 71.455925),(52 70.80677),(53 71.072426),(54 71.342255),(55 71.54922),(56 71.13555),(57 71.02395),(58 70.26864),(59 70.99971),(60 70.76974),(61 69.88042),(62 70.465256),(63 70.528915),(64 70.76665),(65 70.91072),(66 69.781456),(67 69.597694),(68 70.559204),(69 70.7769),(70 70.12266),(71 70.80638),(72 71.59984),(73 71.47069),(74 72.55643),(75 71.6029),(76 71.04233),(77 71.922714),(78 71.01633),(79 71.62869),
(1 55.611725),(2 61.887836),(3 63.95345),(4 65.53339),(5 66.81961),(6 66.943375),(7 67.17868),(8 67.33254),(9 69.24797),(10 68.133766),(11 68.02692),(12 69.02628),(13 70.50071),(14 69.448975),(15 68.98086),(16 68.60146),(17 70.00085),(18 70.052574),(19 70.01969),(20 69.6847),(21 70.89036),(22 69.245605),(23 68.98039),(24 68.78802),(25 69.05666),(26 68.27939),(27 68.83079),(28 68.30512),(29 68.858574),(30 68.30617),(31 68.86631),(32 67.67153),(33 68.85328),(34 69.248795),(35 69.13902),(36 69.466896),(37 68.87727),(38 69.32241),(39 69.042206),(40 70.27078),(41 70.899506),(42 70.42402),(43 69.918564),(44 69.83533),(45 70.23697),(46 69.381966),(47 69.721725),(48 70.350914),(49 70.24966),(50 69.87007),(51 69.048645),(52 68.6721),(53 69.91056),(54 69.750435),(55 70.376495),(56 70.503586),(57 71.107124),(58 70.752846),(59 70.63395),(60 70.75769),(61 70.09586),(62 70.65006),(63 69.30349),(64 70.34676),(65 70.91579),(66 70.10595),(67 70.02907),(68 69.37714),(69 69.46913),(70 69.331856),(71 70.07407),(72 69.73799),(73 69.94466),(74 70.002075),(75 69.52772),(76 69.854614),(77 70.42638),(78 69.19221),(79 69.779945),
(1 55.719006),(2 61.324898),(3 64.43908),(4 65.0495),(5 66.396065),(6 66.58005),(7 67.790855),(8 67.13206),(9 68.97191),(10 68.14548),(11 68.49731),(12 69.46828),(13 69.6859),(14 68.638),(15 69.17309),(16 68.19504),(17 68.08988),(18 67.559784),(19 68.32407),(20 67.73911),(21 68.7574),(22 67.8602),(23 67.90469),(24 68.318245),(25 67.93191),(26 67.64637),(27 68.11755),(28 68.496796),(29 68.18591),(30 66.95067),(31 68.730995),(32 67.90536),(33 68.623245),(34 68.83529),(35 68.5599),(36 68.93918),(37 70.08146),(38 68.83159),(39 69.450836),(40 71.424164),(41 71.109665),(42 70.00323),(43 70.70833),(44 69.931984),(45 70.44688),(46 70.25148),(47 69.97262),(48 70.41243),(49 71.40327),(50 70.45395),(51 69.99897),(52 69.67798),(53 69.56147),(54 69.478195),(55 69.51584),(56 69.73551),(57 68.932465),(58 68.891266),(59 69.569786),(60 68.78955),(61 69.9324),(62 70.111824),(63 69.54975),(64 69.13181),(65 68.93235),(66 69.43337),(67 68.42528),(68 68.28677),(69 68.401566),(70 68.750885),(71 69.90798),(72 69.913704),(73 70.3468),(74 69.81672),(75 70.01432),(76 70.23578),(77 70.21583),(78 69.680435),(79 71.436134),
(1 54.210648),(2 60.834686),(3 64.27627),(4 65.78912),(5 65.53875),(6 65.53857),(7 66.5118),(8 67.19499),(9 68.5837),(10 67.79097),(11 68.39788),(12 68.41562),(13 69.61858),(14 68.315575),(15 68.774),(16 68.659),(17 69.72566),(18 69.101326),(19 69.71626),(20 69.127594),(21 69.425385),(22 68.82102),(23 68.55172),(24 68.2971),(25 68.3959),(26 68.11408),(27 68.14258),(28 68.10308),(29 67.741776),(30 67.39806),(31 67.82829),(32 67.54602),(33 68.16048),(34 67.932045),(35 68.91321),(36 67.38671),(37 68.73881),(38 69.19509),(39 70.1335),(40 69.49808),(41 70.14769),(42 70.74889),(43 69.59525),(44 69.70489),(45 70.27682),(46 69.66989),(47 70.370834),(48 70.45015),(49 70.98392),(50 70.75673),(51 70.17798),(52 69.20615),(53 69.466354),(54 68.86407),(55 69.81153),(56 69.486465),(57 69.73267),(58 68.754265),(59 69.63464),(60 68.762115),(61 69.348274),(62 70.23312),(63 68.522446),(64 68.22805),(65 68.74168),(66 68.642395),(67 68.26418),(68 67.841736),(69 68.24666),(70 68.93651),(71 69.7665),(72 69.431786),(73 69.77476),(74 69.0089),(75 69.65797),(76 69.39104),(77 69.72341),(78 68.57965),(79 69.52978),
(1 52.989918),(2 60.080334),(3 63.046406),(4 63.33564),(5 63.840958),(6 64.04626),(7 65.433784),(8 65.7826),(9 66.64947),(10 66.50236),(11 66.12688),(12 66.058784),(13 67.04874),(14 66.70134),(15 66.35903),(16 66.13996),(17 67.35972),(18 66.36946),(19 66.31998),(20 66.27561),(21 66.38327),(22 66.3502),(23 65.56629),(24 65.66999),(25 65.31485),(26 65.27767),(27 65.07263),(28 65.73494),(29 66.945076),(30 66.76293),(31 66.614944),(32 65.63165),(33 66.1804),(34 66.97662),(35 67.25499),(36 66.55854),(37 67.990814),(38 67.40665),(39 68.19968),(40 68.221466),(41 69.49953),(42 68.92957),(43 68.503685),(44 67.37837),(45 69.21009),(46 67.73033),(47 67.86454),(48 68.35755),(49 68.05142),(50 68.12846),(51 68.433235),(52 67.572235),(53 67.79614),(54 68.105385),(55 68.4223),(56 67.71222),(57 68.495705),(58 67.212585),(59 67.465195),(60 67.8681),(61 67.344055),(62 67.11557),(63 66.15204),(64 66.05893),(65 67.1741),(66 66.75039),(67 67.16336),(68 66.863266),(69 66.3042),(70 66.36108),(71 67.09492),(72 66.72983),(73 67.46233),(74 67.825485),(75 66.93612),(76 67.75951),(77 68.12011),(78 67.47763),(79 68.13063),
(1 52.549286),(2 59.40785),(3 62.38885),(4 63.03599),(5 63.12178),(6 64.071594),(7 64.290016),(8 64.68047),(9 65.76465),(10 65.28633),(11 65.35835),(12 65.405876),(13 66.159164),(14 65.57744),(15 65.19182),(16 65.67191),(17 65.979805),(18 65.06775),(19 65.75725),(20 65.634476),(21 65.5669),(22 65.29714),(23 65.00726),(24 64.51314),(25 65.696655),(26 64.899796),(27 64.90642),(28 64.980286),(29 66.21181),(30 64.79795),(31 64.53257),(32 64.30655),(33 65.57753),(34 65.94363),(35 66.03126),(36 65.40696),(37 65.88208),(38 65.70647),(39 67.17403),(40 68.027306),(41 68.0809),(42 67.55853),(43 67.93526),(44 67.22694),(45 68.412346),(46 67.344536),(47 67.19773),(48 67.99983),(49 67.845695),(50 68.35313),(51 66.82184),(52 67.027176),(53 68.20708),(54 67.43942),(55 68.25651),(56 67.4538),(57 68.17265),(58 67.15533),(59 67.51386),(60 67.550224),(61 67.95706),(62 67.94975),(63 66.783844),(64 66.94113),(65 67.56087),(66 66.397316),(67 66.190674),(68 65.725685),(69 66.50397),(70 66.341125),(71 67.17613),(72 67.16421),(73 67.81826),(74 67.237305),(75 66.6939),(76 67.59249),(77 67.40834),(78 67.09409),(79 67.06155),
(1 52.040524),(2 58.18487),(3 59.394684),(4 61.39123),(5 61.33835),(6 62.609955),(7 63.4701),(8 63.780987),(9 64.454735),(10 64.50192),(11 63.72222),(12 63.927933),(13 65.81962),(14 64.69953),(15 65.23951),(16 64.74428),(17 66.15227),(18 64.0247),(19 64.67006),(20 64.417694),(21 64.58641),(22 64.02614),(23 63.498722),(24 63.25375),(25 63.970764),(26 63.72884),(27 64.24916),(28 63.72595),(29 65.01002),(30 64.06522),(31 63.839912),(32 63.319782),(33 64.39098),(34 63.97975),(35 64.48294),(36 63.934692),(37 64.87243),(38 64.20258),(39 65.129776),(40 65.32594),(41 64.37093),(42 65.7074),(43 65.85802),(44 65.488304),(45 66.40204),(46 66.497894),(47 67.015755),(48 66.05212),(49 67.30985),(50 66.941895),(51 66.79172),(52 65.34494),(53 65.99063),(54 65.84023),(55 65.297585),(56 65.73287),(57 65.7523),(58 64.51474),(59 64.19318),(60 65.14983),(61 65.80396),(62 65.63005),(63 64.61387),(64 64.94755),(65 65.31896),(66 64.65678),(67 64.37211),(68 64.37661),(69 65.052216),(70 65.14078),(71 66.34069),(72 65.67682),(73 65.653305),(74 66.05039),(75 64.82167),(76 65.67883),(77 65.67499),(78 65.98041),(79 66.25165),
(1 52.520393),(2 59.000538),(3 61.47149),(4 62.046444),(5 61.470303),(6 62.826664),(7 63.620495),(8 63.844612),(9 63.828896),(10 64.08829),(11 64.72677),(12 64.990715),(13 64.68616),(14 64.493935),(15 64.57089),(16 64.84982),(17 65.61547),(18 63.411728),(19 63.568016),(20 64.42129),(21 63.899845),(22 63.173218),(23 63.066486),(24 63.89779),(25 64.27107),(26 63.39411),(27 63.071095),(28 63.653027),(29 64.019),(30 64.211555),(31 63.373917),(32 63.072517),(33 63.95692),(34 64.09235),(35 65.10276),(36 64.56231),(37 64.92318),(38 64.29739),(39 65.44171),(40 65.72626),(41 65.69355),(42 65.84574),(43 65.82373),(44 65.57961),(45 65.87219),(46 65.490685),(47 66.08722),(48 65.51261),(49 65.63703),(50 65.56481),(51 64.6194),(52 64.07117),(53 65.14706),(54 64.8459),(55 65.76476),(56 65.6218),(57 65.77516),(58 66.31325),(59 66.536385),(60 65.92537),(61 66.8388),(62 66.23832),(63 65.88918),(64 66.085175),(65 66.44102),(66 65.93598),(67 66.645226),(68 66.06148),(69 65.89912),(70 66.20043),(71 66.619095),(72 65.81855),(73 67.151634),(74 66.55639),(75 65.31266),(76 66.140274),(77 67.04592),(78 66.4605),(79 66.37223),
(1 51.418247),(2 57.38694),(3 59.968895),(4 60.669434),(5 61.51439),(6 61.179302),(7 61.866116),(8 61.03332),(9 62.55809),(10 62.373505),(11 63.30514),(12 62.92932),(13 63.665417),(14 62.831406),(15 62.952293),(16 63.05898),(17 62.420567),(18 61.58081),(19 62.398438),(20 62.626717),(21 62.068577),(22 61.468315),(23 61.76199),(24 61.997375),(25 62.934353),(26 62.9717),(27 62.12536),(28 62.630394),(29 63.572765),(30 62.457943),(31 63.54168),(32 63.071175),(33 64.41871),(34 63.665596),(35 63.873985),(36 63.31026),(37 64.82802),(38 64.419106),(39 64.78726),(40 65.33496),(41 66.195305),(42 65.818054),(43 65.76684),(44 65.4846),(45 66.19209),(46 64.77322),(47 65.26292),(48 65.33703),(49 65.74309),(50 65.45883),(51 65.33087),(52 64.050476),(53 64.19643),(54 64.096),(55 64.95176),(56 65.03791),(57 65.57913),(58 65.091286),(59 64.76926),(60 64.3017),(61 65.12157),(62 64.96689),(63 63.874916),(64 65.2743),(65 65.51618),(66 64.854126),(67 65.21237),(68 64.67282),(69 65.17655),(70 65.93423),(71 66.23517),(72 66.34199),(73 66.61285),(74 65.27646),(75 64.37067),(76 64.42361),(77 65.37224),(78 65.83382),(79 64.95431),
(1 50.443527),(2 56.162098),(3 59.084793),(4 60.314087),(5 60.563984),(6 60.08563),(7 62.08392),(8 61.549034),(9 63.43731),(10 62.168972),(11 62.733788),(12 64.11194),(13 63.299007),(14 62.56416),(15 62.567257),(16 62.982765),(17 63.256035),(18 61.704937),(19 62.552895),(20 62.5959),(21 62.586674),(22 61.722347),(23 62.035408),(24 62.207436),(25 62.54945),(26 61.289516),(27 61.870724),(28 61.289104),(29 62.410957),(30 60.981483),(31 60.562134),(32 61.563118),(33 62.433674),(34 62.75316),(35 61.758152),(36 61.649788),(37 62.688515),(38 62.037266),(39 62.143005),(40 62.93987),(41 64.36765),(42 63.71163),(43 64.096085),(44 63.42659),(45 63.557594),(46 63.14097),(47 64.29244),(48 64.29551),(49 64.951096),(50 64.971756),(51 64.24023),(52 63.684002),(53 64.14999),(54 63.966927),(55 63.574287),(56 63.90551),(57 63.961136),(58 64.22502),(59 64.1165),(60 63.471466),(61 63.009113),(62 63.345623),(63 63.000195),(64 62.674496),(65 64.15905),(66 62.311428),(67 63.339935),(68 63.333675),(69 62.86223),(70 63.27989),(71 63.924324),(72 63.47431),(73 64.06607),(74 64.35324),(75 63.668716),(76 64.32),(77 64.67935),(78 65.667984),(79 65.77578),
(1 51.08394),(2 57.595684),(3 59.608402),(4 60.584293),(5 60.78169),(6 61.111443),(7 62.101467),(8 61.17218),(9 63.11453),(10 62.7927),(11 63.291435),(12 62.96155),(13 63.239265),(14 63.913464),(15 63.183823),(16 63.364754),(17 62.85584),(18 62.366364),(19 62.12417),(20 62.637318),(21 62.472237),(22 61.664032),(23 62.483437),(24 61.761997),(25 62.87907),(26 62.292458),(27 62.387493),(28 62.78304),(29 62.47081),(30 62.41107),(31 61.807396),(32 61.719578),(33 62.228367),(34 63.11655),(35 62.413113),(36 63.01115),(37 63.772823),(38 63.477905),(39 63.625145),(40 64.184685),(41 65.42354),(42 64.70765),(43 65.469666),(44 64.11764),(45 63.887707),(46 63.01288),(47 63.4418),(48 64.70877),(49 64.63634),(50 64.01888),(51 63.599586),(52 63.042084),(53 64.497406),(54 63.758827),(55 64.70553),(56 64.232025),(57 65.47618),(58 65.3764),(59 64.49451),(60 64.100655),(61 63.8985),(62 63.724686),(63 63.30834),(64 63.393414),(65 64.9307),(66 62.7612),(67 63.74722),(68 62.928608),(69 62.47603),(70 63.40425),(71 64.77059),(72 63.984367),(73 64.84253),(74 64.33042),(75 64.31689),(76 64.79693),(77 65.66284),(78 64.85338),(79 65.07544),
(1 48.470623),(2 54.584873),(3 57.36075),(4 58.240158),(5 57.787727),(6 59.311447),(7 59.418236),(8 59.740093),(9 60.8127),(10 60.04169),(11 60.27333),(12 60.144287),(13 60.648228),(14 60.26151),(15 60.164574),(16 60.680466),(17 61.026493),(18 60.108253),(19 60.609623),(20 59.962254),(21 61.117714),(22 60.08744),(23 60.248066),(24 59.824684),(25 61.319775),(26 60.695538),(27 60.11111),(28 60.314434),(29 60.064323),(30 60.388638),(31 60.491734),(32 59.895607),(33 60.279476),(34 61.169315),(35 61.01069),(36 59.927223),(37 61.453255),(38 62.044018),(39 61.93052),(40 62.086796),(41 62.457157),(42 62.02146),(43 62.25383),(44 61.86588),(45 61.725952),(46 61.24179),(47 61.753624),(48 62.29598),(49 62.935677),(50 62.88536),(51 61.357376),(52 61.551163),(53 61.62502),(54 61.194695),(55 61.731174),(56 60.67163),(57 61.198055),(58 61.118687),(59 60.964012),(60 61.136005),(61 61.802296),(62 61.278976),(63 61.368675),(64 60.9297),(65 62.35181),(66 61.54017),(67 62.403343),(68 61.167435),(69 62.04934),(70 62.46314),(71 62.119274),(72 62.536266),(73 62.93599),(74 62.34336),(75 61.946102),(76 62.74417),(77 63.2834),(78 63.02662),(79 63.57998),
(1 48.42171),(2 54.28183),(3 56.52275),(4 57.427925),(5 58.01667),(6 58.55163),(7 59.118977),(8 59.818836),(9 60.719196),(10 60.412086),(11 60.09154),(12 60.000755),(13 61.28617),(14 60.697758),(15 60.404526),(16 61.052353),(17 61.385807),(18 60.897736),(19 61.231365),(20 60.79261),(21 61.574245),(22 60.291557),(23 59.96232),(24 60.3823),(25 61.45377),(26 60.4038),(27 60.042995),(28 60.09012),(29 60.92054),(30 60.12146),(31 59.81032),(32 60.24583),(33 60.416267),(34 60.372677),(35 60.375916),(36 60.16741),(37 61.433903),(38 60.751682),(39 61.214153),(40 60.87643),(41 62.589138),(42 61.8015),(43 61.958347),(44 62.087914),(45 61.866276),(46 62.048428),(47 62.36846),(48 62.608463),(49 61.88138),(50 61.250828),(51 60.804398),(52 60.679596),(53 60.78485),(54 60.644978),(55 60.783417),(56 61.285988),(57 61.47132),(58 60.785667),(59 60.582092),(60 60.353756),(61 60.734615),(62 61.00872),(63 60.57915),(64 60.74609),(65 61.073788),(66 60.291138),(67 60.720123),(68 60.23132),(69 60.503742),(70 60.810913),(71 62.300346),(72 62.29659),(73 62.890522),(74 62.70082),(75 61.12818),(76 61.611694),(77 62.501595),(78 62.98314),(79 62.82476),
(1 48.602634),(2 54.519844),(3 56.06915),(4 57.084866),(5 57.564728),(6 58.16926),(7 59.300938),(8 58.769558),(9 59.29391),(10 59.317184),(11 59.955433),(12 59.29703),(13 60.963364),(14 59.649685),(15 60.409576),(16 59.84292),(17 60.34721),(18 59.41615),(19 59.4971),(20 59.11694),(21 58.57458),(22 58.110626),(23 58.07494),(24 58.819374),(25 59.294662),(26 59.505276),(27 59.484734),(28 60.565914),(29 60.921795),(30 60.97647),(31 60.44554),(32 59.848618),(33 60.018368),(34 60.451374),(35 61.179546),(36 62.22432),(37 62.076168),(38 61.328377),(39 61.088318),(40 61.51646),(41 62.19571),(42 61.892876),(43 61.34202),(44 61.808216),(45 61.882477),(46 61.7402),(47 61.692596),(48 60.864105),(49 60.153824),(50 60.64326),(51 60.670147),(52 60.479195),(53 60.247463),(54 60.19026),(55 60.306656),(56 60.94176),(57 60.78985),(58 60.5571),(59 60.846527),(60 60.617836),(61 60.274574),(62 60.402725),(63 59.135082),(64 59.85003),(65 60.392982),(66 60.710518),(67 59.56251),(68 60.243675),(69 60.511448),(70 60.81683),(71 61.48738),(72 61.345665),(73 61.24354),(74 60.883118),(75 60.607536),(76 60.791637),(77 60.884186),(78 60.94137),(79 61.45878),
(1 47.52498),(2 52.064827),(3 55.09732),(4 55.784397),(5 56.28024),(6 56.805294),(7 58.312283),(8 57.856754),(9 59.496746),(10 59.250923),(11 59.222664),(12 59.151466),(13 59.92667),(14 59.004128),(15 58.539997),(16 59.03317),(17 59.195934),(18 59.062206),(19 59.22366),(20 58.671368),(21 58.70619),(22 58.646236),(23 58.490555),(24 58.19646),(25 58.3066),(26 58.1417),(27 57.659595),(28 58.03923),(29 58.576084),(30 58.26318),(31 58.423195),(32 57.513725),(33 58.302605),(34 58.18381),(35 59.244427),(36 58.960796),(37 59.093853),(38 59.495064),(39 60.10965),(40 60.735535),(41 60.79464),(42 61.028847),(43 60.975945),(44 60.91352),(45 60.70555),(46 60.88811),(47 60.687016),(48 60.421124),(49 60.32739),(50 60.31783),(51 60.06786),(52 60.56528),(53 61.11078),(54 59.751965),(55 59.952118),(56 59.857204),(57 60.105835),(58 59.86395),(59 60.259514),(60 60.439713),(61 60.366302),(62 59.75675),(63 59.617714),(64 59.118557),(65 59.379963),(66 58.75716),(67 58.341717),(68 58.29739),(69 59.282513),(70 58.75207),(71 59.66857),(72 59.433582),(73 60.261265),(74 60.023552),(75 59.35198),(76 59.614925),(77 60.024986),(78 59.85299),(79 60.22002),
(1 47.87271),(2 53.14479),(3 56.11037),(4 57.058212),(5 57.283623),(6 57.53746),(7 57.59785),(8 58.901024),(9 59.851166),(10 59.85212),(11 59.0568),(12 59.6108),(13 59.284798),(14 59.852528),(15 58.270966),(16 59.314793),(17 60.583996),(18 59.459904),(19 59.87189),(20 60.018234),(21 59.603344),(22 59.51148),(23 58.828026),(24 58.841522),(25 59.290955),(26 58.587666),(27 58.689342),(28 58.499313),(29 57.849934),(30 58.194027),(31 59.18976),(32 59.493435),(33 59.618427),(34 59.34589),(35 59.76054),(36 59.407932),(37 60.13794),(38 59.9613),(39 59.474068),(40 60.03111),(41 60.862785),(42 60.920113),(43 60.163486),(44 60.99785),(45 61.660564),(46 60.663017),(47 60.09389),(48 60.699905),(49 60.844112),(50 61.002068),(51 61.389305),(52 60.723778),(53 60.608093),(54 59.602303),(55 59.316536),(56 59.41089),(57 60.16128),(58 58.336193),(59 59.64385),(60 59.614487),(61 59.71766),(62 59.61428),(63 59.11805),(64 58.86296),(65 59.093098),(66 58.389965),(67 59.11675),(68 58.224014),(69 59.38873),(70 59.348343),(71 59.68731),(72 60.256004),(73 60.18807),(74 60.05739),(75 59.494656),(76 60.51737),(77 60.66058),(78 61.027584),(79 61.184402),
(1 46.507454),(2 51.573036),(3 54.355446),(4 55.67444),(5 56.81939),(6 56.56216),(7 57.430832),(8 58.217075),(9 58.81219),(10 58.144756),(11 57.83663),(12 57.575184),(13 57.8326),(14 58.00918),(15 57.401463),(16 57.68325),(17 58.06816),(18 57.558666),(19 57.69908),(20 57.669167),(21 57.359756),(22 56.65372),(23 56.744553),(24 56.60259),(25 57.45691),(26 56.511833),(27 56.120586),(28 56.05503),(29 57.610264),(30 57.51043),(31 57.041245),(32 56.778805),(33 56.63845),(34 57.49465),(35 57.936756),(36 57.74509),(37 58.549904),(38 58.252285),(39 58.231308),(40 58.80647),(41 59.450237),(42 59.13274),(43 58.8406),(44 58.50685),(45 58.924572),(46 59.52328),(47 58.600456),(48 59.07622),(49 59.094147),(50 59.641834),(51 57.79116),(52 58.1557),(53 58.478817),(54 58.266415),(55 58.84351),(56 58.701008),(57 59.86134),(58 58.64295),(59 57.870663),(60 58.01877),(61 58.666405),(62 58.979687),(63 57.59706),(64 56.50961),(65 57.77358),(66 57.041367),(67 56.97767),(68 57.23396),(69 57.69746),(70 57.679707),(71 58.18974),(72 57.739014),(73 57.957825),(74 57.713165),(75 58.210953),(76 57.757576),(77 58.64788),(78 57.81607),(79 58.409893),
(1 46.801987),(2 51.904984),(3 54.53613),(4 55.358273),(5 55.67844),(6 55.285805),(7 56.950893),(8 57.45778),(9 58.209545),(10 58.500896),(11 57.681732),(12 57.684235),(13 58.663654),(14 57.658062),(15 57.543877),(16 57.723114),(17 57.907814),(18 58.08298),(19 58.377804),(20 57.57863),(21 57.996128),(22 57.31249),(23 57.89242),(24 57.15421),(25 57.446594),(26 57.62049),(27 57.232166),(28 57.098354),(29 57.777428),(30 57.15287),(31 57.421654),(32 57.994736),(33 57.891712),(34 57.96656),(35 58.508152),(36 58.125828),(37 58.89521),(38 59.25529),(39 59.396736),(40 59.297478),(41 59.929115),(42 59.884052),(43 59.39151),(44 59.22083),(45 60.214134),(46 59.23807),(47 58.860493),(48 58.428986),(49 59.295433),(50 58.931267),(51 59.321224),(52 58.646687),(53 58.808594),(54 59.347607),(55 59.15278),(56 59.92831),(57 59.541595),(58 59.165775),(59 59.055332),(60 58.98904),(61 59.50735),(62 59.93281),(63 58.22149),(64 57.865337),(65 58.68919),(66 58.18112),(67 57.591984),(68 58.429672),(69 58.19614),(70 58.936188),(71 58.98157),(72 59.38757),(73 59.332447),(74 59.350708),(75 58.427242),(76 59.02734),(77 58.474537),(78 58.378273),(79 59.24319),
