1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 53551.7),(2 179695.52),(3 358648.25),(4 562285.25),(5 791010.2),(6 1000508.94),(7 1229753.6),(8 1440713.6),(9 1611287.4),(10 1760649),(11 1854072),(12 1950039),(13 2033855.9),(14 2105444.8),(15 2284217),(16 2653960.5),(17 3008713.3),(18 3378676.8),(19 3762382),(20 4158821),(21 4512551.5),(22 4802816),(23 5059641.5),(24 5284879.5),(25 5526219.5),(26 5736603.5),(27 6001191.5),(28 6223210.5),(29 6451521.5),(30 6710024.5),(31 7036650.5),(32 7398201.5),(33 7798350.5),(34 8242756),(35 8694999),(36 9192993),(37 9688970),(38 10215493),(39 10688216),(40 11115823),(41 11556985),(42 12027191),(43 12494609),(44 12833445),(45 13158324),(46 13446283),(47 13671059),(48 13906087),(49 14185849),(50 14506573),(51 14795493),(52 15082093),(53 15429695),(54 15697668),(55 16003416),(56 16320860),(57 16677840),(58 16946464),(59 17139166),(60 17281418),(61 17424518),(62 17524648),(63 17624480),(64 17714786),(65 17891592),(66 18145606),(67 18416818),(68 18809938),(69 19169236),(70 19478564),(71 19742354),(72 19944274),(73 20124260),(74 20217728),(75 20385674),(76 20476494),(77 20554824),(78 20582712),(79 20565698),
(1 3897.0476),(2 7037.431),(3 7874.7827),(4 8452.881),(5 9318.756),(6 9882.159),(7 10124.808),(8 10723.368),(9 11452.136),(10 12220.962),(11 13091.857),(12 13990.789),(13 14869.193),(14 15509.955),(15 16218.721),(16 16908.62),(17 17387.396),(18 18297.924),(19 19125.738),(20 19700.025),(21 20468.336),(22 21135.238),(23 22128.482),(24 22802.61),(25 23620.186),(26 24433.063),(27 24760.998),(28 25292.105),(29 25879.254),(30 26309.121),(31 26594.324),(32 26938.965),(33 27222.273),(34 27130.64),(35 27091.29),(36 27228.94),(37 27277.615),(38 27201.188),(39 26983.143),(40 26617.717),(41 26308.71),(42 26113.04),(43 25710.762),(44 25514.18),(45 25357.055),(46 24869.244),(47 24462.451),(48 24392.318),(49 24285.666),(50 23745.996),(51 23311.08),(52 23073.137),(53 22517.902),(54 22223.205),(55 22124.14),(56 21991.748),(57 21666.742),(58 21457.158),(59 21166.2),(60 20825.156),(61 20898.813),(62 20727.307),(63 20682.504),(64 20515.07),(65 20135.326),(66 19792.857),(67 19554.758),(68 19186.258),(69 18939.436),(70 18647.488),(71 18466.283),(72 18311.021),(73 18004.158),(74 18132.076),(75 18237.527),(76 18279.53),(77 18396.775),(78 18445.123),(79 18374.309),
(1 3856.3865),(2 6945.1206),(3 7778.1265),(4 8211.764),(5 9076.695),(6 9564.19),(7 9708.485),(8 10255.723),(9 11017.8955),(10 11941.565),(11 12667.458),(12 13603.236),(13 14449.922),(14 15135.883),(15 15841.456),(16 16433.406),(17 16825.475),(18 17526.922),(19 18253.73),(20 18890.172),(21 19762.16),(22 20465.145),(23 21207.049),(24 21806.941),(25 22633.19),(26 23474.912),(27 23863.51),(28 24290.598),(29 24944.604),(30 25293.045),(31 25502.6),(32 25862.873),(33 26067.342),(34 26293.77),(35 26308.049),(36 26277.883),(37 26188.191),(38 26179.262),(39 26009.209),(40 25654.088),(41 25534.668),(42 25331.465),(43 25022.303),(44 24733.025),(45 24578.686),(46 24181.799),(47 23762.836),(48 23509.258),(49 23535.205),(50 23033.402),(51 22597.719),(52 22392.11),(53 21797.652),(54 21426.799),(55 21141.268),(56 20810.045),(57 20509.375),(58 20163.078),(59 19878.328),(60 19584.736),(61 19480.342),(62 19392.281),(63 19406.994),(64 19408.43),(65 19132.094),(66 18823.443),(67 18560.248),(68 18189.566),(69 17863.918),(70 17472.377),(71 17414.758),(72 17409.074),(73 17241.334),(74 17354.533),(75 17548.484),(76 17506.607),(77 17640.941),(78 17618.943),(79 17680.416),
(1 3818.5554),(2 6722.2026),(3 7236.8096),(4 7715.1074),(5 8588.97),(6 9057.258),(7 9255.433),(8 9850.031),(9 10565.427),(10 11269.697),(11 11872.0205),(12 12568.431),(13 13317.321),(14 13856.905),(15 14440.064),(16 15041.477),(17 15429.739),(18 16037.686),(19 16653.627),(20 17163.564),(21 17870.34),(22 18444.01),(23 18997.768),(24 19361.945),(25 20135.547),(26 20799.594),(27 21338.318),(28 21780.646),(29 22142.996),(30 22395.037),(31 22694.443),(32 22936.393),(33 23168.68),(34 23144.492),(35 23267.285),(36 23164.469),(37 23165.588),(38 23185.313),(39 23092.08),(40 22808.682),(41 22686.867),(42 22687.787),(43 22452.629),(44 22139.5),(45 21876.43),(46 21508.305),(47 21337.102),(48 21208.611),(49 21117.01),(50 20730.057),(51 20398.385),(52 20082.982),(53 19533.97),(54 19169.883),(55 18925.137),(56 18696.809),(57 18467.582),(58 18259.016),(59 18070.107),(60 17784.02),(61 17622.229),(62 17497.678),(63 17405.324),(64 17295.7),(65 17044.943),(66 16671.576),(67 16336.796),(68 16069.143),(69 15834.102),(70 15503.515),(71 15371.894),(72 15377.252),(73 15291.873),(74 15359.682),(75 15347.362),(76 15205.212),(77 15378.291),(78 15351.365),(79 15439.523),
(1 3697.1294),(2 6514.9863),(3 7200.6797),(4 7662.1875),(5 8395.385),(6 8907.187),(7 9242.044),(8 9911.327),(9 10550.15),(10 11121.731),(11 11754.096),(12 12386.98),(13 13107.879),(14 13683.475),(15 14200.572),(16 14868.714),(17 15443.972),(18 16060.291),(19 16745.064),(20 17328.164),(21 18013.396),(22 18605.592),(23 19171.434),(24 19592.225),(25 20178.979),(26 20702.441),(27 21250.572),(28 21811.219),(29 22231.365),(30 22555.242),(31 22834.25),(32 23057.648),(33 23301.62),(34 23420.406),(35 23697.318),(36 23668.396),(37 23670.293),(38 23733.658),(39 23656.764),(40 23351.734),(41 23118.979),(42 23044.672),(43 22993.479),(44 22842.86),(45 22642.285),(46 22302.898),(47 22078.873),(48 21976.242),(49 21839.729),(50 21466.41),(51 21186.092),(52 20865.914),(53 20112.977),(54 19731.16),(55 19425.504),(56 19160.447),(57 18957.232),(58 18771.21),(59 18510.422),(60 18034.967),(61 17949.549),(62 17769.182),(63 17617.504),(64 17421.313),(65 17265.623),(66 16874.125),(67 16602.521),(68 16269.06),(69 15948.264),(70 15618.741),(71 15349.731),(72 15169.998),(73 15192.96),(74 15359.551),(75 15289.5625),(76 15256.503),(77 15579.444),(78 15672.565),(79 15633.636),
(1 3645.6345),(2 6445.7236),(3 7240.992),(4 7767.6323),(5 8375.626),(6 8826.443),(7 9201.797),(8 9912.65),(9 10566.692),(10 11198.8955),(11 11807.774),(12 12489.4),(13 13220.031),(14 13649.393),(15 14264.524),(16 14966.543),(17 15574.419),(18 16221.166),(19 16899.678),(20 17546.963),(21 18222.275),(22 18780.662),(23 19272.945),(24 19837.33),(25 20625.781),(26 21086.545),(27 21478.396),(28 21943.803),(29 22280.525),(30 22653.775),(31 22906.756),(32 23037.084),(33 23245.545),(34 23585.453),(35 23771.547),(36 23906.635),(37 23759.31),(38 23720.945),(39 23688.652),(40 23371.068),(41 23141.256),(42 22936.242),(43 22627.162),(44 22490.969),(45 22418.574),(46 22043.492),(47 21752.688),(48 21428.486),(49 21188.588),(50 20711.63),(51 20322.04),(52 19970.912),(53 19357.59),(54 19002.518),(55 18710.22),(56 18385.844),(57 18174.826),(58 18089.207),(59 17882.53),(60 17511.256),(61 17232.781),(62 16950.77),(63 16888.834),(64 16778.672),(65 16578.979),(66 16309.1045),(67 16114.241),(68 15744.566),(69 15384.577),(70 15038.68),(71 14756.483),(72 14705.842),(73 14737.193),(74 14924.597),(75 14910.569),(76 14956.585),(77 15253.6),(78 15518.356),(79 15431.233),
(1 3587.6875),(2 6216.197),(3 6883.751),(4 7305.4937),(5 7846.7915),(6 8268.898),(7 8532.962),(8 9172.998),(9 9671.311),(10 10244.087),(11 10810.662),(12 11262.967),(13 11851.77),(14 12329.553),(15 12832.956),(16 13387.984),(17 13963.167),(18 14601.902),(19 15072.317),(20 15494.592),(21 16104.075),(22 16540.496),(23 16937.479),(24 17439.707),(25 18078.049),(26 18581.889),(27 18933.752),(28 19356.494),(29 19772.549),(30 20076.291),(31 20369.549),(32 20684.559),(33 20885.207),(34 21099.566),(35 21450.713),(36 21695.986),(37 21690.96),(38 21535.863),(39 21528.754),(40 21184.379),(41 20983.35),(42 20889.805),(43 20719.209),(44 20514.209),(45 20464.04),(46 20124.4),(47 19804.736),(48 19535.79),(49 19418.484),(50 18952.6),(51 18529.154),(52 18188.021),(53 17644.959),(54 17311.135),(55 17255.725),(56 17123.135),(57 16886.451),(58 16827.701),(59 16817.95),(60 16595.785),(61 16416.943),(62 16413.596),(63 16386.67),(64 16233.25),(65 16212.692),(66 15990.971),(67 15531.694),(68 15165.221),(69 14872.101),(70 14584.367),(71 14478.4795),(72 14439.092),(73 14458.923),(74 14619.743),(75 14627.88),(76 14673.811),(77 14858.917),(78 15026.1),(79 14991.628),
(1 3423.3367),(2 5926.729),(3 6633.1504),(4 7060.0576),(5 7621.979),(6 7988.6167),(7 8252.49),(8 8814.35),(9 9390.116),(10 9927.063),(11 10530.026),(12 11044.539),(13 11595.433),(14 12000.45),(15 12618.593),(16 13055.321),(17 13511.164),(18 14175),(19 14725.125),(20 15170.028),(21 15618.591),(22 16062.917),(23 16432.316),(24 16884.154),(25 17386.838),(26 17868.197),(27 18162.346),(28 18530.316),(29 19019.258),(30 19424.82),(31 19805.332),(32 20147.303),(33 20434.688),(34 20586.19),(35 20838.375),(36 21093.313),(37 21289.684),(38 21194.057),(39 21270.316),(40 20986.531),(41 20753.426),(42 20713.709),(43 20626.578),(44 20480.127),(45 20305.53),(46 19987.96),(47 19692.512),(48 19412.934),(49 19417.027),(50 19163.951),(51 18842.248),(52 18519.318),(53 18067.428),(54 17724.266),(55 17589.523),(56 17348.162),(57 16982.62),(58 16772.113),(59 16805.188),(60 16476.041),(61 16326.382),(62 16114.984),(63 15947.326),(64 15899.134),(65 15912.954),(66 15824.287),(67 15492.033),(68 15213.188),(69 14968.314),(70 14771.131),(71 14564.98),(72 14422.608),(73 14366.872),(74 14633.065),(75 14717.661),(76 14681.422),(77 14740.731),(78 14797.267),(79 14896.329),
(1 3362.0676),(2 5783.9775),(3 6496.716),(4 6896.47),(5 7412.72),(6 7977.021),(7 8331.097),(8 8935.799),(9 9383.406),(10 10000.682),(11 10589.239),(12 11042.935),(13 11511.943),(14 11840.876),(15 12411.334),(16 12902.806),(17 13207.285),(18 13671.331),(19 14320.347),(20 14754.201),(21 15189.539),(22 15587.065),(23 15995.305),(24 16406.498),(25 16960.205),(26 17480.854),(27 17929.01),(28 18273.453),(29 18648.69),(30 18879.428),(31 19219.781),(32 19429.594),(33 19681.838),(34 19888.56),(35 20105.068),(36 20288.713),(37 20349.87),(38 20241.674),(39 20188.023),(40 20004.299),(41 19698.123),(42 19593.021),(43 19497.81),(44 19429.074),(45 19298.854),(46 18916.58),(47 18656.928),(48 18529.979),(49 18553.729),(50 18217.111),(51 17881.064),(52 17648.74),(53 17209.045),(54 16937.863),(55 16691.666),(56 16472.553),(57 16267.923),(58 16222.325),(59 16227.441),(60 15860.401),(61 15753.469),(62 15556.356),(63 15355.34),(64 15289.522),(65 15242.255),(66 15197.989),(67 15040.994),(68 14702.556),(69 14479.203),(70 14216.042),(71 13944.534),(72 13807.511),(73 13800.212),(74 13940.245),(75 14162.125),(76 14172.537),(77 14350.308),(78 14463.221),(79 14575.057),
(1 3406.852),(2 5967.4624),(3 6600.843),(4 6972.5415),(5 7604.855),(6 8003.2715),(7 8299.22),(8 8872.459),(9 9434.418),(10 10009.904),(11 10486.626),(12 11060.179),(13 11648.2705),(14 12022.458),(15 12550.622),(16 13068.014),(17 13428.591),(18 13913.049),(19 14597.412),(20 14993.931),(21 15563.863),(22 15989.466),(23 16455.494),(24 16886.773),(25 17411.334),(26 17957.51),(27 18418.389),(28 18673.914),(29 19045.6),(30 19266.455),(31 19498.984),(32 19604.559),(33 19655.928),(34 19744.28),(35 19845.86),(36 19944.803),(37 19982.604),(38 19794.236),(39 19791.865),(40 19574.947),(41 19312.28),(42 19166.146),(43 18848.396),(44 18724.816),(45 18524.107),(46 18073.787),(47 17786.576),(48 17572.225),(49 17574.639),(50 17229.031),(51 16882.324),(52 16677.807),(53 16269.989),(54 16098.911),(55 15822.841),(56 15638.822),(57 15606.095),(58 15528.891),(59 15543.359),(60 15338.632),(61 15123.995),(62 14979.977),(63 14760.526),(64 14640.258),(65 14511.041),(66 14473.181),(67 14316.151),(68 14225.73),(69 14157.11),(70 13941.333),(71 13787.8545),(72 13664.037),(73 13539.648),(74 13562.411),(75 13628.877),(76 13700.352),(77 13840.008),(78 13796.943),(79 13904.641),
(1 3262.753),(2 5627.837),(3 6370.982),(4 6726.0156),(5 7268.739),(6 7656.9336),(7 8038.997),(8 8725.844),(9 9335.159),(10 9943.754),(11 10399.625),(12 10921.248),(13 11409.852),(14 11821.789),(15 12261.908),(16 12760.522),(17 13060.757),(18 13634.625),(19 14194.908),(20 14560.716),(21 15168.508),(22 15744.701),(23 16149.015),(24 16593.611),(25 17055.48),(26 17514.348),(27 18016.264),(28 18466.848),(29 18778.094),(30 18867.129),(31 19091.416),(32 19275.139),(33 19362.73),(34 19388.252),(35 19642.05),(36 19919.85),(37 19843.7),(38 19750.18),(39 19632.457),(40 19391.525),(41 19158.791),(42 18987.137),(43 18571.639),(44 18370.463),(45 18229.787),(46 17809.291),(47 17590.383),(48 17307.502),(49 17082.365),(50 16724.97),(51 16528.824),(52 16108.179),(53 15716.359),(54 15494.458),(55 15197.154),(56 14907.26),(57 14802.855),(58 14778.615),(59 14669.058),(60 14515.179),(61 14333.284),(62 14100.92),(63 13932.801),(64 13904.266),(65 13755.766),(66 13466.041),(67 13410.502),(68 13124.544),(69 13013.52),(70 12904.737),(71 12773.158),(72 12637.245),(73 12574.586),(74 12689.469),(75 12744.722),(76 12694.125),(77 12900.39),(78 13004.641),(79 12968.196),
(1 3240.6182),(2 5536.155),(3 6171.9644),(4 6516.636),(5 7112.005),(6 7489.8945),(7 7838.6836),(8 8310.982),(9 8866.321),(10 9492.24),(11 9868.067),(12 10310.734),(13 10829.399),(14 11224.441),(15 11650.835),(16 12073.704),(17 12502.12),(18 13096.576),(19 13798.429),(20 14192.1),(21 14797.592),(22 15290.211),(23 15630.992),(24 15979.83),(25 16455.078),(26 16898.422),(27 17460.473),(28 17940.734),(29 18139.188),(30 18159.414),(31 18448.447),(32 18548.324),(33 18457.18),(34 18384.54),(35 18449.725),(36 18575.775),(37 18540.533),(38 18364.406),(39 18163.734),(40 18019.824),(41 17664.766),(42 17376.049),(43 17042.209),(44 16981.684),(45 16902.627),(46 16544.977),(47 16307.461),(48 16139.661),(49 15821.079),(50 15413.224),(51 15288.779),(52 15128.908),(53 14780.62),(54 14706.785),(55 14567.174),(56 14352.934),(57 14169.883),(58 13975.098),(59 13820.044),(60 13663.126),(61 13542.653),(62 13399.21),(63 13262.352),(64 13143.589),(65 13049.183),(66 12874.932),(67 12720.487),(68 12409.373),(69 12313.272),(70 12230.202),(71 12166.38),(72 11949.603),(73 11889.603),(74 11989.738),(75 11863.292),(76 11638.633),(77 11781.24),(78 11909.256),(79 11913.855),
(1 3203.7454),(2 5410.3613),(3 6051.1685),(4 6421.829),(5 7039.265),(6 7403.5913),(7 7719.4067),(8 8255.275),(9 8793.524),(10 9499.989),(11 10051.546),(12 10519.697),(13 10891.909),(14 11189.796),(15 11478.673),(16 11995.437),(17 12390.967),(18 12927.286),(19 13544.557),(20 13907.94),(21 14498.442),(22 14994.063),(23 15295.0625),(24 15743.207),(25 16233.347),(26 16511.963),(27 16868.281),(28 17271.055),(29 17336.307),(30 17368.633),(31 17560.395),(32 17699.393),(33 17678.264),(34 17626.063),(35 17708.965),(36 17861.559),(37 17851.316),(38 17553.162),(39 17386.021),(40 17154.996),(41 16808.986),(42 16521.28),(43 16107.312),(44 15946.475),(45 15819.407),(46 15519.115),(47 15360.848),(48 15311.882),(49 15157.602),(50 14901.098),(51 14767.503),(52 14521.284),(53 14169.939),(54 14111.039),(55 13853.604),(56 13744.492),(57 13499.7295),(58 13284.565),(59 13259.512),(60 13110.773),(61 13003.522),(62 12988.92),(63 13071.83),(64 12910.044),(65 12737.74),(66 12583.506),(67 12430.08),(68 12142.879),(69 11975.8955),(70 11857.106),(71 11741.091),(72 11694.044),(73 11741.762),(74 11936.241),(75 11835.275),(76 11743.205),(77 11927.416),(78 11940.718),(79 11993.434),
(1 3257.3298),(2 5466.772),(3 6080.95),(4 6427.463),(5 6965.32),(6 7363.9497),(7 7750.1626),(8 8379.467),(9 8957.975),(10 9399.938),(11 9887.279),(12 10378.794),(13 10909.455),(14 11271.819),(15 11681.405),(16 12172.777),(17 12601.54),(18 13110.676),(19 13558.301),(20 13881.603),(21 14398.587),(22 14725.653),(23 15043.117),(24 15315.256),(25 15777.039),(26 16094.156),(27 16383.437),(28 16763.049),(29 16943.268),(30 16903.879),(31 17124.092),(32 17274.734),(33 17322.111),(34 17378.943),(35 17495.498),(36 17473.768),(37 17406.744),(38 17210.602),(39 17062.637),(40 16865.934),(41 16693.262),(42 16578.066),(43 16059.485),(44 15874.047),(45 15751.22),(46 15394.058),(47 15186.726),(48 15047.85),(49 15051.881),(50 14929.35),(51 14682.789),(52 14347.828),(53 13919.348),(54 13701.942),(55 13438.3),(56 13249.262),(57 13095.561),(58 12856.089),(59 12743.378),(60 12636.197),(61 12447.425),(62 12209.013),(63 12154.091),(64 12039.74),(65 11928.601),(66 11787.757),(67 11533.601),(68 11314.045),(69 11177.896),(70 11207.397),(71 11072.819),(72 10978.564),(73 11069.244),(74 11207.354),(75 11203.072),(76 11152.123),(77 11238.854),(78 11250.421),(79 11110.887),
(1 3086.5652),(2 5195.154),(3 5748.022),(4 6156.933),(5 6733.9565),(6 7133.867),(7 7477.8433),(8 8092.914),(9 8605.71),(10 9074.934),(11 9624.8545),(12 10003.826),(13 10475.965),(14 10900.74),(15 11342.183),(16 11736.704),(17 12095.915),(18 12634.7705),(19 12910.525),(20 13266.245),(21 13820.621),(22 14115.139),(23 14209.287),(24 14591.871),(25 15058.039),(26 15267.988),(27 15612.647),(28 16019.543),(29 16190.585),(30 16191.036),(31 16367.754),(32 16508.668),(33 16449.31),(34 16710.678),(35 16774.236),(36 16925.012),(37 16942.06),(38 16861.531),(39 16528.586),(40 16430.262),(41 16281.036),(42 16167.033),(43 15824.874),(44 15581.6045),(45 15370.177),(46 15056.479),(47 14982.443),(48 14871.279),(49 14706.347),(50 14388.426),(51 14161.997),(52 13818.125),(53 13469.312),(54 13348.483),(55 13135.278),(56 12833.766),(57 12711.632),(58 12495.58),(59 12326.528),(60 12187.229),(61 11979.187),(62 11822.904),(63 11716.309),(64 11622.267),(65 11508.241),(66 11329.665),(67 11169.418),(68 10956.211),(69 10806.071),(70 10922.615),(71 10932.313),(72 10799.112),(73 10872.866),(74 11091.389),(75 11136.735),(76 11076.351),(77 11219.609),(78 11291.159),(79 11235.875),
(1 3079.8865),(2 5238.217),(3 5790.3735),(4 6104.102),(5 6649.238),(6 6980.16),(7 7284.5127),(8 7965.4165),(9 8516.035),(10 9063.4375),(11 9603.601),(12 10094.937),(13 10528.483),(14 10853.975),(15 11348.255),(16 11815.215),(17 12339.509),(18 12955.544),(19 13424.389),(20 13731.711),(21 14127.632),(22 14536.347),(23 14794.882),(24 15159.155),(25 15636.503),(26 15773.137),(27 16110.149),(28 16475.014),(29 16593.152),(30 16615.244),(31 16675.885),(32 16758.223),(33 16837.428),(34 17019.367),(35 17084.115),(36 17190.678),(37 17300.559),(38 17265.848),(39 16963.346),(40 16721.887),(41 16535.389),(42 16327.934),(43 15939.309),(44 15766.632),(45 15596.842),(46 15354.243),(47 15183.738),(48 15037.8955),(49 14945.809),(50 14517.065),(51 14226.836),(52 13908.973),(53 13542.793),(54 13486.184),(55 13298.814),(56 12901.178),(57 12792.743),(58 12743.979),(59 12549.239),(60 12376.504),(61 12173.272),(62 11900.956),(63 11746.714),(64 11802.704),(65 11708.341),(66 11526.044),(67 11330.826),(68 11124.484),(69 11026.93),(70 10970.745),(71 10949.873),(72 10884.541),(73 10988.204),(74 11201.42),(75 11283.252),(76 11274.623),(77 11489.827),(78 11529.844),(79 11535.506),
(1 3022.9102),(2 5174.37),(3 5770.2256),(4 6157.7954),(5 6662.1323),(6 6996.247),(7 7323.1455),(8 7932.5454),(9 8429.112),(10 8837.885),(11 9320.904),(12 9736.028),(13 10067.7295),(14 10376.244),(15 10666.667),(16 10972.079),(17 11371.869),(18 11857.189),(19 12300.076),(20 12466.806),(21 12915.323),(22 13085.828),(23 13416.897),(24 13821.608),(25 14258.855),(26 14547.77),(27 14792.825),(28 15167.663),(29 15215.297),(30 15286.5),(31 15479.494),(32 15564.573),(33 15590.171),(34 15688.887),(35 15929.279),(36 16112.921),(37 16187.71),(38 16328.486),(39 16076.994),(40 15961.209),(41 15817.477),(42 15591.181),(43 15335.5205),(44 15142.831),(45 15049.901),(46 14813.773),(47 14617.559),(48 14331.062),(49 14169.297),(50 13933.724),(51 13677.683),(52 13492.572),(53 13218.802),(54 13092.535),(55 12867.617),(56 12534.043),(57 12266.98),(58 12214.801),(59 12150.814),(60 12115.125),(61 11927.463),(62 11791.982),(63 11588.256),(64 11506.85),(65 11308.85),(66 11233.419),(67 11033.054),(68 10984.326),(69 10929.68),(70 10835.75),(71 10761.36),(72 10647.785),(73 10676.828),(74 10893.663),(75 10967.7705),(76 10950.736),(77 11119.434),(78 11175.279),(79 11189.762),
(1 2898.8955),(2 4806.8545),(3 5266.175),(4 5657.989),(5 6082.417),(6 6400.8867),(7 6682.277),(8 7214.99),(9 7645.8315),(10 7980.4707),(11 8302.494),(12 8573.651),(13 8914.566),(14 9176.648),(15 9423.886),(16 9604.459),(17 9881.874),(18 10281.173),(19 10700.416),(20 10840.442),(21 11275.273),(22 11641.261),(23 11902.163),(24 12273.967),(25 12683.005),(26 12938.551),(27 13225.689),(28 13476.076),(29 13514.878),(30 13569.145),(31 13685.748),(32 13745.882),(33 13920.305),(34 14031.1),(35 14142.15),(36 14169.912),(37 14131.851),(38 14146.441),(39 14160.515),(40 14005.2705),(41 13915.302),(42 13780.754),(43 13610.385),(44 13441.432),(45 13273.9795),(46 13035.34),(47 12870.406),(48 12670.87),(49 12628.249),(50 12468.559),(51 12328.419),(52 12160.959),(53 11869.523),(54 11678.34),(55 11575.447),(56 11386.062),(57 11230.235),(58 11113.775),(59 11059.137),(60 10964.78),(61 10834.511),(62 10678.213),(63 10623.571),(64 10666.875),(65 10585.3955),(66 10459.777),(67 10370.219),(68 10273.075),(69 10292.046),(70 10250.108),(71 10147.277),(72 10024.099),(73 10075.543),(74 10313.516),(75 10436.052),(76 10413.215),(77 10435.21),(78 10512.794),(79 10475.275),
