1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 104311.1),(2 363182.25),(3 747010),(4 1212910.9),(5 1734508.4),(6 2279816.3),(7 2838491.8),(8 3425482.8),(9 3996716.8),(10 4560220.5),(11 5004389.5),(12 5398804.5),(13 5851177.5),(14 6421761.5),(15 6962084.5),(16 7644797.5),(17 8363402.5),(18 9093172),(19 9909956),(20 10789461),(21 11480489),(22 12240003),(23 13182911),(24 13992868),(25 14850648),(26 15664239),(27 16439163),(28 17264180),(29 18094420),(30 18875762),(31 19744838),(32 20711004),(33 21555930),(34 22503784),(35 23348682),(36 24184150),(37 24992848),(38 25768776),(39 26603608),(40 27575834),(41 28585590),(42 29479770),(43 30558648),(44 31695030),(45 32593352),(46 33603060),(47 34656484),(48 35564990),(49 36408068),(50 37170664),(51 37997092),(52 38653236),(53 39268140),(54 39724270),(55 40187150),(56 40815516),(57 41293836),(58 41689176),(59 41900790),(60 41744350),(61 41494210),(62 41086100),(63 40648896),(64 40306412),(65 40020330),(66 39850116),(67 39796400),(68 39678852),(69 39453924),(70 39405580),(71 39417876),(72 39443444),(73 39663148),(74 40195212),(75 40917884),(76 41783732),(77 42864136),(78 43763584),(79 44736836),
(1 1447.8187),(2 1837.0808),(3 2097.4336),(4 2292.0896),(5 2426.633),(6 2547.4517),(7 2621.2825),(8 2756.1482),(9 2756.465),(10 2831.1187),(11 2864.0525),(12 2895.0488),(13 2934.964),(14 2978.3455),(15 3032.8313),(16 3061.914),(17 3072.6855),(18 3065.9358),(19 3100.779),(20 3133.708),(21 3163.6655),(22 3183.641),(23 3239.682),(24 3267.4941),(25 3268.0317),(26 3336.4553),(27 3394.4373),(28 3428.7368),(29 3423.4138),(30 3422.2903),(31 3474.934),(32 3509.7932),(33 3485.304),(34 3497.5295),(35 3497.5664),(36 3514.1475),(37 3558.8867),(38 3617.1633),(39 3626.5266),(40 3661.2825),(41 3656.998),(42 3712.9421),(43 3709.2969),(44 3687.5527),(45 3733.4812),(46 3738.736),(47 3751.2527),(48 3728.6387),(49 3716.2363),(50 3699.549),(51 3742.2253),(52 3694.929),(53 3638.5193),(54 3686.1973),(55 3650.2573),(56 3661.8633),(57 3678.3062),(58 3626.4705),(59 3556.8643),(60 3565.8994),(61 3539.2437),(62 3471.4602),(63 3417.7595),(64 3395.6055),(65 3384.8684),(66 3379.5576),(67 3344.1062),(68 3382.9263),(69 3386.1648),(70 3410.2703),(71 3440.284),(72 3422.2285),(73 3407.7708),(74 3375.1235),(75 3377.77),(76 3356.9783),(77 3311.445),(78 3338.179),(79 3325.1177),
(1 1405.6967),(2 1789.4742),(3 2051.6755),(4 2232.0024),(5 2368.003),(6 2491.7231),(7 2552.4517),(8 2684.1597),(9 2717.7793),(10 2763.0828),(11 2822.5159),(12 2827.9856),(13 2962.0554),(14 3017.0386),(15 3051.9363),(16 3068.4233),(17 3068.5608),(18 3127.3125),(19 3147.7092),(20 3170.8196),(21 3167.5234),(22 3205.1348),(23 3265.3772),(24 3275.494),(25 3294.5776),(26 3329.229),(27 3356.1238),(28 3334.878),(29 3350.1057),(30 3374.0564),(31 3419.4937),(32 3425.5132),(33 3402.8909),(34 3409.1062),(35 3411.716),(36 3407.741),(37 3445.498),(38 3479.9922),(39 3529.4429),(40 3573.2568),(41 3575.632),(42 3604.6104),(43 3633.9675),(44 3632.9424),(45 3654.1091),(46 3656.2578),(47 3641.6555),(48 3619.0078),(49 3647.1848),(50 3675.8613),(51 3644.3523),(52 3622.0728),(53 3609.5637),(54 3642.4346),(55 3629.3992),(56 3590.5432),(57 3609.2827),(58 3589.5752),(59 3544.4863),(60 3542.7944),(61 3545.1245),(62 3484.5242),(63 3458.2454),(64 3491.2012),(65 3459.2722),(66 3385.0957),(67 3357.029),(68 3436.866),(69 3425.491),(70 3423.4673),(71 3430.9397),(72 3410.477),(73 3391.9473),(74 3396.927),(75 3375.7305),(76 3361.039),(77 3343.777),(78 3335.064),(79 3348.4473),
(1 1328.0383),(2 1705.4102),(3 1937.6702),(4 2107.1287),(5 2230.2422),(6 2343.6384),(7 2432.636),(8 2532.3235),(9 2568.1968),(10 2635.0862),(11 2704.5935),(12 2737.277),(13 2801.069),(14 2826.551),(15 2870.1802),(16 2874.001),(17 2873.266),(18 2916.5862),(19 2964.4138),(20 2982.74),(21 3020.396),(22 3012.6013),(23 3064.6047),(24 3058.4856),(25 3103.5854),(26 3148.4841),(27 3168.8462),(28 3129.8796),(29 3167.669),(30 3185.374),(31 3233.3833),(32 3313.4673),(33 3307.3245),(34 3301.4226),(35 3286.043),(36 3293.7092),(37 3359.641),(38 3374.066),(39 3387.25),(40 3408.543),(41 3420.082),(42 3400.3916),(43 3478.9143),(44 3486.41),(45 3503.8018),(46 3510.2964),(47 3487.8923),(48 3521.51),(49 3515.8335),(50 3521.0757),(51 3529.647),(52 3544.5923),(53 3518.4272),(54 3476.7122),(55 3480.1323),(56 3454.021),(57 3466.3472),(58 3475.1887),(59 3454.7937),(60 3434.475),(61 3456.1812),(62 3364.3044),(63 3394.938),(64 3368.4734),(65 3313.626),(66 3297.4387),(67 3288.9407),(68 3343.412),(69 3342.8977),(70 3383.865),(71 3352.6038),(72 3346.1492),(73 3319.259),(74 3320.8494),(75 3356.693),(76 3352.0813),(77 3347.606),(78 3302.045),(79 3270.6863),
(1 1306.5833),(2 1699.7516),(3 1911.8265),(4 2077.984),(5 2178.5232),(6 2267.637),(7 2390.3794),(8 2469.0227),(9 2482.5203),(10 2561.6145),(11 2606.9326),(12 2627.7317),(13 2662.9443),(14 2695.813),(15 2764.9248),(16 2751.4412),(17 2762.234),(18 2768.8245),(19 2781.9387),(20 2815.4636),(21 2852.9204),(22 2870.3782),(23 2919.646),(24 2947.5073),(25 2964.1692),(26 2969.376),(27 3043.0688),(28 3055.5667),(29 3037.4695),(30 3040.8726),(31 3062.146),(32 3080.2131),(33 3062.5425),(34 3113.884),(35 3144.2644),(36 3129.6826),(37 3162.751),(38 3196.5923),(39 3251.067),(40 3269.9124),(41 3295.1802),(42 3296.4866),(43 3336.2305),(44 3320.8591),(45 3316.2104),(46 3323.227),(47 3343.937),(48 3314.2786),(49 3291.0933),(50 3316.51),(51 3305.126),(52 3316.9407),(53 3297.8857),(54 3270.1968),(55 3255.7537),(56 3251.834),(57 3254.1455),(58 3263.0425),(59 3239.5151),(60 3260.157),(61 3236.4568),(62 3205.1506),(63 3194.3037),(64 3120.8137),(65 3114.7854),(66 3093.7607),(67 3051.455),(68 3081.8135),(69 3078.6184),(70 3067.8682),(71 3070.6301),(72 3039.7417),(73 3025.9453),(74 3036.6946),(75 3063.4377),(76 3072.5894),(77 3073.437),(78 3014.7756),(79 3006.2983),
(1 1265.021),(2 1625.9624),(3 1873.1934),(4 1998.1191),(5 2129.4685),(6 2233.373),(7 2317.4282),(8 2418.2979),(9 2446.8223),(10 2523.1555),(11 2588.9656),(12 2603.506),(13 2637.6082),(14 2670.8223),(15 2726.573),(16 2719.5574),(17 2748.0117),(18 2770.3267),(19 2779.224),(20 2852.7158),(21 2863.794),(22 2879.9846),(23 2955.5173),(24 2957.5103),(25 2992.3657),(26 3034.0461),(27 3095.7087),(28 3117.4785),(29 3129.0955),(30 3117.5256),(31 3180.0679),(32 3219.1824),(33 3212.18),(34 3228.4016),(35 3264.9277),(36 3263.1604),(37 3278.6218),(38 3265.864),(39 3328.0542),(40 3339.2773),(41 3334.592),(42 3351.3765),(43 3366.6008),(44 3312.45),(45 3316.283),(46 3304.9226),(47 3286.7917),(48 3261.3186),(49 3282.4175),(50 3310.6309),(51 3318.328),(52 3307.7124),(53 3285.4094),(54 3270.6052),(55 3257.378),(56 3214.0432),(57 3234.094),(58 3215.9934),(59 3244.3464),(60 3271.642),(61 3238.9148),(62 3158.9495),(63 3147.1516),(64 3131.9675),(65 3088.536),(66 3037.592),(67 3079.736),(68 3097.6714),(69 3075.189),(70 3091.6973),(71 3098.141),(72 3074.234),(73 3074.5635),(74 3073.966),(75 3090.2983),(76 3070.109),(77 3061.8477),(78 3026.9602),(79 3018.626),
(1 1240.7996),(2 1628.8113),(3 1863.3751),(4 1996.9459),(5 2144.073),(6 2234.1597),(7 2338.628),(8 2460.725),(9 2440.4646),(10 2523.3743),(11 2534.4355),(12 2539.3335),(13 2561.7146),(14 2597.8215),(15 2604.6099),(16 2597.6274),(17 2618.2734),(18 2602.7805),(19 2631.8389),(20 2698.9045),(21 2725.4133),(22 2737.4548),(23 2780.6445),(24 2794.577),(25 2831.3315),(26 2891.2446),(27 2952.1575),(28 2996.0823),(29 2972.1252),(30 3007.4487),(31 3067.3442),(32 3045.1426),(33 3054.5354),(34 3083.1343),(35 3131.3557),(36 3146.027),(37 3147.7153),(38 3195.5684),(39 3228.9136),(40 3231.3518),(41 3236.5613),(42 3208.8552),(43 3245.7551),(44 3263.7712),(45 3272.7522),(46 3284.4312),(47 3279.1218),(48 3232.8245),(49 3238.796),(50 3268.5444),(51 3303.4963),(52 3274.0269),(53 3247.9915),(54 3205.5544),(55 3190.503),(56 3148.5723),(57 3159.974),(58 3160.6548),(59 3164.723),(60 3145.6204),(61 3128.0408),(62 3102.5083),(63 3101.21),(64 3053.6887),(65 3058.6487),(66 3017.7202),(67 3066.517),(68 3043.2563),(69 3042.3323),(70 3104.681),(71 3106.5122),(72 3090.4556),(73 3107.9116),(74 3076.152),(75 3085.3303),(76 3054.9358),(77 3049.586),(78 3023.5261),(79 2978.7908),
(1 1206.9897),(2 1583.1299),(3 1819.4856),(4 1947.9116),(5 2078.3652),(6 2172.0908),(7 2238.2114),(8 2343.8086),(9 2371.2808),(10 2444.3464),(11 2481.059),(12 2492.7935),(13 2505.751),(14 2559.7024),(15 2578.7336),(16 2566.3154),(17 2566.8333),(18 2563.2852),(19 2626.261),(20 2631.1328),(21 2643.8774),(22 2638.4136),(23 2701.9465),(24 2701.0193),(25 2714.7615),(26 2742.278),(27 2764.9126),(28 2799.8462),(29 2782.6626),(30 2791.0059),(31 2839.4917),(32 2857.407),(33 2863.6987),(34 2878.4016),(35 2902.6196),(36 2904.9705),(37 2914.2573),(38 2960.2163),(39 2963.6885),(40 2974.3765),(41 2969.5679),(42 2978.3064),(43 2986.5166),(44 3022.808),(45 2988.1934),(46 3040.294),(47 3070.0457),(48 3046.4985),(49 3062.4282),(50 3055.1145),(51 3084.011),(52 3056.7598),(53 3098.821),(54 3079.9353),(55 3058.3784),(56 3049.3137),(57 3057.024),(58 3058.9473),(59 3081.636),(60 3061.638),(61 3048.7292),(62 3055.071),(63 3015.2927),(64 3007.676),(65 3010.8345),(66 2998.2922),(67 3012.8032),(68 2983.2915),(69 2959.8318),(70 2958.4338),(71 2977.6519),(72 2951.201),(73 2960.2412),(74 2971.3665),(75 2987.136),(76 2958.2595),(77 2952.7993),(78 2901.1729),(79 2891.516),
(1 1182.1937),(2 1545.8218),(3 1736.8823),(4 1864.8292),(5 1992.7574),(6 2100.1467),(7 2171.7327),(8 2273.0957),(9 2307.4744),(10 2350.9172),(11 2409.9338),(12 2427.8674),(13 2447.8447),(14 2477.296),(15 2509.7483),(16 2514.8318),(17 2542.02),(18 2556.1997),(19 2577.8596),(20 2590.8877),(21 2616.2856),(22 2613.3572),(23 2666.6023),(24 2671.145),(25 2708.9275),(26 2729.013),(27 2737.5735),(28 2754.622),(29 2777.2375),(30 2767.0798),(31 2772.2405),(32 2788.1482),(33 2784.6882),(34 2785.9255),(35 2787.7615),(36 2811.9473),(37 2832.162),(38 2896.7056),(39 2915.3762),(40 2895.1501),(41 2923.201),(42 2951.2156),(43 2976.2927),(44 2989.2424),(45 3021.4194),(46 3094.5088),(47 3088.4397),(48 3092.2834),(49 3114.8796),(50 3106.728),(51 3138.1726),(52 3148.3516),(53 3178.532),(54 3153.9412),(55 3179.1357),(56 3141.8765),(57 3150.915),(58 3202.4485),(59 3212.0562),(60 3164.2305),(61 3157.5198),(62 3173.122),(63 3174.2634),(64 3134.038),(65 3121.7),(66 3118.3132),(67 3122.004),(68 3128.8584),(69 3101.7607),(70 3073.7307),(71 3076.87),(72 3093.0625),(73 3083.622),(74 3071.132),(75 3044.4946),(76 3052.8118),(77 3031.0874),(78 3043.2585),(79 3024.4514),
(1 1127.2947),(2 1484.1769),(3 1698.4254),(4 1839.5924),(5 1983.9827),(6 2090.1746),(7 2167.1921),(8 2249.9746),(9 2284.0796),(10 2347.8015),(11 2377.8242),(12 2407.1838),(13 2445.7615),(14 2453.4922),(15 2495.8474),(16 2560.995),(17 2562.8882),(18 2551.032),(19 2563.9265),(20 2584.6265),(21 2606.8733),(22 2566.814),(23 2637.2126),(24 2587.9285),(25 2615.8308),(26 2626.1638),(27 2626.779),(28 2634.8438),(29 2655.2017),(30 2687.9038),(31 2693.0977),(32 2715.3606),(33 2732.0476),(34 2731.485),(35 2745.18),(36 2749.3723),(37 2759.7393),(38 2818.9563),(39 2830.017),(40 2846.8845),(41 2848.0999),(42 2860.1675),(43 2871.5085),(44 2891.476),(45 2913.2603),(46 2905.2607),(47 2901.483),(48 2892.784),(49 2897.937),(50 2911.5083),(51 2908.1694),(52 2879.2993),(53 2934.8557),(54 2923.9575),(55 2940.516),(56 2943.7686),(57 2934.427),(58 2935.782),(59 2922.0251),(60 2913.1772),(61 2902.3599),(62 2850.7744),(63 2905.709),(64 2856.5227),(65 2831.3115),(66 2819.95),(67 2825.46),(68 2836.2385),(69 2849.666),(70 2854.0034),(71 2854.3945),(72 2877.4236),(73 2881.3643),(74 2861.2024),(75 2851.7507),(76 2820.4087),(77 2855.3418),(78 2863.8086),(79 2848.2197),
(1 1123.863),(2 1488.6927),(3 1704.3619),(4 1851.4214),(5 1963.9847),(6 2063.9214),(7 2161.549),(8 2263.824),(9 2284.9822),(10 2338.0264),(11 2363.8289),(12 2406.7542),(13 2423.6787),(14 2470.1414),(15 2449.0762),(16 2462.8823),(17 2468.6836),(18 2488.9011),(19 2523.7842),(20 2543.9678),(21 2563.2664),(22 2571.8176),(23 2613.2346),(24 2577.57),(25 2610.143),(26 2649.2532),(27 2664.8804),(28 2660.6653),(29 2675.1484),(30 2664.271),(31 2667.7927),(32 2673.607),(33 2690.3674),(34 2710.9895),(35 2703.5479),(36 2711.98),(37 2720.077),(38 2764.5332),(39 2807.585),(40 2788.4243),(41 2812.685),(42 2848.8923),(43 2825.6028),(44 2861.4111),(45 2848.4866),(46 2838.0137),(47 2886.1704),(48 2863.0198),(49 2867.0996),(50 2897.4272),(51 2913.5264),(52 2895.6802),(53 2922.8818),(54 2930.7876),(55 2946.5398),(56 2937.1003),(57 2941.4866),(58 2940.5474),(59 2958.589),(60 2931.8762),(61 2917.286),(62 2924.743),(63 2941.0435),(64 2917.2913),(65 2902.7483),(66 2862.9387),(67 2926.919),(68 2945.9673),(69 2922.602),(70 2910.354),(71 2925.7769),(72 2922.6597),(73 2925.9468),(74 2939.517),(75 2904.2637),(76 2874.6365),(77 2893.443),(78 2835.2517),(79 2876.9653),
(1 1093.899),(2 1449.8474),(3 1618.843),(4 1757.9049),(5 1862.7814),(6 1965.3011),(7 2029.2349),(8 2133.3364),(9 2140.9414),(10 2151.7944),(11 2188.2334),(12 2210.2854),(13 2233.2034),(14 2257.3606),(15 2293.2876),(16 2276.3171),(17 2308.954),(18 2317.4094),(19 2327.7073),(20 2357.5576),(21 2396.228),(22 2444.7024),(23 2507.2427),(24 2471.1646),(25 2495.3909),(26 2527.3413),(27 2539.43),(28 2559.2522),(29 2569.4895),(30 2553.371),(31 2571.4812),(32 2560.2905),(33 2587.1235),(34 2597.321),(35 2578.865),(36 2609.9587),(37 2626.0637),(38 2636.213),(39 2689.6794),(40 2674.197),(41 2666.2014),(42 2690.6975),(43 2717.9639),(44 2715.9385),(45 2709.0278),(46 2706.0554),(47 2706),(48 2681.5513),(49 2684.2896),(50 2701.7957),(51 2710.863),(52 2699.3374),(53 2686.1814),(54 2718.7832),(55 2734.227),(56 2736.153),(57 2740.3467),(58 2758.435),(59 2735.2305),(60 2724.303),(61 2727.4202),(62 2694.4731),(63 2680.9453),(64 2677.3293),(65 2688.5627),(66 2675.9058),(67 2695.16),(68 2680.079),(69 2663.9119),(70 2661.5156),(71 2652.9822),(72 2660.8064),(73 2669.4387),(74 2650.5347),(75 2628.2212),(76 2599.58),(77 2600.4453),(78 2565.706),(79 2573.6172),
(1 1059.8849),(2 1395.349),(3 1579.4094),(4 1709.0293),(5 1833.8726),(6 1901.2023),(7 1951.6692),(8 2024.282),(9 2091.0693),(10 2121.6565),(11 2160.9314),(12 2211.1255),(13 2247.6675),(14 2239.4119),(15 2245.764),(16 2298.6475),(17 2315.2334),(18 2321.7266),(19 2346.1155),(20 2370.673),(21 2379.2947),(22 2436.1375),(23 2492.699),(24 2458.037),(25 2514.4702),(26 2516.1794),(27 2520.3147),(28 2548.4377),(29 2550.619),(30 2542.6865),(31 2558.6685),(32 2535.0986),(33 2546.888),(34 2583.441),(35 2562.8618),(36 2590.4695),(37 2617.742),(38 2641.1208),(39 2682.8513),(40 2672.2212),(41 2696.5955),(42 2751.8428),(43 2787.7913),(44 2785.9597),(45 2762.961),(46 2794.7053),(47 2807.4817),(48 2788.831),(49 2789.8796),(50 2795.703),(51 2763.5496),(52 2776.4202),(53 2801.4053),(54 2799.2412),(55 2770.8557),(56 2799.869),(57 2790.0415),(58 2793.3386),(59 2791.1272),(60 2764.9846),(61 2762.0881),(62 2758.6113),(63 2757.1045),(64 2712.9265),(65 2702.6135),(66 2716.6406),(67 2711.2498),(68 2749.2239),(69 2730.32),(70 2696.5134),(71 2678.4424),(72 2665.0466),(73 2648.3367),(74 2635.8542),(75 2663.376),(76 2637.9138),(77 2596.6494),(78 2618.0852),(79 2593.4724),
(1 1030.816),(2 1360.5153),(3 1542.5334),(4 1685.2556),(5 1806.8536),(6 1883.9366),(7 1955.1632),(8 1994.2935),(9 2067.14),(10 2096.6477),(11 2167.762),(12 2203.5183),(13 2207.9258),(14 2186.426),(15 2212.7427),(16 2254.862),(17 2261.4377),(18 2272.7068),(19 2283.7083),(20 2311.254),(21 2304.6836),(22 2342.168),(23 2410.1555),(24 2383.2542),(25 2426.2556),(26 2418.0725),(27 2424.9006),(28 2444.4402),(29 2456.1946),(30 2474.0227),(31 2510.3691),(32 2519.518),(33 2529.4338),(34 2593.2566),(35 2584.5564),(36 2579.8147),(37 2638.7637),(38 2656.5444),(39 2694.4321),(40 2707.5508),(41 2732.9429),(42 2734.8022),(43 2744.2292),(44 2798.1338),(45 2772.7246),(46 2772.5063),(47 2758.1802),(48 2789.7563),(49 2769.1533),(50 2768.376),(51 2760.133),(52 2742.4353),(53 2743.8848),(54 2762.522),(55 2780.001),(56 2768.5808),(57 2744.1748),(58 2738.6716),(59 2769.4023),(60 2780.7195),(61 2783.23),(62 2768.3926),(63 2760.782),(64 2730.1355),(65 2694.4736),(66 2710.6216),(67 2733.415),(68 2735.6956),(69 2731.5718),(70 2743.3782),(71 2719.459),(72 2719.6355),(73 2763.4949),(74 2733.4233),(75 2717.8733),(76 2699.7666),(77 2645.8176),(78 2633.704),(79 2631.078),
(1 989.05316),(2 1330.4653),(3 1509.3002),(4 1650.9829),(5 1780.5275),(6 1849.4097),(7 1883.9021),(8 1959.4575),(9 1989.5725),(10 2056.7522),(11 2080.4492),(12 2107.042),(13 2113.8826),(14 2139.6833),(15 2149.727),(16 2166.7422),(17 2168.605),(18 2171.8123),(19 2216.1958),(20 2264.643),(21 2260.987),(22 2268.4163),(23 2328.788),(24 2341.7952),(25 2359.1877),(26 2403.31),(27 2417.9512),(28 2436.9685),(29 2470.0142),(30 2476.0994),(31 2490.054),(32 2495.823),(33 2513.1616),(34 2553.7996),(35 2550.401),(36 2563.8284),(37 2538.973),(38 2589.2288),(39 2638.7732),(40 2621.0842),(41 2601.6958),(42 2614.2307),(43 2648.1677),(44 2645.5986),(45 2661.2693),(46 2688.4265),(47 2680.749),(48 2697.4949),(49 2730.115),(50 2705.994),(51 2696.4275),(52 2708.97),(53 2702.97),(54 2710.364),(55 2729.4116),(56 2736.559),(57 2727.028),(58 2745.0747),(59 2755.5413),(60 2748.8132),(61 2730.0647),(62 2720.7578),(63 2727.7654),(64 2705.5247),(65 2668.176),(66 2667.9302),(67 2668.532),(68 2675.3481),(69 2673.907),(70 2655.6064),(71 2644.6152),(72 2640.298),(73 2616.6516),(74 2580.7898),(75 2564.985),(76 2558.6177),(77 2510.9568),(78 2478.143),(79 2503.1406),
(1 969.85913),(2 1299.4697),(3 1455.4633),(4 1571.1874),(5 1692.7255),(6 1740.2235),(7 1794.8192),(8 1871.6447),(9 1893.4834),(10 1933.0492),(11 1954.8374),(12 1976.4961),(13 1996.3759),(14 2004.726),(15 2036.191),(16 2067.48),(17 2070.5708),(18 2092.6514),(19 2122.0024),(20 2153.4526),(21 2128.7615),(22 2147.8684),(23 2194.1284),(24 2212.4006),(25 2221.7808),(26 2222.299),(27 2269.524),(28 2287.1477),(29 2268.5088),(30 2281.7048),(31 2301.9946),(32 2314.3428),(33 2335.1555),(34 2364.1226),(35 2352.7808),(36 2379.2827),(37 2377.2576),(38 2423.9836),(39 2417.775),(40 2417.4844),(41 2425.9238),(42 2460.2002),(43 2457.4656),(44 2460.4612),(45 2448.1418),(46 2463.7837),(47 2465.0054),(48 2456.3442),(49 2469.8857),(50 2485.5503),(51 2533.6924),(52 2533.5708),(53 2536.8809),(54 2518.5232),(55 2527.6064),(56 2541.029),(57 2538.8313),(58 2553.7456),(59 2558.6438),(60 2567.617),(61 2541.3887),(62 2537.1526),(63 2557.698),(64 2534.84),(65 2520.4824),(66 2538.2195),(67 2525.0376),(68 2527.7893),(69 2519.3787),(70 2522.168),(71 2530.6094),(72 2509.049),(73 2496.6624),(74 2493.2996),(75 2480.227),(76 2500.7913),(77 2476.3547),(78 2496.4844),(79 2501.3757),
(1 938.5687),(2 1247.5464),(3 1396.2643),(4 1506.0834),(5 1609.7482),(6 1677.2356),(7 1727.3925),(8 1800.4028),(9 1816.4781),(10 1858.7365),(11 1884.8643),(12 1914.6823),(13 1935.994),(14 1969.6217),(15 2000.0078),(16 2001.7483),(17 2025.6047),(18 2044.113),(19 2070.6707),(20 2083.2456),(21 2098.0854),(22 2129.2302),(23 2183.4868),(24 2221.9407),(25 2235.2976),(26 2241.2297),(27 2271.9365),(28 2274.0496),(29 2249.0552),(30 2259.3225),(31 2250.0952),(32 2270.2637),(33 2298.759),(34 2322.9768),(35 2344.1682),(36 2335.409),(37 2353.6667),(38 2372.834),(39 2376.5332),(40 2377.322),(41 2365.4326),(42 2397.8179),(43 2389.563),(44 2390.806),(45 2376.5269),(46 2372.1287),(47 2379.202),(48 2371.7637),(49 2388.5244),(50 2404.1328),(51 2440.3955),(52 2425.5708),(53 2422.672),(54 2431.0688),(55 2437.6099),(56 2418.5168),(57 2407.4063),(58 2407.6445),(59 2411.4746),(60 2403.6687),(61 2401.3967),(62 2414.035),(63 2428.6028),(64 2415.1548),(65 2417.4583),(66 2401.8965),(67 2416.7178),(68 2453.1997),(69 2449.562),(70 2488.1997),(71 2483.6707),(72 2472.269),(73 2475.6836),(74 2476.5845),(75 2465.6125),(76 2444.1633),(77 2448.9556),(78 2479.6873),(79 2451.3547),
