1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 7909.2114),(2 20527.213),(3 39130.13),(4 62116.36),(5 87540.055),(6 115370.9),(7 148986.83),(8 185861.94),(9 228245.55),(10 276815.1),(11 325604.03),(12 371965.34),(13 418002.84),(14 459576.1),(15 495676.47),(16 530067.3),(17 561220.3),(18 583804),(19 605025.75),(20 625412.44),(21 640787.25),(22 652462.56),(23 663093.7),(24 672161.25),(25 684614.5),(26 689317.25),(27 691507.6),(28 699666.3),(29 703005.7),(30 700025.3),(31 706861.7),(32 711982.7),(33 721254.7),(34 730017.7),(35 745534.06),(36 774052.56),(37 812170.8),(38 869063.06),(39 964604.75),(40 1043562.3),(41 1124872.1),(42 1201518.5),(43 1276932.3),(44 1346708.9),(45 1411937.5),(46 1484603.6),(47 1558814.1),(48 1624216),(49 1690280.5),(50 1738061.6),(51 1794267.9),(52 1841576.6),(53 1891714),(54 1940262.4),(55 1989263.6),(56 2019832.4),(57 2056735.1),(58 2069761.6),(59 2091058.5),(60 2092029.6),(61 2090801.5),(62 2080034.9),(63 2077039.6),(64 2069189.4),(65 2070851.4),(66 2063083),(67 2067134.6),(68 2067016),(69 2070673.6),(70 2064389),(71 2070386.6),(72 2078864.4),(73 2105065.5),(74 2142463.8),(75 2199634.8),(76 2245882.8),(77 2294447.5),(78 2342954.3),(79 2403597.8),
(1 928.4877),(2 1635.3054),(3 2216.6296),(4 2704.7073),(5 3161.8577),(6 3489.9639),(7 3861.9468),(8 4223.0635),(9 4536.4385),(10 4912.227),(11 5260.881),(12 5606.863),(13 5940.492),(14 6218.2964),(15 6411.8213),(16 6628.384),(17 6821.2783),(18 6936.802),(19 7020.5537),(20 7128.202),(21 7212.1997),(22 7292.672),(23 7370.9263),(24 7462.1396),(25 7513.3164),(26 7607.4683),(27 7741.4966),(28 7833.088),(29 7901.8364),(30 7912.4263),(31 7948.0737),(32 7974.836),(33 7964.947),(34 8000.198),(35 8124.477),(36 8130),(37 8133.296),(38 8144.055),(39 8082.5747),(40 7970.3994),(41 7937.805),(42 7838.332),(43 7784.819),(44 7671.1875),(45 7561.595),(46 7497.6875),(47 7401.2627),(48 7296.1367),(49 7142.6714),(50 7080.966),(51 7055.9507),(52 7011.2856),(53 6954.2886),(54 6936.3174),(55 6935.0996),(56 6975.7227),(57 7024.3096),(58 7041.475),(59 7093.4526),(60 7087.761),(61 7178.922),(62 7179.2954),(63 7176.504),(64 7162.397),(65 7147.6494),(66 7084.59),(67 7031.7236),(68 6960.2236),(69 6953.5073),(70 6899.9106),(71 6854.214),(72 6757.271),(73 6743.1157),(74 6647.3516),(75 6612.9717),(76 6585.6953),(77 6547.3496),(78 6519.7153),(79 6564.7324),
(1 923.59576),(2 1626.3993),(3 2223.766),(4 2728.9497),(5 3226.8977),(6 3557.3477),(7 3939.7075),(8 4266.8887),(9 4570.8784),(10 4902.642),(11 5253.6187),(12 5601.8213),(13 5906.418),(14 6176.14),(15 6399.925),(16 6585.6353),(17 6747.2017),(18 6847.04),(19 6940.4634),(20 7042.8037),(21 7153.5264),(22 7233.5786),(23 7363.047),(24 7471.4565),(25 7550.1035),(26 7633.2705),(27 7705.069),(28 7698.768),(29 7743.7104),(30 7717.645),(31 7709.6367),(32 7685.7),(33 7665.6),(34 7695.2114),(35 7704.7065),(36 7701.1187),(37 7664.7915),(38 7682.6396),(39 7653.577),(40 7602.6147),(41 7634.772),(42 7629.173),(43 7623.215),(44 7573.76),(45 7454.882),(46 7397.695),(47 7303.915),(48 7216.078),(49 7090.0713),(50 7040.658),(51 7012.6035),(52 6926.7734),(53 6886.6904),(54 6907.2046),(55 6910.234),(56 6958.392),(57 7029.133),(58 7094.433),(59 7148.763),(60 7155.4717),(61 7196.175),(62 7298.393),(63 7321.359),(64 7295.491),(65 7264.46),(66 7205.4634),(67 7178.957),(68 7147.1133),(69 7102.923),(70 7030.7046),(71 6909.1494),(72 6782.7305),(73 6641.508),(74 6509.2905),(75 6379.0684),(76 6298.4414),(77 6193.4756),(78 6146.673),(79 6180.5146),
(1 905.6601),(2 1576.6476),(3 2135.0415),(4 2590.5925),(5 3022.0508),(6 3320.8806),(7 3641.2483),(8 3940.3572),(9 4199.8203),(10 4566.9585),(11 4912.3213),(12 5212.301),(13 5535.4087),(14 5802.519),(15 6037.851),(16 6186.767),(17 6338.8276),(18 6450.795),(19 6548.2783),(20 6655.6577),(21 6764.266),(22 6851.9473),(23 6965.5386),(24 7106.677),(25 7221.841),(26 7303.053),(27 7373.784),(28 7406.3145),(29 7470.731),(30 7453.0835),(31 7456.14),(32 7441.204),(33 7421.191),(34 7396.91),(35 7383.2036),(36 7377.705),(37 7321.243),(38 7273.4746),(39 7232.7163),(40 7218.812),(41 7237.3438),(42 7178.9326),(43 7160.143),(44 7071.268),(45 6995.874),(46 6900.169),(47 6823.9355),(48 6735.507),(49 6694.9907),(50 6675.9614),(51 6622.845),(52 6548.4683),(53 6517.759),(54 6518.475),(55 6506.409),(56 6522.442),(57 6530.0723),(58 6540.4126),(59 6574.8154),(60 6586.4375),(61 6597.903),(62 6598.559),(63 6600.4297),(64 6568.227),(65 6541.4346),(66 6497.489),(67 6483.5005),(68 6468.3906),(69 6412.1704),(70 6326.6274),(71 6237.3906),(72 6170.955),(73 6139.331),(74 6113.3994),(75 6079.3667),(76 6103.2),(77 6071.9683),(78 6054.219),(79 6086.502),
(1 888.9997),(2 1573.2102),(3 2105.343),(4 2585.9944),(5 3016.5388),(6 3327.1165),(7 3677.9663),(8 4012.8342),(9 4268.913),(10 4607.2134),(11 4911.4785),(12 5182.299),(13 5469.5347),(14 5693.4204),(15 5911.5527),(16 6080.483),(17 6242.8833),(18 6331.4766),(19 6389.231),(20 6504.288),(21 6613.273),(22 6726.889),(23 6868.42),(24 6977.405),(25 7077.6045),(26 7182.387),(27 7235.2515),(28 7298.1006),(29 7374.5625),(30 7385.861),(31 7426.907),(32 7451.761),(33 7457.0103),(34 7488.954),(35 7545.4404),(36 7632.4126),(37 7606.4346),(38 7595.4453),(39 7610.1),(40 7597.258),(41 7606.779),(42 7534.58),(43 7503.8315),(44 7428.211),(45 7377.562),(46 7310.147),(47 7268.3276),(48 7216.2207),(49 7159.989),(50 7114.855),(51 7069.146),(52 6988.047),(53 6947.586),(54 6900.084),(55 6850.28),(56 6871.9424),(57 6882.0093),(58 6905.763),(59 6942.838),(60 6981.2544),(61 7036.4907),(62 7040.968),(63 7036.4473),(64 6970.783),(65 6945.934),(66 6882.53),(67 6887.513),(68 6827.0576),(69 6786.702),(70 6754.4976),(71 6690.1704),(72 6611.4985),(73 6552.6514),(74 6464.8647),(75 6382.637),(76 6329.602),(77 6260.558),(78 6217.4463),(79 6184.8975),
(1 877.7927),(2 1544.4868),(3 2067.941),(4 2512.237),(5 2943.1987),(6 3233.891),(7 3580.8066),(8 3921.0974),(9 4211.4893),(10 4571.505),(11 4907.9834),(12 5187.725),(13 5510.075),(14 5781.084),(15 6035.7886),(16 6262.4478),(17 6461.5337),(18 6597.838),(19 6704.8784),(20 6845.1504),(21 6933.2905),(22 7074.0864),(23 7205.0776),(24 7348.404),(25 7477.5913),(26 7612.1978),(27 7687.996),(28 7766.0146),(29 7850.662),(30 7910.0933),(31 7956.776),(32 8026.2354),(33 8039.206),(34 8084.9775),(35 8145.1807),(36 8207.217),(37 8172.026),(38 8252.871),(39 8241.811),(40 8207.46),(41 8152.355),(42 8042.539),(43 7958.2993),(44 7821.831),(45 7725.0273),(46 7622.4185),(47 7575.7583),(48 7509.7344),(49 7471.827),(50 7457.7314),(51 7457.8105),(52 7358.7363),(53 7341.6094),(54 7355.34),(55 7324.461),(56 7347.5166),(57 7310.738),(58 7258.206),(59 7276.995),(60 7245.2427),(61 7300.7354),(62 7268.6826),(63 7282.779),(64 7219.618),(65 7196.357),(66 7152.407),(67 7124.279),(68 7085.779),(69 7009.101),(70 6961.489),(71 6878.3057),(72 6792.784),(73 6758.2227),(74 6678.6147),(75 6591.4844),(76 6491.426),(77 6426.5503),(78 6343.662),(79 6305.7183),
(1 855.1537),(2 1494.7604),(3 2009.7523),(4 2431.296),(5 2814.3103),(6 3100.2527),(7 3385.7546),(8 3687.8733),(9 3963.7947),(10 4304.139),(11 4631.4917),(12 4933.8984),(13 5244.8286),(14 5511.3945),(15 5762.8413),(16 5978.6636),(17 6185.158),(18 6345.862),(19 6478.116),(20 6574.736),(21 6679.7417),(22 6783.4272),(23 6914.302),(24 7034.532),(25 7173.074),(26 7268.4966),(27 7371.2783),(28 7426.6235),(29 7477.2544),(30 7496.7114),(31 7531.2607),(32 7584.2686),(33 7572.562),(34 7593.576),(35 7632.8403),(36 7672.186),(37 7621.544),(38 7594.46),(39 7575.2725),(40 7578.1323),(41 7541.3486),(42 7419.7275),(43 7356.682),(44 7280.548),(45 7199.4995),(46 7131.8),(47 6991.69),(48 6900.464),(49 6857.0854),(50 6811.7207),(51 6783.9063),(52 6719.496),(53 6702.8037),(54 6731.974),(55 6724.694),(56 6740.6895),(57 6752.68),(58 6750.8887),(59 6805.498),(60 6815.5313),(61 6810.8853),(62 6800.474),(63 6810.416),(64 6760.3623),(65 6719.206),(66 6661.4204),(67 6631.5137),(68 6620.5747),(69 6503.1675),(70 6478.2295),(71 6434.3506),(72 6334.4688),(73 6261.72),(74 6187.474),(75 6092.8726),(76 6016.072),(77 5984.1294),(78 5927.0684),(79 5907.3184),
(1 882.945),(2 1532.3486),(3 2048.8967),(4 2474.0208),(5 2854.5593),(6 3136.1401),(7 3467.7),(8 3775.3118),(9 4043.357),(10 4373.9165),(11 4730.692),(12 5023.3774),(13 5340.319),(14 5601.998),(15 5818.8623),(16 6007.3203),(17 6201.783),(18 6318.3374),(19 6449.442),(20 6555.6836),(21 6671.3916),(22 6769.8193),(23 6888.493),(24 6989.8096),(25 7132.546),(26 7236.7866),(27 7322.066),(28 7353.5474),(29 7430.823),(30 7471.246),(31 7493.126),(32 7507.2656),(33 7469.9443),(34 7495.0156),(35 7539.502),(36 7551.9087),(37 7539.143),(38 7520.9478),(39 7555.97),(40 7496.1694),(41 7483.6436),(42 7394.2114),(43 7352.907),(44 7241.743),(45 7161.651),(46 7041.9683),(47 6909.295),(48 6843.3047),(49 6778.2007),(50 6683.6064),(51 6590.7397),(52 6535.185),(53 6527.712),(54 6525.7583),(55 6528.3955),(56 6519.453),(57 6510.5933),(58 6511.495),(59 6523.236),(60 6528.895),(61 6562.4595),(62 6575.2837),(63 6576.6904),(64 6541.551),(65 6553.5),(66 6522.0703),(67 6459.3984),(68 6432.4443),(69 6367.533),(70 6326.458),(71 6302.172),(72 6243.035),(73 6184.119),(74 6108.0947),(75 6059.8477),(76 6035.886),(77 5970.359),(78 5919.878),(79 5908.869),
(1 857.07324),(2 1468.1519),(3 1963.6621),(4 2373.9734),(5 2768.7175),(6 3049.524),(7 3334.169),(8 3603.3467),(9 3877.5486),(10 4188.8813),(11 4478.8564),(12 4736.532),(13 5031.507),(14 5260.2554),(15 5423.9966),(16 5555.906),(17 5687.7813),(18 5805.733),(19 5909.2188),(20 6010.5835),(21 6114.641),(22 6213.215),(23 6322.538),(24 6435.0713),(25 6537.943),(26 6640.895),(27 6748.195),(28 6773.2085),(29 6848.5938),(30 6884.83),(31 6903.572),(32 6946.7),(33 6934.079),(34 6984.011),(35 7029.368),(36 7072.055),(37 7026.1807),(38 7029.204),(39 7034.35),(40 7002.5547),(41 6962.383),(42 6881.071),(43 6869.704),(44 6768.307),(45 6718.036),(46 6643.2144),(47 6561.666),(48 6474.1514),(49 6418.5146),(50 6357.4),(51 6324.29),(52 6271.887),(53 6246.9756),(54 6238.601),(55 6283.135),(56 6317.4287),(57 6321.069),(58 6317.59),(59 6346.9326),(60 6340.426),(61 6327.067),(62 6298.389),(63 6302.5337),(64 6270.5464),(65 6323.641),(66 6365.5127),(67 6364.8105),(68 6325.576),(69 6309.9683),(70 6243.995),(71 6174.0737),(72 6113.365),(73 6022.1406),(74 5952.509),(75 5911.1016),(76 5879.905),(77 5807.8867),(78 5760.5015),(79 5739.3423),
(1 859.07904),(2 1494.4336),(3 1995.5828),(4 2446.9805),(5 2890.0222),(6 3208.3115),(7 3549.7217),(8 3856.1372),(9 4145.8545),(10 4507.483),(11 4820.156),(12 5135.025),(13 5446.3),(14 5686.6367),(15 5916.4116),(16 6052.9175),(17 6217.6323),(18 6334.6567),(19 6431.315),(20 6495.4614),(21 6578.629),(22 6655.3184),(23 6734.466),(24 6821.871),(25 6910.4014),(26 7007.3086),(27 7094.03),(28 7139.666),(29 7203.0464),(30 7244.192),(31 7322.93),(32 7401.067),(33 7408.656),(34 7489.047),(35 7524.793),(36 7563.4355),(37 7538.8687),(38 7567.334),(39 7576.2886),(40 7556.2183),(41 7549.904),(42 7469.71),(43 7452.0166),(44 7345.951),(45 7246.081),(46 7143.0923),(47 7025.9697),(48 6955.3667),(49 6857.3604),(50 6759.081),(51 6682.3223),(52 6599.5684),(53 6572.1035),(54 6526.425),(55 6534.7734),(56 6554.8555),(57 6605.826),(58 6670.32),(59 6821.791),(60 6860.6577),(61 6897.2695),(62 6888.4985),(63 6914.718),(64 6905.484),(65 6905.957),(66 6854.236),(67 6782.169),(68 6730.096),(69 6611.656),(70 6507.598),(71 6392.2114),(72 6255.087),(73 6183.2905),(74 6084.4834),(75 5994.04),(76 5934.9395),(77 5875.634),(78 5789.547),(79 5735.776),
(1 857.34235),(2 1455.4856),(3 1961.51),(4 2415.0637),(5 2863.8137),(6 3169.331),(7 3495.5718),(8 3806.2158),(9 4076.4207),(10 4400.09),(11 4676.7725),(12 4947.4673),(13 5258.44),(14 5487.4263),(15 5669.426),(16 5840.9346),(17 6015.9585),(18 6118.7505),(19 6219.069),(20 6303.1416),(21 6407.042),(22 6509.309),(23 6616.273),(24 6752.878),(25 6843.2666),(26 6962.876),(27 7053.9385),(28 7131.2324),(29 7205.8315),(30 7261.0327),(31 7322.069),(32 7375.193),(33 7395.3677),(34 7417.1753),(35 7465.0527),(36 7497.931),(37 7481.26),(38 7511.6143),(39 7527.6655),(40 7524.3486),(41 7524.803),(42 7449.296),(43 7406.3223),(44 7332.6865),(45 7243.775),(46 7174.9023),(47 7092.9697),(48 7031.998),(49 6938.0684),(50 6895.7495),(51 6847.107),(52 6786.2983),(53 6752.2085),(54 6743.5933),(55 6717.2026),(56 6709.29),(57 6754.6187),(58 6809.1577),(59 6886.239),(60 6877.887),(61 6911.33),(62 6857.8804),(63 6864.4634),(64 6841.5376),(65 6875.2983),(66 6847.9595),(67 6781.3755),(68 6705.5938),(69 6631.6313),(70 6506.6367),(71 6392.3604),(72 6256.6563),(73 6182.7617),(74 6070.6587),(75 6009.8945),(76 5943.9385),(77 5889.5483),(78 5810.5806),(79 5775.6523),
(1 856.6869),(2 1461.3811),(3 1963.5021),(4 2385.4219),(5 2782.136),(6 3060.2766),(7 3367.1877),(8 3664.817),(9 3932.5251),(10 4232.672),(11 4502.022),(12 4767.2227),(13 5035.746),(14 5250.5645),(15 5445.017),(16 5602.938),(17 5746.736),(18 5808.4116),(19 5897.9624),(20 5956.896),(21 6062.83),(22 6136.0938),(23 6241.546),(24 6367.8555),(25 6499.7),(26 6626.568),(27 6749.4023),(28 6805.3013),(29 6910.794),(30 6990.953),(31 7084.6836),(32 7137.2256),(33 7150.0615),(34 7187.971),(35 7246.5884),(36 7284.577),(37 7273.8877),(38 7300.2266),(39 7331.7),(40 7290.494),(41 7289.3247),(42 7273.417),(43 7283.014),(44 7246.257),(45 7184.2803),(46 7134.085),(47 7055.89),(48 7009.5977),(49 6941.3774),(50 6866.24),(51 6792.593),(52 6714.0044),(53 6659.754),(54 6610.6343),(55 6576.353),(56 6556.8774),(57 6541.7246),(58 6522.83),(59 6553.668),(60 6544.822),(61 6585.3237),(62 6578.2417),(63 6535.362),(64 6546.4194),(65 6537.6587),(66 6479.64),(67 6420.358),(68 6332.995),(69 6274.5977),(70 6227.9233),(71 6159.5684),(72 6093.638),(73 6007.0083),(74 5961.2705),(75 5958.2393),(76 5968.1475),(77 5941.0327),(78 5849.6904),(79 5797.758),
(1 825.6476),(2 1403.2809),(3 1877.6636),(4 2254.0784),(5 2635.945),(6 2923.2417),(7 3218.1794),(8 3487.371),(9 3708.8577),(10 4036.5374),(11 4268.369),(12 4494.9717),(13 4737.9604),(14 4913.222),(15 5059.3994),(16 5208.9805),(17 5347.5415),(18 5437.339),(19 5536.2495),(20 5578.514),(21 5713.733),(22 5803.2993),(23 5923.1836),(24 6028.6733),(25 6138.5566),(26 6226.1274),(27 6326.573),(28 6376.6396),(29 6440.4854),(30 6505.842),(31 6562.9395),(32 6608.51),(33 6633.0693),(34 6623.561),(35 6673.8213),(36 6719.0825),(37 6693.649),(38 6703.373),(39 6760.0366),(40 6730.6255),(41 6737.1563),(42 6700.0215),(43 6675.4473),(44 6612.932),(45 6585.485),(46 6537.8765),(47 6493.741),(48 6448.4814),(49 6435.0796),(50 6397.325),(51 6354.8564),(52 6266.661),(53 6248.287),(54 6211.4614),(55 6164.136),(56 6160.401),(57 6182.71),(58 6183.985),(59 6219.709),(60 6167.1963),(61 6150.706),(62 6156.375),(63 6165.322),(64 6108.456),(65 6074.0444),(66 5982.4893),(67 5960.0513),(68 5898.411),(69 5852.635),(70 5829.996),(71 5800.5317),(72 5737.212),(73 5667.766),(74 5624.9287),(75 5602.54),(76 5544.2847),(77 5496.186),(78 5450.358),(79 5441.617),
(1 797.2488),(2 1382.643),(3 1849.8042),(4 2246.9302),(5 2657.0579),(6 2938.2659),(7 3234.461),(8 3492.1855),(9 3702.9258),(10 3961.3286),(11 4159.674),(12 4352.7764),(13 4588.2935),(14 4776.813),(15 4894.8765),(16 5036.378),(17 5169.3247),(18 5277.8623),(19 5358.176),(20 5399.324),(21 5495.491),(22 5577.6807),(23 5641.676),(24 5718.758),(25 5795.4365),(26 5867.1387),(27 5923.3145),(28 5963.8804),(29 6009.0825),(30 6054.637),(31 6127.8545),(32 6194.069),(33 6232.9233),(34 6222.131),(35 6262.4067),(36 6307.0176),(37 6321.464),(38 6343.455),(39 6425.7124),(40 6466.0493),(41 6479.691),(42 6422.449),(43 6414.5044),(44 6370.107),(45 6315.3936),(46 6258.676),(47 6181.557),(48 6141.2593),(49 6089.892),(50 6018.2437),(51 5987.495),(52 5893.5044),(53 5827.874),(54 5785.121),(55 5756.243),(56 5746.7163),(57 5739.017),(58 5761.179),(59 5789.079),(60 5780.8945),(61 5810.005),(62 5861.01),(63 5888.4507),(64 5818.8096),(65 5772.7593),(66 5741.085),(67 5722.543),(68 5687.1206),(69 5666.7295),(70 5632.6455),(71 5584.07),(72 5528.5596),(73 5505.304),(74 5479.217),(75 5417.864),(76 5371.5166),(77 5363.8643),(78 5306.6484),(79 5293.9873),
(1 801.6388),(2 1381.6075),(3 1862.5836),(4 2281.315),(5 2681.6787),(6 3002.1104),(7 3328.726),(8 3630.468),(9 3918.7131),(10 4205.0894),(11 4483.032),(12 4721.7305),(13 4966.3584),(14 5170.1577),(15 5326.7007),(16 5464.2954),(17 5574.9263),(18 5661.1807),(19 5746.5156),(20 5785.2534),(21 5875.3535),(22 5953.8423),(23 6035.5425),(24 6078.8525),(25 6160.2715),(26 6234.2827),(27 6277.4346),(28 6286.23),(29 6314.4106),(30 6364.0596),(31 6415.6196),(32 6446.3154),(33 6456.2417),(34 6453.2344),(35 6552.768),(36 6565.5913),(37 6549.9575),(38 6594.0957),(39 6669.7417),(40 6679.7676),(41 6676.904),(42 6549.516),(43 6467.618),(44 6392.59),(45 6316.606),(46 6232.9165),(47 6180.2817),(48 6091.7144),(49 6050.9424),(50 5944.3926),(51 5873.9727),(52 5799.116),(53 5768.8735),(54 5719.448),(55 5706.0903),(56 5700.4287),(57 5717.8643),(58 5705.7227),(59 5740.1104),(60 5751.3643),(61 5754.552),(62 5798.6914),(63 5811.318),(64 5785.7363),(65 5746.9106),(66 5711.6187),(67 5676.566),(68 5632.9263),(69 5614.5156),(70 5589.228),(71 5549.33),(72 5481.3857),(73 5461.5737),(74 5466.3145),(75 5420.2017),(76 5388.5264),(77 5357.1895),(78 5330.035),(79 5325.609),
(1 794.1058),(2 1341.1698),(3 1793.4515),(4 2173.2764),(5 2529.664),(6 2821.4622),(7 3123.8604),(8 3393.641),(9 3643.634),(10 3933.8623),(11 4182.66),(12 4393.0713),(13 4672.974),(14 4829.519),(15 4967.8853),(16 5111.961),(17 5285.531),(18 5395.2437),(19 5480.2847),(20 5578.1475),(21 5691.0522),(22 5770.126),(23 5851.1377),(24 5946.234),(25 6057.2173),(26 6178.054),(27 6259.924),(28 6327.056),(29 6408.0796),(30 6473.703),(31 6523.1006),(32 6588.0635),(33 6638.8335),(34 6639.301),(35 6737.7246),(36 6788.06),(37 6774.412),(38 6826.453),(39 6863.7285),(40 6836.462),(41 6856.485),(42 6758.658),(43 6711.9346),(44 6596.169),(45 6499.4375),(46 6403.502),(47 6333.0713),(48 6250.6177),(49 6205.283),(50 6136.6724),(51 6078.0254),(52 6023.082),(53 5969.1494),(54 5952.8027),(55 5915.236),(56 5913.1943),(57 5945.0913),(58 5996.3994),(59 6061.5386),(60 6068.861),(61 6127.727),(62 6153.113),(63 6154.5044),(64 6082.46),(65 5996.919),(66 5938.69),(67 5895.5054),(68 5871.3203),(69 5859.37),(70 5825.167),(71 5757.082),(72 5672.304),(73 5614.297),(74 5568.52),(75 5515.1064),(76 5456.3735),(77 5393.829),(78 5339.028),(79 5329.6147),
(1 774.3155),(2 1296.9321),(3 1730.552),(4 2092.6394),(5 2429.7717),(6 2682.7507),(7 2955.0908),(8 3232.319),(9 3474.637),(10 3766.3977),(11 4002.304),(12 4242.4897),(13 4480.4253),(14 4656.666),(15 4859.6616),(16 5033.1333),(17 5209.5566),(18 5328.0693),(19 5411.4424),(20 5483.9546),(21 5578.949),(22 5683.3945),(23 5785.4824),(24 5884.119),(25 6000.8726),(26 6109.7266),(27 6230.9434),(28 6322.6123),(29 6421.9917),(30 6507.949),(31 6641.13),(32 6718.809),(33 6759.958),(34 6787.557),(35 6820.14),(36 6890.7275),(37 6896.1274),(38 6884.0957),(39 6888.6123),(40 6856.5444),(41 6851.974),(42 6853.3),(43 6826.61),(44 6760.96),(45 6754.9917),(46 6739.9688),(47 6680.972),(48 6677.152),(49 6593.7124),(50 6518.8525),(51 6462.1387),(52 6417.5674),(53 6400.3),(54 6388.554),(55 6352.621),(56 6328.3228),(57 6292.054),(58 6295.878),(59 6292.4194),(60 6299.8403),(61 6325.703),(62 6354.3193),(63 6332.505),(64 6280.5137),(65 6176.3853),(66 6111.8193),(67 6061.379),(68 6003.9824),(69 5922.7563),(70 5879.3765),(71 5829.4043),(72 5739.269),(73 5747.915),(74 5707.4624),(75 5676.857),(76 5656.9297),(77 5623.7515),(78 5586.245),(79 5480.732),
