1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 50714.8),(2 188912.58),(3 389820),(4 644531.3),(5 943349.5),(6 1289305.6),(7 1665136.1),(8 2060841.6),(9 2459190),(10 2897510.8),(11 3393296),(12 3926909.8),(13 4474133.5),(14 4991924.5),(15 5472458.5),(16 5936098),(17 6390450.5),(18 6693944),(19 6926936),(20 6974662.5),(21 6959792),(22 6891608),(23 6741290.5),(24 6527664),(25 6298524.5),(26 6045818.5),(27 5763058.5),(28 5452745.5),(29 5185720.5),(30 4958175.5),(31 4777442),(32 4664134.5),(33 4623542),(34 4599437.5),(35 4644130.5),(36 4751613.5),(37 4862176.5),(38 4999293.5),(39 5139464),(40 5300509.5),(41 5565336),(42 5879540),(43 6185776),(44 6544992),(45 6937577.5),(46 7409373.5),(47 7968478.5),(48 8646312),(49 9401096),(50 10199140),(51 11067239),(52 11952756),(53 12926559),(54 13929740),(55 14955845),(56 16066467),(57 17194906),(58 18437250),(59 19697682),(60 20979398),(61 22301586),(62 23564048),(63 24806162),(64 26063280),(65 27341446),(66 28568226),(67 29785578),(68 30904226),(69 31871194),(70 32735974),(71 33582730),(72 34413412),(73 35292976),(74 36160216),(75 37024508),(76 37926444),(77 38800460),(78 39623964),(79 40396490),
(1 832.6716),(2 1158.0491),(3 1355.5706),(4 1496.6985),(5 1574.6594),(6 1643.3787),(7 1691.3027),(8 1763.512),(9 1831.8684),(10 1873.3898),(11 1902.3337),(12 1926.0089),(13 1951.8475),(14 1993.2379),(15 2014.2336),(16 2038.6392),(17 2090.1907),(18 2122.2053),(19 2143.5615),(20 2168.7644),(21 2179.0881),(22 2198.317),(23 2208.2922),(24 2236.634),(25 2248.8306),(26 2304.031),(27 2329.4358),(28 2359.0327),(29 2395.4778),(30 2390.205),(31 2401.7808),(32 2419.01),(33 2441.1018),(34 2452.4734),(35 2488.791),(36 2472.1326),(37 2455.6807),(38 2462.763),(39 2488.2026),(40 2506.936),(41 2552.19),(42 2565.0967),(43 2585.0447),(44 2612.7842),(45 2600.3245),(46 2611.302),(47 2626.022),(48 2636.7312),(49 2639.6694),(50 2701.957),(51 2722.3816),(52 2782.666),(53 2818.736),(54 2833.312),(55 2854.91),(56 2867.418),(57 2892.4275),(58 2932.7056),(59 2940.9978),(60 2956.0266),(61 2965.0984),(62 3003.9812),(63 3014.2126),(64 3017.116),(65 3031.2957),(66 3054.143),(67 3045.8716),(68 3057.7573),(69 3060.7527),(70 3071.6975),(71 3060.176),(72 3029.778),(73 3013.054),(74 3010.5872),(75 3036.1462),(76 3011.9736),(77 3001.8784),(78 3014.6208),(79 2993.454),
(1 824.6789),(2 1153.3044),(3 1365.9531),(4 1481.0082),(5 1574.7692),(6 1649.0457),(7 1701.0157),(8 1789.1451),(9 1832.1754),(10 1867.2953),(11 1898.8986),(12 1920.7905),(13 1971.9175),(14 2014.3478),(15 2034.9846),(16 2063.9182),(17 2101.0535),(18 2147.2156),(19 2151.8572),(20 2191.4907),(21 2207.8792),(22 2233.45),(23 2238.3552),(24 2275.3765),(25 2282.4336),(26 2325.266),(27 2349.4292),(28 2371.3135),(29 2370.0205),(30 2391.1162),(31 2409.4695),(32 2434.6458),(33 2440.583),(34 2457.2075),(35 2477.061),(36 2464.8154),(37 2468.7383),(38 2519.9966),(39 2540.4407),(40 2554.8608),(41 2585.2454),(42 2597.6826),(43 2602.327),(44 2643.882),(45 2673.8535),(46 2686.5732),(47 2673.5957),(48 2677.9697),(49 2703.1802),(50 2733.3708),(51 2746.0254),(52 2795.125),(53 2803.7175),(54 2798.91),(55 2826.5996),(56 2838.8547),(57 2857.529),(58 2871.4282),(59 2850.7761),(60 2856.0947),(61 2868.5984),(62 2901.9446),(63 2929.456),(64 2932.8855),(65 2941.9543),(66 2960.3628),(67 2947.7864),(68 2969.364),(69 2969.2185),(70 2977.8877),(71 3001.697),(72 2994.5193),(73 3012.429),(74 3027.0022),(75 3016.4434),(76 3020.5662),(77 3013.1396),(78 3024.2598),(79 3037.1619),
(1 812.9773),(2 1126.8588),(3 1321.8463),(4 1456.243),(5 1550.7919),(6 1597.7556),(7 1657.0267),(8 1755.8947),(9 1807.2053),(10 1841.2047),(11 1857.5804),(12 1879.9222),(13 1912.7804),(14 1952.4108),(15 1994.9802),(16 2021.4116),(17 2051.5525),(18 2099.4426),(19 2132.3782),(20 2162.0767),(21 2183.3),(22 2177.683),(23 2187.611),(24 2199.7788),(25 2188.9038),(26 2245.3765),(27 2284.6567),(28 2305.5103),(29 2329.6487),(30 2350.7131),(31 2386.9832),(32 2420.697),(33 2445.6174),(34 2452.2493),(35 2462.7788),(36 2488.2668),(37 2496.058),(38 2527.3916),(39 2550.8953),(40 2552.7332),(41 2587.3352),(42 2609.6187),(43 2629.8135),(44 2643.4712),(45 2667.8586),(46 2690.9534),(47 2697.913),(48 2717.1885),(49 2720.3933),(50 2769.2322),(51 2791.4507),(52 2812.2615),(53 2810.8318),(54 2857.6106),(55 2891.9063),(56 2904.1453),(57 2926.5234),(58 2934.9824),(59 2947.6917),(60 2955.4631),(61 2978.1484),(62 3009.781),(63 3051.5042),(64 3060.7773),(65 3074.3623),(66 3086.6497),(67 3094.8938),(68 3114.2822),(69 3116.1836),(70 3133.994),(71 3150.2366),(72 3168.15),(73 3188.113),(74 3213.35),(75 3192.1326),(76 3200.0374),(77 3192.0374),(78 3182.8735),(79 3192.8662),
(1 793.91614),(2 1096.3408),(3 1317.3793),(4 1446.7188),(5 1525.2952),(6 1592.4775),(7 1660.8802),(8 1727.773),(9 1768.3376),(10 1836.3993),(11 1894.8743),(12 1909.0754),(13 1955.6774),(14 1996.3942),(15 2048.7207),(16 2090.6174),(17 2114.4324),(18 2174.479),(19 2194.0188),(20 2213.4824),(21 2247.254),(22 2253.5828),(23 2282.3176),(24 2300.3928),(25 2304.4514),(26 2350.634),(27 2363.4001),(28 2389.0664),(29 2423.0442),(30 2442.5173),(31 2469.6172),(32 2485.3735),(33 2517.4102),(34 2530.4636),(35 2531.8135),(36 2549.1687),(37 2548.1147),(38 2578.375),(39 2596.6108),(40 2614.0808),(41 2638.1992),(42 2657.973),(43 2672.3337),(44 2685.467),(45 2705.457),(46 2723.4617),(47 2726.517),(48 2724.2517),(49 2755.175),(50 2794.747),(51 2808.5896),(52 2839.424),(53 2855.2803),(54 2870.4336),(55 2889.9167),(56 2911.8184),(57 2937.1377),(58 2982.0098),(59 3013.5535),(60 3006.671),(61 3033.18),(62 3069.3723),(63 3086.381),(64 3082.9329),(65 3112.638),(66 3098.2302),(67 3115.7078),(68 3111.3936),(69 3121.8867),(70 3132.6873),(71 3124.6436),(72 3125.2634),(73 3140.7673),(74 3164.9412),(75 3185.99),(76 3185.06),(77 3206.391),(78 3198.0186),(79 3191.2903),
(1 788.38696),(2 1077.3158),(3 1270.8646),(4 1373.4421),(5 1474.2074),(6 1516.1542),(7 1592.9983),(8 1659.2137),(9 1712.2145),(10 1759.5133),(11 1776.7211),(12 1790.2755),(13 1832.9655),(14 1884.8679),(15 1903.9474),(16 1943.9319),(17 1977.6953),(18 1985.023),(19 2015.3043),(20 2056.514),(21 2080.6172),(22 2122.931),(23 2139.0396),(24 2143.896),(25 2167.7095),(26 2233.3423),(27 2279.5613),(28 2306.2095),(29 2333.146),(30 2350.0195),(31 2367.1814),(32 2392.9773),(33 2420.2737),(34 2421.664),(35 2440.039),(36 2442.1228),(37 2450.2935),(38 2474.2212),(39 2489.4644),(40 2509.7258),(41 2520.564),(42 2537.8264),(43 2544.7368),(44 2579.2246),(45 2580.1008),(46 2610.3157),(47 2620.2002),(48 2606.7861),(49 2603.1387),(50 2636.8767),(51 2651.7222),(52 2684.7273),(53 2695.171),(54 2692.2163),(55 2719.4304),(56 2730.5552),(57 2739.741),(58 2751.9106),(59 2777.7676),(60 2803.8071),(61 2838.6533),(62 2901.5554),(63 2906.2837),(64 2917.3862),(65 2926.6377),(66 2938.4944),(67 2948.1084),(68 2971.1748),(69 2972.4602),(70 2990.4868),(71 2995.0417),(72 3015.164),(73 3026.7825),(74 3062.9238),(75 3101.6187),(76 3098.5474),(77 3109.918),(78 3094.7131),(79 3117.2178),
(1 766.35815),(2 1060.0402),(3 1233.8142),(4 1339.6355),(5 1438.6842),(6 1493.47),(7 1553.6598),(8 1626.6136),(9 1668.1013),(10 1705.8691),(11 1724.8127),(12 1755.6097),(13 1789.1799),(14 1851.4303),(15 1877.2694),(16 1910.0132),(17 1925.1641),(18 1930.2891),(19 1969.3911),(20 1998.735),(21 2026.6238),(22 2063.8137),(23 2067.7192),(24 2093.8018),(25 2137.5295),(26 2227.0789),(27 2270.2842),(28 2306.045),(29 2337.595),(30 2380.108),(31 2411.722),(32 2436.9414),(33 2450.534),(34 2467.8599),(35 2495.409),(36 2506.731),(37 2519.3416),(38 2532.5967),(39 2555.611),(40 2572.2073),(41 2603.422),(42 2646.769),(43 2669.7446),(44 2695.719),(45 2719.2478),(46 2761.173),(47 2767.4539),(48 2766.5386),(49 2781.095),(50 2841.0027),(51 2868.0103),(52 2896.731),(53 2886.8723),(54 2922.9568),(55 2952.1335),(56 2979.2473),(57 2990.0256),(58 3010.7927),(59 3030.8723),(60 3035.2542),(61 3075.3777),(62 3089.4097),(63 3103.1958),(64 3124.9856),(65 3150.0364),(66 3174.3667),(67 3209.2007),(68 3235.6748),(69 3241.8547),(70 3268.5205),(71 3304.2864),(72 3322.8074),(73 3351.489),(74 3357.7854),(75 3335.488),(76 3336.669),(77 3355.8406),(78 3334.2676),(79 3345.706),
(1 752.87),(2 1022.16284),(3 1183.413),(4 1298.2362),(5 1389.4211),(6 1439.855),(7 1509.4039),(8 1565.3959),(9 1605.945),(10 1649.2972),(11 1705.2996),(12 1720.8723),(13 1767.8188),(14 1813.5984),(15 1839.9784),(16 1862.6816),(17 1892.9438),(18 1917.1514),(19 1947.7979),(20 1976.2172),(21 1997.942),(22 2004.1826),(23 2019.2461),(24 2034.9597),(25 2053.8933),(26 2116.3638),(27 2153.3635),(28 2186.162),(29 2211.9504),(30 2243.9824),(31 2281.7405),(32 2296.8135),(33 2324.2114),(34 2331.6848),(35 2347.5374),(36 2360.1208),(37 2373.3186),(38 2391.3064),(39 2408.6025),(40 2419.786),(41 2451.0654),(42 2475.4473),(43 2494.2222),(44 2531.965),(45 2559.662),(46 2577.121),(47 2600.4585),(48 2601.0574),(49 2630.7249),(50 2667.0027),(51 2700.4736),(52 2715.8115),(53 2736.5928),(54 2785.251),(55 2795.278),(56 2833.184),(57 2818.151),(58 2830.9941),(59 2863.2952),(60 2890.3748),(61 2905.7634),(62 2945.3784),(63 2953.3865),(64 2958.869),(65 2974.0813),(66 2981.726),(67 2988.8745),(68 3002.3892),(69 3022.4314),(70 3039.7793),(71 3060.2952),(72 3105.4465),(73 3093.9568),(74 3104.6338),(75 3130.2585),(76 3127.3535),(77 3115.0146),(78 3116.5315),(79 3133.964),
(1 749.78284),(2 1029.9999),(3 1195.1414),(4 1315.4291),(5 1385.8585),(6 1443.5997),(7 1488.4982),(8 1538.9626),(9 1595.1948),(10 1640.13),(11 1670.1652),(12 1693.4221),(13 1734.2451),(14 1769.0876),(15 1795.9335),(16 1800.0646),(17 1821.5659),(18 1855.8302),(19 1891.5066),(20 1927.2902),(21 1950.278),(22 1964.1481),(23 1967.6309),(24 1979.4211),(25 1985.7318),(26 2048.1567),(27 2073.0583),(28 2095.145),(29 2144.5093),(30 2171.497),(31 2182.5886),(32 2200.0872),(33 2234.0398),(34 2242.8623),(35 2248.4194),(36 2276.5527),(37 2287.5054),(38 2313.5376),(39 2335.5708),(40 2343.2314),(41 2383.297),(42 2413.2385),(43 2426.7878),(44 2451.033),(45 2456.5894),(46 2481.741),(47 2479.738),(48 2461.1335),(49 2473.4233),(50 2517.433),(51 2526.4004),(52 2551.0981),(53 2547.1287),(54 2557.3503),(55 2562.8438),(56 2578.787),(57 2606.2498),(58 2625.8652),(59 2642.8833),(60 2662.2437),(61 2688.2173),(62 2706.0222),(63 2708.1116),(64 2733.0398),(65 2755.9595),(66 2760.4788),(67 2783.946),(68 2814.495),(69 2825.3406),(70 2823.3264),(71 2844.3774),(72 2854.3582),(73 2859.609),(74 2873.401),(75 2890.3333),(76 2905.2068),(77 2919.1768),(78 2915.6416),(79 2930.8833),
(1 729.8312),(2 997.27924),(3 1159.9324),(4 1272.558),(5 1348.7539),(6 1401.8173),(7 1454.069),(8 1523.7957),(9 1572.3193),(10 1615.4612),(11 1642.7616),(12 1663.334),(13 1693.6333),(14 1745.9519),(15 1782.3732),(16 1809.5906),(17 1853.8552),(18 1877.1552),(19 1910.4259),(20 1941.6755),(21 1956.6903),(22 1947.7494),(23 1967.914),(24 1991.5988),(25 2001.9623),(26 2044.6487),(27 2076.5576),(28 2077.9155),(29 2102.5122),(30 2123.4995),(31 2146.7693),(32 2179.2646),(33 2198.4844),(34 2195.023),(35 2222.8645),(36 2246.1646),(37 2261.6934),(38 2256.3076),(39 2276.058),(40 2283.7153),(41 2307.7507),(42 2314.3154),(43 2318.455),(44 2348.1665),(45 2365.6082),(46 2389.032),(47 2384.803),(48 2385.8474),(49 2410.206),(50 2447.5942),(51 2443.5276),(52 2453.4045),(53 2468.1418),(54 2490.4841),(55 2500.1238),(56 2526.3525),(57 2554.5425),(58 2566.0198),(59 2596.1294),(60 2617.9053),(61 2634.4238),(62 2673.4312),(63 2703.7258),(64 2707.2668),(65 2723.9338),(66 2734.8325),(67 2743.976),(68 2759.554),(69 2763.5557),(70 2776.0378),(71 2793.7002),(72 2813.8271),(73 2824.9583),(74 2835.9905),(75 2850.8003),(76 2853.2446),(77 2856.084),(78 2842.3762),(79 2850.732),
(1 703.6615),(2 971.5026),(3 1135.3761),(4 1240.5593),(5 1305.8488),(6 1372.0941),(7 1412.2129),(8 1484.3196),(9 1523.3193),(10 1539.8058),(11 1568.0958),(12 1592.7876),(13 1601.2463),(14 1636.385),(15 1674.6875),(16 1711.9675),(17 1750.5996),(18 1766.8215),(19 1788.2456),(20 1802.5187),(21 1819.7361),(22 1839.186),(23 1841.3975),(24 1853.5637),(25 1876.7795),(26 1922.5338),(27 1948.4713),(28 1957.7668),(29 1970.6147),(30 1979.1498),(31 1997.23),(32 2002.3622),(33 2009.5331),(34 2014.3627),(35 2018.3278),(36 2020.2646),(37 2040.2089),(38 2059.251),(39 2065.819),(40 2064.6262),(41 2091.4155),(42 2118.9758),(43 2141.6091),(44 2168.4182),(45 2185.4382),(46 2211.017),(47 2238.618),(48 2236.9001),(49 2264.7622),(50 2299.4077),(51 2319.087),(52 2332.3223),(53 2348.4512),(54 2353.2056),(55 2382.4063),(56 2412.5515),(57 2430.8655),(58 2460.283),(59 2471.9377),(60 2487.1125),(61 2503.082),(62 2516.8252),(63 2528.3108),(64 2550.8174),(65 2547.3982),(66 2561.7373),(67 2556.8508),(68 2562.199),(69 2552.8848),(70 2567.3137),(71 2578.9458),(72 2586.5542),(73 2602.8066),(74 2618.0303),(75 2617.4426),(76 2619.7656),(77 2615.4556),(78 2605.5603),(79 2605.6667),
(1 685.772),(2 946.15314),(3 1095.5729),(4 1206.5062),(5 1280.4271),(6 1347.912),(7 1398.9061),(8 1473.4172),(9 1503.2242),(10 1545.897),(11 1565.5472),(12 1576.3783),(13 1604.7164),(14 1636.861),(15 1672.2341),(16 1685.5343),(17 1710.2117),(18 1732.7687),(19 1765.3617),(20 1784.8027),(21 1796.3451),(22 1792.266),(23 1794.7902),(24 1813.3354),(25 1820.0381),(26 1853.3794),(27 1868.4868),(28 1875.2784),(29 1902.077),(30 1907.7986),(31 1937.9547),(32 1961.25),(33 1983.3854),(34 1997.855),(35 2017.4438),(36 2024.4838),(37 2037.7004),(38 2065.8684),(39 2087.2263),(40 2090.6262),(41 2111.8247),(42 2139.8362),(43 2144.5134),(44 2173.0405),(45 2196.954),(46 2228.4373),(47 2240.9521),(48 2242.8125),(49 2246.6926),(50 2283.9106),(51 2306.1228),(52 2312.846),(53 2330.6602),(54 2342.99),(55 2355.6707),(56 2350.3052),(57 2377.4866),(58 2383.706),(59 2405.892),(60 2427.2356),(61 2433.5898),(62 2468.1309),(63 2461.04),(64 2460.5427),(65 2484.6204),(66 2487.3267),(67 2473.2747),(68 2481.722),(69 2492.0693),(70 2504.1648),(71 2499.6821),(72 2502.149),(73 2492.939),(74 2497.085),(75 2505.0996),(76 2491.128),(77 2473.714),(78 2474.4084),(79 2483.5063),
(1 672.1912),(2 916.5466),(3 1062.6923),(4 1162.7065),(5 1234.5212),(6 1293.2615),(7 1349.0641),(8 1398.5331),(9 1430.6599),(10 1453.5437),(11 1479.6451),(12 1495.5248),(13 1521.9604),(14 1559.7992),(15 1577.5704),(16 1594.0701),(17 1627.0359),(18 1637.3646),(19 1650.2037),(20 1680.5533),(21 1715.9998),(22 1735.207),(23 1765.6616),(24 1787.8352),(25 1801.1686),(26 1844.6068),(27 1870.5244),(28 1877.1349),(29 1888.2411),(30 1904.426),(31 1918.3904),(32 1924.9911),(33 1941.6755),(34 1953.7413),(35 1967.113),(36 1957.1176),(37 1973.5106),(38 2005.0568),(39 2022.8766),(40 2037.4832),(41 2060.983),(42 2064.1357),(43 2073.8457),(44 2091.081),(45 2095.2705),(46 2117.9468),(47 2115.3542),(48 2098.3105),(49 2115.3708),(50 2157.6177),(51 2171.5193),(52 2165.692),(53 2170.866),(54 2183.668),(55 2191.0305),(56 2214.2285),(57 2222.6992),(58 2243.4897),(59 2260.9707),(60 2264.1638),(61 2283.6926),(62 2302.0342),(63 2315.628),(64 2321.92),(65 2328.0088),(66 2340.2375),(67 2336.7722),(68 2342.7344),(69 2348.7847),(70 2360.8662),(71 2330.0117),(72 2345.9812),(73 2334.7122),(74 2367.0906),(75 2375.3298),(76 2361.3457),(77 2351.7505),(78 2354.5195),(79 2353.4597),
(1 654.4352),(2 896.9013),(3 1049.5145),(4 1142.7283),(5 1220.3319),(6 1275.4384),(7 1321.6987),(8 1381.7578),(9 1429.7484),(10 1462.1732),(11 1476.4421),(12 1502.6694),(13 1532.8262),(14 1572.0278),(15 1589.637),(16 1601.0375),(17 1622.9286),(18 1646.6523),(19 1678.0209),(20 1701.9182),(21 1725.582),(22 1729.9218),(23 1746.3228),(24 1761.5063),(25 1793.5642),(26 1817.0522),(27 1844.3512),(28 1833.4779),(29 1841.5753),(30 1842.2911),(31 1866.218),(32 1874.5924),(33 1888.6472),(34 1902.2498),(35 1913.3708),(36 1928.4954),(37 1929.4929),(38 1946.8877),(39 1943.1738),(40 1962.2024),(41 1975.8779),(42 1975.5923),(43 1976.3231),(44 1989.8912),(45 2003.5098),(46 2019.5017),(47 2052.5422),(48 2039.7509),(49 2051.9841),(50 2074.7605),(51 2105.064),(52 2107.3347),(53 2117.36),(54 2148.1516),(55 2167.883),(56 2165.4255),(57 2148.3552),(58 2157.2463),(59 2166.7004),(60 2191.9263),(61 2213.7761),(62 2239.777),(63 2257.714),(64 2251.6155),(65 2254.5005),(66 2258.263),(67 2246.2976),(68 2254.2798),(69 2268.8164),(70 2261.7131),(71 2266.0564),(72 2272.0767),(73 2277.3276),(74 2297.134),(75 2299.9702),(76 2289.0637),(77 2285.5393),(78 2279.377),(79 2263.1804),
(1 645.8913),(2 882.087),(3 1034.2986),(4 1126.1317),(5 1196.7925),(6 1263.5979),(7 1296.767),(8 1357.7968),(9 1388.999),(10 1416.3784),(11 1438.8562),(12 1457.3136),(13 1469.5056),(14 1513.4708),(15 1540.4799),(16 1560.316),(17 1593.0427),(18 1621.3365),(19 1656.877),(20 1684.3812),(21 1691.2006),(22 1698.5807),(23 1707.3),(24 1722.6857),(25 1734.2028),(26 1763.3789),(27 1782.3065),(28 1800.0936),(29 1816.77),(30 1839.2356),(31 1845.3347),(32 1860.2095),(33 1892.369),(34 1896.1073),(35 1897.7916),(36 1908.2299),(37 1909.0074),(38 1927.8411),(39 1929.4799),(40 1939.354),(41 1959.2775),(42 1975.1559),(43 1978.3011),(44 1984.0623),(45 1984.3601),(46 1983.6044),(47 1998.1819),(48 2004.5659),(49 2001.9894),(50 2020.4075),(51 2029.8342),(52 2024.0244),(53 2030.6882),(54 2049.919),(55 2061.8372),(56 2080.9268),(57 2083.615),(58 2101.5024),(59 2101.1458),(60 2108.972),(61 2136.9382),(62 2151.9722),(63 2155.9988),(64 2153.9348),(65 2144.5781),(66 2159.5247),(67 2166.9573),(68 2187.8257),(69 2196.4744),(70 2210.7144),(71 2217.042),(72 2228.797),(73 2228.165),(74 2259.4475),(75 2247.6375),(76 2242.3906),(77 2236.8564),(78 2240.7813),(79 2235.643),
(1 637.5686),(2 868.50433),(3 1014.48785),(4 1101.0984),(5 1163.3452),(6 1217.9121),(7 1259.6296),(8 1317.332),(9 1342.6904),(10 1370.952),(11 1394.5867),(12 1421.663),(13 1443.9849),(14 1478.2524),(15 1508.3057),(16 1521.544),(17 1548.8235),(18 1594.1417),(19 1620.1683),(20 1649.3063),(21 1655.5739),(22 1664.6268),(23 1681.9762),(24 1703.9175),(25 1721.4877),(26 1753.8047),(27 1790.9987),(28 1811.7322),(29 1843.0402),(30 1859.8867),(31 1853.8997),(32 1864.6102),(33 1890.6243),(34 1895.5472),(35 1904.0493),(36 1911.7672),(37 1920.1215),(38 1964.1837),(39 1974.3223),(40 1975.4572),(41 1991.4696),(42 1995.7971),(43 2011.0977),(44 2017.3279),(45 2008.786),(46 2023.4269),(47 2020.1594),(48 2029.1267),(49 2024.0023),(50 2039.7185),(51 2039.1237),(52 2052.9253),(53 2060.678),(54 2079.2305),(55 2101.4265),(56 2129.6191),(57 2127.1116),(58 2133.0432),(59 2157.3938),(60 2162.8203),(61 2175.034),(62 2207.9524),(63 2230.9658),(64 2235.0764),(65 2252.689),(66 2258.6677),(67 2236.8738),(68 2266.78),(69 2272.7117),(70 2316.3083),(71 2333.3247),(72 2331.268),(73 2342.855),(74 2345.0496),(75 2349.098),(76 2353.8142),(77 2341.485),(78 2326.3074),(79 2329.6707),
(1 631.53015),(2 868.8593),(3 1006.4045),(4 1090.4601),(5 1161.0854),(6 1210.2748),(7 1247.2794),(8 1311.1832),(9 1351.0105),(10 1382.1736),(11 1420.3127),(12 1460.1919),(13 1494.6466),(14 1532.2836),(15 1549.231),(16 1560.7712),(17 1589.8123),(18 1623.3922),(19 1653.2457),(20 1690.853),(21 1707.888),(22 1707.3153),(23 1732.598),(24 1745.2692),(25 1756.3956),(26 1790.6912),(27 1810.167),(28 1834.734),(29 1846.8978),(30 1864.9412),(31 1874.6321),(32 1883.9745),(33 1882.0619),(34 1886.7616),(35 1895.2432),(36 1913.2789),(37 1922.6365),(38 1948.2219),(39 1951.2678),(40 1942.7236),(41 1961.162),(42 1967.2308),(43 1973.6008),(44 1985.6523),(45 1994.8406),(46 1993.0824),(47 1998.2639),(48 2000.6885),(49 2003.0127),(50 2059.2925),(51 2081.6472),(52 2092.1118),(53 2124.0146),(54 2141.673),(55 2152.3032),(56 2171.299),(57 2169.3372),(58 2196.9749),(59 2197.943),(60 2214.5122),(61 2248.404),(62 2265.783),(63 2294.1807),(64 2311.4336),(65 2332.9453),(66 2337.8467),(67 2341.2256),(68 2356.7156),(69 2366.657),(70 2389.6406),(71 2383.3474),(72 2384.1716),(73 2369.48),(74 2389.387),(75 2405.3606),(76 2382.7173),(77 2377.3484),(78 2373.132),(79 2376.335),
