1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 31577.56),(2 47572.86),(3 58328.64),(4 110161.22),(5 149026.02),(6 174675.19),(7 241281.38),(8 297693.03),(9 344730.13),(10 426928.6),(11 495482.28),(12 567280.8),(13 662810.2),(14 740127.2),(15 831265.25),(16 928117.5),(17 1007545.7),(18 1143032.1),(19 1254520.1),(20 1345451.8),(21 1467095.6),(22 1597746.4),(23 1727754.5),(24 1886726.4),(25 2055133.6),(26 2222643.5),(27 2432060.3),(28 2636892.3),(29 2832701.3),(30 3044328.8),(31 3248636.8),(32 3410607.3),(33 3681268.8),(34 3837748),(35 3977270.8),(36 4237085.5),(37 4408317.5),(38 4631761.5),(39 4975415.5),(40 5185850.5),(41 5419974),(42 5722201.5),(43 5950447.5),(44 6220891.5),(45 6501831.5),(46 6733910.5),(47 6964206.5),(48 7321298.5),(49 7512088),(50 7722821.5),(51 7960646),(52 8117040.5),(53 8308958.5),(54 8520387),(55 8703454),(56 8933671),(57 9157791),(58 9387371),(59 9604835),(60 9781641),(61 9879796),(62 10027742),(63 10253393),(64 10327740),(65 10415947),(66 10529657),(67 10560283),(68 10652621),(69 10706289),(70 10717385),(71 10778785),(72 10850616),(73 10856787),(74 10911179),(75 11004309),(76 11003497),(77 11064451),(78 11193989),(79 11180291),
(1 755.78894),(2 1221.6626),(3 1518.9818),(4 1645.1804),(5 1738.5955),(6 1814.2235),(7 1868.7604),(8 1933.3651),(9 1965.1329),(10 1985.3036),(11 2036.7523),(12 2050.507),(13 2048.652),(14 2076.673),(15 2063.175),(16 2059.1594),(17 2050.6587),(18 2054.7546),(19 2053.5098),(20 2050.8171),(21 2053.0732),(22 2050.8696),(23 2042.0693),(24 2038.1567),(25 2039.9128),(26 2038.6819),(27 2043.4182),(28 2047.8877),(29 2048.6016),(30 2048.1099),(31 2062.4216),(32 2051.3818),(33 2047.2539),(34 2047.4633),(35 2054.1982),(36 2059.6406),(37 2076.7188),(38 2069.5215),(39 2082.1318),(40 2077.644),(41 2061.2732),(42 2075.957),(43 2086.0881),(44 2088.5906),(45 2086.5164),(46 2107.1663),(47 2104.414),(48 2124.5388),(49 2104.2542),(50 2113.641),(51 2105.1426),(52 2090.6472),(53 2096.5159),(54 2075.5964),(55 2061.6365),(56 2047.3127),(57 2077.331),(58 2078.2947),(59 2070.6255),(60 2067.0774),(61 2065.9373),(62 2071.8145),(63 2088.3057),(64 2088.5022),(65 2088.4316),(66 2099.9746),(67 2087.0261),(68 2106.983),(69 2127.72),(70 2172.2422),(71 2210.0513),(72 2228.4854),(73 2268.5266),(74 2266.5051),(75 2292.0164),(76 2348.4685),(77 2367.6335),(78 2421.6045),(79 2439.725),
(1 743.7113),(2 1224.5122),(3 1533.9978),(4 1662.3983),(5 1749.8489),(6 1824.479),(7 1856.2378),(8 1903.2739),(9 1936.4441),(10 1978.2122),(11 2027.7023),(12 2037.7755),(13 2039.0966),(14 2047.6735),(15 2047.444),(16 2060.764),(17 2065.1326),(18 2064.9429),(19 2058.3364),(20 2050.813),(21 2048.2961),(22 2047.0446),(23 2028.5498),(24 2011.802),(25 2015.3422),(26 2021.9495),(27 2029.6003),(28 2034.0166),(29 2030.5898),(30 2021.5002),(31 2026.2621),(32 2023.2971),(33 2020.2688),(34 2028.4249),(35 2021.2368),(36 2025.2155),(37 2029.2449),(38 2060.209),(39 2095.1582),(40 2083.1729),(41 2094.0737),(42 2109.629),(43 2121.6199),(44 2124.0728),(45 2132.8845),(46 2136.307),(47 2145.442),(48 2155.945),(49 2126.9841),(50 2122.0796),(51 2095.958),(52 2079.6047),(53 2075.3845),(54 2073.6943),(55 2052.3862),(56 2069.952),(57 2081.7966),(58 2079.7585),(59 2093.1345),(60 2058.8057),(61 2031.3234),(62 2040.0804),(63 2070.9949),(64 2107.4158),(65 2116.7817),(66 2128.0278),(67 2119.0789),(68 2130.9434),(69 2152.403),(70 2170.4414),(71 2181.3086),(72 2204.056),(73 2224.34),(74 2242.322),(75 2277.1536),(76 2302.8762),(77 2320.911),(78 2335.7017),(79 2358.958),
(1 732.30066),(2 1193.9343),(3 1496.5503),(4 1633.2942),(5 1733.2465),(6 1776.1421),(7 1826.5227),(8 1872.2593),(9 1908.3336),(10 1921.5304),(11 1932.7426),(12 1951.7426),(13 1979.6106),(14 1997.1887),(15 2024.6255),(16 2040.3032),(17 2036.5502),(18 2034.9186),(19 2040.211),(20 2039.3396),(21 2034.2009),(22 2024.9263),(23 2034.3512),(24 2041.3821),(25 2044.7303),(26 2046.9457),(27 2055.108),(28 2020.3796),(29 2007.6322),(30 1991.7722),(31 1996.0302),(32 1984.8829),(33 1965.7361),(34 1961.598),(35 1955.9808),(36 1960.4443),(37 1954.3153),(38 1961.3008),(39 1983.2491),(40 2000.5505),(41 2011.6832),(42 2039.2335),(43 2071.1985),(44 2064.7292),(45 2033.7178),(46 2042.2809),(47 2047.2362),(48 2063.5618),(49 2048.9592),(50 2056.074),(51 2056.3447),(52 2050.3552),(53 2040.702),(54 2040.5073),(55 2044.7031),(56 2061.0842),(57 2067.8987),(58 2059.5732),(59 2069.7307),(60 2067.0427),(61 2042.5845),(62 2042.8567),(63 2058.9268),(64 2091.392),(65 2102.5361),(66 2112.1797),(67 2090.3342),(68 2088.2222),(69 2105.8933),(70 2135.446),(71 2139.0713),(72 2157.796),(73 2192.2869),(74 2218.5078),(75 2253.349),(76 2265.5706),(77 2287.9531),(78 2290.2986),(79 2324.4487),
(1 727.27527),(2 1180.5332),(3 1469.6704),(4 1607.1636),(5 1717.9645),(6 1764.454),(7 1810.914),(8 1842.31),(9 1858.0382),(10 1863.3412),(11 1880.7002),(12 1911.2617),(13 1945.6125),(14 1970.8483),(15 1993.1995),(16 1992.2397),(17 1997.0424),(18 1991.9452),(19 1999.4325),(20 2005.5432),(21 2012.6798),(22 2004.1066),(23 1998.789),(24 2011.2672),(25 2019.7733),(26 2026.9941),(27 2033.4241),(28 1993.8442),(29 1980.2622),(30 1995.0209),(31 1997.6755),(32 2002.9387),(33 2024.4252),(34 2014.8765),(35 2013.9683),(36 1980.2458),(37 1975.0807),(38 1973.2153),(39 1989.1272),(40 1998.387),(41 2014.3351),(42 2031.8396),(43 2045.4515),(44 2036.0128),(45 1999.3826),(46 2006.8812),(47 2007.9917),(48 1996.0695),(49 1993.9213),(50 1995.7805),(51 1988.1465),(52 1982.5151),(53 1961.4131),(54 1976.0911),(55 2004.1155),(56 2005.8606),(57 2016.3818),(58 2016.2393),(59 2023.7672),(60 2019.3881),(61 1996.3799),(62 1982.2281),(63 2022.6295),(64 2039.2743),(65 2064.088),(66 2080.5505),(67 2081.3274),(68 2082.9116),(69 2092.8435),(70 2108.5334),(71 2137.7974),(72 2145.985),(73 2176.5137),(74 2205.4167),(75 2256.0981),(76 2268.745),(77 2280.4065),(78 2310.3767),(79 2338.6619),
(1 714.55945),(2 1160.1373),(3 1448.5304),(4 1571.6295),(5 1674.0946),(6 1742.3906),(7 1792.3304),(8 1830.6761),(9 1848.8579),(10 1852.6678),(11 1868.6146),(12 1903.0039),(13 1935.6322),(14 1962.6547),(15 1990.2635),(16 1991.119),(17 1978.283),(18 1954.3419),(19 1985.5436),(20 1981.6165),(21 1986.1364),(22 2001.61),(23 2006.34),(24 2007.7191),(25 2002.8182),(26 2017.2318),(27 1995.7548),(28 1984.6855),(29 1995.2129),(30 2028.0282),(31 2033.9678),(32 2023.1184),(33 2017.2041),(34 1991.714),(35 1982.7101),(36 1952.1956),(37 1937.723),(38 1950.2897),(39 1959.5831),(40 1973.9679),(41 1973.2347),(42 1967.9443),(43 1975.0663),(44 1959.3224),(45 1950.3639),(46 1946.1488),(47 1953.4838),(48 1933.9401),(49 1952.0608),(50 1967.9609),(51 1955.2051),(52 1951.902),(53 1942.3507),(54 1946.8489),(55 1967.0636),(56 1987.3304),(57 1996.3527),(58 1999.9888),(59 2015.7874),(60 2013.9232),(61 1990.8407),(62 2010.9232),(63 2020.1812),(64 2015.4387),(65 2030.6176),(66 2055.6199),(67 2059.3555),(68 2059.3044),(69 2059.4521),(70 2070.6472),(71 2075.0432),(72 2089.8108),(73 2102.3594),(74 2120.724),(75 2160.1265),(76 2180.8845),(77 2187.6042),(78 2203.17),(79 2208.4226),
(1 703.1977),(2 1133.5419),(3 1397.2076),(4 1525.2834),(5 1622.884),(6 1695.2079),(7 1731.246),(8 1787.9515),(9 1811.4993),(10 1845.302),(11 1861.5609),(12 1885.0287),(13 1907.2142),(14 1907.526),(15 1934.8107),(16 1957.196),(17 1946.7605),(18 1937.273),(19 1927.2687),(20 1920.6069),(21 1916.4291),(22 1921.2035),(23 1914.4065),(24 1948.192),(25 1949.6012),(26 1949.1394),(27 1943.5637),(28 1929.5165),(29 1922.7751),(30 1928.2924),(31 1920.2651),(32 1909.0474),(33 1907.7906),(34 1891.1202),(35 1872.9242),(36 1863.1083),(37 1852.4867),(38 1873.7634),(39 1884.1238),(40 1898.8071),(41 1913.1332),(42 1928.135),(43 1930.8336),(44 1930.6683),(45 1926.0322),(46 1921.263),(47 1933.9205),(48 1930.7161),(49 1954.3678),(50 1972.4824),(51 1971.8242),(52 1947.6583),(53 1953.1981),(54 1946.95),(55 1962.8033),(56 1982.4138),(57 1978.1946),(58 1960.9762),(59 1980.0966),(60 1979.9752),(61 1964.7224),(62 1983.5101),(63 1989.355),(64 1971.0554),(65 1966.8447),(66 1980.7112),(67 1996.1152),(68 1992.8269),(69 2008.8363),(70 2041.5919),(71 2059.2344),(72 2086.5461),(73 2074.0862),(74 2073.2195),(75 2099.028),(76 2101.311),(77 2113.1155),(78 2130.7024),(79 2127.561),
(1 693.92505),(2 1112.1793),(3 1384.7277),(4 1510.3539),(5 1583.331),(6 1651.0289),(7 1694.3568),(8 1731.741),(9 1769.9855),(10 1784.2382),(11 1821.9493),(12 1844.7618),(13 1875.1865),(14 1906.9789),(15 1926.5613),(16 1924.9491),(17 1907.1866),(18 1904.5972),(19 1922.3502),(20 1899.4098),(21 1894.5952),(22 1892.8298),(23 1890.2743),(24 1899.0361),(25 1898.638),(26 1899.738),(27 1903.9218),(28 1898.7758),(29 1916.5966),(30 1938.6947),(31 1940.1301),(32 1934.6227),(33 1924.5938),(34 1908.3027),(35 1900.384),(36 1905.7606),(37 1897.5356),(38 1899.097),(39 1924.0035),(40 1930.2904),(41 1943.1014),(42 1939.4807),(43 1956.652),(44 1954.6696),(45 1944.4283),(46 1944.4685),(47 1953.6445),(48 1962.0485),(49 1975.5055),(50 1986.9369),(51 1984.2285),(52 1980.9069),(53 1953.7668),(54 1946.3561),(55 1970.4935),(56 1964.9777),(57 1955.0775),(58 1937.2343),(59 1935.5037),(60 1932.8674),(61 1924.8713),(62 1941.5225),(63 1959.591),(64 1966.6322),(65 1970.0465),(66 1958.202),(67 1943.0375),(68 1969.889),(69 1987.4146),(70 2016.6224),(71 2026.3091),(72 2053.8418),(73 2048.444),(74 2050.258),(75 2092.4941),(76 2091.0227),(77 2085.467),(78 2096.9897),(79 2121.1023),
(1 675.95447),(2 1088.2994),(3 1364.071),(4 1487.7899),(5 1547.1818),(6 1600.9054),(7 1650.7615),(8 1681.9124),(9 1722.4396),(10 1739.1877),(11 1779.5632),(12 1797.7983),(13 1810.1367),(14 1845.2933),(15 1863.6298),(16 1862.6982),(17 1848.1326),(18 1862.8418),(19 1875.2982),(20 1878.8928),(21 1889.9557),(22 1888.9272),(23 1874.3862),(24 1852.7994),(25 1861.9385),(26 1863.0133),(27 1858.116),(28 1854.8906),(29 1849.095),(30 1864.5826),(31 1865.8678),(32 1870.8116),(33 1887.1497),(34 1868.3993),(35 1857.9932),(36 1856.0269),(37 1845.3021),(38 1831.2151),(39 1829.5905),(40 1826.4941),(41 1835.1707),(42 1837.0522),(43 1852.37),(44 1870.8517),(45 1878.9827),(46 1888.3467),(47 1910.8909),(48 1924.4591),(49 1942.1362),(50 1933.5164),(51 1932.5532),(52 1924.8759),(53 1912.561),(54 1894.9297),(55 1901.7429),(56 1888.0638),(57 1869.1051),(58 1880.4021),(59 1874.779),(60 1869.4523),(61 1879.7053),(62 1904.8237),(63 1924.0371),(64 1936.4766),(65 1944.798),(66 1946.8043),(67 1934.6775),(68 1961.8309),(69 1970.2701),(70 2003.3563),(71 2007.8792),(72 2028.337),(73 2029.1906),(74 2041.9373),(75 2072.7202),(76 2087.9646),(77 2087.613),(78 2091.0469),(79 2100.8162),
(1 672.8271),(2 1070.0428),(3 1334.5876),(4 1449.271),(5 1536.496),(6 1593.3401),(7 1648.9613),(8 1686.1808),(9 1703.0472),(10 1714.0164),(11 1726.8716),(12 1747.59),(13 1779.1865),(14 1794.5804),(15 1802.4606),(16 1792.7513),(17 1783.8451),(18 1795.1106),(19 1794.358),(20 1796.8228),(21 1806.4),(22 1828.3066),(23 1826.7655),(24 1829.8141),(25 1830.1649),(26 1824.6895),(27 1826.4171),(28 1826.172),(29 1831.0676),(30 1862.7247),(31 1859.1893),(32 1865.2086),(33 1871.5382),(34 1860.0059),(35 1851.1456),(36 1845.69),(37 1820.0476),(38 1807.1855),(39 1808.9238),(40 1831.3265),(41 1832.2422),(42 1836.7814),(43 1862.5317),(44 1888.944),(45 1912.1906),(46 1934.8663),(47 1960.6569),(48 1978.4086),(49 1972.6819),(50 1958.7305),(51 1955.6272),(52 1943.9393),(53 1921.8221),(54 1905.4784),(55 1903.0249),(56 1905.9138),(57 1913.1475),(58 1921.4847),(59 1926.9362),(60 1906.4448),(61 1899.7667),(62 1907.2832),(63 1960.4503),(64 1953.085),(65 1957.5292),(66 1946.3396),(67 1930.8292),(68 1931.9269),(69 1934.3433),(70 1943.6941),(71 1932.5323),(72 1945.6653),(73 1939.5851),(74 1934.6378),(75 1947.2418),(76 1973.2085),(77 1986.6068),(78 2001.4949),(79 2003.1729),
(1 656.2053),(2 1047.5529),(3 1326.6279),(4 1451.8278),(5 1533.8596),(6 1588.5684),(7 1633.2379),(8 1671.7721),(9 1695.7686),(10 1724.37),(11 1734.0747),(12 1742.288),(13 1737.3708),(14 1759.7389),(15 1791.1426),(16 1797.069),(17 1779.8083),(18 1806.2195),(19 1785.1704),(20 1800.4231),(21 1806.863),(22 1811.63),(23 1807.0485),(24 1799.1519),(25 1797.1028),(26 1774.8937),(27 1789.2997),(28 1800.8127),(29 1809.2769),(30 1827.0902),(31 1834.5541),(32 1842.1637),(33 1855.6163),(34 1859.6864),(35 1858.1885),(36 1853.9204),(37 1869.2146),(38 1885.1477),(39 1885.684),(40 1893.4124),(41 1876.9017),(42 1858.3887),(43 1878.9163),(44 1909.8047),(45 1943.8799),(46 1953.6095),(47 1976.5294),(48 1986.6913),(49 1983.7446),(50 1963.3406),(51 1959.2223),(52 1963.9012),(53 1965.2677),(54 1936.2635),(55 1907.5872),(56 1898.7618),(57 1875.398),(58 1876.22),(59 1895.5852),(60 1887.6544),(61 1880.5408),(62 1896.6013),(63 1953.3151),(64 1965.9155),(65 1967.4169),(66 1957.0078),(67 1943.8948),(68 1942.9552),(69 1938.6904),(70 1934.0056),(71 1931.952),(72 1949.8894),(73 1940.1687),(74 1933.5764),(75 1959.6261),(76 1975.0448),(77 2008.1064),(78 2032.4589),(79 2038.5431),
(1 665.3548),(2 1063.9132),(3 1328.6299),(4 1466.7672),(5 1540.0394),(6 1606.4718),(7 1641.9994),(8 1669.737),(9 1679.8802),(10 1691.1957),(11 1707.0657),(12 1715.404),(13 1720.3701),(14 1742.6252),(15 1756.801),(16 1771.4917),(17 1772.5894),(18 1778.0524),(19 1775.1166),(20 1785.0433),(21 1783.1587),(22 1784.8953),(23 1773.7529),(24 1778.7483),(25 1776.6029),(26 1763.0825),(27 1773.1974),(28 1794.864),(29 1797.7805),(30 1810.1608),(31 1816.7928),(32 1793.5303),(33 1796.6118),(34 1802.7855),(35 1812.3176),(36 1825.7933),(37 1844.0526),(38 1859.7828),(39 1856.2057),(40 1861.179),(41 1854.2654),(42 1848.4081),(43 1856.528),(44 1857.6593),(45 1877.7631),(46 1894.2921),(47 1896.6014),(48 1918.1979),(49 1929.452),(50 1915.2638),(51 1898.1567),(52 1900.5677),(53 1901.7041),(54 1903.171),(55 1874.0208),(56 1867.6664),(57 1861.5205),(58 1890.3337),(59 1889.702),(60 1901.0647),(61 1919.0802),(62 1934.0436),(63 1957.9519),(64 1955.4058),(65 1948.7743),(66 1960.2477),(67 1955.2853),(68 1950.2465),(69 1945.8077),(70 1955.93),(71 1966.654),(72 1967.9148),(73 1966.1953),(74 1972.3575),(75 1978.5327),(76 2008.4354),(77 2036.0453),(78 2054.1782),(79 2048.5034),
(1 640.3185),(2 1040.1001),(3 1301.6594),(4 1394.0209),(5 1478.2148),(6 1551.5006),(7 1595.7938),(8 1626.8182),(9 1636.6262),(10 1640.8125),(11 1632.9684),(12 1645.9713),(13 1677.0946),(14 1679.8148),(15 1694.2328),(16 1696.1525),(17 1698.6719),(18 1712.7211),(19 1705.0154),(20 1702.6184),(21 1726.1631),(22 1721.2742),(23 1710.2133),(24 1713.4215),(25 1717.208),(26 1723.9701),(27 1739.9634),(28 1742.4913),(29 1732.1771),(30 1732.8882),(31 1771.0314),(32 1765.0255),(33 1771.0803),(34 1774.0774),(35 1771.2095),(36 1775.2734),(37 1773.325),(38 1774.9087),(39 1760.3829),(40 1746.4742),(41 1760.0677),(42 1759.1262),(43 1749.5928),(44 1738.031),(45 1749.1525),(46 1751.481),(47 1760.1447),(48 1769.1907),(49 1765.317),(50 1769.295),(51 1759.9424),(52 1757.9299),(53 1765.4031),(54 1765.2069),(55 1757.4707),(56 1757.1407),(57 1765.0999),(58 1774.2097),(59 1772.2052),(60 1781.27),(61 1802.736),(62 1824.2236),(63 1837.988),(64 1828.77),(65 1833.2363),(66 1861.5735),(67 1856.2692),(68 1870.8915),(69 1853.3254),(70 1854.2567),(71 1878.17),(72 1915.2711),(73 1911.1727),(74 1913.3196),(75 1920.169),(76 1940.0115),(77 1953.5667),(78 1969.6199),(79 1981.8751),
(1 632.25934),(2 1009.229),(3 1260.0305),(4 1364.8373),(5 1454.7987),(6 1512.6428),(7 1563.2074),(8 1591.3179),(9 1597.4753),(10 1587.9855),(11 1588.9154),(12 1611.8746),(13 1634.0145),(14 1643.2112),(15 1668.2863),(16 1671.9185),(17 1684.3129),(18 1683.7451),(19 1680.6075),(20 1679.4834),(21 1688.8824),(22 1708.335),(23 1714.0764),(24 1700.7819),(25 1692.1948),(26 1703.8042),(27 1696.6145),(28 1696.2911),(29 1689.5769),(30 1697.2216),(31 1715.6292),(32 1715.4908),(33 1716.8518),(34 1702.1178),(35 1706.4956),(36 1699.9296),(37 1694.6493),(38 1704.8855),(39 1701.637),(40 1696.2059),(41 1714.7068),(42 1714.9092),(43 1695.2751),(44 1681.9938),(45 1688.8563),(46 1698.3506),(47 1725.3647),(48 1743.6841),(49 1736.7678),(50 1739.4119),(51 1719.6725),(52 1715.886),(53 1712.5604),(54 1706.1305),(55 1702.5933),(56 1696.5688),(57 1705.5056),(58 1709.6648),(59 1707.8351),(60 1709.3022),(61 1715.2616),(62 1738.306),(63 1752.2919),(64 1750.2023),(65 1744.1355),(66 1755.1465),(67 1780.1315),(68 1780.9658),(69 1796.9084),(70 1799.8611),(71 1813.1289),(72 1814.5905),(73 1843.6412),(74 1844.6792),(75 1866.0184),(76 1883.2283),(77 1907.9678),(78 1908.1519),(79 1922.987),
(1 627.2711),(2 996.538),(3 1245.2823),(4 1358.2762),(5 1425.3584),(6 1478.2095),(7 1524.1385),(8 1567.0363),(9 1570.9673),(10 1565.7739),(11 1583.894),(12 1598.9088),(13 1628.2133),(14 1650.7805),(15 1681.8062),(16 1682.7029),(17 1678.2797),(18 1687.742),(19 1683.6616),(20 1688.2413),(21 1703.0183),(22 1704.6233),(23 1697.3307),(24 1700.653),(25 1717.1798),(26 1715.9957),(27 1701.0504),(28 1710.3181),(29 1709.3026),(30 1716.7131),(31 1724.8289),(32 1716.5128),(33 1708.5043),(34 1706.286),(35 1723.6489),(36 1709.3502),(37 1693.8512),(38 1705.7864),(39 1723.3733),(40 1705.1066),(41 1706.2561),(42 1700.8248),(43 1698.9282),(44 1681.1892),(45 1690.2983),(46 1701.9598),(47 1729.7373),(48 1729.5042),(49 1726.2891),(50 1745.5973),(51 1747.549),(52 1746.0408),(53 1735.66),(54 1715.3923),(55 1683.8298),(56 1674.5978),(57 1671.2671),(58 1687.6725),(59 1693.2894),(60 1675.2941),(61 1676.8024),(62 1686.4664),(63 1721.9741),(64 1721.9142),(65 1712.036),(66 1711.8855),(67 1711.6343),(68 1718.9574),(69 1722.4545),(70 1723.5504),(71 1741.8619),(72 1760.0529),(73 1774.7894),(74 1779.9829),(75 1811.0902),(76 1807.1968),(77 1815.735),(78 1822.4366),(79 1819.4126),
(1 620.3481),(2 988.49396),(3 1222.3646),(4 1315.7904),(5 1381.871),(6 1437.7217),(7 1493.087),(8 1524.0748),(9 1542.246),(10 1540.1376),(11 1565.2122),(12 1576.8053),(13 1584.609),(14 1601.9423),(15 1631.4813),(16 1629.0477),(17 1628.2719),(18 1643.826),(19 1633.5051),(20 1620.1788),(21 1625.9734),(22 1620.8865),(23 1634.4438),(24 1627.6799),(25 1624.2137),(26 1631.7476),(27 1636.0173),(28 1639.0461),(29 1621.86),(30 1633.2606),(31 1635.2928),(32 1662.2932),(33 1679.2651),(34 1683.9515),(35 1678.4741),(36 1655.1587),(37 1648.3688),(38 1663.8219),(39 1670.773),(40 1680.5223),(41 1693.3678),(42 1703.7389),(43 1693.8918),(44 1682.5549),(45 1677.3533),(46 1675.4752),(47 1679.6018),(48 1686.5138),(49 1686.6578),(50 1693.018),(51 1689.5331),(52 1702.9526),(53 1689.3381),(54 1679.5397),(55 1657.7714),(56 1650.8961),(57 1648.0604),(58 1648.4396),(59 1648.6812),(60 1625.1875),(61 1635.7711),(62 1646.1003),(63 1667.5237),(64 1651.0679),(65 1642.964),(66 1659.9242),(67 1656.2682),(68 1681.1445),(69 1684.5267),(70 1697.6222),(71 1684.288),(72 1712.8324),(73 1730.5824),(74 1735.1843),(75 1737.4277),(76 1736.3715),(77 1740.2921),(78 1753.399),(79 1773.321),
(1 615.84656),(2 983.301),(3 1217.1263),(4 1315.1975),(5 1386.155),(6 1448.8779),(7 1518.7382),(8 1542.807),(9 1562.9851),(10 1543.8098),(11 1535.5948),(12 1546.8123),(13 1569.2457),(14 1590.0382),(15 1607.9336),(16 1615.2833),(17 1606.9263),(18 1612.604),(19 1598.4366),(20 1605.8363),(21 1622.8931),(22 1629.1044),(23 1630.4523),(24 1616.2816),(25 1605.9901),(26 1619.4465),(27 1623.3394),(28 1619.7701),(29 1607.1344),(30 1615.2645),(31 1634.6508),(32 1639.1339),(33 1647.0211),(34 1649.1727),(35 1643.8507),(36 1629.3784),(37 1608.8724),(38 1606.2339),(39 1601.8319),(40 1610.1536),(41 1614.8792),(42 1622.9473),(43 1633.2793),(44 1637.3865),(45 1640.0725),(46 1658.4261),(47 1664.9835),(48 1668.8805),(49 1654.7695),(50 1668.3009),(51 1657.3683),(52 1672.3037),(53 1666.6276),(54 1660.5414),(55 1638.283),(56 1622.8243),(57 1622.3895),(58 1630.1467),(59 1631.8744),(60 1631.5432),(61 1652.8217),(62 1672.585),(63 1705.0996),(64 1707.3854),(65 1707.8418),(66 1708.4083),(67 1702.6653),(68 1712.1477),(69 1685.1252),(70 1682.7225),(71 1685.6957),(72 1704.532),(73 1721.3877),(74 1720.7208),(75 1729.8219),(76 1744.3406),(77 1735.944),(78 1748.344),(79 1769.6161),
